Date,AQI
13-03-2023,94
14-03-2023,114
15-03-2023,190
16-03-2023,230
17-03-2023,99
18-03-2023,67
19-03-2023,62
21-03-2023,45
22-03-2023,46
23-03-2023,55
24-03-2023,77
25-03-2023,90
26-03-2023,79
27-03-2023,57
28-03-2023,72
29-03-2023,122
30-03-2023,110
31-03-2023,49
02-04-2023,42
03-04-2023,43
04-04-2023,105
05-04-2023,101
06-04-2023,76
07-04-2023,101
08-04-2023,95
09-04-2023,62
10-04-2023,85
11-04-2023,100
12-04-2023,88
13-04-2023,121
14-04-2023,125
15-04-2023,123
16-04-2023,88
17-04-2023,125
18-04-2023,110
19-04-2023,110
20-04-2023,112
21-04-2023,74
22-04-2023,80
26-04-2023,58
27-04-2023,53
28-04-2023,48
29-04-2023,37
30-04-2023,39
01-05-2023,31
02-05-2023,29
03-05-2023,30
04-05-2023,36
05-05-2023,38
06-05-2023,38
07-05-2023,39
08-05-2023,56
09-05-2023,49
10-05-2023,67
11-05-2023,61
12-05-2023,50
13-05-2023,74
14-05-2023,95
15-05-2023,84
16-05-2023,87
17-05-2023,82
18-05-2023,76
19-05-2023,78
20-05-2023,68
21-05-2023,94
22-05-2023,76
23-05-2023,57
24-05-2023,81
25-05-2023,64
26-05-2023,68
27-05-2023,51
28-05-2023,38
29-05-2023,53
30-05-2023,99
31-05-2023,75
01-06-2023,65
02-06-2023,69
03-06-2023,78
04-06-2023,71
05-06-2023,61
06-06-2023,64
07-06-2023,66
08-06-2023,64
09-06-2023,63
10-06-2023,58
11-06-2023,65
13-06-2023,59
14-06-2023,50
15-06-2023,59
16-06-2023,49
17-06-2023,49
18-06-2023,63
19-06-2023,65
20-06-2023,72
21-06-2023,76
23-06-2023,21
24-06-2023,48
25-06-2023,33
26-06-2023,39
27-06-2023,44
28-06-2023,32
29-06-2023,43
30-06-2023,43
01-07-2023,44
04-07-2023,67
05-07-2023,47
06-07-2023,44
07-07-2023,29
08-07-2023,28
09-07-2023,29
10-07-2023,50
11-07-2023,50
12-07-2023,27
13-07-2023,40
14-07-2023,33
15-07-2023,37
16-07-2023,39
18-07-2023,28
19-07-2023,28
21-07-2023,24
22-07-2023,29
27-07-2023,21
28-07-2023,34
29-07-2023,34
30-07-2023,39
31-07-2023,34
01-08-2023,31
02-08-2023,53
03-08-2023,26
05-08-2023,37
06-08-2023,34
07-08-2023,36
08-08-2023,39
09-08-2023,59
10-08-2023,67
11-08-2023,60
12-08-2023,50
13-08-2023,59
14-08-2023,54
15-08-2023,44
16-08-2023,42
17-08-2023,47
18-08-2023,32
19-08-2023,27
20-08-2023,32
21-08-2023,40
22-08-2023,60
23-08-2023,52
24-08-2023,31
25-08-2023,52
26-08-2023,48
27-08-2023,84
28-08-2023,85
29-08-2023,100
30-08-2023,60
31-08-2023,40
01-09-2023,54
02-09-2023,75
06-09-2023,25
07-09-2023,24
08-09-2023,26
09-09-2023,34
10-09-2023,50
11-09-2023,44
07-11-2023,63
11-11-2023,96
12-11-2023,107
13-11-2023,154
14-11-2023,107
15-11-2023,115
16-11-2023,81
17-11-2023,54
18-11-2023,45
19-11-2023,48
20-11-2023,51
21-11-2023,63
22-11-2023,66
23-11-2023,88
24-11-2023,89
25-11-2023,84
26-11-2023,83
27-11-2023,100
28-11-2023,81
29-11-2023,61
30-11-2023,66
01-12-2023,82
02-12-2023,85
03-12-2023,73
04-12-2023,89
05-12-2023,48
07-12-2023,22
08-12-2023,39
09-12-2023,44
10-12-2023,62
11-12-2023,70
12-12-2023,64
13-12-2023,70
14-12-2023,63
15-12-2023,55
16-12-2023,52
17-12-2023,59
18-12-2023,58
19-12-2023,56
20-12-2023,68
21-12-2023,76
22-12-2023,78
23-12-2023,90
24-12-2023,104
25-12-2023,88
26-12-2023,115
28-12-2023,127
29-12-2023,150
30-12-2023,151
31-12-2023,169
