Date,AQI
23-11-2021,304
24-11-2021,319
25-11-2021,350
26-11-2021,393
28-11-2021,431
30-11-2021,361
01-12-2021,346
02-12-2021,363
03-12-2021,381
04-12-2021,397
05-12-2021,328
06-12-2021,255
07-12-2021,279
08-12-2021,274
09-12-2021,284
10-12-2021,315
12-12-2021,353
13-12-2021,353
14-12-2021,373
15-12-2021,364
16-12-2021,333
17-12-2021,319
18-12-2021,306
19-12-2021,298
20-12-2021,386
21-12-2021,405
22-12-2021,389
23-12-2021,375
24-12-2021,380
29-12-2021,234
30-12-2021,129
31-12-2021,193
01-01-2022,288
03-01-2022,388
04-01-2022,365
05-01-2022,402
06-01-2022,414
07-01-2022,353
08-01-2022,260
09-01-2022,265
10-01-2022,259
11-01-2022,297
12-01-2022,247
13-01-2022,189
14-01-2022,272
16-01-2022,298
17-01-2022,334
18-01-2022,367
19-01-2022,360
20-01-2022,356
21-01-2022,417
22-01-2022,406
23-01-2022,366
24-01-2022,338
25-01-2022,347
26-01-2022,268
27-01-2022,268
28-01-2022,314
29-01-2022,337
31-01-2022,399
01-02-2022,367
02-02-2022,391
03-02-2022,352
05-02-2022,70
06-02-2022,204
07-02-2022,253
08-02-2022,299
09-02-2022,331
10-02-2022,357
11-02-2022,206
12-02-2022,167
13-02-2022,265
14-02-2022,230
15-02-2022,298
16-02-2022,289
17-02-2022,307
18-02-2022,203
20-02-2022,168
21-02-2022,160
22-02-2022,275
23-02-2022,294
24-02-2022,279
25-02-2022,315
26-02-2022,303
27-02-2022,277
28-02-2022,281
01-03-2022,215
02-03-2022,212
03-03-2022,259
05-03-2022,206
06-03-2022,201
08-03-2022,230
09-03-2022,262
10-03-2022,228
11-03-2022,255
12-03-2022,212
13-03-2022,258
14-03-2022,268
15-03-2022,226
16-03-2022,252
17-03-2022,290
18-03-2022,339
19-03-2022,298
20-03-2022,270
23-03-2022,260
24-03-2022,257
25-03-2022,191
26-03-2022,180
27-03-2022,177
29-03-2022,329
30-03-2022,338
31-03-2022,305
01-04-2022,367
02-04-2022,219
03-04-2022,185
04-04-2022,321
05-04-2022,270
06-04-2022,307
07-04-2022,337
08-04-2022,284
09-04-2022,278
10-04-2022,235
12-04-2022,247
14-04-2022,407
15-04-2022,364
16-04-2022,196
17-04-2022,177
18-04-2022,189
19-04-2022,163
20-04-2022,158
23-04-2022,216
24-04-2022,262
25-04-2022,248
26-04-2022,198
27-04-2022,232
28-04-2022,197
29-04-2022,162
30-04-2022,178
01-05-2022,98
02-05-2022,144
03-05-2022,120
04-05-2022,88
05-05-2022,82
06-05-2022,123
07-05-2022,105
08-05-2022,125
09-05-2022,129
10-05-2022,98
11-05-2022,103
12-05-2022,142
13-05-2022,137
14-05-2022,100
15-05-2022,142
16-05-2022,209
17-05-2022,142
18-05-2022,147
19-05-2022,132
20-05-2022,137
21-05-2022,105
24-05-2022,101
25-05-2022,100
26-05-2022,110
27-05-2022,135
28-05-2022,128
01-06-2022,185
02-06-2022,140
03-06-2022,182
04-06-2022,175
05-06-2022,121
07-06-2022,126
08-06-2022,145
09-06-2022,144
10-06-2022,91
11-06-2022,126
12-06-2022,146
13-06-2022,104
14-06-2022,141
15-06-2022,169
16-06-2022,132
24-06-2022,139
25-06-2022,121
26-06-2022,80
27-06-2022,96
28-06-2022,130
30-06-2022,129
01-07-2022,256
02-07-2022,139
03-07-2022,167
04-07-2022,167
05-07-2022,131
06-07-2022,137
07-07-2022,74
08-07-2022,105
09-07-2022,92
10-07-2022,95
12-07-2022,64
13-07-2022,63
14-07-2022,64
15-07-2022,46
16-07-2022,59
17-07-2022,53
18-07-2022,58
19-07-2022,62
20-07-2022,70
21-07-2022,60
22-07-2022,126
24-07-2022,55
25-07-2022,66
26-07-2022,65
27-07-2022,51
28-07-2022,82
29-07-2022,71
30-07-2022,85
31-07-2022,72
02-08-2022,70
03-08-2022,73
04-08-2022,88
05-08-2022,110
06-08-2022,99
07-08-2022,88
08-08-2022,105
09-08-2022,87
10-08-2022,68
11-08-2022,64
12-08-2022,95
13-08-2022,90
14-08-2022,84
15-08-2022,40
16-08-2022,95
17-08-2022,92
18-08-2022,87
19-08-2022,100
20-08-2022,75
21-08-2022,67
22-08-2022,75
24-08-2022,92
25-08-2022,103
26-08-2022,133
27-08-2022,126
28-08-2022,103
29-08-2022,102
30-08-2022,157
01-09-2022,155
02-09-2022,96
04-09-2022,64
05-09-2022,74
06-09-2022,127
07-09-2022,196
09-09-2022,148
10-09-2022,131
11-09-2022,95
14-09-2022,61
15-09-2022,100
16-09-2022,54
18-09-2022,105
19-09-2022,161
20-09-2022,90
21-09-2022,95
22-09-2022,127
24-09-2022,181
25-09-2022,158
27-09-2022,126
28-09-2022,99
29-09-2022,130
30-09-2022,91
01-10-2022,228
02-10-2022,229
03-10-2022,207
04-10-2022,57
05-10-2022,54
06-10-2022,91
07-10-2022,88
08-10-2022,63
09-10-2022,207
10-10-2022,91
11-10-2022,75
12-10-2022,84
13-10-2022,122
14-10-2022,90
15-10-2022,142
16-10-2022,158
17-10-2022,182
18-10-2022,155
19-10-2022,182
20-10-2022,226
21-10-2022,274
23-10-2022,254
24-10-2022,145
25-10-2022,167
26-10-2022,167
27-10-2022,256
28-10-2022,276
29-10-2022,291
30-10-2022,273
31-10-2022,198
01-11-2022,151
02-11-2022,187
03-11-2022,176
04-11-2022,257
05-11-2022,324
06-11-2022,330
07-11-2022,265
08-11-2022,237
09-11-2022,227
10-11-2022,278
11-11-2022,313
12-11-2022,368
13-11-2022,274
14-11-2022,335
15-11-2022,360
16-11-2022,341
17-11-2022,317
18-11-2022,303
19-11-2022,330
20-11-2022,317
21-11-2022,319
22-11-2022,330
23-11-2022,304
24-11-2022,325
25-11-2022,351
26-11-2022,342
27-11-2022,367
29-11-2022,419
30-11-2022,422
01-12-2022,369
02-12-2022,350
03-12-2022,375
04-12-2022,383
05-12-2022,346
06-12-2022,398
07-12-2022,398
08-12-2022,391
09-12-2022,391
11-12-2022,362
12-12-2022,404
13-12-2022,420
14-12-2022,340
15-12-2022,296
16-12-2022,274
20-12-2022,452
21-12-2022,402
