Date,AQI
05-07-2018,77
06-07-2018,73
07-07-2018,49
08-07-2018,56
09-07-2018,62
10-07-2018,55
11-07-2018,69
12-07-2018,44
13-07-2018,45
14-07-2018,55
15-07-2018,65
16-07-2018,55
19-07-2018,44
20-07-2018,44
22-07-2018,60
23-07-2018,70
24-07-2018,57
25-07-2018,45
26-07-2018,50
27-07-2018,66
28-07-2018,53
30-07-2018,78
31-07-2018,62
01-08-2018,69
02-08-2018,72
03-08-2018,99
04-08-2018,81
05-08-2018,69
06-08-2018,78
07-08-2018,49
08-08-2018,46
09-08-2018,44
10-08-2018,56
11-08-2018,46
12-08-2018,42
13-08-2018,42
14-08-2018,42
15-08-2018,43
16-08-2018,42
18-08-2018,59
19-08-2018,55
20-08-2018,69
21-08-2018,60
22-08-2018,63
23-08-2018,48
24-08-2018,45
25-08-2018,51
26-08-2018,59
27-08-2018,44
28-08-2018,44
29-08-2018,48
30-08-2018,44
31-08-2018,48
01-09-2018,50
02-09-2018,61
03-09-2018,64
04-09-2018,62
05-09-2018,63
11-09-2018,60
15-09-2018,48
18-09-2018,47
19-09-2018,49
20-09-2018,72
21-09-2018,64
22-09-2018,52
27-09-2018,47
28-09-2018,47
29-09-2018,45
30-09-2018,47
01-10-2018,46
02-10-2018,44
03-10-2018,46
04-10-2018,47
05-10-2018,44
06-10-2018,44
07-10-2018,44
08-10-2018,55
09-10-2018,55
10-10-2018,107
11-10-2018,106
12-10-2018,113
13-10-2018,113
14-10-2018,103
16-10-2018,58
17-10-2018,49
18-10-2018,48
19-10-2018,47
20-10-2018,46
21-10-2018,77
22-10-2018,89
23-10-2018,101
24-10-2018,101
25-10-2018,90
26-10-2018,93
27-10-2018,96
28-10-2018,90
29-10-2018,91
30-10-2018,90
31-10-2018,73
01-11-2018,47
02-11-2018,45
03-11-2018,44
04-11-2018,43
05-11-2018,44
06-11-2018,52
07-11-2018,50
08-11-2018,93
09-11-2018,52
10-11-2018,68
11-11-2018,81
12-11-2018,88
13-11-2018,112
14-11-2018,107
15-11-2018,103
16-11-2018,45
17-11-2018,54
18-11-2018,70
19-11-2018,45
20-11-2018,47
21-11-2018,63
22-11-2018,43
23-11-2018,44
24-11-2018,66
25-11-2018,116
26-11-2018,132
27-11-2018,114
29-11-2018,92
30-11-2018,69
01-12-2018,70
02-12-2018,57
03-12-2018,45
04-12-2018,55
05-12-2018,45
06-12-2018,45
07-12-2018,45
08-12-2018,86
09-12-2018,100
10-12-2018,144
12-12-2018,113
13-12-2018,102
14-12-2018,85
15-12-2018,76
16-12-2018,105
17-12-2018,142
18-12-2018,134
19-12-2018,75
20-12-2018,66
21-12-2018,66
22-12-2018,66
23-12-2018,66
24-12-2018,74
25-12-2018,91
26-12-2018,85
27-12-2018,98
28-12-2018,95
29-12-2018,106
30-12-2018,109
31-12-2018,91
01-01-2019,98
02-01-2019,78
03-01-2019,75
04-01-2019,85
05-01-2019,90
06-01-2019,82
07-01-2019,81
08-01-2019,158
09-01-2019,118
10-01-2019,102
11-01-2019,91
12-01-2019,110
13-01-2019,108
14-01-2019,91
15-01-2019,91
16-01-2019,100
17-01-2019,184
18-01-2019,196
19-01-2019,182
20-01-2019,207
21-01-2019,164
22-01-2019,184
23-01-2019,141
24-01-2019,142
25-01-2019,97
26-01-2019,124
27-01-2019,71
28-01-2019,63
30-01-2019,75
31-01-2019,68
01-02-2019,71
02-02-2019,75
03-02-2019,69
04-02-2019,61
05-02-2019,56
06-02-2019,87
14-02-2019,90
15-02-2019,65
16-02-2019,75
17-02-2019,118
18-02-2019,73
19-02-2019,114
20-02-2019,61
21-02-2019,73
22-02-2019,100
23-02-2019,109
24-02-2019,92
25-02-2019,67
26-02-2019,102
27-02-2019,100
28-02-2019,139
01-03-2019,115
02-03-2019,88
03-03-2019,61
04-03-2019,69
05-03-2019,92
06-03-2019,136
07-03-2019,174
08-03-2019,147
12-03-2019,104
13-03-2019,99
14-03-2019,93
15-03-2019,94
16-03-2019,106
17-03-2019,88
18-03-2019,83
19-03-2019,79
20-03-2019,93
21-03-2019,90
22-03-2019,81
23-03-2019,101
24-03-2019,94
25-03-2019,88
26-03-2019,95
27-03-2019,93
28-03-2019,109
29-03-2019,116
30-03-2019,106
31-03-2019,112
01-04-2019,108
02-04-2019,104
03-04-2019,102
04-04-2019,102
05-04-2019,86
10-04-2019,97
11-04-2019,105
12-04-2019,105
13-04-2019,99
14-04-2019,84
15-04-2019,85
16-04-2019,81
17-04-2019,100
18-04-2019,53
19-04-2019,38
20-04-2019,51
21-04-2019,44
22-04-2019,60
23-04-2019,39
24-04-2019,44
25-04-2019,74
26-04-2019,100
28-04-2019,112
29-04-2019,98
30-04-2019,107
01-05-2019,68
