Date,AQI
03-02-2020,115
04-02-2020,62
05-02-2020,69
06-02-2020,72
07-02-2020,75
08-02-2020,51
09-02-2020,44
10-02-2020,54
11-02-2020,71
12-02-2020,68
13-02-2020,63
14-02-2020,73
15-02-2020,79
16-02-2020,93
29-02-2020,81
01-03-2020,77
02-03-2020,82
03-03-2020,69
04-03-2020,69
06-03-2020,53
07-03-2020,58
11-03-2020,60
12-03-2020,55
13-03-2020,55
14-03-2020,58
15-03-2020,67
16-03-2020,64
17-03-2020,70
18-03-2020,61
19-03-2020,60
20-03-2020,67
22-03-2020,74
23-03-2020,74
24-03-2020,73
25-03-2020,66
26-03-2020,62
27-03-2020,68
28-03-2020,63
29-03-2020,60
30-03-2020,62
31-03-2020,61
01-04-2020,73
02-04-2020,69
03-04-2020,64
04-04-2020,63
05-04-2020,68
06-04-2020,61
08-04-2020,44
11-04-2020,69
12-04-2020,70
13-04-2020,82
14-04-2020,89
15-04-2020,69
16-04-2020,64
17-04-2020,64
18-04-2020,65
19-04-2020,69
20-04-2020,57
21-04-2020,52
22-04-2020,47
23-04-2020,48
24-04-2020,56
25-04-2020,56
26-04-2020,51
27-04-2020,46
28-04-2020,54
29-04-2020,52
16-05-2020,48
19-05-2020,72
20-05-2020,51
21-05-2020,47
22-05-2020,38
23-05-2020,39
24-05-2020,34
25-05-2020,35
26-05-2020,42
27-05-2020,49
28-05-2020,45
29-05-2020,47
31-05-2020,34
01-06-2020,28
02-06-2020,28
04-06-2020,27
05-06-2020,34
06-06-2020,40
07-06-2020,46
08-06-2020,48
09-06-2020,52
11-06-2020,33
12-06-2020,35
13-06-2020,33
14-06-2020,32
15-06-2020,34
16-06-2020,38
17-06-2020,36
18-06-2020,38
19-06-2020,46
20-06-2020,43
21-06-2020,43
22-06-2020,39
23-06-2020,40
25-06-2020,22
26-06-2020,32
27-06-2020,34
28-06-2020,27
29-06-2020,28
30-06-2020,31
01-07-2020,35
02-07-2020,35
03-07-2020,30
04-07-2020,33
07-07-2020,25
08-07-2020,28
10-07-2020,34
11-07-2020,31
12-07-2020,29
13-07-2020,33
14-07-2020,29
15-07-2020,29
16-07-2020,28
17-07-2020,31
