Date,AQI
22-11-2022,66
23-11-2022,40
24-11-2022,65
25-11-2022,78
26-11-2022,44
27-11-2022,72
28-11-2022,114
29-11-2022,128
30-11-2022,92
01-12-2022,95
02-12-2022,48
03-12-2022,21
04-12-2022,33
05-12-2022,69
07-12-2022,94
08-12-2022,82
25-12-2022,79
30-12-2022,64
31-12-2022,56
01-01-2023,70
02-01-2023,42
03-01-2023,41
04-01-2023,57
05-01-2023,74
06-01-2023,51
07-01-2023,58
08-01-2023,68
09-01-2023,75
10-01-2023,67
12-01-2023,61
13-01-2023,64
14-01-2023,72
15-01-2023,55
16-01-2023,63
17-01-2023,58
18-01-2023,58
19-01-2023,52
20-01-2023,50
24-01-2023,54
31-01-2023,49
01-02-2023,60
02-02-2023,68
03-02-2023,69
04-02-2023,71
05-02-2023,188
06-02-2023,115
09-02-2023,107
10-02-2023,84
11-02-2023,87
12-02-2023,90
13-02-2023,72
14-02-2023,213
15-02-2023,154
16-02-2023,186
17-02-2023,93
18-02-2023,102
19-02-2023,52
20-02-2023,58
21-02-2023,65
22-02-2023,79
23-02-2023,116
24-02-2023,57
25-02-2023,75
26-02-2023,150
27-02-2023,78
28-02-2023,66
01-03-2023,69
02-03-2023,69
03-03-2023,75
04-03-2023,84
05-03-2023,63
06-03-2023,67
07-03-2023,68
08-03-2023,60
09-03-2023,67
10-03-2023,86
11-03-2023,62
12-03-2023,65
13-03-2023,84
14-03-2023,184
15-03-2023,96
16-03-2023,55
17-03-2023,61
18-03-2023,52
19-03-2023,49
20-03-2023,56
21-03-2023,81
22-03-2023,63
23-03-2023,63
24-03-2023,74
25-03-2023,61
26-03-2023,63
27-03-2023,42
24-05-2023,95
25-05-2023,75
26-05-2023,66
27-05-2023,69
28-05-2023,68
29-05-2023,89
30-05-2023,79
31-05-2023,96
01-06-2023,75
02-06-2023,81
03-06-2023,80
04-06-2023,76
05-06-2023,60
06-06-2023,52
07-06-2023,55
08-06-2023,70
09-06-2023,60
10-06-2023,56
11-06-2023,53
12-06-2023,44
13-06-2023,51
14-06-2023,27
15-06-2023,48
16-06-2023,43
17-06-2023,39
18-06-2023,38
19-06-2023,40
20-06-2023,42
21-06-2023,33
22-06-2023,38
23-06-2023,40
24-06-2023,39
25-06-2023,43
26-06-2023,38
27-06-2023,42
28-06-2023,49
29-06-2023,44
01-07-2023,39
02-07-2023,31
03-07-2023,32
04-07-2023,43
05-07-2023,43
06-07-2023,42
07-07-2023,41
08-07-2023,37
09-07-2023,35
10-07-2023,29
11-07-2023,33
12-07-2023,35
13-07-2023,43
14-07-2023,41
15-07-2023,34
16-07-2023,37
17-07-2023,33
18-07-2023,42
19-07-2023,37
20-07-2023,33
21-07-2023,35
22-07-2023,31
23-07-2023,26
24-07-2023,25
25-07-2023,23
26-07-2023,25
27-07-2023,31
28-07-2023,27
29-07-2023,26
30-07-2023,33
31-07-2023,34
01-08-2023,33
02-08-2023,40
03-08-2023,36
04-08-2023,38
05-08-2023,33
06-08-2023,44
08-08-2023,44
09-08-2023,37
10-08-2023,42
11-08-2023,97
12-08-2023,48
13-08-2023,44
14-08-2023,43
15-08-2023,42
16-08-2023,52
17-08-2023,44
18-08-2023,37
19-08-2023,39
20-08-2023,37
21-08-2023,38
22-08-2023,72
23-08-2023,45
24-08-2023,50
25-08-2023,68
26-08-2023,68
27-08-2023,49
28-08-2023,39
29-08-2023,36
30-08-2023,39
31-08-2023,54
01-09-2023,62
02-09-2023,60
03-09-2023,33
04-09-2023,31
05-09-2023,34
06-09-2023,30
08-09-2023,45
09-09-2023,38
10-09-2023,41
11-09-2023,34
12-09-2023,37
14-09-2023,40
15-09-2023,45
16-09-2023,41
17-09-2023,28
18-09-2023,34
19-09-2023,33
20-09-2023,23
21-09-2023,42
22-09-2023,49
23-09-2023,44
24-09-2023,34
25-09-2023,30
26-09-2023,26
27-09-2023,33
28-09-2023,44
29-09-2023,39
30-09-2023,35
01-10-2023,24
02-10-2023,51
03-10-2023,66
04-10-2023,83
06-10-2023,100
07-10-2023,123
08-10-2023,95
09-10-2023,78
10-10-2023,99
11-10-2023,77
12-10-2023,169
13-10-2023,118
14-10-2023,140
15-10-2023,125
16-10-2023,129
17-10-2023,85
18-10-2023,93
19-10-2023,166
20-10-2023,191
21-10-2023,240
22-10-2023,157
23-10-2023,155
24-10-2023,162
25-10-2023,192
26-10-2023,153
27-10-2023,133
28-10-2023,71
29-10-2023,70
30-10-2023,86
31-10-2023,154
01-11-2023,156
02-11-2023,93
03-11-2023,36
04-11-2023,32
05-11-2023,36
06-11-2023,42
07-11-2023,34
08-11-2023,36
09-11-2023,80
10-11-2023,130
11-11-2023,247
13-11-2023,348
14-11-2023,125
15-11-2023,76
16-11-2023,86
17-11-2023,59
18-11-2023,76
19-11-2023,53
20-11-2023,54
21-11-2023,46
22-11-2023,32
23-11-2023,30
25-11-2023,46
26-11-2023,70
28-11-2023,42
29-11-2023,51
30-11-2023,39
01-12-2023,54
02-12-2023,128
03-12-2023,34
04-12-2023,54
05-12-2023,58
06-12-2023,68
07-12-2023,78
08-12-2023,89
09-12-2023,68
10-12-2023,66
11-12-2023,79
12-12-2023,79
13-12-2023,79
14-12-2023,81
15-12-2023,120
16-12-2023,80
17-12-2023,79
18-12-2023,82
19-12-2023,155
20-12-2023,192
21-12-2023,152
22-12-2023,102
23-12-2023,118
25-12-2023,76
26-12-2023,63
27-12-2023,55
28-12-2023,66
29-12-2023,55
30-12-2023,63
31-12-2023,61
