Date,AQI
14-03-2023,198
15-03-2023,166
16-03-2023,122
17-03-2023,162
18-03-2023,77
19-03-2023,92
22-03-2023,160
23-03-2023,77
24-03-2023,77
25-03-2023,90
26-03-2023,160
27-03-2023,171
28-03-2023,176
29-03-2023,209
30-03-2023,131
31-03-2023,72
01-04-2023,81
02-04-2023,132
03-04-2023,169
04-04-2023,149
05-04-2023,209
06-04-2023,272
07-04-2023,273
08-04-2023,195
09-04-2023,145
10-04-2023,253
11-04-2023,249
12-04-2023,167
13-04-2023,121
22-04-2023,116
23-04-2023,121
24-04-2023,161
25-04-2023,184
26-04-2023,182
27-04-2023,116
28-04-2023,80
29-04-2023,59
30-04-2023,64
01-05-2023,72
02-05-2023,89
03-05-2023,86
04-05-2023,108
05-05-2023,163
06-05-2023,112
07-05-2023,85
08-05-2023,95
09-05-2023,106
10-05-2023,126
11-05-2023,132
12-05-2023,128
13-05-2023,151
14-05-2023,95
15-05-2023,83
16-05-2023,122
18-05-2023,80
19-05-2023,76
20-05-2023,107
21-05-2023,86
22-05-2023,78
23-05-2023,83
25-05-2023,109
26-05-2023,156
27-05-2023,93
28-05-2023,87
29-05-2023,78
30-05-2023,94
31-05-2023,90
01-06-2023,86
03-06-2023,90
04-06-2023,91
05-06-2023,121
06-06-2023,94
07-06-2023,120
08-06-2023,143
09-06-2023,121
11-06-2023,57
12-06-2023,60
14-06-2023,86
15-06-2023,73
16-06-2023,71
17-06-2023,70
19-06-2023,31
20-06-2023,50
22-06-2023,88
23-06-2023,86
24-06-2023,77
25-06-2023,72
27-06-2023,45
28-06-2023,62
01-07-2023,48
02-07-2023,40
03-07-2023,62
04-07-2023,63
05-07-2023,72
07-07-2023,56
08-07-2023,43
11-07-2023,63
12-07-2023,72
13-07-2023,79
15-07-2023,63
16-07-2023,69
17-07-2023,62
18-07-2023,66
20-07-2023,66
22-07-2023,58
24-07-2023,74
25-07-2023,53
26-07-2023,82
27-07-2023,56
28-07-2023,43
30-07-2023,45
31-07-2023,60
02-08-2023,72
03-08-2023,94
04-08-2023,91
05-08-2023,96
07-08-2023,95
08-08-2023,76
09-08-2023,91
10-08-2023,80
11-08-2023,73
12-08-2023,71
13-08-2023,67
14-08-2023,79
16-08-2023,107
17-08-2023,100
18-08-2023,114
19-08-2023,135
20-08-2023,72
21-08-2023,45
22-08-2023,66
23-08-2023,81
24-08-2023,88
25-08-2023,107
26-08-2023,102
27-08-2023,116
28-08-2023,146
29-08-2023,112
30-08-2023,109
02-09-2023,109
03-09-2023,94
04-09-2023,83
05-09-2023,81
06-09-2023,70
07-09-2023,62
08-09-2023,60
09-09-2023,62
10-09-2023,70
11-09-2023,97
12-09-2023,89
13-09-2023,114
14-09-2023,61
15-09-2023,139
16-09-2023,93
17-09-2023,64
18-09-2023,55
19-09-2023,48
20-09-2023,71
22-09-2023,69
23-09-2023,44
24-09-2023,59
26-09-2023,85
27-09-2023,77
28-09-2023,93
29-09-2023,147
30-09-2023,141
01-10-2023,136
02-10-2023,194
03-10-2023,339
04-10-2023,107
06-10-2023,103
07-10-2023,88
08-10-2023,116
09-10-2023,113
10-10-2023,91
11-10-2023,123
12-10-2023,160
13-10-2023,111
14-10-2023,83
15-10-2023,90
16-10-2023,93
18-10-2023,134
19-10-2023,152
20-10-2023,123
21-10-2023,119
22-10-2023,155
23-10-2023,133
24-10-2023,123
25-10-2023,162
26-10-2023,162
27-10-2023,123
28-10-2023,122
29-10-2023,107
30-10-2023,190
31-10-2023,164
01-11-2023,173
02-11-2023,157
03-11-2023,191
04-11-2023,179
06-11-2023,212
07-11-2023,181
08-11-2023,210
09-11-2023,231
10-11-2023,224
11-11-2023,150
12-11-2023,138
13-11-2023,221
14-11-2023,245
15-11-2023,245
16-11-2023,267
19-11-2023,246
20-11-2023,266
21-11-2023,294
22-11-2023,244
23-11-2023,219
24-11-2023,243
25-11-2023,225
26-11-2023,200
27-11-2023,108
28-11-2023,64
29-11-2023,106
30-11-2023,206
01-12-2023,211
02-12-2023,143
03-12-2023,238
04-12-2023,46
05-12-2023,80
06-12-2023,170
07-12-2023,227
08-12-2023,215
09-12-2023,239
10-12-2023,207
11-12-2023,192
12-12-2023,173
14-12-2023,137
15-12-2023,166
16-12-2023,197
18-12-2023,128
20-12-2023,155
21-12-2023,249
22-12-2023,212
23-12-2023,142
24-12-2023,283
25-12-2023,314
26-12-2023,322
27-12-2023,322
28-12-2023,264
30-12-2023,325
31-12-2023,328
