Date,AQI
13-03-2023,120
14-03-2023,125
15-03-2023,116
16-03-2023,153
17-03-2023,105
18-03-2023,80
19-03-2023,102
20-03-2023,92
28-03-2023,123
29-03-2023,135
30-03-2023,141
31-03-2023,91
01-04-2023,80
02-04-2023,85
03-04-2023,151
04-04-2023,95
05-04-2023,98
06-04-2023,98
07-04-2023,100
08-04-2023,98
09-04-2023,95
10-04-2023,106
11-04-2023,104
12-04-2023,103
13-04-2023,173
15-04-2023,135
16-04-2023,98
17-04-2023,130
18-04-2023,165
19-04-2023,248
20-04-2023,116
21-04-2023,151
22-04-2023,128
23-04-2023,142
24-04-2023,154
26-04-2023,178
27-04-2023,179
28-04-2023,147
29-04-2023,95
30-04-2023,70
01-05-2023,88
02-05-2023,82
03-05-2023,97
04-05-2023,157
05-05-2023,153
06-05-2023,138
07-05-2023,91
08-05-2023,209
09-05-2023,160
10-05-2023,160
11-05-2023,159
12-05-2023,124
24-05-2023,152
25-05-2023,68
30-05-2023,112
31-05-2023,108
01-06-2023,102
02-06-2023,114
03-06-2023,120
09-06-2023,108
10-06-2023,112
11-06-2023,247
12-06-2023,236
13-06-2023,94
14-06-2023,97
16-06-2023,90
17-06-2023,70
18-06-2023,42
19-06-2023,67
20-06-2023,95
21-06-2023,104
22-06-2023,122
23-06-2023,118
24-06-2023,118
25-06-2023,73
26-06-2023,98
27-06-2023,93
28-06-2023,72
29-06-2023,98
30-06-2023,80
01-07-2023,105
02-07-2023,91
03-07-2023,59
04-07-2023,94
05-07-2023,75
06-07-2023,71
07-07-2023,75
08-07-2023,60
09-07-2023,56
10-07-2023,47
11-07-2023,70
12-07-2023,73
13-07-2023,81
14-07-2023,68
15-07-2023,94
16-07-2023,84
18-07-2023,82
19-07-2023,57
20-07-2023,61
21-07-2023,79
22-07-2023,68
23-07-2023,69
24-07-2023,62
25-07-2023,78
26-07-2023,76
27-07-2023,46
28-07-2023,46
29-07-2023,38
30-07-2023,50
31-07-2023,91
01-08-2023,67
02-08-2023,79
03-08-2023,89
04-08-2023,93
05-08-2023,94
06-08-2023,89
07-08-2023,88
08-08-2023,90
09-08-2023,102
10-08-2023,101
11-08-2023,107
12-08-2023,99
13-08-2023,70
14-08-2023,43
15-08-2023,49
16-08-2023,55
18-08-2023,69
19-08-2023,72
20-08-2023,53
21-08-2023,57
22-08-2023,54
23-08-2023,53
24-08-2023,44
25-08-2023,49
26-08-2023,81
27-08-2023,115
28-08-2023,87
29-08-2023,61
30-08-2023,60
31-08-2023,57
01-09-2023,55
02-09-2023,51
03-09-2023,45
05-09-2023,54
06-09-2023,84
07-09-2023,74
08-09-2023,82
09-09-2023,55
10-09-2023,57
11-09-2023,55
12-09-2023,66
13-09-2023,55
14-09-2023,59
15-09-2023,57
16-09-2023,65
18-09-2023,32
19-09-2023,37
20-09-2023,45
21-09-2023,105
22-09-2023,48
23-09-2023,52
24-09-2023,52
25-09-2023,49
26-09-2023,60
27-09-2023,83
28-09-2023,110
29-09-2023,114
30-09-2023,104
01-10-2023,100
02-10-2023,97
03-10-2023,90
04-10-2023,92
05-10-2023,81
06-10-2023,70
07-10-2023,54
08-10-2023,53
09-10-2023,60
10-10-2023,62
11-10-2023,88
12-10-2023,86
13-10-2023,95
14-10-2023,65
15-10-2023,83
16-10-2023,96
17-10-2023,57
18-10-2023,67
19-10-2023,99
20-10-2023,161
21-10-2023,156
22-10-2023,92
23-10-2023,157
24-10-2023,159
25-10-2023,164
26-10-2023,158
27-10-2023,150
28-10-2023,107
29-10-2023,113
30-10-2023,150
31-10-2023,212
01-11-2023,217
02-11-2023,241
03-11-2023,355
04-11-2023,335
05-11-2023,365
06-11-2023,308
07-11-2023,243
08-11-2023,324
09-11-2023,210
10-11-2023,81
11-11-2023,166
12-11-2023,180
13-11-2023,336
14-11-2023,346
15-11-2023,443
16-11-2023,452
17-11-2023,405
18-11-2023,312
19-11-2023,281
20-11-2023,291
21-11-2023,404
22-11-2023,391
23-11-2023,266
24-11-2023,243
25-11-2023,316
26-11-2023,294
27-11-2023,171
28-11-2023,262
29-11-2023,143
30-11-2023,301
01-12-2023,286
02-12-2023,258
03-12-2023,213
04-12-2023,150
05-12-2023,174
06-12-2023,176
07-12-2023,181
08-12-2023,218
13-12-2023,184
14-12-2023,215
15-12-2023,189
16-12-2023,216
17-12-2023,184
18-12-2023,245
19-12-2023,174
20-12-2023,143
21-12-2023,179
22-12-2023,170
23-12-2023,259
24-12-2023,326
25-12-2023,269
26-12-2023,225
27-12-2023,183
28-12-2023,267
29-12-2023,158
30-12-2023,150
31-12-2023,263
