Date,AQI
14-06-2019,59
15-06-2019,58
16-06-2019,55
17-06-2019,61
18-06-2019,81
19-06-2019,82
20-06-2019,67
24-06-2019,51
25-06-2019,77
26-06-2019,77
27-06-2019,70
28-06-2019,64
29-06-2019,66
30-06-2019,52
01-07-2019,45
02-07-2019,56
03-07-2019,58
05-07-2019,59
06-07-2019,64
07-07-2019,50
08-07-2019,57
09-07-2019,54
10-07-2019,59
11-07-2019,61
12-07-2019,72
13-07-2019,64
14-07-2019,54
15-07-2019,59
16-07-2019,64
17-07-2019,53
21-07-2019,68
22-07-2019,66
23-07-2019,69
24-07-2019,66
25-07-2019,68
26-07-2019,69
27-07-2019,70
28-07-2019,78
29-07-2019,74
30-07-2019,71
31-07-2019,74
01-08-2019,73
02-08-2019,75
03-08-2019,70
04-08-2019,66
05-08-2019,71
06-08-2019,80
08-08-2019,78
09-08-2019,65
10-08-2019,72
12-08-2019,67
14-08-2019,74
16-08-2019,71
17-08-2019,78
27-08-2019,79
01-09-2019,71
03-09-2019,81
04-09-2019,84
06-09-2019,81
07-09-2019,84
08-09-2019,74
09-09-2019,78
10-09-2019,76
12-09-2019,80
13-09-2019,82
14-09-2019,83
15-09-2019,76
16-09-2019,83
17-09-2019,83
19-09-2019,74
20-09-2019,86
22-09-2019,75
23-09-2019,74
24-09-2019,76
25-09-2019,78
26-09-2019,74
27-09-2019,81
28-09-2019,86
29-09-2019,84
30-09-2019,89
01-10-2019,82
02-10-2019,84
03-10-2019,89
04-10-2019,89
05-10-2019,91
06-10-2019,82
07-10-2019,81
08-10-2019,77
09-10-2019,91
10-10-2019,90
11-10-2019,92
12-10-2019,89
13-10-2019,84
14-10-2019,100
15-10-2019,97
16-10-2019,101
22-10-2019,88
23-10-2019,85
24-10-2019,87
25-10-2019,85
26-10-2019,81
30-10-2019,96
31-10-2019,77
01-11-2019,41
02-11-2019,48
07-11-2019,81
08-11-2019,54
13-11-2019,79
14-11-2019,72
19-11-2019,37
20-11-2019,69
21-11-2019,54
26-11-2019,80
