Date,AQI
14-03-2023,80
15-03-2023,109
16-03-2023,50
17-03-2023,46
18-03-2023,41
21-03-2023,52
22-03-2023,44
23-03-2023,44
24-03-2023,33
25-03-2023,48
26-03-2023,49
27-03-2023,50
28-03-2023,54
29-03-2023,58
30-03-2023,60
31-03-2023,27
01-04-2023,29
02-04-2023,23
03-04-2023,25
04-04-2023,18
05-04-2023,25
06-04-2023,54
07-04-2023,17
08-04-2023,62
09-04-2023,64
11-04-2023,96
12-04-2023,97
13-04-2023,101
16-04-2023,95
17-04-2023,101
18-04-2023,72
19-04-2023,40
20-04-2023,43
21-04-2023,76
26-04-2023,105
27-04-2023,54
28-04-2023,76
29-04-2023,77
30-04-2023,124
01-05-2023,20
02-05-2023,74
04-05-2023,109
05-05-2023,75
06-05-2023,76
07-05-2023,127
09-05-2023,86
10-05-2023,83
11-05-2023,66
12-05-2023,94
13-05-2023,90
14-05-2023,97
15-05-2023,92
16-05-2023,145
17-05-2023,98
18-05-2023,91
20-05-2023,96
21-05-2023,94
22-05-2023,90
23-05-2023,29
24-05-2023,25
25-05-2023,27
26-05-2023,91
30-05-2023,88
31-05-2023,153
01-06-2023,98
02-06-2023,98
03-06-2023,110
04-06-2023,98
05-06-2023,106
06-06-2023,176
07-06-2023,98
08-06-2023,92
09-06-2023,92
10-06-2023,13
11-06-2023,20
14-06-2023,15
15-06-2023,23
16-06-2023,26
17-06-2023,30
21-06-2023,136
22-06-2023,166
23-06-2023,177
24-06-2023,190
27-06-2023,190
29-06-2023,218
30-06-2023,211
01-07-2023,217
02-07-2023,231
03-07-2023,167
04-07-2023,151
05-07-2023,143
06-07-2023,136
07-07-2023,124
08-07-2023,169
09-07-2023,168
10-07-2023,169
12-07-2023,35
13-07-2023,168
14-07-2023,94
15-07-2023,181
16-07-2023,205
17-07-2023,195
18-07-2023,115
19-07-2023,206
20-07-2023,120
21-07-2023,146
22-07-2023,144
23-07-2023,124
24-07-2023,112
25-07-2023,113
26-07-2023,116
27-07-2023,124
28-07-2023,118
29-07-2023,122
30-07-2023,36
31-07-2023,41
01-08-2023,136
02-08-2023,144
03-08-2023,154
04-08-2023,160
05-08-2023,156
06-08-2023,158
07-08-2023,138
08-08-2023,150
09-08-2023,136
10-08-2023,30
11-08-2023,234
12-08-2023,138
13-08-2023,127
14-08-2023,34
15-08-2023,38
16-08-2023,24
17-08-2023,138
18-08-2023,158
19-08-2023,21
21-08-2023,28
22-08-2023,37
23-08-2023,30
24-08-2023,40
25-08-2023,37
26-08-2023,33
27-08-2023,38
28-08-2023,42
29-08-2023,30
30-08-2023,48
01-09-2023,34
02-09-2023,25
04-09-2023,20
05-09-2023,223
06-09-2023,214
07-09-2023,204
08-09-2023,232
09-09-2023,33
12-09-2023,24
14-09-2023,21
15-09-2023,18
16-09-2023,18
20-09-2023,28
21-09-2023,35
22-09-2023,34
23-09-2023,29
24-09-2023,24
25-09-2023,32
26-09-2023,53
30-09-2023,69
01-10-2023,52
02-10-2023,23
03-10-2023,32
04-10-2023,43
05-10-2023,32
06-10-2023,35
07-10-2023,45
08-10-2023,40
09-10-2023,36
10-10-2023,38
11-10-2023,40
12-10-2023,59
13-10-2023,60
14-10-2023,54
15-10-2023,56
16-10-2023,57
17-10-2023,62
18-10-2023,77
19-10-2023,110
20-10-2023,93
21-10-2023,71
26-10-2023,72
27-10-2023,99
28-10-2023,57
29-10-2023,33
30-10-2023,24
31-10-2023,95
01-11-2023,110
02-11-2023,78
03-11-2023,66
04-11-2023,53
05-11-2023,33
06-11-2023,34
07-11-2023,34
08-11-2023,116
09-11-2023,118
10-11-2023,84
11-11-2023,121
12-11-2023,158
13-11-2023,252
14-11-2023,77
15-11-2023,70
16-11-2023,81
17-11-2023,114
18-11-2023,66
19-11-2023,62
20-11-2023,64
21-11-2023,54
22-11-2023,16
23-11-2023,22
24-11-2023,18
25-11-2023,18
26-11-2023,45
27-11-2023,25
28-11-2023,29
29-11-2023,21
30-11-2023,17
01-12-2023,26
02-12-2023,70
03-12-2023,16
04-12-2023,24
05-12-2023,42
06-12-2023,46
07-12-2023,31
08-12-2023,39
09-12-2023,40
10-12-2023,50
11-12-2023,56
12-12-2023,65
13-12-2023,82
14-12-2023,108
15-12-2023,125
19-12-2023,110
21-12-2023,170
23-12-2023,155
24-12-2023,124
25-12-2023,93
26-12-2023,58
30-12-2023,69
31-12-2023,90
