Date,AQI
02-11-2023,112
03-11-2023,73
04-11-2023,59
05-11-2023,52
06-11-2023,108
07-11-2023,214
08-11-2023,200
09-11-2023,207
10-11-2023,235
11-11-2023,242
12-11-2023,214
13-11-2023,355
14-11-2023,249
15-11-2023,190
16-11-2023,112
17-11-2023,84
18-11-2023,100
19-11-2023,70
20-11-2023,95
21-11-2023,75
22-11-2023,179
23-11-2023,272
24-11-2023,304
25-11-2023,301
26-11-2023,262
27-11-2023,239
28-11-2023,246
29-11-2023,281
30-11-2023,216
01-12-2023,221
02-12-2023,155
03-12-2023,222
05-12-2023,222
06-12-2023,69
07-12-2023,58
08-12-2023,48
09-12-2023,65
10-12-2023,135
11-12-2023,151
12-12-2023,194
13-12-2023,214
14-12-2023,212
15-12-2023,210
16-12-2023,226
17-12-2023,271
18-12-2023,240
19-12-2023,252
20-12-2023,287
21-12-2023,269
22-12-2023,267
23-12-2023,282
24-12-2023,266
25-12-2023,285
26-12-2023,266
27-12-2023,238
28-12-2023,296
29-12-2023,317
30-12-2023,303
31-12-2023,300
