Date,AQI
08-01-2019,287
09-01-2019,272
10-01-2019,235
11-01-2019,187
12-01-2019,162
13-01-2019,264
14-01-2019,314
15-01-2019,162
16-01-2019,153
17-01-2019,177
18-01-2019,156
19-01-2019,195
20-01-2019,189
21-01-2019,122
22-01-2019,101
23-01-2019,159
24-01-2019,231
25-01-2019,179
26-01-2019,130
27-01-2019,85
28-01-2019,113
29-01-2019,92
30-01-2019,125
31-01-2019,196
01-02-2019,94
02-02-2019,179
03-02-2019,229
04-02-2019,219
05-02-2019,223
06-02-2019,213
07-02-2019,122
08-02-2019,97
09-02-2019,103
10-02-2019,79
11-02-2019,83
12-02-2019,88
13-02-2019,112
14-02-2019,103
15-02-2019,75
16-02-2019,124
17-02-2019,91
18-02-2019,96
19-02-2019,82
20-02-2019,136
21-02-2019,82
22-02-2019,86
23-02-2019,96
24-02-2019,72
25-02-2019,60
26-02-2019,82
27-02-2019,79
28-02-2019,66
01-03-2019,52
02-03-2019,77
03-03-2019,95
04-03-2019,185
05-03-2019,98
06-03-2019,75
07-03-2019,70
08-03-2019,72
09-03-2019,115
10-03-2019,112
11-03-2019,96
12-03-2019,112
13-03-2019,100
14-03-2019,88
15-03-2019,90
16-03-2019,88
17-03-2019,78
18-03-2019,69
19-03-2019,84
20-03-2019,88
21-03-2019,76
22-03-2019,71
23-03-2019,79
24-03-2019,83
25-03-2019,99
26-03-2019,106
27-03-2019,75
28-03-2019,75
29-03-2019,95
30-03-2019,97
31-03-2019,136
01-04-2019,93
02-04-2019,102
03-04-2019,99
08-04-2019,125
12-04-2019,101
23-04-2019,79
24-04-2019,86
25-04-2019,72
26-04-2019,81
27-04-2019,88
28-04-2019,103
29-04-2019,75
30-04-2019,88
01-05-2019,72
02-05-2019,85
03-05-2019,89
04-05-2019,79
05-05-2019,60
06-05-2019,82
07-05-2019,80
08-05-2019,69
09-05-2019,72
10-05-2019,52
11-05-2019,50
12-05-2019,70
13-05-2019,84
14-05-2019,66
15-05-2019,59
18-05-2019,115
19-05-2019,60
20-05-2019,54
21-05-2019,57
22-05-2019,78
31-05-2019,80
10-06-2019,101
11-06-2019,88
12-06-2019,98
14-06-2019,32
15-06-2019,41
16-06-2019,48
17-06-2019,64
18-06-2019,66
19-06-2019,55
22-06-2019,73
23-06-2019,44
25-06-2019,61
09-07-2019,50
10-07-2019,64
11-07-2019,77
12-07-2019,77
13-07-2019,92
14-07-2019,68
15-07-2019,76
16-07-2019,82
17-07-2019,83
18-07-2019,73
19-07-2019,61
20-07-2019,58
21-07-2019,57
22-07-2019,48
23-07-2019,67
24-07-2019,54
02-08-2019,27
03-08-2019,33
04-08-2019,24
06-08-2019,25
07-08-2019,20
08-08-2019,23
09-08-2019,153
10-08-2019,25
12-08-2019,43
14-08-2019,21
15-08-2019,15
16-08-2019,25
18-08-2019,37
19-08-2019,23
21-08-2019,33
22-08-2019,35
23-08-2019,64
24-08-2019,29
25-08-2019,25
26-08-2019,25
28-08-2019,20
31-08-2019,56
01-09-2019,41
02-09-2019,47
10-09-2019,27
11-09-2019,22
14-09-2019,20
15-09-2019,20
16-09-2019,26
17-09-2019,28
18-09-2019,22
19-09-2019,34
20-09-2019,48
21-09-2019,42
22-09-2019,30
23-09-2019,28
24-09-2019,38
26-09-2019,21
27-09-2019,23
28-09-2019,20
29-09-2019,16
30-09-2019,27
01-10-2019,36
02-10-2019,29
04-10-2019,57
06-10-2019,102
