Date,AQI
18-07-2021,85
19-07-2021,113
20-07-2021,42
21-07-2021,111
22-07-2021,96
23-07-2021,29
24-07-2021,79
25-07-2021,75
26-07-2021,143
27-07-2021,130
28-07-2021,38
29-07-2021,22
30-07-2021,17
31-07-2021,27
01-08-2021,27
02-08-2021,61
03-08-2021,293
07-08-2021,119
09-08-2021,93
10-08-2021,178
13-11-2021,252
14-11-2021,271
17-11-2021,235
18-11-2021,302
20-11-2021,366
21-11-2021,390
22-11-2021,379
23-11-2021,369
24-11-2021,377
25-11-2021,366
26-11-2021,351
27-11-2021,332
28-11-2021,331
29-11-2021,356
30-11-2021,390
01-12-2021,326
02-12-2021,308
03-12-2021,328
04-12-2021,351
05-12-2021,304
06-12-2021,215
07-12-2021,298
08-12-2021,323
09-12-2021,262
10-12-2021,310
11-12-2021,324
12-12-2021,338
13-12-2021,376
14-12-2021,386
15-12-2021,372
16-12-2021,335
17-12-2021,350
18-12-2021,391
19-12-2021,313
20-12-2021,380
21-12-2021,424
22-12-2021,389
23-12-2021,413
24-12-2021,392
25-12-2021,263
26-12-2021,238
27-12-2021,275
28-12-2021,257
29-12-2021,113
30-12-2021,69
31-12-2021,157
01-01-2022,261
02-01-2022,203
03-01-2022,296
04-01-2022,330
05-01-2022,326
06-01-2022,364
07-01-2022,317
08-01-2022,199
09-01-2022,194
10-01-2022,290
11-01-2022,308
12-01-2022,277
13-01-2022,120
14-01-2022,260
15-01-2022,199
16-01-2022,251
17-01-2022,273
18-01-2022,288
19-01-2022,288
20-01-2022,288
21-01-2022,334
22-01-2022,347
23-01-2022,323
24-01-2022,209
25-01-2022,290
26-01-2022,190
27-01-2022,208
28-01-2022,261
29-01-2022,307
30-01-2022,361
31-01-2022,363
02-02-2022,324
03-02-2022,290
05-02-2022,62
06-02-2022,134
07-02-2022,219
08-02-2022,243
09-02-2022,292
10-02-2022,274
11-02-2022,169
12-02-2022,165
13-02-2022,237
14-02-2022,236
15-02-2022,236
16-02-2022,248
17-02-2022,244
18-02-2022,197
19-02-2022,199
20-02-2022,161
21-02-2022,164
22-02-2022,194
23-02-2022,158
25-02-2022,165
26-02-2022,151
27-02-2022,200
28-02-2022,230
01-03-2022,130
02-03-2022,159
03-03-2022,182
04-03-2022,202
05-03-2022,164
06-03-2022,146
07-03-2022,203
08-03-2022,191
09-03-2022,161
10-03-2022,196
11-03-2022,177
12-03-2022,184
13-03-2022,182
14-03-2022,193
15-03-2022,200
16-03-2022,223
17-03-2022,224
18-03-2022,264
20-03-2022,218
21-03-2022,224
22-03-2022,193
23-03-2022,217
24-03-2022,215
25-03-2022,223
26-03-2022,210
27-03-2022,222
28-03-2022,277
29-03-2022,196
30-03-2022,158
01-04-2022,163
02-04-2022,170
03-04-2022,144
04-04-2022,174
05-04-2022,204
06-04-2022,224
07-04-2022,174
08-04-2022,130
09-04-2022,176
10-04-2022,155
12-04-2022,161
14-04-2022,182
15-04-2022,335
16-04-2022,301
17-04-2022,265
18-04-2022,243
19-04-2022,168
20-04-2022,121
21-04-2022,113
22-04-2022,139
24-04-2022,270
25-04-2022,362
26-04-2022,286
27-04-2022,208
28-04-2022,211
04-05-2022,102
05-05-2022,98
06-05-2022,87
11-05-2022,121
12-05-2022,127
13-05-2022,124
14-05-2022,76
15-05-2022,92
16-05-2022,121
18-05-2022,134
19-05-2022,164
20-05-2022,89
21-05-2022,107
22-05-2022,71
23-05-2022,99
25-05-2022,121
26-05-2022,128
27-05-2022,199
28-05-2022,168
29-05-2022,126
30-05-2022,121
31-05-2022,137
01-06-2022,169
02-06-2022,148
03-06-2022,145
04-06-2022,135
05-06-2022,130
06-06-2022,110
07-06-2022,110
09-06-2022,60
10-06-2022,51
11-06-2022,71
12-06-2022,69
13-06-2022,61
14-06-2022,121
15-06-2022,121
16-06-2022,106
17-06-2022,126
22-06-2022,89
23-06-2022,121
24-06-2022,128
25-06-2022,102
26-06-2022,96
27-06-2022,97
28-06-2022,93
29-06-2022,110
30-06-2022,95
01-07-2022,93
02-07-2022,87
03-07-2022,70
04-07-2022,67
05-07-2022,100
06-07-2022,117
07-07-2022,107
08-07-2022,125
09-07-2022,103
10-07-2022,106
11-07-2022,97
12-07-2022,93
13-07-2022,102
14-07-2022,93
15-07-2022,90
17-07-2022,102
19-07-2022,205
21-07-2022,34
22-07-2022,45
23-07-2022,40
24-07-2022,43
25-07-2022,97
26-07-2022,100
27-07-2022,48
28-07-2022,53
29-07-2022,53
30-07-2022,58
31-07-2022,52
01-08-2022,54
02-08-2022,41
03-08-2022,51
04-08-2022,57
06-08-2022,81
07-08-2022,53
08-08-2022,91
09-08-2022,61
10-08-2022,53
11-08-2022,59
12-08-2022,53
13-08-2022,81
14-08-2022,75
15-08-2022,45
16-08-2022,51
17-08-2022,106
19-08-2022,95
20-08-2022,42
21-08-2022,65
22-08-2022,93
