Date,AQI
13-03-2023,181
14-03-2023,133
15-03-2023,150
16-03-2023,169
17-03-2023,127
18-03-2023,91
19-03-2023,179
20-03-2023,95
21-03-2023,101
22-03-2023,197
23-03-2023,122
24-03-2023,89
25-03-2023,109
26-03-2023,128
27-03-2023,163
28-03-2023,148
29-03-2023,157
30-03-2023,199
31-03-2023,89
01-04-2023,86
02-04-2023,90
03-04-2023,139
04-04-2023,83
05-04-2023,104
06-04-2023,128
07-04-2023,132
08-04-2023,170
09-04-2023,143
10-04-2023,164
11-04-2023,186
12-04-2023,187
13-04-2023,143
14-04-2023,181
15-04-2023,169
16-04-2023,129
17-04-2023,181
18-04-2023,194
19-04-2023,279
20-04-2023,207
21-04-2023,206
22-04-2023,157
23-04-2023,227
24-04-2023,101
25-04-2023,114
26-04-2023,167
27-04-2023,144
28-04-2023,176
29-04-2023,173
30-04-2023,99
01-05-2023,85
02-05-2023,105
03-05-2023,92
04-05-2023,89
05-05-2023,93
06-05-2023,133
07-05-2023,137
08-05-2023,154
09-05-2023,179
10-05-2023,153
12-05-2023,175
13-05-2023,195
14-05-2023,179
16-05-2023,142
17-05-2023,191
18-05-2023,150
19-05-2023,206
20-05-2023,160
21-05-2023,174
22-05-2023,162
23-05-2023,142
24-05-2023,150
25-05-2023,87
27-05-2023,108
28-05-2023,136
29-05-2023,111
30-05-2023,115
31-05-2023,101
01-06-2023,88
02-06-2023,97
03-06-2023,144
04-06-2023,114
05-06-2023,109
06-06-2023,122
07-06-2023,224
08-06-2023,154
09-06-2023,138
10-06-2023,151
11-06-2023,140
12-06-2023,196
13-06-2023,127
14-06-2023,131
15-06-2023,122
16-06-2023,103
17-06-2023,125
18-06-2023,126
20-06-2023,117
21-06-2023,138
22-06-2023,141
23-06-2023,159
24-06-2023,169
25-06-2023,85
26-06-2023,69
27-06-2023,196
28-06-2023,111
29-06-2023,78
30-06-2023,61
01-07-2023,136
02-07-2023,106
03-07-2023,104
04-07-2023,95
05-07-2023,83
06-07-2023,61
07-07-2023,66
08-07-2023,135
09-07-2023,93
10-07-2023,54
11-07-2023,73
12-07-2023,158
13-07-2023,137
14-07-2023,86
15-07-2023,145
16-07-2023,82
17-07-2023,95
18-07-2023,171
19-07-2023,77
20-07-2023,77
21-07-2023,67
22-07-2023,81
23-07-2023,72
24-07-2023,94
25-07-2023,90
26-07-2023,82
27-07-2023,96
28-07-2023,63
29-07-2023,61
30-07-2023,70
31-07-2023,81
01-08-2023,105
02-08-2023,113
03-08-2023,121
04-08-2023,113
05-08-2023,146
06-08-2023,134
07-08-2023,122
08-08-2023,125
09-08-2023,135
11-08-2023,137
12-08-2023,140
13-08-2023,104
14-08-2023,104
15-08-2023,151
16-08-2023,102
17-08-2023,164
18-08-2023,193
19-08-2023,243
20-08-2023,93
21-08-2023,79
22-08-2023,126
23-08-2023,204
24-08-2023,120
25-08-2023,151
26-08-2023,195
27-08-2023,243
28-08-2023,100
29-08-2023,71
30-08-2023,98
31-08-2023,91
01-09-2023,121
02-09-2023,115
05-09-2023,116
06-09-2023,65
07-09-2023,74
08-09-2023,62
09-09-2023,41
10-09-2023,76
11-09-2023,65
12-09-2023,55
13-09-2023,85
14-09-2023,98
15-09-2023,84
16-09-2023,69
18-09-2023,37
19-09-2023,73
20-09-2023,81
21-09-2023,106
22-09-2023,66
23-09-2023,98
24-09-2023,74
25-09-2023,69
26-09-2023,119
27-09-2023,143
28-09-2023,165
29-09-2023,188
30-09-2023,175
01-10-2023,146
02-10-2023,176
03-10-2023,170
04-10-2023,180
05-10-2023,148
06-10-2023,153
07-10-2023,131
08-10-2023,139
09-10-2023,141
10-10-2023,171
11-10-2023,164
12-10-2023,165
13-10-2023,162
14-10-2023,148
15-10-2023,136
16-10-2023,82
17-10-2023,130
18-10-2023,119
19-10-2023,120
20-10-2023,136
21-10-2023,148
22-10-2023,153
23-10-2023,144
24-10-2023,144
25-10-2023,165
26-10-2023,172
28-10-2023,176
29-10-2023,215
30-10-2023,188
31-10-2023,153
01-11-2023,223
02-11-2023,223
03-11-2023,195
04-11-2023,334
05-11-2023,272
07-11-2023,298
08-11-2023,277
09-11-2023,290
10-11-2023,247
11-11-2023,208
12-11-2023,188
13-11-2023,209
14-11-2023,294
15-11-2023,269
16-11-2023,284
17-11-2023,366
18-11-2023,284
19-11-2023,263
21-11-2023,322
22-11-2023,346
23-11-2023,355
24-11-2023,332
25-11-2023,350
26-11-2023,335
27-11-2023,309
28-11-2023,129
29-11-2023,155
30-11-2023,247
01-12-2023,268
02-12-2023,213
03-12-2023,333
04-12-2023,287
05-12-2023,119
06-12-2023,232
07-12-2023,160
08-12-2023,199
09-12-2023,214
10-12-2023,202
11-12-2023,182
12-12-2023,208
13-12-2023,181
14-12-2023,192
15-12-2023,171
16-12-2023,149
17-12-2023,138
18-12-2023,174
19-12-2023,149
20-12-2023,201
21-12-2023,191
22-12-2023,255
23-12-2023,336
24-12-2023,379
25-12-2023,274
26-12-2023,209
27-12-2023,142
28-12-2023,224
29-12-2023,135
30-12-2023,120
31-12-2023,167
