Date,AQI
03-02-2021,86
04-02-2021,83
10-02-2021,82
11-02-2021,79
16-02-2021,87
17-02-2021,96
18-02-2021,96
19-02-2021,82
21-02-2021,47
23-02-2021,45
24-02-2021,79
25-02-2021,94
27-02-2021,113
28-02-2021,127
03-03-2021,117
04-03-2021,103
05-03-2021,105
06-03-2021,99
07-03-2021,93
08-03-2021,108
09-03-2021,102
11-03-2021,83
12-03-2021,70
13-03-2021,85
14-03-2021,81
15-03-2021,86
16-03-2021,93
17-03-2021,32
18-03-2021,28
19-03-2021,25
21-03-2021,106
22-03-2021,120
23-03-2021,118
24-03-2021,116
25-03-2021,100
26-03-2021,125
27-03-2021,120
28-03-2021,102
30-03-2021,79
31-03-2021,89
08-04-2021,100
09-04-2021,90
10-04-2021,89
11-04-2021,91
14-04-2021,50
15-04-2021,41
17-04-2021,62
18-04-2021,67
19-04-2021,56
20-04-2021,66
22-04-2021,71
23-04-2021,53
24-04-2021,51
25-04-2021,55
26-04-2021,61
18-05-2021,28
19-05-2021,23
20-05-2021,33
23-05-2021,59
24-05-2021,57
25-05-2021,38
26-05-2021,45
28-05-2021,41
29-05-2021,42
30-05-2021,28
31-05-2021,27
01-06-2021,26
02-06-2021,26
03-06-2021,29
04-06-2021,28
05-06-2021,28
06-06-2021,24
07-06-2021,29
08-06-2021,39
09-06-2021,23
10-06-2021,23
12-06-2021,23
13-06-2021,23
14-06-2021,23
15-06-2021,27
16-06-2021,40
18-06-2021,54
20-06-2021,42
21-06-2021,61
22-06-2021,90
23-06-2021,80
24-06-2021,65
25-06-2021,73
26-06-2021,44
27-06-2021,27
28-06-2021,41
29-06-2021,30
30-06-2021,38
01-07-2021,28
02-07-2021,27
03-07-2021,33
04-07-2021,50
05-07-2021,45
06-07-2021,24
07-07-2021,25
08-07-2021,20
09-07-2021,20
10-07-2021,19
11-07-2021,19
12-07-2021,19
13-07-2021,20
14-07-2021,18
15-07-2021,19
16-07-2021,18
17-07-2021,20
19-07-2021,19
21-07-2021,20
24-07-2021,26
25-07-2021,26
26-07-2021,25
27-07-2021,20
28-07-2021,21
29-07-2021,19
30-07-2021,19
31-07-2021,19
04-08-2021,18
05-08-2021,18
06-08-2021,18
07-08-2021,19
08-08-2021,19
09-08-2021,24
10-08-2021,20
11-08-2021,26
12-08-2021,19
14-08-2021,27
15-08-2021,33
16-08-2021,27
17-08-2021,18
18-08-2021,19
22-08-2021,29
23-08-2021,22
24-08-2021,20
25-08-2021,23
26-08-2021,19
28-08-2021,19
29-08-2021,19
31-08-2021,28
14-09-2021,19
15-09-2021,27
16-09-2021,29
19-09-2021,28
20-09-2021,26
21-09-2021,18
22-09-2021,15
23-09-2021,22
24-09-2021,19
26-09-2021,19
27-09-2021,18
29-09-2021,19
30-09-2021,18
01-10-2021,19
02-10-2021,19
05-10-2021,19
06-10-2021,23
08-10-2021,27
10-10-2021,18
11-10-2021,29
12-10-2021,27
13-10-2021,31
14-10-2021,29
15-10-2021,70
16-10-2021,77
17-10-2021,73
19-10-2021,57
20-10-2021,59
21-10-2021,61
22-10-2021,44
23-10-2021,61
24-10-2021,24
26-10-2021,93
27-10-2021,90
28-10-2021,96
29-10-2021,100
30-10-2021,42
31-10-2021,21
02-11-2021,23
03-11-2021,22
04-11-2021,21
05-11-2021,21
06-11-2021,80
07-11-2021,46
09-11-2021,115
10-11-2021,101
11-11-2021,117
12-11-2021,141
13-11-2021,60
14-11-2021,24
15-11-2021,27
16-11-2021,23
17-11-2021,24
18-11-2021,26
19-11-2021,29
20-11-2021,21
21-11-2021,30
22-11-2021,42
25-11-2021,41
26-11-2021,56
02-12-2021,55
03-12-2021,37
04-12-2021,34
07-12-2021,80
08-12-2021,75
09-12-2021,50
10-12-2021,29
11-12-2021,42
12-12-2021,40
14-12-2021,54
15-12-2021,65
16-12-2021,93
17-12-2021,100
18-12-2021,116
21-12-2021,98
22-12-2021,109
23-12-2021,146
24-12-2021,117
25-12-2021,120
26-12-2021,122
28-12-2021,94
29-12-2021,81
30-12-2021,74
31-12-2021,65
01-01-2022,63
02-01-2022,50
04-01-2022,87
05-01-2022,87
06-01-2022,100
07-01-2022,87
11-01-2022,62
12-01-2022,43
13-01-2022,50
15-01-2022,45
18-01-2022,59
19-01-2022,114
20-01-2022,113
21-01-2022,96
22-01-2022,63
25-01-2022,204
26-01-2022,132
27-01-2022,151
28-01-2022,117
29-01-2022,127
30-01-2022,112
31-01-2022,120
02-02-2022,118
03-02-2022,99
04-02-2022,67
05-02-2022,72
06-02-2022,94
07-02-2022,76
08-02-2022,104
09-02-2022,99
10-02-2022,111
11-02-2022,102
12-02-2022,91
13-02-2022,91
14-02-2022,100
15-02-2022,97
16-02-2022,98
17-02-2022,85
18-02-2022,112
19-02-2022,103
20-02-2022,95
21-02-2022,94
22-02-2022,106
23-02-2022,112
25-02-2022,50
26-02-2022,84
27-02-2022,76
28-02-2022,71
03-03-2022,80
04-03-2022,78
05-03-2022,85
06-03-2022,94
07-03-2022,70
08-03-2022,72
09-03-2022,80
11-03-2022,136
12-03-2022,132
13-03-2022,126
15-03-2022,135
16-03-2022,118
17-03-2022,119
18-03-2022,114
19-03-2022,89
20-03-2022,79
21-03-2022,77
22-03-2022,75
23-03-2022,106
24-03-2022,90
25-03-2022,78
26-03-2022,79
27-03-2022,77
29-03-2022,83
30-03-2022,96
31-03-2022,103
01-04-2022,90
02-04-2022,85
04-04-2022,88
05-04-2022,102
06-04-2022,104
07-04-2022,94
08-04-2022,98
09-04-2022,94
10-04-2022,87
11-04-2022,74
12-04-2022,93
14-04-2022,80
15-04-2022,49
16-04-2022,51
17-04-2022,43
18-04-2022,37
20-04-2022,55
21-04-2022,82
22-04-2022,72
23-04-2022,74
24-04-2022,67
25-04-2022,88
26-04-2022,59
27-04-2022,63
28-04-2022,84
29-04-2022,59
01-05-2022,54
02-05-2022,48
03-05-2022,50
04-05-2022,62
05-05-2022,56
06-05-2022,53
07-05-2022,59
08-05-2022,116
09-05-2022,94
10-05-2022,91
11-05-2022,64
12-05-2022,36
13-05-2022,60
14-05-2022,90
15-05-2022,106
17-05-2022,42
18-05-2022,44
19-05-2022,37
20-05-2022,34
21-05-2022,55
22-05-2022,49
23-05-2022,38
24-05-2022,42
25-05-2022,61
26-05-2022,78
27-05-2022,80
28-05-2022,70
29-05-2022,68
30-05-2022,57
31-05-2022,67
01-06-2022,55
03-06-2022,51
04-06-2022,50
05-06-2022,51
06-06-2022,34
07-06-2022,36
08-06-2022,22
09-06-2022,21
10-06-2022,27
11-06-2022,19
14-06-2022,19
28-06-2022,32
29-06-2022,21
30-06-2022,15
01-07-2022,19
02-07-2022,24
03-07-2022,21
04-07-2022,16
05-07-2022,8
06-07-2022,13
07-07-2022,17
08-07-2022,15
09-07-2022,22
10-07-2022,25
11-07-2022,15
12-07-2022,11
13-07-2022,15
14-07-2022,11
15-07-2022,14
16-07-2022,11
17-07-2022,8
18-07-2022,17
21-07-2022,24
22-07-2022,29
23-07-2022,32
24-07-2022,28
25-07-2022,17
26-07-2022,27
28-07-2022,17
29-07-2022,25
30-07-2022,26
31-07-2022,20
01-08-2022,21
03-08-2022,26
04-08-2022,22
05-08-2022,16
06-08-2022,13
09-08-2022,10
10-08-2022,18
12-08-2022,15
13-08-2022,12
17-08-2022,22
18-08-2022,17
19-08-2022,19
20-08-2022,20
21-08-2022,14
22-08-2022,12
23-08-2022,19
24-08-2022,17
25-08-2022,18
26-08-2022,26
28-08-2022,25
29-08-2022,25
30-08-2022,21
31-08-2022,36
01-09-2022,17
03-09-2022,19
04-09-2022,9
05-09-2022,13
06-09-2022,20
07-09-2022,15
08-09-2022,11
09-09-2022,13
10-09-2022,14
11-09-2022,17
12-09-2022,24
13-09-2022,24
14-09-2022,21
15-09-2022,22
16-09-2022,24
17-09-2022,26
18-09-2022,26
19-09-2022,27
20-09-2022,38
21-09-2022,27
22-09-2022,36
23-09-2022,33
30-09-2022,20
01-10-2022,15
04-10-2022,25
05-10-2022,38
06-10-2022,40
07-10-2022,21
08-10-2022,23
09-10-2022,31
10-10-2022,22
12-10-2022,19
13-10-2022,19
15-10-2022,25
16-10-2022,33
18-10-2022,26
19-10-2022,22
20-10-2022,18
21-10-2022,33
22-10-2022,46
23-10-2022,78
24-10-2022,83
25-10-2022,91
26-10-2022,88
27-10-2022,101
28-10-2022,63
29-10-2022,67
30-10-2022,77
31-10-2022,92
01-11-2022,111
02-11-2022,48
03-11-2022,44
04-11-2022,51
05-11-2022,38
06-11-2022,46
07-11-2022,71
08-11-2022,96
09-11-2022,96
10-11-2022,106
11-11-2022,94
12-11-2022,106
13-11-2022,55
15-11-2022,49
16-11-2022,100
17-11-2022,119
18-11-2022,106
19-11-2022,99
20-11-2022,106
21-11-2022,146
24-11-2022,44
26-11-2022,58
27-11-2022,76
28-11-2022,69
29-11-2022,69
30-11-2022,118
02-12-2022,84
03-12-2022,66
04-12-2022,43
06-12-2022,105
07-12-2022,134
08-12-2022,126
09-12-2022,150
13-12-2022,32
14-12-2022,31
15-12-2022,54
16-12-2022,59
18-12-2022,97
19-12-2022,96
20-12-2022,98
21-12-2022,78
22-12-2022,72
23-12-2022,88
24-12-2022,94
27-12-2022,34
28-12-2022,83
30-12-2022,57
31-12-2022,59
01-01-2023,73
02-01-2023,81
03-01-2023,111
04-01-2023,61
06-01-2023,70
07-01-2023,89
08-01-2023,114
11-01-2023,73
13-01-2023,93
14-01-2023,91
15-01-2023,91
16-01-2023,85
17-01-2023,85
