Date,AQI
23-04-2022,103
24-04-2022,119
25-04-2022,99
26-04-2022,184
27-04-2022,138
28-04-2022,121
01-05-2022,124
02-05-2022,113
03-05-2022,115
06-05-2022,105
08-05-2022,76
09-05-2022,113
11-05-2022,64
12-05-2022,102
13-05-2022,80
14-05-2022,104
15-05-2022,119
22-05-2022,150
24-05-2022,34
25-05-2022,47
26-05-2022,70
27-05-2022,88
28-05-2022,123
29-05-2022,105
30-05-2022,126
31-05-2022,146
01-06-2022,127
02-06-2022,119
03-06-2022,113
05-06-2022,143
06-06-2022,127
07-06-2022,193
08-06-2022,173
09-06-2022,251
10-06-2022,175
11-06-2022,204
13-06-2022,194
16-06-2022,78
17-06-2022,56
18-06-2022,60
19-06-2022,42
20-06-2022,44
21-06-2022,49
22-06-2022,41
23-06-2022,104
24-06-2022,124
25-06-2022,110
26-06-2022,99
27-06-2022,61
28-06-2022,57
29-06-2022,62
30-06-2022,35
01-07-2022,37
02-07-2022,35
03-07-2022,21
04-07-2022,34
05-07-2022,42
06-07-2022,41
09-07-2022,38
10-07-2022,29
11-07-2022,31
12-07-2022,33
13-07-2022,35
14-07-2022,33
17-07-2022,25
18-07-2022,38
19-07-2022,37
20-07-2022,29
22-07-2022,28
23-07-2022,35
24-07-2022,40
25-07-2022,30
26-07-2022,31
27-07-2022,36
28-07-2022,33
29-07-2022,35
05-08-2022,36
06-08-2022,33
07-08-2022,23
08-08-2022,33
09-08-2022,36
10-08-2022,25
12-08-2022,23
13-08-2022,28
14-08-2022,32
15-08-2022,18
16-08-2022,20
17-08-2022,31
18-08-2022,32
19-08-2022,63
20-08-2022,29
21-08-2022,43
22-08-2022,40
23-08-2022,37
24-08-2022,29
25-08-2022,35
27-08-2022,75
28-08-2022,70
29-08-2022,34
30-08-2022,66
31-08-2022,91
01-09-2022,60
02-09-2022,57
10-09-2022,66
11-09-2022,66
12-09-2022,39
13-09-2022,41
14-09-2022,86
15-09-2022,88
16-09-2022,83
17-09-2022,87
20-09-2022,125
21-09-2022,136
23-09-2022,23
24-09-2022,44
01-10-2022,62
04-10-2022,93
05-10-2022,93
06-10-2022,181
07-10-2022,155
12-10-2022,29
13-10-2022,56
23-10-2022,81
24-10-2022,106
25-10-2022,205
26-10-2022,104
01-11-2022,73
02-11-2022,88
03-11-2022,103
18-11-2022,94
19-11-2022,77
20-11-2022,79
21-11-2022,68
22-11-2022,84
23-11-2022,104
24-11-2022,98
25-11-2022,97
06-12-2022,185
07-12-2022,131
10-12-2022,81
11-12-2022,72
13-12-2022,71
14-12-2022,86
16-12-2022,160
24-12-2022,98
25-12-2022,189
26-12-2022,228
27-12-2022,202
28-12-2022,228
29-12-2022,296
30-12-2022,215
31-12-2022,150
01-01-2023,268
02-01-2023,196
03-01-2023,174
11-01-2023,235
15-01-2023,141
25-01-2023,51
26-01-2023,56
02-02-2023,97
03-02-2023,105
09-02-2023,97
10-02-2023,90
12-02-2023,112
13-02-2023,76
14-02-2023,103
15-02-2023,125
16-02-2023,136
17-02-2023,109
20-02-2023,138
21-02-2023,114
22-02-2023,69
23-02-2023,79
24-02-2023,90
26-02-2023,101
27-02-2023,108
28-02-2023,100
01-03-2023,73
02-03-2023,61
03-03-2023,85
04-03-2023,79
05-03-2023,69
06-03-2023,72
07-03-2023,90
08-03-2023,95
09-03-2023,69
10-03-2023,87
11-03-2023,99
12-03-2023,118
13-03-2023,118
14-03-2023,96
15-03-2023,84
16-03-2023,85
17-03-2023,87
18-03-2023,34
19-03-2023,52
20-03-2023,56
21-03-2023,28
22-03-2023,44
23-03-2023,65
24-03-2023,76
25-03-2023,58
26-03-2023,52
27-03-2023,93
28-03-2023,78
29-03-2023,72
30-03-2023,84
31-03-2023,50
02-04-2023,48
03-04-2023,60
04-04-2023,64
05-04-2023,66
06-04-2023,76
07-04-2023,69
08-04-2023,78
09-04-2023,80
10-04-2023,78
11-04-2023,69
12-04-2023,90
13-04-2023,97
14-04-2023,102
15-04-2023,111
16-04-2023,116
17-04-2023,119
18-04-2023,119
19-04-2023,113
20-04-2023,118
21-04-2023,118
22-04-2023,119
23-04-2023,123
24-04-2023,124
25-04-2023,123
26-04-2023,127
27-04-2023,124
28-04-2023,79
29-04-2023,79
30-04-2023,96
01-05-2023,53
03-05-2023,68
04-05-2023,73
05-05-2023,77
06-05-2023,84
07-05-2023,98
08-05-2023,94
09-05-2023,89
10-05-2023,86
11-05-2023,85
12-05-2023,85
13-05-2023,96
14-05-2023,113
15-05-2023,101
16-05-2023,99
17-05-2023,169
18-05-2023,98
19-05-2023,72
20-05-2023,84
21-05-2023,89
22-05-2023,97
23-05-2023,117
24-05-2023,68
25-05-2023,27
26-05-2023,41
27-05-2023,112
28-05-2023,90
29-05-2023,88
30-05-2023,86
31-05-2023,66
01-06-2023,72
02-06-2023,101
03-06-2023,96
04-06-2023,91
05-06-2023,84
06-06-2023,52
07-06-2023,57
08-06-2023,59
09-06-2023,55
10-06-2023,68
11-06-2023,91
12-06-2023,71
13-06-2023,85
