Date,AQI
25-11-2017,108
26-11-2017,114
27-11-2017,94
28-11-2017,85
29-11-2017,97
30-11-2017,100
01-12-2017,103
02-12-2017,104
03-12-2017,111
04-12-2017,175
05-12-2017,156
06-12-2017,209
07-12-2017,300
08-12-2017,242
09-12-2017,147
10-12-2017,108
11-12-2017,109
12-12-2017,152
14-12-2017,196
15-12-2017,277
16-12-2017,254
17-12-2017,122
18-12-2017,93
19-12-2017,90
20-12-2017,102
21-12-2017,192
22-12-2017,225
23-12-2017,245
24-12-2017,201
25-12-2017,120
26-12-2017,108
27-12-2017,119
28-12-2017,159
29-12-2017,193
30-12-2017,176
31-12-2017,181
01-01-2018,222
02-01-2018,166
03-01-2018,107
04-01-2018,181
05-01-2018,180
06-01-2018,169
09-01-2018,119
10-01-2018,111
11-01-2018,129
12-01-2018,122
13-01-2018,105
14-01-2018,118
15-01-2018,114
16-01-2018,129
17-01-2018,95
18-01-2018,96
19-01-2018,105
20-01-2018,131
21-01-2018,110
22-01-2018,163
23-01-2018,119
24-01-2018,121
25-01-2018,134
26-01-2018,119
27-01-2018,154
28-01-2018,183
29-01-2018,208
30-01-2018,172
31-01-2018,149
01-02-2018,98
02-02-2018,158
03-02-2018,143
04-02-2018,137
05-02-2018,179
06-02-2018,166
07-02-2018,135
08-02-2018,163
09-02-2018,119
10-02-2018,164
11-02-2018,106
12-02-2018,128
13-02-2018,108
14-02-2018,97
15-02-2018,103
16-02-2018,113
17-02-2018,132
18-02-2018,155
19-02-2018,120
22-02-2018,181
23-02-2018,202
24-02-2018,155
25-02-2018,133
26-02-2018,113
27-02-2018,101
28-02-2018,106
01-03-2018,121
02-03-2018,179
03-03-2018,109
04-03-2018,104
05-03-2018,110
06-03-2018,102
07-03-2018,84
08-03-2018,173
09-03-2018,181
10-03-2018,183
11-03-2018,118
12-03-2018,102
13-03-2018,191
14-03-2018,125
15-03-2018,120
16-03-2018,164
17-03-2018,145
18-03-2018,152
19-03-2018,124
20-03-2018,168
21-03-2018,118
22-03-2018,141
23-03-2018,118
24-03-2018,115
25-03-2018,113
26-03-2018,124
27-03-2018,182
28-03-2018,159
29-03-2018,127
31-03-2018,146
01-04-2018,141
02-04-2018,133
03-04-2018,125
04-04-2018,121
05-04-2018,137
06-04-2018,161
07-04-2018,198
08-04-2018,152
09-04-2018,201
10-04-2018,143
11-04-2018,161
12-04-2018,128
13-04-2018,126
14-04-2018,147
15-04-2018,136
16-04-2018,128
17-04-2018,114
18-04-2018,121
19-04-2018,143
20-04-2018,140
21-04-2018,132
22-04-2018,158
23-04-2018,169
24-04-2018,115
25-04-2018,150
26-04-2018,108
27-04-2018,144
28-04-2018,131
29-04-2018,137
30-04-2018,136
01-05-2018,142
02-05-2018,138
03-05-2018,109
04-05-2018,121
05-05-2018,132
06-05-2018,147
07-05-2018,131
08-05-2018,125
09-05-2018,132
10-05-2018,134
11-05-2018,134
12-05-2018,126
13-05-2018,125
14-05-2018,143
15-05-2018,151
16-05-2018,183
17-05-2018,188
18-05-2018,209
19-05-2018,213
20-05-2018,202
21-05-2018,192
22-05-2018,157
23-05-2018,164
24-05-2018,184
25-05-2018,159
26-05-2018,131
27-05-2018,142
28-05-2018,184
29-05-2018,181
30-05-2018,136
31-05-2018,176
01-06-2018,166
02-06-2018,149
03-06-2018,129
04-06-2018,144
05-06-2018,125
06-06-2018,117
07-06-2018,124
08-06-2018,128
09-06-2018,129
10-06-2018,78
11-06-2018,127
12-06-2018,131
13-06-2018,157
14-06-2018,187
15-06-2018,176
16-06-2018,112
17-06-2018,83
18-06-2018,93
19-06-2018,97
20-06-2018,64
21-06-2018,108
22-06-2018,76
23-06-2018,86
24-06-2018,116
25-06-2018,86
26-06-2018,42
27-06-2018,92
28-06-2018,88
29-06-2018,83
30-06-2018,75
01-07-2018,86
02-07-2018,76
03-07-2018,54
04-07-2018,41
05-07-2018,46
06-07-2018,102
07-07-2018,86
08-07-2018,60
09-07-2018,105
10-07-2018,51
11-07-2018,63
12-07-2018,36
13-07-2018,38
14-07-2018,43
15-07-2018,68
16-07-2018,51
17-07-2018,43
18-07-2018,46
19-07-2018,44
20-07-2018,38
21-07-2018,37
22-07-2018,46
23-07-2018,57
24-07-2018,45
25-07-2018,64
26-07-2018,79
27-07-2018,81
28-07-2018,93
29-07-2018,94
30-07-2018,86
31-07-2018,106
01-08-2018,159
02-08-2018,176
03-08-2018,123
04-08-2018,102
05-08-2018,122
06-08-2018,130
07-08-2018,95
08-08-2018,70
09-08-2018,57
10-08-2018,50
11-08-2018,47
12-08-2018,55
13-08-2018,51
15-08-2018,122
16-08-2018,39
17-08-2018,37
18-08-2018,31
19-08-2018,42
20-08-2018,35
21-08-2018,37
22-08-2018,25
23-08-2018,29
24-08-2018,47
25-08-2018,59
26-08-2018,37
27-08-2018,67
28-08-2018,109
29-08-2018,68
30-08-2018,44
31-08-2018,67
01-09-2018,51
02-09-2018,50
03-09-2018,40
04-09-2018,54
05-09-2018,98
06-09-2018,100
07-09-2018,70
08-09-2018,52
09-09-2018,82
10-09-2018,76
11-09-2018,93
12-09-2018,80
13-09-2018,81
14-09-2018,79
15-09-2018,89
16-09-2018,65
17-09-2018,84
18-09-2018,109
19-09-2018,113
20-09-2018,121
21-09-2018,105
22-09-2018,33
23-09-2018,64
24-09-2018,86
25-09-2018,99
26-09-2018,112
27-09-2018,115
28-09-2018,118
29-09-2018,130
30-09-2018,118
01-10-2018,131
03-10-2018,162
04-10-2018,126
05-10-2018,85
06-10-2018,111
07-10-2018,151
08-10-2018,145
09-10-2018,134
10-10-2018,153
11-10-2018,127
12-10-2018,155
13-10-2018,135
14-10-2018,128
15-10-2018,154
16-10-2018,197
17-10-2018,227
18-10-2018,175
19-10-2018,145
20-10-2018,154
21-10-2018,136
22-10-2018,128
23-10-2018,146
24-10-2018,138
25-10-2018,146
26-10-2018,120
27-10-2018,115
28-10-2018,102
29-10-2018,111
30-10-2018,116
31-10-2018,112
01-11-2018,108
02-11-2018,109
03-11-2018,153
04-11-2018,160
05-11-2018,139
06-11-2018,150
07-11-2018,191
08-11-2018,323
09-11-2018,204
10-11-2018,156
11-11-2018,154
12-11-2018,138
13-11-2018,132
14-11-2018,163
15-11-2018,118
16-11-2018,141
17-11-2018,200
18-11-2018,240
19-11-2018,136
20-11-2018,166
21-11-2018,128
22-11-2018,199
23-11-2018,180
24-11-2018,177
25-11-2018,203
26-11-2018,161
27-11-2018,165
28-11-2018,227
29-11-2018,189
30-11-2018,210
01-12-2018,224
02-12-2018,208
03-12-2018,187
04-12-2018,214
05-12-2018,219
06-12-2018,183
07-12-2018,177
08-12-2018,156
11-12-2018,157
12-12-2018,148
13-12-2018,170
14-12-2018,196
15-12-2018,187
16-12-2018,144
17-12-2018,163
18-12-2018,190
19-12-2018,152
20-12-2018,167
21-12-2018,126
22-12-2018,172
23-12-2018,209
24-12-2018,161
25-12-2018,207
26-12-2018,163
27-12-2018,135
28-12-2018,122
29-12-2018,105
30-12-2018,156
31-12-2018,173
01-01-2019,182
02-01-2019,171
04-01-2019,112
05-01-2019,126
06-01-2019,173
07-01-2019,253
08-01-2019,284
09-01-2019,197
10-01-2019,143
11-01-2019,130
12-01-2019,126
13-01-2019,149
14-01-2019,184
15-01-2019,155
16-01-2019,115
17-01-2019,106
18-01-2019,111
19-01-2019,91
20-01-2019,108
21-01-2019,124
22-01-2019,193
23-01-2019,135
24-01-2019,149
25-01-2019,204
26-01-2019,142
27-01-2019,96
28-01-2019,87
29-01-2019,102
30-01-2019,99
31-01-2019,110
01-02-2019,139
02-02-2019,125
03-02-2019,200
06-02-2019,154
07-02-2019,139
08-02-2019,207
09-02-2019,161
10-02-2019,98
11-02-2019,108
12-02-2019,125
13-02-2019,131
14-02-2019,117
15-02-2019,107
16-02-2019,114
17-02-2019,94
18-02-2019,131
19-02-2019,137
20-02-2019,81
21-02-2019,124
22-02-2019,103
23-02-2019,104
24-02-2019,109
25-02-2019,111
26-02-2019,162
27-02-2019,132
28-02-2019,90
01-03-2019,86
02-03-2019,91
03-03-2019,143
04-03-2019,152
05-03-2019,123
06-03-2019,103
07-03-2019,92
08-03-2019,92
09-03-2019,132
10-03-2019,129
11-03-2019,152
12-03-2019,129
13-03-2019,132
14-03-2019,142
15-03-2019,122
16-03-2019,119
17-03-2019,117
18-03-2019,111
19-03-2019,109
20-03-2019,136
21-03-2019,116
22-03-2019,79
23-03-2019,107
24-03-2019,112
25-03-2019,140
26-03-2019,121
27-03-2019,120
28-03-2019,111
29-03-2019,140
30-03-2019,141
31-03-2019,157
01-04-2019,129
02-04-2019,125
03-04-2019,143
04-04-2019,156
05-04-2019,149
06-04-2019,138
07-04-2019,171
08-04-2019,148
09-04-2019,133
10-04-2019,131
11-04-2019,136
12-04-2019,143
13-04-2019,143
14-04-2019,128
15-04-2019,150
16-04-2019,110
17-04-2019,81
18-04-2019,114
19-04-2019,110
20-04-2019,83
21-04-2019,77
22-04-2019,90
23-04-2019,113
24-04-2019,131
25-04-2019,184
26-04-2019,162
27-04-2019,174
28-04-2019,186
29-04-2019,111
30-04-2019,129
01-05-2019,182
02-05-2019,204
03-05-2019,185
04-05-2019,148
05-05-2019,187
06-05-2019,185
07-05-2019,152
08-05-2019,113
09-05-2019,105
10-05-2019,90
11-05-2019,107
12-05-2019,120
13-05-2019,117
14-05-2019,148
15-05-2019,123
16-05-2019,115
17-05-2019,123
18-05-2019,142
19-05-2019,111
20-05-2019,162
21-05-2019,100
22-05-2019,114
23-05-2019,119
24-05-2019,134
25-05-2019,138
26-05-2019,128
27-05-2019,121
28-05-2019,123
29-05-2019,152
30-05-2019,135
31-05-2019,126
01-06-2019,120
02-06-2019,125
03-06-2019,128
04-06-2019,128
05-06-2019,146
06-06-2019,121
07-06-2019,128
08-06-2019,132
09-06-2019,164
10-06-2019,121
11-06-2019,95
12-06-2019,148
13-06-2019,73
14-06-2019,99
15-06-2019,73
16-06-2019,87
17-06-2019,83
21-06-2019,97
22-06-2019,160
23-06-2019,150
24-06-2019,201
25-06-2019,172
26-06-2019,102
27-06-2019,72
30-06-2019,54
01-07-2019,84
02-07-2019,80
03-07-2019,68
04-07-2019,65
05-07-2019,47
06-07-2019,33
07-07-2019,55
08-07-2019,81
09-07-2019,84
10-07-2019,78
11-07-2019,93
12-07-2019,82
13-07-2019,80
14-07-2019,76
15-07-2019,90
16-07-2019,85
17-07-2019,85
18-07-2019,87
19-07-2019,84
20-07-2019,76
21-07-2019,89
22-07-2019,69
24-07-2019,82
25-07-2019,63
26-07-2019,51
27-07-2019,50
28-07-2019,52
29-07-2019,37
30-07-2019,37
31-07-2019,29
01-08-2019,25
02-08-2019,33
03-08-2019,41
04-08-2019,61
05-08-2019,33
06-08-2019,62
07-08-2019,54
08-08-2019,36
09-08-2019,30
10-08-2019,40
11-08-2019,51
12-08-2019,79
13-08-2019,94
14-08-2019,53
15-08-2019,35
16-08-2019,32
17-08-2019,41
18-08-2019,60
19-08-2019,65
20-08-2019,71
21-08-2019,61
23-08-2019,74
24-08-2019,83
25-08-2019,51
26-08-2019,43
27-08-2019,28
29-08-2019,62
30-08-2019,54
31-08-2019,44
01-09-2019,44
02-09-2019,37
03-09-2019,50
04-09-2019,66
05-09-2019,38
06-09-2019,48
07-09-2019,50
08-09-2019,39
09-09-2019,31
10-09-2019,55
11-09-2019,50
12-09-2019,44
13-09-2019,46
14-09-2019,45
15-09-2019,44
16-09-2019,48
17-09-2019,65
18-09-2019,92
19-09-2019,43
20-09-2019,37
21-09-2019,50
22-09-2019,54
23-09-2019,47
24-09-2019,46
25-09-2019,68
26-09-2019,47
27-09-2019,51
28-09-2019,27
29-09-2019,33
30-09-2019,46
01-10-2019,51
02-10-2019,55
03-10-2019,73
04-10-2019,102
05-10-2019,81
06-10-2019,81
07-10-2019,102
08-10-2019,102
09-10-2019,143
10-10-2019,144
11-10-2019,95
12-10-2019,121
13-10-2019,169
14-10-2019,151
15-10-2019,167
16-10-2019,163
17-10-2019,156
18-10-2019,154
19-10-2019,164
20-10-2019,171
21-10-2019,216
22-10-2019,134
23-10-2019,92
24-10-2019,152
25-10-2019,166
26-10-2019,111
27-10-2019,58
28-10-2019,63
29-10-2019,67
30-10-2019,66
31-10-2019,111
01-11-2019,105
02-11-2019,78
03-11-2019,68
04-11-2019,79
05-11-2019,111
06-11-2019,115
07-11-2019,116
08-11-2019,95
09-11-2019,181
12-11-2019,113
13-11-2019,124
14-11-2019,162
15-11-2019,160
16-11-2019,182
17-11-2019,195
18-11-2019,123
19-11-2019,152
20-11-2019,154
21-11-2019,153
22-11-2019,202
23-11-2019,135
24-11-2019,187
25-11-2019,177
26-11-2019,156
27-11-2019,127
28-11-2019,150
29-11-2019,177
30-11-2019,179
01-12-2019,143
02-12-2019,194
03-12-2019,238
04-12-2019,111
05-12-2019,100
06-12-2019,119
07-12-2019,171
08-12-2019,232
09-12-2019,233
10-12-2019,192
11-12-2019,168
12-12-2019,186
13-12-2019,131
14-12-2019,73
15-12-2019,79
16-12-2019,120
17-12-2019,114
18-12-2019,138
19-12-2019,106
20-12-2019,99
21-12-2019,116
22-12-2019,104
23-12-2019,135
24-12-2019,93
25-12-2019,162
26-12-2019,165
27-12-2019,72
28-12-2019,78
29-12-2019,82
30-12-2019,83
31-12-2019,142
01-01-2020,250
02-01-2020,156
03-01-2020,90
04-01-2020,198
05-01-2020,96
06-01-2020,68
07-01-2020,81
08-01-2020,143
09-01-2020,141
10-01-2020,103
11-01-2020,100
12-01-2020,84
13-01-2020,86
15-01-2020,110
16-01-2020,168
17-01-2020,111
18-01-2020,130
19-01-2020,110
20-01-2020,85
21-01-2020,96
22-01-2020,118
23-01-2020,108
24-01-2020,82
25-01-2020,83
26-01-2020,84
27-01-2020,91
28-01-2020,120
29-01-2020,120
30-01-2020,93
06-02-2020,103
07-02-2020,99
08-02-2020,98
09-02-2020,85
10-02-2020,84
11-02-2020,106
12-02-2020,93
13-02-2020,86
14-02-2020,112
15-02-2020,155
16-02-2020,99
17-02-2020,64
18-02-2020,55
19-02-2020,101
20-02-2020,120
21-02-2020,144
22-02-2020,118
23-02-2020,128
24-02-2020,113
25-02-2020,91
26-02-2020,119
27-02-2020,150
28-02-2020,98
29-02-2020,114
01-03-2020,162
02-03-2020,152
03-03-2020,133
04-03-2020,136
05-03-2020,134
06-03-2020,161
07-03-2020,178
08-03-2020,92
09-03-2020,89
10-03-2020,112
11-03-2020,188
12-03-2020,127
13-03-2020,118
14-03-2020,198
15-03-2020,184
16-03-2020,189
17-03-2020,188
18-03-2020,222
19-03-2020,173
20-03-2020,152
21-03-2020,116
22-03-2020,146
23-03-2020,150
24-03-2020,118
25-03-2020,144
26-03-2020,102
27-03-2020,37
28-03-2020,100
29-03-2020,102
30-03-2020,73
31-03-2020,115
01-04-2020,82
02-04-2020,86
03-04-2020,78
04-04-2020,84
05-04-2020,109
06-04-2020,91
07-04-2020,103
08-04-2020,106
09-04-2020,159
10-04-2020,124
11-04-2020,144
12-04-2020,181
13-04-2020,162
14-04-2020,182
15-04-2020,170
16-04-2020,179
17-04-2020,162
18-04-2020,141
19-04-2020,126
20-04-2020,122
21-04-2020,110
22-04-2020,135
23-04-2020,87
24-04-2020,83
25-04-2020,91
26-04-2020,116
27-04-2020,78
28-04-2020,86
29-04-2020,83
30-04-2020,97
01-05-2020,102
02-05-2020,92
03-05-2020,87
04-05-2020,154
05-05-2020,121
06-05-2020,100
07-05-2020,86
08-05-2020,117
09-05-2020,110
10-05-2020,151
11-05-2020,119
12-05-2020,130
13-05-2020,115
14-05-2020,133
15-05-2020,181
16-05-2020,174
17-05-2020,166
18-05-2020,121
19-05-2020,151
20-05-2020,119
21-05-2020,96
22-05-2020,110
23-05-2020,117
24-05-2020,107
25-05-2020,110
26-05-2020,89
27-05-2020,105
28-05-2020,100
29-05-2020,89
30-05-2020,103
31-05-2020,104
01-06-2020,104
02-06-2020,84
03-06-2020,66
04-06-2020,56
05-06-2020,69
06-06-2020,82
07-06-2020,109
08-06-2020,66
09-06-2020,66
10-06-2020,61
11-06-2020,80
12-06-2020,88
13-06-2020,92
14-06-2020,94
15-06-2020,64
16-06-2020,61
17-06-2020,54
18-06-2020,55
19-06-2020,52
20-06-2020,59
21-06-2020,74
22-06-2020,65
23-06-2020,58
24-06-2020,43
25-06-2020,57
26-06-2020,53
27-06-2020,46
28-06-2020,44
29-06-2020,67
30-06-2020,82
01-07-2020,61
02-07-2020,66
03-07-2020,40
04-07-2020,44
05-07-2020,53
06-07-2020,50
07-07-2020,32
08-07-2020,55
09-07-2020,67
10-07-2020,56
11-07-2020,57
12-07-2020,43
13-07-2020,41
14-07-2020,60
15-07-2020,61
16-07-2020,50
17-07-2020,36
18-07-2020,44
19-07-2020,50
20-07-2020,43
22-07-2020,64
23-07-2020,53
24-07-2020,47
25-07-2020,59
26-07-2020,42
27-07-2020,42
28-07-2020,38
29-07-2020,51
30-07-2020,44
31-07-2020,45
01-08-2020,56
02-08-2020,68
03-08-2020,48
04-08-2020,48
05-08-2020,37
06-08-2020,35
07-08-2020,37
08-08-2020,44
09-08-2020,33
10-08-2020,35
11-08-2020,56
12-08-2020,32
13-08-2020,32
14-08-2020,27
15-08-2020,23
16-08-2020,22
17-08-2020,41
18-08-2020,32
19-08-2020,33
20-08-2020,32
21-08-2020,36
22-08-2020,21
23-08-2020,22
24-08-2020,29
25-08-2020,40
26-08-2020,52
27-08-2020,57
28-08-2020,44
29-08-2020,33
30-08-2020,26
31-08-2020,36
01-09-2020,61
02-09-2020,65
03-09-2020,54
04-09-2020,82
05-09-2020,84
06-09-2020,84
07-09-2020,77
08-09-2020,56
09-09-2020,60
10-09-2020,59
11-09-2020,52
12-09-2020,58
13-09-2020,75
14-09-2020,54
15-09-2020,62
16-09-2020,65
17-09-2020,63
18-09-2020,63
19-09-2020,78
20-09-2020,64
21-09-2020,72
22-09-2020,59
23-09-2020,35
24-09-2020,55
25-09-2020,82
26-09-2020,83
27-09-2020,73
28-09-2020,93
29-09-2020,106
02-10-2020,103
03-10-2020,109
04-10-2020,97
05-10-2020,89
06-10-2020,122
07-10-2020,126
08-10-2020,134
09-10-2020,133
10-10-2020,129
11-10-2020,130
12-10-2020,125
13-10-2020,121
14-10-2020,106
15-10-2020,86
16-10-2020,45
17-10-2020,53
18-10-2020,64
19-10-2020,56
20-10-2020,100
21-10-2020,128
22-10-2020,133
23-10-2020,91
24-10-2020,79
25-10-2020,80
26-10-2020,94
27-10-2020,77
28-10-2020,115
29-10-2020,134
30-10-2020,117
31-10-2020,110
01-11-2020,131
02-11-2020,151
03-11-2020,110
04-11-2020,141
05-11-2020,137
06-11-2020,110
07-11-2020,114
08-11-2020,165
09-11-2020,195
10-11-2020,199
11-11-2020,271
12-11-2020,243
13-11-2020,112
14-11-2020,106
15-11-2020,123
16-11-2020,94
17-11-2020,89
18-11-2020,104
19-11-2020,127
20-11-2020,137
21-11-2020,143
22-11-2020,161
23-11-2020,151
24-11-2020,115
25-11-2020,110
26-11-2020,101
27-11-2020,212
28-11-2020,101
29-11-2020,88
30-11-2020,84
01-12-2020,86
02-12-2020,95
03-12-2020,167
04-12-2020,167
05-12-2020,95
06-12-2020,152
07-12-2020,124
08-12-2020,186
09-12-2020,184
10-12-2020,178
11-12-2020,97
12-12-2020,106
13-12-2020,99
14-12-2020,82
15-12-2020,184
16-12-2020,208
17-12-2020,247
18-12-2020,168
19-12-2020,111
20-12-2020,94
21-12-2020,97
22-12-2020,107
