Date,AQI
28-02-2023,236
02-03-2023,180
03-03-2023,157
04-03-2023,139
05-03-2023,100
06-03-2023,94
07-03-2023,166
08-03-2023,192
09-03-2023,188
10-03-2023,109
11-03-2023,230
12-03-2023,266
13-03-2023,209
14-03-2023,209
15-03-2023,179
16-03-2023,163
17-03-2023,216
18-03-2023,350
19-03-2023,223
22-03-2023,138
23-03-2023,148
24-03-2023,148
25-03-2023,220
26-03-2023,238
27-03-2023,166
28-03-2023,166
29-03-2023,176
30-03-2023,214
05-04-2023,192
06-04-2023,162
07-04-2023,208
08-04-2023,193
09-04-2023,202
10-04-2023,210
11-04-2023,197
12-04-2023,219
13-04-2023,255
18-04-2023,325
19-04-2023,383
20-04-2023,298
21-04-2023,170
22-04-2023,191
23-04-2023,156
24-04-2023,120
25-04-2023,147
26-04-2023,233
27-04-2023,275
28-04-2023,228
29-04-2023,242
30-04-2023,249
01-05-2023,212
02-05-2023,147
03-05-2023,197
04-05-2023,181
09-05-2023,202
10-05-2023,182
11-05-2023,192
12-05-2023,219
15-05-2023,236
16-05-2023,222
19-05-2023,178
21-05-2023,154
24-05-2023,176
25-05-2023,198
26-05-2023,175
27-05-2023,160
28-05-2023,163
29-05-2023,158
30-05-2023,140
31-05-2023,190
03-06-2023,202
06-06-2023,215
07-06-2023,197
08-06-2023,97
09-06-2023,156
11-06-2023,153
12-06-2023,150
13-06-2023,151
14-06-2023,150
16-06-2023,160
17-06-2023,175
27-06-2023,168
28-06-2023,172
01-07-2023,186
02-07-2023,178
03-07-2023,197
04-07-2023,173
05-07-2023,174
06-07-2023,175
07-07-2023,187
08-07-2023,183
11-07-2023,185
12-07-2023,186
13-07-2023,188
14-07-2023,195
15-07-2023,184
16-07-2023,193
18-07-2023,183
19-07-2023,185
20-07-2023,185
21-07-2023,186
22-07-2023,192
23-07-2023,188
24-07-2023,188
08-08-2023,190
09-08-2023,194
10-08-2023,195
11-08-2023,191
12-08-2023,196
13-08-2023,168
14-08-2023,106
17-08-2023,188
18-08-2023,187
19-08-2023,187
20-08-2023,188
21-08-2023,190
22-08-2023,184
23-08-2023,168
24-08-2023,81
25-08-2023,192
26-08-2023,83
27-08-2023,194
28-08-2023,195
29-08-2023,197
03-09-2023,93
09-09-2023,197
10-09-2023,141
11-09-2023,79
12-09-2023,79
13-09-2023,79
16-09-2023,184
17-09-2023,183
18-09-2023,197
19-09-2023,167
20-09-2023,145
21-09-2023,79
22-09-2023,81
27-09-2023,84
28-09-2023,104
29-09-2023,87
30-09-2023,81
01-10-2023,80
02-10-2023,77
03-10-2023,80
04-10-2023,78
07-10-2023,139
08-10-2023,190
09-10-2023,115
10-10-2023,209
11-10-2023,177
12-10-2023,195
13-10-2023,214
14-10-2023,257
15-10-2023,221
16-10-2023,219
17-10-2023,203
18-10-2023,224
19-10-2023,220
21-10-2023,255
28-10-2023,208
29-10-2023,303
30-10-2023,245
31-10-2023,184
01-11-2023,282
02-11-2023,253
05-11-2023,303
06-11-2023,255
08-11-2023,197
09-11-2023,296
10-11-2023,289
11-11-2023,294
12-11-2023,292
13-11-2023,236
14-11-2023,246
15-11-2023,250
17-11-2023,193
18-11-2023,279
19-11-2023,248
21-11-2023,269
22-11-2023,274
23-11-2023,218
24-11-2023,213
25-11-2023,212
26-11-2023,141
27-11-2023,151
28-11-2023,233
29-11-2023,222
01-12-2023,82
02-12-2023,81
03-12-2023,78
04-12-2023,77
05-12-2023,76
09-12-2023,264
10-12-2023,241
11-12-2023,183
12-12-2023,198
13-12-2023,170
14-12-2023,164
15-12-2023,162
16-12-2023,150
17-12-2023,151
18-12-2023,159
19-12-2023,155
21-12-2023,148
22-12-2023,194
23-12-2023,207
24-12-2023,236
25-12-2023,114
26-12-2023,234
27-12-2023,220
28-12-2023,234
29-12-2023,114
30-12-2023,216
31-12-2023,174
