Date,AQI
22-01-2019,152
23-01-2019,158
24-01-2019,260
25-01-2019,113
26-01-2019,190
27-01-2019,201
28-01-2019,148
29-01-2019,128
30-01-2019,243
31-01-2019,238
01-02-2019,252
02-02-2019,256
03-02-2019,237
04-02-2019,257
05-02-2019,318
06-02-2019,248
07-02-2019,144
08-02-2019,137
09-02-2019,97
10-02-2019,206
11-02-2019,261
12-02-2019,286
13-02-2019,300
14-02-2019,262
15-02-2019,189
16-02-2019,167
17-02-2019,102
18-02-2019,196
19-02-2019,99
20-02-2019,225
21-02-2019,121
22-02-2019,143
23-02-2019,96
24-02-2019,101
25-02-2019,202
26-02-2019,110
27-02-2019,101
28-02-2019,125
01-03-2019,131
02-03-2019,178
04-03-2019,101
05-03-2019,92
06-03-2019,107
07-03-2019,205
08-03-2019,142
09-03-2019,122
10-03-2019,95
11-03-2019,107
13-03-2019,186
14-03-2019,262
15-03-2019,95
17-03-2019,159
18-03-2019,174
19-03-2019,182
20-03-2019,102
21-03-2019,167
22-03-2019,103
23-03-2019,104
24-03-2019,106
25-03-2019,104
26-03-2019,123
27-03-2019,158
28-03-2019,180
29-03-2019,205
30-03-2019,219
02-04-2019,135
03-04-2019,127
04-04-2019,176
05-04-2019,212
06-04-2019,149
09-04-2019,151
10-04-2019,204
12-04-2019,179
13-04-2019,140
14-04-2019,138
15-04-2019,173
16-04-2019,171
17-04-2019,69
19-04-2019,126
20-04-2019,132
21-04-2019,160
22-04-2019,162
23-04-2019,168
24-04-2019,173
26-04-2019,169
27-04-2019,163
29-04-2019,236
30-04-2019,286
01-05-2019,187
02-05-2019,179
03-05-2019,138
04-05-2019,123
05-05-2019,155
06-05-2019,175
08-05-2019,285
09-05-2019,322
10-05-2019,236
11-05-2019,155
12-05-2019,322
13-05-2019,188
14-05-2019,108
15-05-2019,167
16-05-2019,140
17-05-2019,174
19-05-2019,113
20-05-2019,156
23-05-2019,116
24-05-2019,105
25-05-2019,99
26-05-2019,99
27-05-2019,153
29-05-2019,149
30-05-2019,165
31-05-2019,165
01-06-2019,170
02-06-2019,152
03-06-2019,194
04-06-2019,160
05-06-2019,152
06-06-2019,147
07-06-2019,152
08-06-2019,144
09-06-2019,194
10-06-2019,179
11-06-2019,308
12-06-2019,275
15-06-2019,188
16-06-2019,150
17-06-2019,95
18-06-2019,108
19-06-2019,116
21-06-2019,160
22-06-2019,135
24-06-2019,93
25-06-2019,109
26-06-2019,117
27-06-2019,183
28-06-2019,205
29-06-2019,256
30-06-2019,244
01-07-2019,80
02-07-2019,260
03-07-2019,141
04-07-2019,82
05-07-2019,73
06-07-2019,77
07-07-2019,86
08-07-2019,120
09-07-2019,112
10-07-2019,164
11-07-2019,285
12-07-2019,265
13-07-2019,190
14-07-2019,171
15-07-2019,205
16-07-2019,127
17-07-2019,96
18-07-2019,70
19-07-2019,76
20-07-2019,106
22-07-2019,98
23-07-2019,100
24-07-2019,94
25-07-2019,58
26-07-2019,62
29-07-2019,63
30-07-2019,83
31-07-2019,85
01-08-2019,78
02-08-2019,92
03-08-2019,94
04-08-2019,100
05-08-2019,105
06-08-2019,98
07-08-2019,95
08-08-2019,84
09-08-2019,80
10-08-2019,87
11-08-2019,94
12-08-2019,91
13-08-2019,89
14-08-2019,74
15-08-2019,95
16-08-2019,81
17-08-2019,102
18-08-2019,92
19-08-2019,95
20-08-2019,88
21-08-2019,113
22-08-2019,111
23-08-2019,107
24-08-2019,117
25-08-2019,111
26-08-2019,97
27-08-2019,78
28-08-2019,92
29-08-2019,87
30-08-2019,88
31-08-2019,86
01-09-2019,99
02-09-2019,90
03-09-2019,107
04-09-2019,138
05-09-2019,103
06-09-2019,106
07-09-2019,148
08-09-2019,211
09-09-2019,149
10-09-2019,167
11-09-2019,158
12-09-2019,150
13-09-2019,154
