Date,AQI
22-11-2022,116
23-11-2022,146
24-11-2022,100
25-11-2022,88
26-11-2022,124
29-11-2022,164
30-11-2022,218
01-12-2022,148
02-12-2022,180
22-03-2023,60
23-03-2023,60
27-03-2023,72
28-03-2023,86
29-03-2023,95
30-03-2023,96
31-03-2023,82
01-04-2023,80
02-04-2023,84
04-04-2023,81
05-04-2023,75
06-04-2023,89
07-04-2023,90
08-04-2023,78
11-04-2023,134
12-04-2023,82
13-04-2023,104
14-04-2023,140
15-04-2023,82
16-04-2023,152
17-04-2023,120
18-04-2023,102
19-04-2023,108
20-04-2023,133
21-04-2023,98
22-04-2023,80
23-04-2023,48
24-04-2023,63
25-04-2023,72
26-04-2023,64
27-04-2023,84
28-04-2023,74
29-04-2023,64
30-04-2023,54
03-05-2023,61
04-05-2023,57
05-05-2023,53
06-05-2023,55
07-05-2023,53
08-05-2023,58
09-05-2023,88
10-05-2023,62
12-05-2023,90
13-05-2023,77
14-05-2023,114
17-05-2023,74
18-05-2023,57
19-05-2023,57
20-05-2023,73
21-05-2023,61
23-05-2023,68
25-05-2023,63
26-05-2023,65
27-05-2023,45
28-05-2023,58
29-05-2023,59
31-05-2023,72
01-06-2023,80
02-06-2023,67
03-06-2023,68
04-06-2023,51
05-06-2023,45
06-06-2023,60
07-06-2023,66
09-06-2023,49
10-06-2023,58
13-06-2023,86
14-06-2023,106
15-06-2023,88
16-06-2023,95
17-06-2023,72
21-06-2023,114
22-06-2023,102
23-06-2023,66
24-06-2023,45
25-06-2023,42
27-06-2023,71
28-06-2023,51
29-06-2023,53
30-06-2023,52
01-07-2023,38
02-07-2023,40
04-07-2023,39
05-07-2023,42
11-07-2023,54
12-07-2023,61
13-07-2023,48
14-07-2023,30
15-07-2023,37
16-07-2023,43
18-07-2023,37
19-07-2023,36
22-07-2023,23
25-07-2023,35
26-07-2023,27
28-07-2023,30
29-07-2023,68
31-07-2023,54
01-08-2023,44
02-08-2023,31
03-08-2023,35
04-08-2023,55
05-08-2023,76
08-08-2023,68
12-08-2023,102
13-08-2023,115
14-08-2023,92
15-08-2023,129
17-08-2023,99
18-08-2023,104
20-08-2023,39
21-08-2023,129
22-08-2023,39
23-08-2023,45
03-09-2023,68
04-09-2023,84
05-09-2023,97
06-09-2023,50
07-09-2023,90
08-09-2023,97
12-09-2023,34
15-09-2023,32
16-09-2023,34
17-09-2023,30
18-09-2023,34
20-09-2023,41
21-09-2023,135
22-09-2023,48
23-09-2023,50
24-09-2023,48
25-09-2023,40
26-09-2023,49
27-09-2023,52
28-09-2023,45
29-09-2023,53
30-09-2023,72
01-10-2023,45
02-10-2023,67
03-10-2023,59
04-10-2023,66
05-10-2023,66
06-10-2023,66
07-10-2023,70
08-10-2023,71
09-10-2023,79
10-10-2023,75
11-10-2023,74
12-10-2023,69
13-10-2023,68
14-10-2023,66
15-10-2023,97
16-10-2023,80
17-10-2023,84
22-10-2023,81
23-10-2023,82
24-10-2023,100
25-10-2023,97
26-10-2023,91
27-10-2023,95
28-10-2023,88
29-10-2023,72
30-10-2023,82
31-10-2023,62
01-11-2023,70
02-11-2023,73
03-11-2023,102
04-11-2023,68
05-11-2023,66
07-11-2023,56
08-11-2023,69
09-11-2023,58
10-11-2023,74
11-11-2023,81
12-11-2023,94
13-11-2023,70
14-11-2023,104
15-11-2023,105
16-11-2023,84
17-11-2023,102
18-11-2023,103
19-11-2023,67
20-11-2023,75
21-11-2023,96
22-11-2023,81
23-11-2023,63
24-11-2023,62
25-11-2023,69
26-11-2023,77
27-11-2023,104
28-11-2023,77
29-11-2023,67
30-11-2023,59
01-12-2023,59
02-12-2023,76
03-12-2023,81
05-12-2023,76
06-12-2023,77
07-12-2023,72
08-12-2023,85
09-12-2023,80
10-12-2023,53
11-12-2023,70
13-12-2023,83
14-12-2023,77
15-12-2023,67
16-12-2023,70
17-12-2023,69
19-12-2023,69
20-12-2023,89
21-12-2023,109
22-12-2023,103
23-12-2023,104
24-12-2023,93
25-12-2023,80
26-12-2023,77
27-12-2023,80
28-12-2023,78
29-12-2023,84
30-12-2023,71
31-12-2023,61
