Date,AQI
13-03-2023,130
14-03-2023,166
15-03-2023,85
16-03-2023,95
18-03-2023,66
19-03-2023,221
22-03-2023,120
25-03-2023,118
26-03-2023,134
27-03-2023,124
28-03-2023,124
29-03-2023,87
30-03-2023,76
31-03-2023,77
01-04-2023,46
04-04-2023,54
05-04-2023,106
06-04-2023,95
07-04-2023,97
08-04-2023,117
10-04-2023,95
13-04-2023,89
14-04-2023,84
15-04-2023,121
18-04-2023,71
19-04-2023,78
20-04-2023,63
21-04-2023,94
22-04-2023,100
23-04-2023,97
24-04-2023,111
25-04-2023,186
26-04-2023,156
27-04-2023,154
28-04-2023,93
29-04-2023,68
30-04-2023,78
01-05-2023,96
02-05-2023,66
03-05-2023,85
04-05-2023,97
05-05-2023,161
06-05-2023,138
07-05-2023,92
08-05-2023,97
09-05-2023,120
10-05-2023,163
11-05-2023,158
12-05-2023,148
13-05-2023,126
14-05-2023,98
15-05-2023,83
16-05-2023,82
17-05-2023,63
18-05-2023,86
19-05-2023,126
20-05-2023,124
21-05-2023,67
22-05-2023,63
23-05-2023,63
24-05-2023,100
25-05-2023,80
27-05-2023,72
28-05-2023,76
29-05-2023,108
30-05-2023,98
31-05-2023,99
01-06-2023,111
03-06-2023,119
04-06-2023,108
05-06-2023,150
06-06-2023,124
07-06-2023,141
08-06-2023,155
09-06-2023,93
10-06-2023,99
11-06-2023,130
12-06-2023,147
13-06-2023,113
14-06-2023,93
15-06-2023,96
16-06-2023,91
17-06-2023,81
18-06-2023,82
29-06-2023,56
30-06-2023,48
02-07-2023,49
03-07-2023,68
04-07-2023,64
05-07-2023,85
13-07-2023,57
15-07-2023,146
16-07-2023,34
17-07-2023,57
18-07-2023,185
19-07-2023,106
20-07-2023,79
21-07-2023,61
23-07-2023,36
24-07-2023,45
25-07-2023,95
26-07-2023,77
27-07-2023,102
28-07-2023,69
29-07-2023,36
30-07-2023,29
31-07-2023,27
01-08-2023,36
02-08-2023,42
03-08-2023,47
04-08-2023,48
06-08-2023,55
07-08-2023,58
08-08-2023,55
09-08-2023,66
10-08-2023,72
11-08-2023,76
12-08-2023,75
13-08-2023,59
14-08-2023,64
15-08-2023,75
16-08-2023,72
17-08-2023,68
18-08-2023,87
19-08-2023,63
20-08-2023,81
21-08-2023,103
22-08-2023,73
23-08-2023,34
24-08-2023,173
25-08-2023,89
26-08-2023,74
27-08-2023,88
28-08-2023,91
29-08-2023,75
30-08-2023,68
31-08-2023,68
01-09-2023,80
02-09-2023,81
03-09-2023,64
04-09-2023,75
05-09-2023,96
06-09-2023,36
07-09-2023,38
08-09-2023,33
09-09-2023,26
10-09-2023,37
11-09-2023,38
12-09-2023,58
13-09-2023,93
14-09-2023,127
15-09-2023,148
16-09-2023,89
18-09-2023,42
19-09-2023,43
20-09-2023,53
21-09-2023,40
22-09-2023,66
23-09-2023,64
24-09-2023,95
26-09-2023,74
27-09-2023,100
28-09-2023,171
29-09-2023,116
30-09-2023,217
01-10-2023,206
02-10-2023,192
03-10-2023,211
04-10-2023,157
05-10-2023,155
06-10-2023,161
07-10-2023,103
08-10-2023,72
09-10-2023,71
10-10-2023,64
11-10-2023,119
12-10-2023,186
13-10-2023,151
14-10-2023,111
16-10-2023,104
17-10-2023,70
04-11-2023,337
05-11-2023,361
06-11-2023,357
07-11-2023,386
08-11-2023,326
09-11-2023,316
10-11-2023,338
12-11-2023,310
13-11-2023,310
14-11-2023,381
15-11-2023,406
16-11-2023,380
17-11-2023,411
21-11-2023,373
22-11-2023,366
23-11-2023,417
24-11-2023,409
25-11-2023,396
26-11-2023,379
27-11-2023,343
28-11-2023,265
29-11-2023,400
30-11-2023,356
01-12-2023,116
02-12-2023,313
03-12-2023,392
04-12-2023,279
05-12-2023,239
07-12-2023,346
08-12-2023,351
09-12-2023,316
10-12-2023,267
11-12-2023,254
12-12-2023,295
13-12-2023,237
14-12-2023,136
15-12-2023,158
16-12-2023,195
17-12-2023,253
18-12-2023,246
19-12-2023,108
20-12-2023,107
21-12-2023,142
22-12-2023,283
23-12-2023,401
24-12-2023,368
25-12-2023,304
26-12-2023,320
27-12-2023,389
28-12-2023,341
29-12-2023,335
30-12-2023,336
31-12-2023,184
