Date,AQI
20-06-2023,139
21-06-2023,130
22-06-2023,119
23-06-2023,113
24-06-2023,85
25-06-2023,81
26-06-2023,83
27-06-2023,68
28-06-2023,47
29-06-2023,40
30-06-2023,31
01-07-2023,25
02-07-2023,42
03-07-2023,40
04-07-2023,34
06-07-2023,58
07-07-2023,37
08-07-2023,33
09-07-2023,50
10-07-2023,46
11-07-2023,53
12-07-2023,62
13-07-2023,50
14-07-2023,62
15-07-2023,32
16-07-2023,34
17-07-2023,38
18-07-2023,25
19-07-2023,28
20-07-2023,38
21-07-2023,36
22-07-2023,34
23-07-2023,26
24-07-2023,36
25-07-2023,37
26-07-2023,42
27-07-2023,40
28-07-2023,43
30-07-2023,51
31-07-2023,57
02-08-2023,42
03-08-2023,59
04-08-2023,75
05-08-2023,62
06-08-2023,40
07-08-2023,44
08-08-2023,72
09-08-2023,93
10-08-2023,59
11-08-2023,66
14-08-2023,73
15-08-2023,73
16-08-2023,67
17-08-2023,72
18-08-2023,113
19-08-2023,107
20-08-2023,82
21-08-2023,63
22-08-2023,60
23-08-2023,53
24-08-2023,44
25-08-2023,48
26-08-2023,41
27-08-2023,68
29-08-2023,103
30-08-2023,97
31-08-2023,103
01-09-2023,107
02-09-2023,123
03-09-2023,97
04-09-2023,94
05-09-2023,115
06-09-2023,112
07-09-2023,55
08-09-2023,53
09-09-2023,31
10-09-2023,50
11-09-2023,39
12-09-2023,51
13-09-2023,51
14-09-2023,43
15-09-2023,43
16-09-2023,34
17-09-2023,44
18-09-2023,61
19-09-2023,63
20-09-2023,34
21-09-2023,37
22-09-2023,41
23-09-2023,51
24-09-2023,52
25-09-2023,70
26-09-2023,57
27-09-2023,52
28-09-2023,82
29-09-2023,92
30-09-2023,71
01-10-2023,113
02-10-2023,89
03-10-2023,92
04-10-2023,137
05-10-2023,130
06-10-2023,125
07-10-2023,139
09-10-2023,127
10-10-2023,89
11-10-2023,83
12-10-2023,90
13-10-2023,131
14-10-2023,128
15-10-2023,135
16-10-2023,173
17-10-2023,125
18-10-2023,174
19-10-2023,139
21-10-2023,197
22-10-2023,143
23-10-2023,117
24-10-2023,131
25-10-2023,109
26-10-2023,128
28-10-2023,182
29-10-2023,122
30-10-2023,108
31-10-2023,154
02-11-2023,209
03-11-2023,206
04-11-2023,198
05-11-2023,162
07-11-2023,276
08-11-2023,204
09-11-2023,177
10-11-2023,178
11-11-2023,159
12-11-2023,175
14-11-2023,209
15-11-2023,206
16-11-2023,199
17-11-2023,162
18-11-2023,181
19-11-2023,150
20-11-2023,135
22-11-2023,135
23-11-2023,212
24-11-2023,229
25-11-2023,239
26-11-2023,260
27-11-2023,138
28-11-2023,170
29-11-2023,184
30-11-2023,126
01-12-2023,84
02-12-2023,157
03-12-2023,225
05-12-2023,263
06-12-2023,207
07-12-2023,130
08-12-2023,85
09-12-2023,78
10-12-2023,152
11-12-2023,104
14-12-2023,135
15-12-2023,173
16-12-2023,157
17-12-2023,170
18-12-2023,144
19-12-2023,112
20-12-2023,189
21-12-2023,167
22-12-2023,153
23-12-2023,189
24-12-2023,206
25-12-2023,187
26-12-2023,252
27-12-2023,180
28-12-2023,223
29-12-2023,151
30-12-2023,164
31-12-2023,163
