Date,AQI
13-09-2022,46
14-09-2022,45
15-09-2022,45
17-09-2022,45
18-09-2022,42
19-09-2022,45
20-09-2022,45
21-09-2022,45
22-09-2022,44
23-09-2022,45
25-09-2022,45
29-09-2022,45
30-09-2022,45
01-10-2022,45
05-10-2022,40
06-10-2022,46
14-10-2022,39
16-10-2022,41
17-10-2022,44
18-10-2022,44
19-10-2022,44
21-10-2022,44
22-10-2022,44
23-10-2022,53
24-10-2022,88
25-10-2022,128
26-10-2022,116
27-10-2022,75
28-10-2022,86
29-10-2022,45
04-11-2022,38
05-11-2022,42
07-11-2022,46
08-11-2022,51
09-11-2022,42
10-11-2022,42
11-11-2022,42
12-11-2022,42
13-11-2022,42
14-11-2022,42
15-11-2022,42
16-11-2022,110
17-11-2022,136
25-11-2022,63
27-11-2022,66
28-11-2022,69
18-12-2022,269
19-12-2022,201
20-12-2022,208
21-12-2022,187
22-12-2022,190
23-12-2022,198
24-12-2022,212
25-12-2022,236
26-12-2022,224
27-12-2022,232
29-12-2022,221
30-12-2022,216
31-12-2022,217
01-01-2023,232
02-01-2023,224
03-01-2023,210
04-01-2023,195
05-01-2023,196
07-01-2023,229
08-01-2023,249
10-01-2023,246
12-01-2023,249
13-01-2023,246
14-01-2023,202
15-01-2023,251
16-01-2023,257
17-01-2023,252
18-01-2023,243
19-01-2023,244
04-02-2023,272
05-02-2023,267
06-02-2023,255
07-02-2023,224
08-02-2023,282
09-02-2023,213
10-02-2023,285
12-02-2023,288
13-02-2023,297
14-02-2023,295
16-02-2023,303
19-02-2023,313
20-02-2023,316
21-02-2023,321
22-02-2023,326
24-02-2023,260
01-03-2023,324
02-03-2023,324
03-03-2023,334
05-03-2023,337
07-03-2023,303
08-03-2023,332
09-03-2023,308
10-03-2023,327
11-03-2023,346
12-03-2023,352
13-03-2023,333
14-03-2023,44
15-03-2023,143
16-03-2023,61
17-03-2023,155
18-03-2023,154
20-03-2023,158
22-03-2023,149
23-03-2023,148
24-03-2023,153
25-03-2023,163
26-03-2023,158
27-03-2023,157
28-03-2023,168
29-03-2023,144
31-03-2023,52
07-04-2023,40
08-04-2023,41
09-04-2023,41
10-04-2023,41
11-04-2023,41
12-04-2023,44
13-04-2023,63
14-04-2023,55
15-04-2023,64
18-04-2023,42
20-04-2023,60
23-04-2023,45
25-04-2023,45
26-04-2023,45
29-04-2023,45
06-05-2023,46
10-05-2023,46
13-05-2023,43
14-05-2023,49
16-05-2023,63
17-05-2023,40
20-05-2023,29
21-05-2023,49
22-05-2023,47
11-06-2023,37
12-06-2023,32
13-06-2023,26
14-06-2023,40
17-06-2023,51
21-06-2023,41
23-06-2023,46
25-06-2023,54
27-06-2023,41
28-06-2023,41
29-06-2023,41
01-07-2023,41
02-07-2023,40
05-07-2023,41
06-07-2023,41
08-07-2023,41
13-07-2023,41
14-07-2023,41
19-07-2023,65
20-07-2023,48
21-07-2023,53
22-07-2023,80
23-07-2023,43
24-07-2023,42
25-07-2023,42
