Date,AQI
25-09-2016,451
27-09-2016,451
30-09-2016,451
04-10-2016,43
05-10-2016,50
07-10-2016,41
08-10-2016,28
09-10-2016,45
10-10-2016,32
11-10-2016,50
12-10-2016,45
13-10-2016,67
15-10-2016,33
16-10-2016,57
17-10-2016,48
18-10-2016,74
19-10-2016,34
20-10-2016,42
21-10-2016,44
22-10-2016,50
23-10-2016,51
24-10-2016,61
25-10-2016,57
26-10-2016,50
27-10-2016,29
28-10-2016,47
29-10-2016,51
30-10-2016,53
31-10-2016,34
01-11-2016,38
02-11-2016,39
03-11-2016,34
04-11-2016,41
05-11-2016,50
06-11-2016,53
15-11-2016,74
16-11-2016,451
18-11-2016,86
19-11-2016,78
20-11-2016,90
23-11-2016,80
24-11-2016,112
25-11-2016,128
26-11-2016,163
28-11-2016,46
29-11-2016,352
30-11-2016,179
01-12-2016,133
02-12-2016,178
03-12-2016,199
04-12-2016,231
05-12-2016,226
06-12-2016,244
07-12-2016,451
08-12-2016,206
09-12-2016,190
10-12-2016,226
11-12-2016,207
12-12-2016,241
13-12-2016,236
14-12-2016,242
15-12-2016,279
16-12-2016,219
17-12-2016,263
20-12-2016,316
23-12-2016,351
27-12-2016,290
03-01-2017,267
20-01-2017,239
21-01-2017,187
24-01-2017,262
02-02-2017,245
03-02-2017,231
04-02-2017,235
05-02-2017,250
06-02-2017,298
07-02-2017,296
08-02-2017,222
09-02-2017,190
10-02-2017,242
11-02-2017,208
12-02-2017,158
13-02-2017,321
14-02-2017,306
15-02-2017,216
16-02-2017,207
17-02-2017,206
18-02-2017,242
19-02-2017,231
20-02-2017,297
21-02-2017,275
24-02-2017,205
25-02-2017,196
26-02-2017,271
28-02-2017,234
01-03-2017,322
03-03-2017,233
04-03-2017,181
05-03-2017,186
06-03-2017,189
07-03-2017,177
08-03-2017,227
09-03-2017,211
10-03-2017,142
11-03-2017,163
12-03-2017,128
13-03-2017,55
21-03-2017,127
22-03-2017,158
23-03-2017,152
30-03-2017,136
31-03-2017,138
01-04-2017,125
05-04-2017,94
06-04-2017,100
07-04-2017,112
12-04-2017,147
13-04-2017,124
14-04-2017,116
15-04-2017,110
16-04-2017,103
17-04-2017,88
18-04-2017,98
19-04-2017,114
20-04-2017,115
21-04-2017,101
22-04-2017,113
23-04-2017,68
28-04-2017,168
