Date,AQI
29-05-2019,39
30-05-2019,49
31-05-2019,43
01-06-2019,38
02-06-2019,32
03-06-2019,28
04-06-2019,53
05-06-2019,44
06-06-2019,37
07-06-2019,38
08-06-2019,34
09-06-2019,29
10-06-2019,49
11-06-2019,37
12-06-2019,44
13-06-2019,51
18-06-2019,43
19-06-2019,40
20-06-2019,40
21-06-2019,35
22-06-2019,45
23-06-2019,29
24-06-2019,39
25-06-2019,40
26-06-2019,61
27-06-2019,44
28-06-2019,48
29-06-2019,46
30-06-2019,33
01-07-2019,44
02-07-2019,37
03-07-2019,23
04-07-2019,32
05-07-2019,25
06-07-2019,36
07-07-2019,39
08-07-2019,44
09-07-2019,43
10-07-2019,55
11-07-2019,48
12-07-2019,55
13-07-2019,46
14-07-2019,36
15-07-2019,34
16-07-2019,23
17-07-2019,31
18-07-2019,34
19-07-2019,27
20-07-2019,33
21-07-2019,26
22-07-2019,26
23-07-2019,38
24-07-2019,38
25-07-2019,29
26-07-2019,31
27-07-2019,43
28-07-2019,43
29-07-2019,31
30-07-2019,45
31-07-2019,38
01-08-2019,36
02-08-2019,30
03-08-2019,22
04-08-2019,23
05-08-2019,21
06-08-2019,45
07-08-2019,32
08-08-2019,26
09-08-2019,32
10-08-2019,31
11-08-2019,27
12-08-2019,24
13-08-2019,31
14-08-2019,26
15-08-2019,26
16-08-2019,35
17-08-2019,36
18-08-2019,43
19-08-2019,25
20-08-2019,30
21-08-2019,31
22-08-2019,31
23-08-2019,22
24-08-2019,32
25-08-2019,27
26-08-2019,22
27-08-2019,25
28-08-2019,28
29-08-2019,29
30-08-2019,31
31-08-2019,27
01-09-2019,25
02-09-2019,54
03-09-2019,33
04-09-2019,16
05-09-2019,22
06-09-2019,24
07-09-2019,27
08-09-2019,27
09-09-2019,27
10-09-2019,30
11-09-2019,30
12-09-2019,22
13-09-2019,32
14-09-2019,28
15-09-2019,24
16-09-2019,26
17-09-2019,29
18-09-2019,28
19-09-2019,25
20-09-2019,35
21-09-2019,43
22-09-2019,30
23-09-2019,25
24-09-2019,31
25-09-2019,23
26-09-2019,20
27-09-2019,47
28-09-2019,32
29-09-2019,30
30-09-2019,34
01-10-2019,41
02-10-2019,31
03-10-2019,29
04-10-2019,41
06-10-2019,33
11-10-2019,35
12-10-2019,37
13-10-2019,34
14-10-2019,27
15-10-2019,29
16-10-2019,38
17-10-2019,37
18-10-2019,32
19-10-2019,30
20-10-2019,25
21-10-2019,23
22-10-2019,31
23-10-2019,30
24-10-2019,39
25-10-2019,25
26-10-2019,28
27-10-2019,25
28-10-2019,39
29-10-2019,36
30-10-2019,36
31-10-2019,20
01-11-2019,33
02-11-2019,41
03-11-2019,34
04-11-2019,25
05-11-2019,38
06-11-2019,35
07-11-2019,40
08-11-2019,30
09-11-2019,36
10-11-2019,32
11-11-2019,33
12-11-2019,42
13-11-2019,44
14-11-2019,42
15-11-2019,34
16-11-2019,37
17-11-2019,27
18-11-2019,31
19-11-2019,40
20-11-2019,46
21-11-2019,35
22-11-2019,42
23-11-2019,40
24-11-2019,29
25-11-2019,34
26-11-2019,34
27-11-2019,37
28-11-2019,38
29-11-2019,39
30-11-2019,49
01-12-2019,36
02-12-2019,28
03-12-2019,33
04-12-2019,43
05-12-2019,45
06-12-2019,68
07-12-2019,37
08-12-2019,34
09-12-2019,37
10-12-2019,37
11-12-2019,39
12-12-2019,50
13-12-2019,40
14-12-2019,34
15-12-2019,36
16-12-2019,29
17-12-2019,30
18-12-2019,29
19-12-2019,28
20-12-2019,29
21-12-2019,44
22-12-2019,33
23-12-2019,48
24-12-2019,169
25-12-2019,115
26-12-2019,104
27-12-2019,120
28-12-2019,122
29-12-2019,115
30-12-2019,124
31-12-2019,116
01-01-2020,138
02-01-2020,115
03-01-2020,119
04-01-2020,114
05-01-2020,102
06-01-2020,109
07-01-2020,101
08-01-2020,91
09-01-2020,130
10-01-2020,125
11-01-2020,151
12-01-2020,120
13-01-2020,100
14-01-2020,143
15-01-2020,128
16-01-2020,129
17-01-2020,148
18-01-2020,125
19-01-2020,105
20-01-2020,77
21-01-2020,131
23-01-2020,103
24-01-2020,121
25-01-2020,121
26-01-2020,121
27-01-2020,106
28-01-2020,118
29-01-2020,121
30-01-2020,109
31-01-2020,98
01-02-2020,96
02-02-2020,93
03-02-2020,99
04-02-2020,104
05-02-2020,110
06-02-2020,98
07-02-2020,110
08-02-2020,75
09-02-2020,96
10-02-2020,78
11-02-2020,94
12-02-2020,146
13-02-2020,105
14-02-2020,152
15-02-2020,108
16-02-2020,82
17-02-2020,89
18-02-2020,92
19-02-2020,112
20-02-2020,109
21-02-2020,115
22-02-2020,92
23-02-2020,73
24-02-2020,90
25-02-2020,95
26-02-2020,111
27-02-2020,88
03-03-2020,82
04-03-2020,78
05-03-2020,99
06-03-2020,77
07-03-2020,85
08-03-2020,77
09-03-2020,64
10-03-2020,76
11-03-2020,67
12-03-2020,68
13-03-2020,74
14-03-2020,80
15-03-2020,80
16-03-2020,91
17-03-2020,93
18-03-2020,96
19-03-2020,82
20-03-2020,89
21-03-2020,89
22-03-2020,65
23-03-2020,72
24-03-2020,80
25-03-2020,51
26-03-2020,58
27-03-2020,78
28-03-2020,80
29-03-2020,57
30-03-2020,69
31-03-2020,65
01-04-2020,70
02-04-2020,70
03-04-2020,65
04-04-2020,54
05-04-2020,53
06-04-2020,41
07-04-2020,35
08-04-2020,55
09-04-2020,52
10-04-2020,44
11-04-2020,46
12-04-2020,56
13-04-2020,55
14-04-2020,71
15-04-2020,48
16-04-2020,45
17-04-2020,44
18-04-2020,50
19-04-2020,70
20-04-2020,44
21-04-2020,44
22-04-2020,39
23-04-2020,52
24-04-2020,46
25-04-2020,58
26-04-2020,70
27-04-2020,44
28-04-2020,52
29-04-2020,42
30-04-2020,60
01-05-2020,46
02-05-2020,54
06-05-2020,73
07-05-2020,52
08-05-2020,46
09-05-2020,54
10-05-2020,58
11-05-2020,48
12-05-2020,57
13-05-2020,52
15-05-2020,53
16-05-2020,50
17-05-2020,62
18-05-2020,51
19-05-2020,94
20-05-2020,64
21-05-2020,78
22-05-2020,106
23-05-2020,71
24-05-2020,77
25-05-2020,66
26-05-2020,57
27-05-2020,65
28-05-2020,56
29-05-2020,47
30-05-2020,45
31-05-2020,31
01-06-2020,122
02-06-2020,98
03-06-2020,118
04-06-2020,25
05-06-2020,26
08-06-2020,31
09-06-2020,60
10-06-2020,58
11-06-2020,42
12-06-2020,33
13-06-2020,54
14-06-2020,36
15-06-2020,35
16-06-2020,46
17-06-2020,60
18-06-2020,52
19-06-2020,66
20-06-2020,44
21-06-2020,43
24-06-2020,102
25-06-2020,51
26-06-2020,28
27-06-2020,41
28-06-2020,38
29-06-2020,57
30-06-2020,45
01-07-2020,56
02-07-2020,52
03-07-2020,28
04-07-2020,43
05-07-2020,41
06-07-2020,44
07-07-2020,38
08-07-2020,49
09-07-2020,73
10-07-2020,50
11-07-2020,57
12-07-2020,35
13-07-2020,36
14-07-2020,40
15-07-2020,35
16-07-2020,33
17-07-2020,41
18-07-2020,56
19-07-2020,42
20-07-2020,60
21-07-2020,31
22-07-2020,25
23-07-2020,42
24-07-2020,24
25-07-2020,28
26-07-2020,51
27-07-2020,47
28-07-2020,53
29-07-2020,39
30-07-2020,29
31-07-2020,23
02-08-2020,30
03-08-2020,37
04-08-2020,82
05-08-2020,36
06-08-2020,52
07-08-2020,83
08-08-2020,31
09-08-2020,39
10-08-2020,33
11-08-2020,47
12-08-2020,46
13-08-2020,77
14-08-2020,69
15-08-2020,67
16-08-2020,66
17-08-2020,57
18-08-2020,67
19-08-2020,63
20-08-2020,58
21-08-2020,57
22-08-2020,60
23-08-2020,49
24-08-2020,35
25-08-2020,67
29-08-2020,77
30-08-2020,69
31-08-2020,47
01-09-2020,47
02-09-2020,52
03-09-2020,25
04-09-2020,27
05-09-2020,38
06-09-2020,22
07-09-2020,15
08-09-2020,39
10-09-2020,21
11-09-2020,17
12-09-2020,20
13-09-2020,16
14-09-2020,13
15-09-2020,13
16-09-2020,12
17-09-2020,14
20-09-2020,15
21-09-2020,19
22-09-2020,14
23-09-2020,15
24-09-2020,16
25-09-2020,21
26-09-2020,30
