Date,AQI
05-02-2020,100
06-02-2020,70
07-02-2020,91
08-02-2020,76
09-02-2020,66
10-02-2020,96
12-02-2020,85
14-02-2020,91
18-02-2020,88
19-02-2020,143
20-02-2020,104
21-02-2020,125
22-02-2020,93
23-02-2020,62
24-02-2020,78
25-02-2020,78
27-02-2020,82
28-02-2020,88
29-02-2020,83
01-03-2020,68
02-03-2020,86
03-03-2020,86
04-03-2020,93
05-03-2020,98
06-03-2020,94
07-03-2020,61
08-03-2020,65
09-03-2020,83
12-03-2020,86
14-03-2020,77
15-03-2020,69
16-03-2020,82
17-03-2020,90
18-03-2020,94
19-03-2020,83
20-03-2020,80
21-03-2020,81
22-03-2020,54
23-03-2020,68
24-03-2020,66
25-03-2020,62
26-03-2020,56
27-03-2020,59
28-03-2020,57
31-03-2020,67
01-04-2020,65
02-04-2020,68
03-04-2020,68
04-04-2020,66
05-04-2020,62
06-04-2020,62
07-04-2020,68
08-04-2020,71
09-04-2020,61
10-04-2020,58
11-04-2020,62
12-04-2020,62
13-04-2020,79
14-04-2020,72
15-04-2020,68
16-04-2020,64
17-04-2020,67
18-04-2020,75
19-04-2020,76
20-04-2020,77
21-04-2020,60
22-04-2020,61
23-04-2020,62
30-04-2020,88
01-05-2020,84
02-05-2020,91
03-05-2020,81
04-05-2020,100
05-05-2020,98
06-05-2020,101
08-05-2020,88
09-05-2020,98
10-05-2020,89
11-05-2020,96
12-05-2020,103
13-05-2020,99
14-05-2020,105
15-05-2020,102
17-05-2020,97
18-05-2020,107
19-05-2020,109
21-05-2020,92
22-05-2020,93
23-05-2020,97
24-05-2020,76
25-05-2020,101
26-05-2020,97
27-05-2020,101
28-05-2020,101
29-05-2020,100
30-05-2020,91
31-05-2020,75
01-06-2020,95
02-06-2020,90
03-06-2020,88
04-06-2020,85
05-06-2020,91
06-06-2020,87
07-06-2020,83
08-06-2020,104
09-06-2020,105
10-06-2020,104
11-06-2020,105
12-06-2020,114
13-06-2020,100
14-06-2020,90
16-06-2020,103
20-06-2020,108
23-06-2020,106
24-06-2020,108
25-06-2020,104
26-06-2020,102
27-06-2020,106
28-06-2020,100
29-06-2020,106
30-06-2020,108
01-07-2020,104
02-07-2020,110
03-07-2020,105
05-07-2020,94
06-07-2020,100
07-07-2020,107
11-07-2020,96
12-07-2020,88
13-07-2020,101
14-07-2020,102
15-07-2020,97
