Date,AQI
01-05-2015,173
02-05-2015,299
03-05-2015,341
04-05-2015,251
05-05-2015,438
06-05-2015,481
07-05-2015,482
08-05-2015,342
09-05-2015,274
11-05-2015,301
12-05-2015,340
13-05-2015,211
15-05-2015,301
16-05-2015,125
17-05-2015,120
18-05-2015,103
19-05-2015,101
21-05-2015,133
22-05-2015,72
23-05-2015,77
24-05-2015,114
25-05-2015,295
26-05-2015,202
27-05-2015,116
28-05-2015,303
29-05-2015,255
30-05-2015,204
31-05-2015,156
01-06-2015,94
02-06-2015,80
03-06-2015,135
04-06-2015,96
05-06-2015,187
06-06-2015,156
07-06-2015,218
08-06-2015,182
09-06-2015,206
10-06-2015,74
11-06-2015,74
13-06-2015,233
14-06-2015,113
15-06-2015,154
16-06-2015,235
17-06-2015,149
18-06-2015,235
19-06-2015,198
20-06-2015,79
21-06-2015,44
22-06-2015,64
23-06-2015,74
24-06-2015,134
25-06-2015,98
26-06-2015,138
27-06-2015,104
28-06-2015,114
01-07-2015,99
02-07-2015,91
03-07-2015,98
04-07-2015,115
05-07-2015,351
06-07-2015,217
07-07-2015,48
08-07-2015,123
09-07-2015,78
10-07-2015,127
11-07-2015,31
12-07-2015,63
13-07-2015,85
14-07-2015,273
15-07-2015,263
16-07-2015,174
17-07-2015,153
18-07-2015,98
19-07-2015,85
20-07-2015,46
21-07-2015,41
22-07-2015,48
23-07-2015,55
24-07-2015,66
25-07-2015,45
26-07-2015,56
27-07-2015,32
28-07-2015,25
29-07-2015,25
30-07-2015,37
31-07-2015,46
01-08-2015,54
02-08-2015,60
03-08-2015,49
04-08-2015,53
05-08-2015,77
06-08-2015,98
07-08-2015,98
08-08-2015,71
09-08-2015,66
10-08-2015,251
11-08-2015,179
12-08-2015,35
13-08-2015,71
14-08-2015,101
15-08-2015,294
16-08-2015,161
17-08-2015,232
18-08-2015,254
19-08-2015,45
20-08-2015,47
21-08-2015,59
22-08-2015,81
23-08-2015,82
24-08-2015,54
25-08-2015,54
26-08-2015,62
27-08-2015,93
29-08-2015,94
30-08-2015,74
31-08-2015,58
01-09-2015,67
02-09-2015,108
03-09-2015,124
04-09-2015,133
05-09-2015,100
06-09-2015,77
07-09-2015,69
08-09-2015,107
09-09-2015,86
10-09-2015,85
12-09-2015,149
17-09-2015,179
18-09-2015,77
19-09-2015,76
20-09-2015,99
21-09-2015,48
23-09-2015,113
24-09-2015,52
25-09-2015,90
26-09-2015,126
27-09-2015,129
28-09-2015,91
29-09-2015,126
30-09-2015,77
01-10-2015,112
02-10-2015,140
03-10-2015,135
04-10-2015,210
05-10-2015,232
06-10-2015,223
07-10-2015,262
08-10-2015,248
09-10-2015,181
10-10-2015,187
11-10-2015,189
12-10-2015,150
13-10-2015,153
14-10-2015,125
15-10-2015,142
16-10-2015,272
17-10-2015,282
18-10-2015,307
19-10-2015,324
20-10-2015,312
21-10-2015,306
23-10-2015,267
24-10-2015,267
25-10-2015,284
26-10-2015,197
27-10-2015,246
28-10-2015,229
29-10-2015,111
30-10-2015,204
31-10-2015,351
01-11-2015,382
02-11-2015,316
03-11-2015,350
04-11-2015,408
05-11-2015,275
07-11-2015,414
08-11-2015,399
09-11-2015,309
10-11-2015,355
11-11-2015,378
12-11-2015,384
13-11-2015,401
14-11-2015,378
15-11-2015,313
16-11-2015,313
17-11-2015,259
18-11-2015,284
19-11-2015,362
21-11-2015,408
22-11-2015,387
23-11-2015,392
24-11-2015,399
25-11-2015,283
26-11-2015,267
27-11-2015,298
28-11-2015,379
29-11-2015,400
30-11-2015,405
01-12-2015,371
02-12-2015,351
03-12-2015,348
04-12-2015,318
05-12-2015,357
08-12-2015,441
09-12-2015,402
10-12-2015,375
11-12-2015,362
12-12-2015,380
13-12-2015,255
14-12-2015,250
15-12-2015,234
16-12-2015,327
17-12-2015,344
18-12-2015,387
19-12-2015,324
20-12-2015,406
21-12-2015,385
22-12-2015,446
24-12-2015,395
25-12-2015,273
26-12-2015,305
27-12-2015,352
28-12-2015,303
29-12-2015,276
30-12-2015,325
31-12-2015,373
01-01-2016,410
02-01-2016,413
03-01-2016,391
04-01-2016,426
05-01-2016,453
06-01-2016,442
07-01-2016,447
15-01-2016,361
16-01-2016,320
22-01-2016,388
23-01-2016,405
24-01-2016,449
25-01-2016,409
26-01-2016,445
27-01-2016,419
28-01-2016,436
29-01-2016,403
30-01-2016,420
31-01-2016,411
01-02-2016,253
02-02-2016,251
03-02-2016,241
04-02-2016,204
06-02-2016,363
07-02-2016,334
08-02-2016,265
09-02-2016,271
10-02-2016,346
11-02-2016,302
12-02-2016,311
13-02-2016,273
14-02-2016,219
15-02-2016,231
16-02-2016,264
17-02-2016,266
18-02-2016,282
19-02-2016,339
20-02-2016,292
21-02-2016,225
22-02-2016,211
23-02-2016,161
25-02-2016,251
28-02-2016,299
29-02-2016,304
17-03-2016,178
18-03-2016,186
19-03-2016,207
20-03-2016,221
21-03-2016,124
22-03-2016,58
23-03-2016,78
24-03-2016,286
25-03-2016,280
26-03-2016,167
29-03-2016,128
30-03-2016,228
31-03-2016,274
01-04-2016,274
02-04-2016,208
03-04-2016,235
08-04-2016,123
11-04-2016,199
12-04-2016,111
13-04-2016,131
14-04-2016,201
15-04-2016,235
16-04-2016,230
17-04-2016,173
18-04-2016,195
19-04-2016,271
20-04-2016,160
22-04-2016,223
25-04-2016,224
