Date,AQI
22-01-2019,160
24-01-2019,188
26-01-2019,246
27-01-2019,254
28-01-2019,199
30-01-2019,269
31-01-2019,265
01-02-2019,324
07-02-2019,178
08-02-2019,122
09-02-2019,125
10-02-2019,144
11-02-2019,182
12-02-2019,154
13-02-2019,191
14-02-2019,209
15-02-2019,134
16-02-2019,99
17-02-2019,126
18-02-2019,126
19-02-2019,84
20-02-2019,130
21-02-2019,103
22-02-2019,93
23-02-2019,102
24-02-2019,123
25-02-2019,115
26-02-2019,84
27-02-2019,78
28-02-2019,160
01-03-2019,157
02-03-2019,142
03-03-2019,119
04-03-2019,85
05-03-2019,113
06-03-2019,104
07-03-2019,170
08-03-2019,81
09-03-2019,109
10-03-2019,126
12-03-2019,123
13-03-2019,177
14-03-2019,142
15-03-2019,97
16-03-2019,122
17-03-2019,135
18-03-2019,165
19-03-2019,148
20-03-2019,141
21-03-2019,112
22-03-2019,116
23-03-2019,121
24-03-2019,115
25-03-2019,134
26-03-2019,139
27-03-2019,144
28-03-2019,155
29-03-2019,125
30-03-2019,158
03-04-2019,159
04-04-2019,161
05-04-2019,160
06-04-2019,244
07-04-2019,194
10-04-2019,190
11-04-2019,153
12-04-2019,211
13-04-2019,131
14-04-2019,107
15-04-2019,142
16-04-2019,140
17-04-2019,125
18-04-2019,84
19-04-2019,109
20-04-2019,154
21-04-2019,145
22-04-2019,156
23-04-2019,195
24-04-2019,318
25-04-2019,209
26-04-2019,284
27-04-2019,287
28-04-2019,343
29-04-2019,315
30-04-2019,296
01-05-2019,296
02-05-2019,292
03-05-2019,184
04-05-2019,260
05-05-2019,265
06-05-2019,334
07-05-2019,286
08-05-2019,363
09-05-2019,407
10-05-2019,313
11-05-2019,146
12-05-2019,365
13-05-2019,346
14-05-2019,195
15-05-2019,189
16-05-2019,276
17-05-2019,173
18-05-2019,159
19-05-2019,251
20-05-2019,235
21-05-2019,187
22-05-2019,194
23-05-2019,217
24-05-2019,185
25-05-2019,180
26-05-2019,172
27-05-2019,141
28-05-2019,142
29-05-2019,182
30-05-2019,225
31-05-2019,301
01-06-2019,208
02-06-2019,243
03-06-2019,266
04-06-2019,322
05-06-2019,217
06-06-2019,259
07-06-2019,194
08-06-2019,188
09-06-2019,245
10-06-2019,263
11-06-2019,332
12-06-2019,291
13-06-2019,281
14-06-2019,240
15-06-2019,280
16-06-2019,223
17-06-2019,141
18-06-2019,105
19-06-2019,121
20-06-2019,179
21-06-2019,131
22-06-2019,137
23-06-2019,151
25-06-2019,102
26-06-2019,108
27-06-2019,251
28-06-2019,184
29-06-2019,397
30-06-2019,343
01-07-2019,398
03-07-2019,181
04-07-2019,156
05-07-2019,144
06-07-2019,172
07-07-2019,104
08-07-2019,188
09-07-2019,171
10-07-2019,181
11-07-2019,358
15-07-2019,219
16-07-2019,116
17-07-2019,56
18-07-2019,67
19-07-2019,100
20-07-2019,115
21-07-2019,96
23-07-2019,79
24-07-2019,87
25-07-2019,72
26-07-2019,40
27-07-2019,48
28-07-2019,30
29-07-2019,30
30-07-2019,33
31-07-2019,64
01-08-2019,57
02-08-2019,50
03-08-2019,34
04-08-2019,58
05-08-2019,50
06-08-2019,63
07-08-2019,47
08-08-2019,56
09-08-2019,60
10-08-2019,49
11-08-2019,48
12-08-2019,51
13-08-2019,50
14-08-2019,65
15-08-2019,52
16-08-2019,42
17-08-2019,32
18-08-2019,17
19-08-2019,40
20-08-2019,47
21-08-2019,98
22-08-2019,88
23-08-2019,86
24-08-2019,93
25-08-2019,86
26-08-2019,53
27-08-2019,45
28-08-2019,51
29-08-2019,64
31-08-2019,75
01-09-2019,81
03-09-2019,69
04-09-2019,91
05-09-2019,86
06-09-2019,58
07-09-2019,295
09-09-2019,82
10-09-2019,128
11-09-2019,114
12-09-2019,110
13-09-2019,92
14-09-2019,74
15-09-2019,69
16-09-2019,62
17-09-2019,94
18-09-2019,114
19-09-2019,71
20-09-2019,54
21-09-2019,60
22-09-2019,75
23-09-2019,57
24-09-2019,55
25-09-2019,62
26-09-2019,63
27-09-2019,57
28-09-2019,59
29-09-2019,50
30-09-2019,46
01-10-2019,65
02-10-2019,74
03-10-2019,80
04-10-2019,62
05-10-2019,66
06-10-2019,98
07-10-2019,148
08-10-2019,85
09-10-2019,102
10-10-2019,101
11-10-2019,110
12-10-2019,119
13-10-2019,137
14-10-2019,131
15-10-2019,138
16-10-2019,164
17-10-2019,166
18-10-2019,171
19-10-2019,150
20-10-2019,107
21-10-2019,142
22-10-2019,150
23-10-2019,163
24-10-2019,161
25-10-2019,179
26-10-2019,157
27-10-2019,204
28-10-2019,232
29-10-2019,190
30-10-2019,282
31-10-2019,284
01-11-2019,393
02-11-2019,493
03-11-2019,478
04-11-2019,362
05-11-2019,181
06-11-2019,157
07-11-2019,71
08-11-2019,74
09-11-2019,109
10-11-2019,157
11-11-2019,241
12-11-2019,403
13-11-2019,430
14-11-2019,418
15-11-2019,273
16-11-2019,160
17-11-2019,90
18-11-2019,181
19-11-2019,155
20-11-2019,253
21-11-2019,256
22-11-2019,256
23-11-2019,163
24-11-2019,140
25-11-2019,144
26-11-2019,135
27-11-2019,55
28-11-2019,57
29-11-2019,54
30-11-2019,116
01-12-2019,172
02-12-2019,168
03-12-2019,164
04-12-2019,231
05-12-2019,155
06-12-2019,182
07-12-2019,153
08-12-2019,157
09-12-2019,168
10-12-2019,155
11-12-2019,173
12-12-2019,201
13-12-2019,130
14-12-2019,89
15-12-2019,77
16-12-2019,63
17-12-2019,59
18-12-2019,67
19-12-2019,76
20-12-2019,87
21-12-2019,120
22-12-2019,115
23-12-2019,115
24-12-2019,135
25-12-2019,150
26-12-2019,175
27-12-2019,152
28-12-2019,140
29-12-2019,141
30-12-2019,98
31-12-2019,191
01-01-2020,159
02-01-2020,152
03-01-2020,137
04-01-2020,192
06-01-2020,142
07-01-2020,64
08-01-2020,96
09-01-2020,69
10-01-2020,95
11-01-2020,110
12-01-2020,135
13-01-2020,116
14-01-2020,60
15-01-2020,57
16-01-2020,65
17-01-2020,96
18-01-2020,85
19-01-2020,78
20-01-2020,88
21-01-2020,115
22-01-2020,106
23-01-2020,92
24-01-2020,92
25-01-2020,112
26-01-2020,131
27-01-2020,111
28-01-2020,56
