Date,AQI
19-07-2021,31
20-07-2021,35
21-07-2021,28
22-07-2021,54
23-07-2021,24
24-07-2021,36
25-07-2021,32
26-07-2021,40
27-07-2021,49
28-07-2021,61
29-07-2021,43
30-07-2021,17
31-07-2021,18
01-08-2021,27
02-08-2021,18
03-08-2021,17
04-08-2021,18
05-08-2021,27
06-08-2021,48
07-08-2021,37
08-08-2021,46
09-08-2021,27
11-08-2021,100
12-08-2021,75
13-08-2021,79
14-08-2021,81
15-08-2021,78
16-08-2021,92
17-08-2021,95
18-08-2021,97
19-08-2021,80
20-08-2021,41
21-08-2021,20
22-08-2021,20
23-08-2021,35
24-08-2021,44
25-08-2021,48
26-08-2021,70
27-08-2021,75
28-08-2021,87
29-08-2021,43
30-08-2021,21
31-08-2021,25
01-09-2021,108
02-09-2021,23
03-09-2021,45
04-09-2021,32
05-09-2021,44
06-09-2021,54
07-09-2021,36
08-09-2021,26
09-09-2021,31
11-09-2021,76
12-09-2021,20
13-09-2021,29
14-09-2021,26
15-09-2021,32
16-09-2021,19
18-09-2021,26
20-09-2021,32
21-09-2021,43
22-09-2021,31
23-09-2021,23
24-09-2021,36
25-09-2021,31
26-09-2021,28
27-09-2021,26
28-09-2021,32
29-09-2021,37
30-09-2021,75
01-10-2021,41
02-10-2021,71
03-10-2021,51
04-10-2021,49
05-10-2021,49
06-10-2021,89
07-10-2021,81
08-10-2021,115
09-10-2021,114
10-10-2021,103
11-10-2021,107
12-10-2021,112
13-10-2021,117
14-10-2021,153
15-10-2021,129
16-10-2021,161
17-10-2021,116
18-10-2021,26
19-10-2021,35
20-10-2021,86
21-10-2021,170
22-10-2021,103
23-10-2021,102
24-10-2021,91
25-10-2021,117
26-10-2021,101
27-10-2021,145
28-10-2021,208
29-10-2021,214
30-10-2021,201
31-10-2021,212
01-11-2021,244
02-11-2021,239
03-11-2021,229
04-11-2021,323
05-11-2021,449
06-11-2021,430
07-11-2021,443
09-11-2021,489
10-11-2021,400
11-11-2021,415
12-11-2021,361
13-11-2021,327
14-11-2021,210
15-11-2021,283
16-11-2021,258
17-11-2021,223
18-11-2021,258
19-11-2021,277
20-11-2021,289
21-11-2021,246
22-11-2021,204
23-11-2021,143
24-11-2021,215
25-11-2021,278
26-11-2021,259
27-11-2021,245
28-11-2021,253
29-11-2021,261
30-11-2021,278
01-12-2021,302
02-12-2021,350
03-12-2021,211
