Date,AQI
04-01-2021,68
05-01-2021,42
06-01-2021,38
07-01-2021,28
08-01-2021,30
09-01-2021,29
10-01-2021,32
11-01-2021,37
12-01-2021,56
13-01-2021,59
18-01-2021,66
21-01-2021,82
23-01-2021,69
25-01-2021,63
26-01-2021,57
27-01-2021,47
31-01-2021,61
04-02-2021,57
05-02-2021,57
06-02-2021,65
07-02-2021,74
09-02-2021,69
10-02-2021,82
16-02-2021,93
21-02-2021,38
22-02-2021,51
23-02-2021,48
09-03-2021,109
12-03-2021,92
16-03-2021,52
28-03-2021,108
29-03-2021,86
30-03-2021,83
31-03-2021,73
01-04-2021,119
02-04-2021,64
03-04-2021,85
04-04-2021,86
05-04-2021,370
06-04-2021,87
07-04-2021,83
08-04-2021,50
09-04-2021,65
10-04-2021,60
11-04-2021,54
12-04-2021,56
13-04-2021,75
14-04-2021,57
16-04-2021,61
17-04-2021,54
18-04-2021,60
19-04-2021,69
20-04-2021,75
21-04-2021,74
23-04-2021,43
24-04-2021,87
25-04-2021,76
27-04-2021,84
29-04-2021,72
05-05-2021,80
12-05-2021,23
14-05-2021,30
15-05-2021,17
16-05-2021,17
19-05-2021,9
20-05-2021,13
22-05-2021,24
23-05-2021,31
24-05-2021,27
25-05-2021,27
26-05-2021,26
27-05-2021,23
29-05-2021,15
30-05-2021,10
31-05-2021,10
01-06-2021,10
02-06-2021,11
09-06-2021,12
10-06-2021,11
11-06-2021,11
12-06-2021,12
13-06-2021,12
14-06-2021,11
15-06-2021,10
17-06-2021,17
21-06-2021,42
22-06-2021,62
23-06-2021,58
24-06-2021,32
29-06-2021,69
30-06-2021,70
01-07-2021,53
02-07-2021,63
03-07-2021,15
04-07-2021,13
05-07-2021,12
06-07-2021,15
07-07-2021,17
08-07-2021,39
09-07-2021,15
10-07-2021,60
11-07-2021,13
15-07-2021,77
16-07-2021,82
17-07-2021,100
18-07-2021,49
20-07-2021,48
21-07-2021,46
24-07-2021,16
25-07-2021,20
26-07-2021,28
27-07-2021,36
28-07-2021,37
29-07-2021,25
30-07-2021,19
31-07-2021,16
01-08-2021,15
02-08-2021,16
03-08-2021,17
04-08-2021,16
05-08-2021,20
06-08-2021,16
07-08-2021,21
08-08-2021,21
09-08-2021,31
10-08-2021,26
11-08-2021,23
12-08-2021,18
13-08-2021,19
14-08-2021,20
15-08-2021,24
16-08-2021,20
17-08-2021,19
18-08-2021,19
20-08-2021,18
21-08-2021,19
23-08-2021,20
24-08-2021,18
25-08-2021,29
26-08-2021,27
27-08-2021,24
28-08-2021,19
29-08-2021,19
30-08-2021,20
31-08-2021,20
01-09-2021,19
02-09-2021,20
03-09-2021,21
04-09-2021,21
05-09-2021,20
06-09-2021,20
07-09-2021,19
08-09-2021,19
09-09-2021,19
12-09-2021,19
13-09-2021,17
14-09-2021,24
15-09-2021,35
16-09-2021,32
17-09-2021,32
18-09-2021,30
19-09-2021,28
20-09-2021,22
21-09-2021,24
22-09-2021,23
23-09-2021,24
24-09-2021,20
26-09-2021,18
27-09-2021,19
28-09-2021,18
29-09-2021,17
30-09-2021,17
04-11-2021,29
05-11-2021,30
15-11-2021,26
16-11-2021,22
17-11-2021,31
21-11-2021,43
23-11-2021,36
24-11-2021,22
01-12-2021,40
04-12-2021,38
07-12-2021,59
08-12-2021,60
09-12-2021,52
10-12-2021,33
11-12-2021,36
12-12-2021,40
13-12-2021,65
14-12-2021,96
15-12-2021,80
24-12-2021,146
25-12-2021,111
29-12-2021,63
30-12-2021,50
31-12-2021,65
01-01-2022,57
02-01-2022,40
03-01-2022,57
04-01-2022,74
05-01-2022,93
06-01-2022,79
07-01-2022,67
09-01-2022,54
10-01-2022,41
11-01-2022,40
12-01-2022,28
13-01-2022,328
16-01-2022,39
17-01-2022,36
18-01-2022,41
19-01-2022,53
20-01-2022,69
21-01-2022,79
22-01-2022,39
23-01-2022,34
24-01-2022,92
25-01-2022,126
26-01-2022,93
27-01-2022,104
28-01-2022,102
29-01-2022,71
30-01-2022,61
31-01-2022,64
01-02-2022,76
02-02-2022,84
03-02-2022,73
04-02-2022,53
05-02-2022,57
06-02-2022,64
07-02-2022,69
08-02-2022,73
09-02-2022,84
10-02-2022,68
11-02-2022,68
12-02-2022,57
13-02-2022,66
14-02-2022,58
16-02-2022,80
17-02-2022,80
18-02-2022,63
19-02-2022,56
20-02-2022,78
22-02-2022,67
23-02-2022,66
24-02-2022,54
25-02-2022,41
26-02-2022,39
27-02-2022,44
28-02-2022,28
01-03-2022,32
05-03-2022,54
10-03-2022,91
11-03-2022,152
12-03-2022,154
13-03-2022,108
14-03-2022,126
15-03-2022,118
16-03-2022,89
19-03-2022,107
21-03-2022,58
22-03-2022,60
23-03-2022,81
24-03-2022,69
25-03-2022,70
26-03-2022,59
28-03-2022,89
29-03-2022,67
30-03-2022,72
31-03-2022,66
01-04-2022,56
02-04-2022,51
03-04-2022,56
04-04-2022,79
05-04-2022,110
06-04-2022,70
07-04-2022,64
09-04-2022,66
14-04-2022,72
23-04-2022,57
24-04-2022,45
27-04-2022,66
28-04-2022,52
