Date,AQI
05-02-2019,181
06-02-2019,88
07-02-2019,82
08-02-2019,189
09-02-2019,120
10-02-2019,87
11-02-2019,87
12-02-2019,95
13-02-2019,128
14-02-2019,125
15-02-2019,180
16-02-2019,99
17-02-2019,116
18-02-2019,153
19-02-2019,106
20-02-2019,94
21-02-2019,105
22-02-2019,80
23-02-2019,89
24-02-2019,112
25-02-2019,124
26-02-2019,120
27-02-2019,126
28-02-2019,91
01-03-2019,110
02-03-2019,89
03-03-2019,133
04-03-2019,123
05-03-2019,92
06-03-2019,95
07-03-2019,122
17-03-2019,109
30-03-2019,119
31-03-2019,130
01-04-2019,123
12-04-2019,121
16-04-2019,305
17-04-2019,85
18-04-2019,99
19-04-2019,66
20-04-2019,71
21-04-2019,85
22-04-2019,94
25-04-2019,95
26-04-2019,102
28-04-2019,133
29-04-2019,123
30-04-2019,132
01-05-2019,200
02-05-2019,161
04-05-2019,125
05-05-2019,112
06-05-2019,106
07-05-2019,101
08-05-2019,110
09-05-2019,84
10-05-2019,70
11-05-2019,90
12-05-2019,118
13-05-2019,110
14-05-2019,111
15-05-2019,94
17-05-2019,103
18-05-2019,98
19-05-2019,101
20-05-2019,88
21-05-2019,89
22-05-2019,80
23-05-2019,95
24-05-2019,105
25-05-2019,135
26-05-2019,123
27-05-2019,118
28-05-2019,109
29-05-2019,122
30-05-2019,102
31-05-2019,99
01-06-2019,103
02-06-2019,95
03-06-2019,95
04-06-2019,98
05-06-2019,96
06-06-2019,96
07-06-2019,102
08-06-2019,107
09-06-2019,101
11-06-2019,83
12-06-2019,100
13-06-2019,77
14-06-2019,68
15-06-2019,70
16-06-2019,70
17-06-2019,63
18-06-2019,64
19-06-2019,55
20-06-2019,69
21-06-2019,92
22-06-2019,96
23-06-2019,67
24-06-2019,78
25-06-2019,93
26-06-2019,78
27-06-2019,67
28-06-2019,65
29-06-2019,65
30-06-2019,93
01-07-2019,65
02-07-2019,81
03-07-2019,59
04-07-2019,65
05-07-2019,83
06-07-2019,69
07-07-2019,66
08-07-2019,86
09-07-2019,88
10-07-2019,89
11-07-2019,88
12-07-2019,75
13-07-2019,76
14-07-2019,75
15-07-2019,87
16-07-2019,76
17-07-2019,71
18-07-2019,76
19-07-2019,77
20-07-2019,89
21-07-2019,64
22-07-2019,59
23-07-2019,46
24-07-2019,48
25-07-2019,56
26-07-2019,59
27-07-2019,76
28-07-2019,79
29-07-2019,52
30-07-2019,34
31-07-2019,32
01-08-2019,34
02-08-2019,53
03-08-2019,53
04-08-2019,52
05-08-2019,69
06-08-2019,74
07-08-2019,77
08-08-2019,94
09-08-2019,76
