Date,AQI
07-04-2022,77
15-04-2022,76
20-04-2022,59
22-04-2022,77
30-04-2022,57
01-05-2022,64
02-05-2022,49
12-05-2022,71
13-05-2022,30
14-05-2022,35
15-05-2022,40
16-05-2022,34
17-05-2022,41
18-05-2022,46
19-05-2022,35
21-05-2022,37
24-05-2022,40
25-05-2022,45
26-05-2022,24
27-05-2022,31
28-05-2022,41
29-05-2022,39
30-05-2022,26
02-06-2022,23
03-06-2022,29
04-06-2022,27
05-06-2022,26
06-06-2022,36
08-06-2022,22
09-06-2022,27
13-06-2022,44
14-06-2022,26
15-06-2022,26
17-06-2022,22
19-06-2022,19
21-06-2022,27
24-06-2022,41
25-06-2022,22
26-06-2022,18
27-06-2022,18
28-06-2022,15
08-07-2022,16
12-07-2022,13
14-07-2022,13
15-07-2022,16
16-07-2022,16
17-07-2022,20
18-07-2022,18
19-07-2022,15
20-07-2022,13
21-07-2022,14
22-07-2022,14
23-07-2022,16
24-07-2022,12
25-07-2022,13
26-07-2022,17
27-07-2022,16
28-07-2022,17
29-07-2022,19
30-07-2022,16
31-07-2022,14
01-08-2022,14
02-08-2022,17
03-08-2022,15
05-08-2022,23
06-08-2022,20
07-08-2022,18
08-08-2022,13
09-08-2022,17
24-08-2022,24
25-08-2022,18
26-08-2022,20
27-08-2022,18
28-08-2022,21
29-08-2022,17
30-08-2022,20
31-08-2022,17
01-09-2022,19
02-09-2022,20
03-09-2022,15
04-09-2022,18
05-09-2022,17
06-09-2022,23
07-09-2022,20
08-09-2022,17
09-09-2022,14
27-09-2022,16
28-09-2022,22
29-09-2022,26
30-09-2022,21
01-10-2022,28
02-10-2022,24
03-10-2022,21
06-10-2022,15
07-10-2022,16
08-10-2022,16
09-10-2022,15
10-10-2022,15
11-10-2022,16
12-10-2022,15
13-10-2022,15
14-10-2022,31
15-10-2022,23
16-10-2022,32
17-10-2022,25
18-10-2022,30
19-10-2022,34
20-10-2022,33
21-10-2022,34
22-10-2022,33
23-10-2022,34
24-10-2022,30
25-10-2022,26
26-10-2022,25
27-10-2022,29
28-10-2022,40
29-10-2022,33
30-10-2022,31
31-10-2022,31
01-11-2022,27
02-11-2022,28
03-11-2022,27
04-11-2022,30
05-11-2022,30
06-11-2022,30
07-11-2022,28
08-11-2022,36
09-11-2022,37
10-11-2022,35
11-11-2022,37
12-11-2022,30
13-11-2022,59
14-11-2022,82
15-11-2022,64
16-11-2022,38
17-11-2022,42
18-11-2022,46
19-11-2022,38
20-11-2022,27
21-11-2022,30
22-11-2022,35
23-11-2022,30
24-11-2022,31
25-11-2022,25
26-11-2022,27
27-11-2022,33
28-11-2022,31
29-11-2022,31
30-11-2022,31
01-12-2022,33
02-12-2022,31
03-12-2022,31
04-12-2022,37
05-12-2022,33
06-12-2022,28
07-12-2022,29
08-12-2022,28
09-12-2022,28
10-12-2022,34
11-12-2022,44
12-12-2022,51
13-12-2022,63
14-12-2022,100
15-12-2022,78
16-12-2022,61
17-12-2022,81
18-12-2022,45
19-12-2022,44
20-12-2022,53
21-12-2022,54
22-12-2022,47
23-12-2022,51
24-12-2022,59
25-12-2022,43
26-12-2022,59
27-12-2022,95
28-12-2022,140
29-12-2022,182
30-12-2022,100
31-12-2022,70
01-01-2023,105
02-01-2023,92
03-01-2023,64
04-01-2023,46
05-01-2023,38
06-01-2023,29
07-01-2023,30
08-01-2023,30
09-01-2023,30
10-01-2023,35
11-01-2023,42
12-01-2023,45
13-01-2023,51
14-01-2023,82
15-01-2023,220
16-01-2023,264
17-01-2023,194
18-01-2023,159
19-01-2023,152
20-01-2023,96
21-01-2023,70
22-01-2023,99
23-01-2023,106
24-01-2023,110
25-01-2023,93
26-01-2023,65
27-01-2023,75
28-01-2023,95
29-01-2023,86
