Date,AQI
28-12-2015,305
29-12-2015,297
30-12-2015,280
31-12-2015,273
01-01-2016,325
02-01-2016,348
03-01-2016,317
04-01-2016,292
05-01-2016,312
06-01-2016,302
07-01-2016,273
08-01-2016,258
09-01-2016,256
10-01-2016,123
11-01-2016,226
12-01-2016,264
13-01-2016,292
16-01-2016,295
17-01-2016,291
18-01-2016,304
19-01-2016,319
21-01-2016,244
22-01-2016,134
23-01-2016,210
24-01-2016,335
25-01-2016,335
28-01-2016,267
29-01-2016,290
30-01-2016,291
02-02-2016,146
05-02-2016,200
06-02-2016,207
07-02-2016,227
08-02-2016,262
09-02-2016,236
10-02-2016,240
11-02-2016,200
12-02-2016,196
13-02-2016,166
14-02-2016,141
15-02-2016,203
16-02-2016,193
17-02-2016,99
20-02-2016,104
21-02-2016,74
22-02-2016,56
23-02-2016,55
24-02-2016,76
25-02-2016,190
26-02-2016,111
27-02-2016,72
28-02-2016,138
29-02-2016,182
01-03-2016,177
02-03-2016,158
03-03-2016,338
04-03-2016,143
05-03-2016,154
06-03-2016,146
07-03-2016,103
09-03-2016,90
10-03-2016,91
11-03-2016,117
13-03-2016,96
15-03-2016,54
16-03-2016,52
17-03-2016,61
18-03-2016,116
19-03-2016,123
20-03-2016,192
21-03-2016,86
23-03-2016,62
24-03-2016,82
26-03-2016,130
27-03-2016,173
28-03-2016,72
29-03-2016,86
30-03-2016,85
31-03-2016,93
01-04-2016,93
04-04-2016,129
05-04-2016,82
08-04-2016,44
09-04-2016,67
10-04-2016,46
11-04-2016,66
12-04-2016,61
13-04-2016,43
14-04-2016,70
15-04-2016,73
16-04-2016,88
17-04-2016,105
19-04-2016,77
20-04-2016,65
21-04-2016,119
22-04-2016,60
23-04-2016,66
25-04-2016,113
27-04-2016,173
28-07-2016,50
29-07-2016,85
30-07-2016,51
31-07-2016,60
02-08-2016,54
03-08-2016,55
05-08-2016,54
08-08-2016,53
09-08-2016,54
10-08-2016,52
11-08-2016,165
12-08-2016,51
13-08-2016,55
14-08-2016,49
15-08-2016,48
16-08-2016,146
17-08-2016,57
20-08-2016,97
21-08-2016,60
22-08-2016,52
24-08-2016,126
26-08-2016,58
27-08-2016,30
28-08-2016,33
29-08-2016,48
30-08-2016,44
31-08-2016,38
01-09-2016,39
02-09-2016,48
03-09-2016,40
04-09-2016,103
05-09-2016,153
06-09-2016,30
07-09-2016,50
08-09-2016,91
09-09-2016,47
10-09-2016,82
11-09-2016,44
12-09-2016,60
13-09-2016,33
15-09-2016,22
29-09-2016,61
30-09-2016,55
05-10-2016,53
10-10-2016,49
14-10-2016,28
15-10-2016,58
18-10-2016,45
19-10-2016,446
20-10-2016,385
21-10-2016,440
22-10-2016,380
23-10-2016,288
24-10-2016,214
25-10-2016,220
27-10-2016,253
29-10-2016,202
30-10-2016,252
31-10-2016,326
01-11-2016,281
02-11-2016,248
03-11-2016,232
04-11-2016,221
05-11-2016,221
06-11-2016,217
07-11-2016,324
08-11-2016,365
09-11-2016,329
11-11-2016,479
12-11-2016,407
13-11-2016,266
14-11-2016,228
15-11-2016,343
16-11-2016,368
17-11-2016,423
18-11-2016,414
19-11-2016,394
20-11-2016,338
21-11-2016,317
22-11-2016,288
23-11-2016,179
24-11-2016,308
25-11-2016,199
26-11-2016,277
27-11-2016,387
28-11-2016,384
29-11-2016,346
30-11-2016,381
01-12-2016,350
02-12-2016,336
03-12-2016,361
04-12-2016,233
05-12-2016,218
06-12-2016,307
08-12-2016,227
09-12-2016,284
10-12-2016,215
11-12-2016,235
12-12-2016,298
13-12-2016,294
14-12-2016,449
15-12-2016,372
16-12-2016,321
17-12-2016,329
18-12-2016,357
19-12-2016,307
20-12-2016,397
21-12-2016,430
23-12-2016,425
24-12-2016,455
25-12-2016,373
26-12-2016,386
27-12-2016,384
28-12-2016,377
30-12-2016,337
31-12-2016,346
01-01-2017,283
02-01-2017,256
03-01-2017,251
04-01-2017,226
05-01-2017,256
08-01-2017,323
09-01-2017,385
10-01-2017,251
11-01-2017,295
12-01-2017,245
13-01-2017,316
14-01-2017,307
15-01-2017,319
16-01-2017,346
19-01-2017,395
20-01-2017,313
21-01-2017,226
24-01-2017,274
28-01-2017,316
31-01-2017,414
10-02-2017,340
11-02-2017,328
17-02-2017,411
18-02-2017,429
19-02-2017,356
20-02-2017,281
21-02-2017,217
22-02-2017,256
23-02-2017,175
24-02-2017,207
07-03-2017,191
08-03-2017,197
09-03-2017,258
10-03-2017,255
12-03-2017,145
13-03-2017,161
