Date,AQI
03-05-2017,345
04-05-2017,110
05-05-2017,348
06-05-2017,347
07-05-2017,366
08-05-2017,361
09-05-2017,356
10-05-2017,203
11-05-2017,201
12-05-2017,385
13-05-2017,346
14-05-2017,323
15-05-2017,320
16-05-2017,357
17-05-2017,248
18-05-2017,265
19-05-2017,251
20-05-2017,335
21-05-2017,425
22-05-2017,264
23-05-2017,338
24-05-2017,236
25-05-2017,252
26-05-2017,264
27-05-2017,294
28-05-2017,158
29-05-2017,106
30-05-2017,122
31-05-2017,123
01-06-2017,231
02-06-2017,266
03-06-2017,343
04-06-2017,376
05-06-2017,325
06-06-2017,325
07-06-2017,197
08-06-2017,140
09-06-2017,181
10-06-2017,207
11-06-2017,213
12-06-2017,218
13-06-2017,256
14-06-2017,350
15-06-2017,352
16-06-2017,205
17-06-2017,110
19-06-2017,336
20-06-2017,125
21-06-2017,351
22-06-2017,215
23-06-2017,181
24-06-2017,202
25-06-2017,189
26-06-2017,145
27-06-2017,123
28-06-2017,94
29-06-2017,62
30-06-2017,71
01-07-2017,93
02-07-2017,63
03-07-2017,151
04-07-2017,160
06-07-2017,224
07-07-2017,153
08-07-2017,154
09-07-2017,251
10-07-2017,175
11-07-2017,138
12-07-2017,70
13-07-2017,86
14-07-2017,101
15-07-2017,105
16-07-2017,102
17-07-2017,111
18-07-2017,83
19-07-2017,123
20-07-2017,90
21-07-2017,62
22-07-2017,65
23-07-2017,63
24-07-2017,59
26-07-2017,73
27-07-2017,113
28-07-2017,105
29-07-2017,86
30-07-2017,74
31-07-2017,61
01-08-2017,68
02-08-2017,186
03-08-2017,120
04-08-2017,145
05-08-2017,172
06-08-2017,248
07-08-2017,164
08-08-2017,74
09-08-2017,106
10-08-2017,136
11-08-2017,112
12-08-2017,98
13-08-2017,96
14-08-2017,130
15-08-2017,136
16-08-2017,155
17-08-2017,163
18-08-2017,181
19-08-2017,111
20-08-2017,69
21-08-2017,84
22-08-2017,104
23-08-2017,111
24-08-2017,75
25-08-2017,136
26-08-2017,99
27-08-2017,88
28-08-2017,86
29-08-2017,64
30-08-2017,81
31-08-2017,72
01-09-2017,55
02-09-2017,263
03-09-2017,321
04-09-2017,153
05-09-2017,113
06-09-2017,124
07-09-2017,93
08-09-2017,187
09-09-2017,193
10-09-2017,183
11-09-2017,183
12-09-2017,158
13-09-2017,177
14-09-2017,191
15-09-2017,192
16-09-2017,222
17-09-2017,169
18-09-2017,153
19-09-2017,202
20-09-2017,225
21-09-2017,212
22-09-2017,62
23-09-2017,64
24-09-2017,90
25-09-2017,304
26-09-2017,228
27-09-2017,273
28-09-2017,295
29-09-2017,271
30-09-2017,275
01-10-2017,232
02-10-2017,205
03-10-2017,200
04-10-2017,265
05-10-2017,266
06-10-2017,254
07-10-2017,245
08-10-2017,309
09-10-2017,302
10-10-2017,288
11-10-2017,296
12-10-2017,338
13-10-2017,342
15-10-2017,375
16-10-2017,385
17-10-2017,367
18-10-2017,408
19-10-2017,323
20-10-2017,412
21-10-2017,454
22-10-2017,381
