Date,AQI
01-07-2021,57
02-07-2021,43
04-07-2021,35
05-07-2021,41
06-07-2021,50
07-07-2021,48
08-07-2021,34
09-07-2021,21
10-07-2021,23
11-07-2021,25
13-07-2021,22
14-07-2021,22
15-07-2021,26
16-07-2021,30
17-07-2021,31
18-07-2021,18
19-07-2021,21
20-07-2021,18
21-07-2021,18
22-07-2021,19
23-07-2021,21
24-07-2021,12
25-07-2021,18
26-07-2021,45
27-07-2021,25
28-07-2021,22
29-07-2021,21
30-07-2021,16
31-07-2021,12
01-08-2021,15
02-08-2021,17
03-08-2021,18
04-08-2021,21
05-08-2021,19
06-08-2021,20
07-08-2021,21
08-08-2021,22
09-08-2021,19
10-08-2021,17
11-08-2021,22
12-08-2021,22
13-08-2021,19
14-08-2021,21
15-08-2021,38
16-08-2021,29
17-08-2021,30
18-08-2021,38
19-08-2021,17
20-08-2021,21
21-08-2021,13
22-08-2021,21
23-08-2021,23
24-08-2021,25
25-08-2021,27
26-08-2021,20
27-08-2021,32
28-08-2021,27
29-08-2021,16
31-08-2021,18
01-09-2021,29
02-09-2021,39
03-09-2021,17
04-09-2021,25
05-09-2021,32
06-09-2021,39
07-09-2021,21
08-09-2021,17
09-09-2021,26
10-09-2021,25
11-09-2021,25
12-09-2021,26
13-09-2021,19
14-09-2021,21
17-09-2021,17
18-09-2021,23
19-09-2021,44
20-09-2021,49
21-09-2021,22
22-09-2021,22
23-09-2021,33
24-09-2021,29
25-09-2021,30
26-09-2021,29
27-09-2021,50
28-09-2021,22
29-09-2021,19
30-09-2021,19
06-10-2021,67
07-10-2021,64
08-10-2021,107
09-10-2021,166
10-10-2021,167
11-10-2021,160
12-10-2021,145
13-10-2021,150
14-10-2021,138
15-10-2021,127
16-10-2021,82
17-10-2021,66
18-10-2021,21
19-10-2021,17
20-10-2021,31
21-10-2021,144
22-10-2021,194
23-10-2021,193
24-10-2021,196
25-10-2021,195
26-10-2021,135
27-10-2021,127
28-10-2021,146
29-10-2021,200
30-10-2021,202
31-10-2021,244
01-11-2021,255
02-11-2021,261
03-11-2021,254
04-11-2021,298
05-11-2021,372
06-11-2021,386
07-11-2021,347
08-11-2021,345
09-11-2021,393
10-11-2021,346
11-11-2021,271
12-11-2021,260
13-11-2021,297
14-11-2021,295
15-11-2021,302
17-11-2021,296
18-11-2021,308
19-11-2021,309
20-11-2021,281
21-11-2021,162
22-11-2021,120
23-11-2021,130
24-11-2021,197
25-11-2021,240
26-11-2021,281
27-11-2021,322
28-11-2021,236
29-11-2021,187
30-11-2021,142
01-12-2021,173
02-12-2021,152
03-12-2021,138
04-12-2021,103
05-12-2021,89
06-12-2021,130
07-12-2021,80
08-12-2021,71
09-12-2021,63
10-12-2021,86
11-12-2021,113
12-12-2021,136
13-12-2021,173
14-12-2021,184
15-12-2021,135
16-12-2021,90
17-12-2021,119
18-12-2021,93
19-12-2021,133
20-12-2021,251
21-12-2021,247
22-12-2021,235
23-12-2021,152
24-12-2021,112
25-12-2021,155
26-12-2021,131
27-12-2021,131
28-12-2021,147
29-12-2021,56
30-12-2021,40
31-12-2021,65
01-01-2022,107
02-01-2022,157
03-01-2022,202
04-01-2022,184
05-01-2022,252
06-01-2022,209
07-01-2022,142
08-01-2022,83
09-01-2022,80
10-01-2022,77
11-01-2022,73
12-01-2022,66
13-01-2022,38
14-01-2022,78
15-01-2022,85
16-01-2022,93
17-01-2022,116
18-01-2022,124
19-01-2022,157
20-01-2022,143
21-01-2022,113
22-01-2022,212
23-01-2022,155
24-01-2022,147
26-01-2022,94
27-01-2022,98
28-01-2022,98
29-01-2022,102
30-01-2022,202
31-01-2022,117
02-02-2022,102
03-02-2022,121
04-02-2022,34
05-02-2022,33
06-02-2022,56
07-02-2022,77
08-02-2022,86
09-02-2022,108
10-02-2022,85
11-02-2022,65
12-02-2022,80
13-02-2022,86
14-02-2022,84
15-02-2022,81
16-02-2022,106
17-02-2022,97
18-02-2022,78
19-02-2022,87
20-02-2022,63
21-02-2022,89
22-02-2022,101
23-02-2022,72
25-02-2022,70
26-02-2022,46
27-02-2022,64
28-02-2022,62
02-03-2022,75
03-03-2022,74
04-03-2022,68
05-03-2022,64
06-03-2022,64
07-03-2022,80
08-03-2022,72
09-03-2022,81
10-03-2022,87
11-03-2022,84
12-03-2022,76
13-03-2022,78
14-03-2022,84
15-03-2022,94
16-03-2022,91
17-03-2022,81
18-03-2022,79
19-03-2022,88
20-03-2022,72
21-03-2022,92
22-03-2022,95
23-03-2022,78
24-03-2022,89
25-03-2022,81
26-03-2022,107
27-03-2022,89
28-03-2022,97
29-03-2022,96
30-03-2022,68
31-03-2022,65
01-04-2022,79
02-04-2022,80
03-04-2022,61
04-04-2022,92
05-04-2022,85
06-04-2022,84
07-04-2022,61
08-04-2022,58
09-04-2022,59
10-04-2022,46
11-04-2022,41
12-04-2022,43
13-04-2022,54
14-04-2022,63
15-04-2022,83
16-04-2022,89
17-04-2022,63
18-04-2022,85
19-04-2022,56
20-04-2022,45
21-04-2022,41
22-04-2022,48
23-04-2022,81
24-04-2022,114
26-04-2022,94
27-04-2022,83
28-04-2022,68
29-04-2022,51
30-04-2022,49
01-05-2022,45
02-05-2022,59
03-05-2022,39
04-05-2022,42
05-05-2022,38
06-05-2022,42
07-05-2022,45
08-05-2022,39
09-05-2022,47
10-05-2022,40
11-05-2022,41
12-05-2022,42
13-05-2022,54
14-05-2022,54
15-05-2022,46
16-05-2022,57
17-05-2022,52
18-05-2022,50
19-05-2022,57
20-05-2022,54
21-05-2022,50
22-05-2022,47
23-05-2022,61
24-05-2022,44
25-05-2022,48
26-05-2022,52
27-05-2022,66
28-05-2022,65
29-05-2022,44
30-05-2022,47
31-05-2022,54
01-06-2022,60
02-06-2022,52
03-06-2022,57
04-06-2022,62
05-06-2022,48
06-06-2022,46
07-06-2022,44
08-06-2022,47
12-06-2022,55
13-06-2022,52
14-06-2022,49
15-06-2022,58
16-06-2022,46
17-06-2022,46
18-06-2022,50
19-06-2022,45
20-06-2022,45
21-06-2022,45
22-06-2022,44
23-06-2022,50
24-06-2022,45
25-06-2022,45
26-06-2022,45
27-06-2022,45
28-06-2022,46
29-06-2022,45
30-06-2022,46
01-07-2022,46
02-07-2022,46
03-07-2022,47
04-07-2022,46
05-07-2022,45
06-07-2022,48
07-07-2022,47
08-07-2022,48
09-07-2022,47
12-07-2022,47
13-07-2022,47
14-07-2022,47
15-07-2022,47
16-07-2022,47
17-07-2022,47
18-07-2022,48
19-07-2022,47
20-07-2022,44
21-07-2022,44
22-07-2022,45
23-07-2022,45
26-07-2022,45
27-07-2022,46
28-07-2022,46
29-07-2022,47
30-07-2022,46
31-07-2022,45
01-08-2022,45
02-08-2022,45
03-08-2022,46
04-08-2022,46
05-08-2022,60
06-08-2022,45
07-08-2022,40
08-08-2022,40
10-08-2022,45
11-08-2022,44
12-08-2022,45
13-08-2022,45
14-08-2022,44
15-08-2022,45
16-08-2022,45
17-08-2022,52
18-08-2022,48
19-08-2022,47
20-08-2022,47
21-08-2022,47
22-08-2022,52
23-08-2022,65
24-08-2022,44
25-08-2022,49
26-08-2022,56
27-08-2022,58
28-08-2022,45
29-08-2022,45
30-08-2022,45
01-09-2022,46
02-09-2022,46
03-09-2022,59
04-09-2022,46
05-09-2022,46
06-09-2022,58
07-09-2022,50
08-09-2022,50
09-09-2022,46
10-09-2022,46
11-09-2022,47
12-09-2022,46
13-09-2022,47
14-09-2022,47
16-09-2022,48
17-09-2022,50
18-09-2022,50
19-09-2022,50
20-09-2022,51
21-09-2022,51
22-09-2022,52
23-09-2022,57
24-09-2022,52
25-09-2022,51
26-09-2022,50
27-09-2022,58
28-09-2022,63
29-09-2022,71
30-09-2022,103
01-10-2022,82
02-10-2022,99
03-10-2022,115
04-10-2022,48
05-10-2022,49
06-10-2022,48
07-10-2022,49
08-10-2022,50
09-10-2022,51
10-10-2022,50
11-10-2022,51
12-10-2022,50
13-10-2022,50
14-10-2022,65
15-10-2022,88
16-10-2022,90
17-10-2022,100
18-10-2022,130
19-10-2022,184
20-10-2022,240
21-10-2022,205
22-10-2022,128
23-10-2022,85
24-10-2022,86
25-10-2022,213
26-10-2022,250
27-10-2022,125
28-10-2022,135
29-10-2022,126
30-10-2022,168
31-10-2022,118
01-11-2022,139
02-11-2022,193
03-11-2022,175
04-11-2022,181
05-11-2022,128
06-11-2022,99
07-11-2022,217
08-11-2022,184
09-11-2022,221
10-11-2022,188
11-11-2022,135
12-11-2022,156
13-11-2022,130
14-11-2022,116
15-11-2022,117
16-11-2022,122
17-11-2022,124
18-11-2022,112
21-11-2022,115
22-11-2022,118
23-11-2022,123
24-11-2022,123
25-11-2022,130
26-11-2022,129
27-11-2022,116
28-11-2022,123
29-11-2022,136
30-11-2022,122
01-12-2022,93
02-12-2022,106
03-12-2022,116
04-12-2022,116
05-12-2022,115
06-12-2022,135
07-12-2022,120
08-12-2022,126
09-12-2022,134
10-12-2022,109
11-12-2022,114
12-12-2022,165
13-12-2022,111
14-12-2022,111
15-12-2022,116
16-12-2022,98
18-12-2022,184
19-12-2022,182
20-12-2022,204
21-12-2022,141
23-12-2022,96
24-12-2022,125
25-12-2022,106
26-12-2022,114
27-12-2022,118
28-12-2022,128
29-12-2022,160
30-12-2022,175
31-12-2022,250
01-01-2023,201
02-01-2023,107
03-01-2023,106
05-01-2023,109
06-01-2023,112
07-01-2023,144
08-01-2023,132
09-01-2023,131
10-01-2023,128
11-01-2023,129
12-01-2023,173
13-01-2023,135
14-01-2023,230
15-01-2023,137
16-01-2023,129
17-01-2023,133
18-01-2023,150
19-01-2023,158
20-01-2023,124
21-01-2023,117
22-01-2023,123
23-01-2023,116
24-01-2023,99
25-01-2023,118
26-01-2023,115
27-01-2023,85
28-01-2023,110
29-01-2023,109
30-01-2023,114
31-01-2023,97
01-02-2023,77
02-02-2023,87
03-02-2023,113
04-02-2023,114
05-02-2023,111
06-02-2023,114
07-02-2023,112
08-02-2023,121
09-02-2023,100
10-02-2023,95
11-02-2023,94
12-02-2023,125
13-02-2023,108
14-02-2023,100
15-02-2023,118
16-02-2023,120
17-02-2023,104
19-02-2023,111
20-02-2023,125
21-02-2023,107
22-02-2023,115
23-02-2023,96
24-02-2023,103
25-02-2023,111
26-02-2023,109
27-02-2023,99
28-02-2023,118
01-03-2023,121
02-03-2023,123
03-03-2023,109
04-03-2023,106
05-03-2023,112
06-03-2023,96
08-03-2023,83
09-03-2023,83
10-03-2023,94
11-03-2023,99
12-03-2023,142
13-03-2023,131
14-03-2023,154
15-03-2023,104
16-03-2023,131
17-03-2023,92
18-03-2023,101
19-03-2023,70
20-03-2023,58
22-03-2023,58
23-03-2023,58
24-03-2023,99
25-03-2023,93
26-03-2023,95
27-03-2023,65
28-03-2023,63
29-03-2023,64
30-03-2023,59
31-03-2023,102
01-04-2023,72
02-04-2023,73
03-04-2023,67
04-04-2023,73
05-04-2023,59
06-04-2023,81
07-04-2023,75
08-04-2023,84
09-04-2023,87
10-04-2023,88
12-04-2023,95
13-04-2023,106
14-04-2023,103
15-04-2023,101
16-04-2023,106
17-04-2023,107
18-04-2023,100
19-04-2023,95
20-04-2023,92
21-04-2023,76
22-04-2023,71
23-04-2023,69
24-04-2023,89
25-04-2023,71
27-04-2023,98
28-04-2023,167
29-04-2023,91
30-04-2023,137
02-05-2023,65
03-05-2023,65
04-05-2023,62
05-05-2023,97
06-05-2023,115
07-05-2023,151
08-05-2023,126
09-05-2023,113
10-05-2023,78
11-05-2023,135
12-05-2023,136
17-05-2023,104
18-05-2023,116
19-05-2023,104
20-05-2023,132
21-05-2023,120
22-05-2023,121
23-05-2023,89
24-05-2023,68
25-05-2023,92
26-05-2023,114
27-05-2023,88
28-05-2023,105
29-05-2023,132
30-05-2023,138
31-05-2023,153
01-06-2023,92
02-06-2023,102
03-06-2023,106
04-06-2023,111
05-06-2023,124
06-06-2023,120
07-06-2023,117
08-06-2023,128
09-06-2023,130
10-06-2023,113
11-06-2023,92
13-06-2023,96
14-06-2023,177
15-06-2023,232
16-06-2023,166
17-06-2023,110
18-06-2023,100
19-06-2023,91
20-06-2023,94
22-06-2023,81
23-06-2023,69
24-06-2023,72
25-06-2023,68
27-06-2023,55
28-06-2023,46
29-06-2023,50
30-06-2023,50
01-07-2023,49
02-07-2023,49
03-07-2023,50
04-07-2023,69
05-07-2023,61
06-07-2023,57
07-07-2023,54
08-07-2023,50
09-07-2023,59
10-07-2023,72
11-07-2023,61
12-07-2023,88
13-07-2023,60
14-07-2023,50
15-07-2023,50
16-07-2023,59
17-07-2023,49
18-07-2023,51
19-07-2023,53
20-07-2023,57
21-07-2023,67
22-07-2023,59
23-07-2023,62
24-07-2023,63
25-07-2023,64
26-07-2023,68
27-07-2023,69
28-07-2023,71
29-07-2023,72
30-07-2023,72
31-07-2023,70
01-08-2023,65
