Date,AQI
26-05-2018,192
27-05-2018,218
28-05-2018,197
29-05-2018,256
30-05-2018,213
31-05-2018,159
01-06-2018,171
02-06-2018,168
03-06-2018,120
04-06-2018,146
05-06-2018,138
06-06-2018,143
07-06-2018,121
08-06-2018,153
13-06-2018,500
14-06-2018,500
15-06-2018,473
16-06-2018,452
17-06-2018,356
18-06-2018,166
19-06-2018,168
20-06-2018,218
21-06-2018,216
22-06-2018,243
23-06-2018,199
24-06-2018,221
25-06-2018,263
26-06-2018,172
27-06-2018,145
28-06-2018,59
29-06-2018,83
30-06-2018,70
01-07-2018,82
03-07-2018,88
04-07-2018,98
05-07-2018,115
06-07-2018,142
07-07-2018,177
08-07-2018,174
09-07-2018,148
10-07-2018,98
11-07-2018,82
12-07-2018,128
13-07-2018,71
14-07-2018,59
15-07-2018,72
16-07-2018,73
17-07-2018,100
18-07-2018,114
19-07-2018,101
20-07-2018,72
21-07-2018,114
22-07-2018,50
24-07-2018,104
25-07-2018,58
26-07-2018,50
27-07-2018,58
28-07-2018,51
29-07-2018,98
30-07-2018,127
31-07-2018,165
01-08-2018,172
02-08-2018,257
03-08-2018,270
04-08-2018,253
05-08-2018,232
06-08-2018,129
07-08-2018,90
08-08-2018,71
09-08-2018,84
10-08-2018,107
11-08-2018,115
12-08-2018,84
13-08-2018,102
14-08-2018,99
15-08-2018,118
16-08-2018,90
17-08-2018,84
18-08-2018,90
19-08-2018,62
20-08-2018,97
21-08-2018,103
22-08-2018,120
23-08-2018,59
24-08-2018,65
25-08-2018,77
26-08-2018,86
27-08-2018,48
28-08-2018,135
29-08-2018,60
30-08-2018,73
31-08-2018,144
01-09-2018,150
02-09-2018,122
03-09-2018,60
04-09-2018,100
05-09-2018,76
06-09-2018,176
07-09-2018,71
08-09-2018,107
09-09-2018,51
10-09-2018,52
11-09-2018,71
12-09-2018,88
13-09-2018,131
14-09-2018,132
15-09-2018,148
16-09-2018,145
17-09-2018,161
18-09-2018,162
19-09-2018,185
20-09-2018,189
21-09-2018,139
22-09-2018,48
23-09-2018,73
24-09-2018,68
25-09-2018,48
26-09-2018,104
27-09-2018,235
28-09-2018,284
29-09-2018,299
30-09-2018,197
01-10-2018,167
02-10-2018,250
03-10-2018,150
04-10-2018,202
05-10-2018,266
06-10-2018,242
07-10-2018,234
08-10-2018,290
09-10-2018,252
10-10-2018,217
11-10-2018,182
12-10-2018,146
13-10-2018,281
14-10-2018,218
15-10-2018,252
16-10-2018,284
17-10-2018,279
18-10-2018,293
19-10-2018,284
20-10-2018,317
21-10-2018,295
22-10-2018,276
23-10-2018,242
24-10-2018,318
25-10-2018,310
26-10-2018,352
27-10-2018,391
28-10-2018,362
