Date,AQI
06-01-2021,74
07-01-2021,47
08-01-2021,73
09-01-2021,79
10-01-2021,128
25-01-2021,168
26-01-2021,94
27-01-2021,208
29-01-2021,236
30-01-2021,204
31-01-2021,138
01-02-2021,147
02-02-2021,142
03-02-2021,160
04-02-2021,145
05-02-2021,175
06-02-2021,152
07-02-2021,143
08-02-2021,139
09-02-2021,200
10-02-2021,222
11-02-2021,172
12-02-2021,204
13-02-2021,107
14-02-2021,76
15-02-2021,137
17-02-2021,156
18-02-2021,131
19-02-2021,143
20-02-2021,92
05-03-2021,191
06-03-2021,120
07-03-2021,106
08-03-2021,82
09-03-2021,116
13-03-2021,112
14-03-2021,106
15-03-2021,104
16-03-2021,109
17-03-2021,109
18-03-2021,121
19-03-2021,176
20-03-2021,170
21-03-2021,136
22-03-2021,122
26-03-2021,182
27-03-2021,140
28-03-2021,127
30-03-2021,78
31-03-2021,115
01-04-2021,154
02-04-2021,124
03-04-2021,150
04-04-2021,148
05-04-2021,133
06-04-2021,121
07-04-2021,110
08-04-2021,92
10-04-2021,138
11-04-2021,88
12-04-2021,42
13-04-2021,50
14-04-2021,40
15-04-2021,110
16-04-2021,29
17-04-2021,71
18-04-2021,72
19-04-2021,70
20-04-2021,169
21-04-2021,142
22-04-2021,81
23-04-2021,79
24-04-2021,78
25-04-2021,82
26-04-2021,81
27-04-2021,63
28-04-2021,120
29-04-2021,132
05-05-2021,67
06-05-2021,74
07-05-2021,71
08-05-2021,74
09-05-2021,68
10-05-2021,45
11-05-2021,43
12-05-2021,60
13-05-2021,65
14-05-2021,73
15-05-2021,75
16-05-2021,79
18-05-2021,69
19-05-2021,80
20-05-2021,80
21-05-2021,44
22-05-2021,40
25-05-2021,113
26-05-2021,81
27-05-2021,85
28-05-2021,100
29-05-2021,89
30-05-2021,84
31-05-2021,81
01-06-2021,109
02-06-2021,79
03-06-2021,92
08-06-2021,84
09-06-2021,92
10-06-2021,94
11-06-2021,92
12-06-2021,103
13-06-2021,54
14-06-2021,43
15-06-2021,60
16-06-2021,100
17-06-2021,93
18-06-2021,116
19-06-2021,141
20-06-2021,140
21-06-2021,112
22-06-2021,111
23-06-2021,133
24-06-2021,117
25-06-2021,124
30-06-2021,96
01-07-2021,84
02-07-2021,82
03-07-2021,81
04-07-2021,84
07-07-2021,81
08-07-2021,61
20-08-2021,77
21-08-2021,86
22-08-2021,91
23-08-2021,67
24-08-2021,176
25-08-2021,89
26-08-2021,79
27-08-2021,65
28-08-2021,46
29-08-2021,47
30-08-2021,62
31-08-2021,101
01-09-2021,116
02-09-2021,98
03-09-2021,76
04-09-2021,73
05-09-2021,47
06-09-2021,56
07-09-2021,61
08-09-2021,63
09-09-2021,95
11-09-2021,82
