Date,AQI
15-12-2015,136
25-12-2015,136
26-12-2015,152
27-12-2015,156
28-12-2015,158
29-12-2015,140
23-01-2016,200
04-02-2016,315
05-02-2016,195
24-02-2016,307
25-02-2016,295
26-02-2016,295
27-02-2016,331
28-02-2016,347
29-02-2016,339
01-03-2016,365
02-03-2016,383
08-03-2016,214
09-03-2016,311
27-03-2016,113
31-03-2016,367
01-04-2016,367
11-04-2016,171
12-04-2016,146
13-04-2016,157
19-04-2016,262
20-04-2016,259
21-04-2016,312
23-04-2016,228
24-04-2016,268
25-04-2016,249
29-04-2016,344
30-04-2016,322
01-05-2016,339
03-05-2016,330
04-05-2016,260
05-05-2016,236
06-05-2016,177
07-05-2016,241
08-05-2016,256
09-05-2016,165
10-05-2016,156
11-05-2016,85
12-05-2016,128
13-05-2016,197
14-05-2016,227
15-05-2016,226
16-05-2016,168
18-05-2016,221
19-05-2016,179
20-05-2016,140
21-05-2016,138
22-05-2016,140
23-05-2016,214
24-05-2016,107
25-05-2016,135
26-05-2016,188
27-05-2016,369
28-05-2016,325
29-05-2016,53
30-05-2016,28
31-05-2016,29
01-06-2016,104
02-06-2016,152
03-06-2016,252
04-06-2016,262
08-06-2016,143
10-06-2016,249
11-06-2016,192
12-06-2016,127
13-06-2016,273
14-06-2016,136
16-06-2016,199
17-06-2016,101
18-06-2016,109
19-06-2016,139
21-06-2016,94
14-07-2016,78
15-07-2016,53
16-07-2016,53
17-07-2016,39
18-07-2016,93
19-07-2016,134
20-07-2016,113
27-07-2016,56
28-07-2016,52
29-07-2016,61
30-07-2016,35
31-07-2016,49
01-08-2016,39
05-08-2016,46
06-08-2016,50
07-08-2016,33
08-08-2016,46
09-08-2016,55
10-08-2016,48
11-08-2016,40
12-08-2016,53
13-08-2016,136
14-08-2016,54
15-08-2016,50
16-08-2016,65
17-08-2016,67
18-08-2016,76
19-08-2016,76
20-08-2016,66
23-08-2016,49
24-08-2016,55
25-08-2016,44
26-08-2016,82
27-08-2016,60
28-08-2016,62
29-08-2016,95
02-09-2016,41
06-09-2016,55
10-09-2016,56
11-09-2016,57
12-09-2016,58
13-09-2016,77
15-09-2016,149
18-09-2016,128
19-09-2016,106
20-09-2016,202
21-09-2016,234
22-09-2016,114
23-09-2016,54
24-09-2016,82
25-09-2016,128
27-09-2016,92
28-09-2016,136
29-09-2016,160
30-09-2016,105
01-10-2016,151
02-10-2016,80
03-10-2016,134
04-10-2016,247
07-10-2016,212
08-10-2016,236
09-10-2016,194
10-10-2016,141
11-10-2016,207
12-10-2016,238
13-10-2016,232
15-10-2016,76
16-10-2016,98
17-10-2016,107
18-10-2016,134
19-10-2016,111
20-10-2016,200
21-10-2016,276
22-10-2016,100
23-10-2016,90
30-10-2016,317
31-10-2016,298
01-11-2016,404
02-11-2016,456
03-11-2016,454
04-11-2016,263
05-11-2016,419
06-11-2016,492
07-11-2016,450
08-11-2016,212
11-11-2016,373
12-11-2016,278
13-11-2016,149
14-11-2016,251
15-11-2016,194
16-11-2016,303
17-11-2016,291
18-11-2016,165
19-11-2016,260
20-11-2016,213
21-11-2016,238
22-11-2016,311
23-11-2016,182
24-11-2016,387
25-11-2016,306
26-11-2016,159
27-11-2016,212
28-11-2016,117
29-11-2016,328
30-11-2016,384
01-12-2016,352
02-12-2016,395
05-12-2016,421
06-12-2016,417
07-12-2016,407
08-12-2016,329
09-12-2016,373
10-12-2016,346
11-12-2016,299
12-12-2016,325
13-12-2016,320
14-12-2016,275
15-12-2016,223
16-12-2016,330
17-12-2016,370
18-12-2016,345
19-12-2016,374
20-12-2016,320
21-12-2016,214
22-12-2016,235
23-12-2016,401
24-12-2016,447
27-12-2016,372
28-12-2016,459
29-12-2016,437
30-12-2016,408
31-12-2016,377
01-01-2017,367
02-01-2017,440
03-01-2017,402
04-01-2017,455
05-01-2017,373
06-01-2017,395
07-01-2017,351
08-01-2017,348
09-01-2017,353
10-01-2017,356
11-01-2017,354
