Date,AQI
19-02-2019,76
20-02-2019,130
21-02-2019,103
22-02-2019,278
23-02-2019,302
24-02-2019,168
26-02-2019,224
27-02-2019,134
28-02-2019,113
01-03-2019,113
02-03-2019,191
03-03-2019,204
04-03-2019,240
05-03-2019,104
06-03-2019,147
07-03-2019,98
08-03-2019,221
09-03-2019,224
10-03-2019,274
11-03-2019,217
12-03-2019,298
13-03-2019,178
14-03-2019,282
15-03-2019,295
16-03-2019,244
17-03-2019,214
18-03-2019,272
19-03-2019,225
20-03-2019,108
21-03-2019,148
22-03-2019,165
23-03-2019,151
24-03-2019,127
25-03-2019,252
26-03-2019,269
27-03-2019,117
28-03-2019,118
29-03-2019,214
30-03-2019,268
31-03-2019,176
01-04-2019,51
02-04-2019,122
03-04-2019,87
04-04-2019,107
05-04-2019,54
06-04-2019,78
07-04-2019,121
08-04-2019,54
09-04-2019,44
10-04-2019,63
11-04-2019,114
12-04-2019,172
13-04-2019,193
14-04-2019,137
15-04-2019,70
16-04-2019,100
17-04-2019,75
18-04-2019,134
19-04-2019,106
20-04-2019,106
21-04-2019,63
22-04-2019,75
23-04-2019,89
24-04-2019,126
25-04-2019,209
26-04-2019,210
27-04-2019,120
28-04-2019,63
29-04-2019,49
30-04-2019,47
01-05-2019,51
02-05-2019,61
07-05-2019,119
08-05-2019,66
09-05-2019,65
10-05-2019,66
11-05-2019,61
12-05-2019,44
13-05-2019,75
14-05-2019,72
15-05-2019,80
16-05-2019,59
17-05-2019,69
18-05-2019,66
19-05-2019,49
20-05-2019,100
21-05-2019,61
22-05-2019,53
23-05-2019,56
24-05-2019,67
25-05-2019,163
26-05-2019,379
27-05-2019,72
28-05-2019,49
29-05-2019,58
30-05-2019,103
31-05-2019,74
01-06-2019,57
02-06-2019,114
03-06-2019,76
04-06-2019,45
05-06-2019,44
06-06-2019,58
07-06-2019,57
08-06-2019,35
09-06-2019,31
10-06-2019,36
11-06-2019,37
12-06-2019,57
13-06-2019,112
14-06-2019,32
15-06-2019,40
16-06-2019,41
17-06-2019,52
18-06-2019,51
19-06-2019,101
20-06-2019,76
21-06-2019,73
