Date,AQI
03-02-2020,268
04-02-2020,218
05-02-2020,278
06-02-2020,273
07-02-2020,226
08-02-2020,286
09-02-2020,296
10-02-2020,295
11-02-2020,268
12-02-2020,255
13-02-2020,234
14-02-2020,152
15-02-2020,143
16-02-2020,170
17-02-2020,196
18-02-2020,192
19-02-2020,184
20-02-2020,140
21-02-2020,176
22-02-2020,184
23-02-2020,258
24-02-2020,223
25-02-2020,207
26-02-2020,208
27-02-2020,174
28-02-2020,130
29-02-2020,114
01-03-2020,103
02-03-2020,100
03-03-2020,131
04-03-2020,127
05-03-2020,90
06-03-2020,108
07-03-2020,92
08-03-2020,102
09-03-2020,90
10-03-2020,188
11-03-2020,84
12-03-2020,90
13-03-2020,94
14-03-2020,92
15-03-2020,106
16-03-2020,132
17-03-2020,148
18-03-2020,136
19-03-2020,130
20-03-2020,111
21-03-2020,138
22-03-2020,114
23-03-2020,132
24-03-2020,112
25-03-2020,109
26-03-2020,97
27-03-2020,81
28-03-2020,96
29-03-2020,95
30-03-2020,110
31-03-2020,106
01-04-2020,98
02-04-2020,79
03-04-2020,84
04-04-2020,83
05-04-2020,91
06-04-2020,90
07-04-2020,89
08-04-2020,93
09-04-2020,94
10-04-2020,100
11-04-2020,93
12-04-2020,97
13-04-2020,90
14-04-2020,91
15-04-2020,104
16-04-2020,96
17-04-2020,112
18-04-2020,94
19-04-2020,107
20-04-2020,82
21-04-2020,84
22-04-2020,102
23-04-2020,81
24-04-2020,84
25-04-2020,100
26-04-2020,102
27-04-2020,118
28-04-2020,126
29-04-2020,116
30-04-2020,118
01-05-2020,98
02-05-2020,122
03-05-2020,169
04-05-2020,106
05-05-2020,185
06-05-2020,155
07-05-2020,175
08-05-2020,158
09-05-2020,162
10-05-2020,127
11-05-2020,183
12-05-2020,128
13-05-2020,112
14-05-2020,128
15-05-2020,163
16-05-2020,169
17-05-2020,160
18-05-2020,180
19-05-2020,139
20-05-2020,199
21-05-2020,166
22-05-2020,125
23-05-2020,151
24-05-2020,135
25-05-2020,117
26-05-2020,118
27-05-2020,142
28-05-2020,134
29-05-2020,160
30-05-2020,168
31-05-2020,150
01-06-2020,165
02-06-2020,165
03-06-2020,141
04-06-2020,63
05-06-2020,155
06-06-2020,151
07-06-2020,153
08-06-2020,108
09-06-2020,113
10-06-2020,123
11-06-2020,135
12-06-2020,125
13-06-2020,103
14-06-2020,99
15-06-2020,120
16-06-2020,161
17-06-2020,152
18-06-2020,107
19-06-2020,110
20-06-2020,86
21-06-2020,96
22-06-2020,93
23-06-2020,63
24-06-2020,75
25-06-2020,84
26-06-2020,100
27-06-2020,75
28-06-2020,68
29-06-2020,94
30-06-2020,106
01-07-2020,93
02-07-2020,109
03-07-2020,102
04-07-2020,99
05-07-2020,71
06-07-2020,75
07-07-2020,56
08-07-2020,49
09-07-2020,64
10-07-2020,61
11-07-2020,59
12-07-2020,57
13-07-2020,57
14-07-2020,66
15-07-2020,82
16-07-2020,61
17-07-2020,61
18-07-2020,73
19-07-2020,70
20-07-2020,52
21-07-2020,55
22-07-2020,46
23-07-2020,65
24-07-2020,83
25-07-2020,60
27-07-2020,76
28-07-2020,51
29-07-2020,38
30-07-2020,57
31-07-2020,62
01-08-2020,46
02-08-2020,46
03-08-2020,49
04-08-2020,44
05-08-2020,32
06-08-2020,28
07-08-2020,31
08-08-2020,43
09-08-2020,36
10-08-2020,35
11-08-2020,47
12-08-2020,30
13-08-2020,32
14-08-2020,32
15-08-2020,30
16-08-2020,46
17-08-2020,35
18-08-2020,36
19-08-2020,34
20-08-2020,29
21-08-2020,33
22-08-2020,27
23-08-2020,21
24-08-2020,23
25-08-2020,29
26-08-2020,38
27-08-2020,43
28-08-2020,50
29-08-2020,36
30-08-2020,28
31-08-2020,24
01-09-2020,36
02-09-2020,40
03-09-2020,31
04-09-2020,31
05-09-2020,40
06-09-2020,52
07-09-2020,54
08-09-2020,45
09-09-2020,69
10-09-2020,82
11-09-2020,99
12-09-2020,104
13-09-2020,99
14-09-2020,98
15-09-2020,106
16-09-2020,126
17-09-2020,155
18-09-2020,92
19-09-2020,66
20-09-2020,107
21-09-2020,84
22-09-2020,47
23-09-2020,28
24-09-2020,34
25-09-2020,58
26-09-2020,93
27-09-2020,57
28-09-2020,72
29-09-2020,126
30-09-2020,130
01-10-2020,135
02-10-2020,133
03-10-2020,144
04-10-2020,145
05-10-2020,146
06-10-2020,224
07-10-2020,188
08-10-2020,183
09-10-2020,196
10-10-2020,213
11-10-2020,223
12-10-2020,231
13-10-2020,165
14-10-2020,111
15-10-2020,122
16-10-2020,166
17-10-2020,186
18-10-2020,208
19-10-2020,242
20-10-2020,194
21-10-2020,228
22-10-2020,176
23-10-2020,192
24-10-2020,207
25-10-2020,213
26-10-2020,193
27-10-2020,242
28-10-2020,293
29-10-2020,270
30-10-2020,294
31-10-2020,307
01-11-2020,356
02-11-2020,235
03-11-2020,149
04-11-2020,128
05-11-2020,312
06-11-2020,302
07-11-2020,324
08-11-2020,378
09-11-2020,419
10-11-2020,418
11-11-2020,374
12-11-2020,319
13-11-2020,296
14-11-2020,302
15-11-2020,322
16-11-2020,141
17-11-2020,159
18-11-2020,168
19-11-2020,221
20-11-2020,297
21-11-2020,223
22-11-2020,186
23-11-2020,248
24-11-2020,235
25-11-2020,276
26-11-2020,340
27-11-2020,240
28-11-2020,154
29-11-2020,226
30-11-2020,237
01-12-2020,303
02-12-2020,311
03-12-2020,273
04-12-2020,263
05-12-2020,242
06-12-2020,216
07-12-2020,313
08-12-2020,330
09-12-2020,300
10-12-2020,242
11-12-2020,218
12-12-2020,77
13-12-2020,285
14-12-2020,261
15-12-2020,322
16-12-2020,292
17-12-2020,282
18-12-2020,154
19-12-2020,198
20-12-2020,250
21-12-2020,225
22-12-2020,317
23-12-2020,388
24-12-2020,398
25-12-2020,400
26-12-2020,262
27-12-2020,245
28-12-2020,164
29-12-2020,213
30-12-2020,273
31-12-2020,334
01-01-2021,359
02-01-2021,330
03-01-2021,245
04-01-2021,142
05-01-2021,243
06-01-2021,294
07-01-2021,298
08-01-2021,310
09-01-2021,299
10-01-2021,317
11-01-2021,248
12-01-2021,156
13-01-2021,184
14-01-2021,273
15-01-2021,303
16-01-2021,312
17-01-2021,307
18-01-2021,342
19-01-2021,336
20-01-2021,255
21-01-2021,229
22-01-2021,196
23-01-2021,245
24-01-2021,327
25-01-2021,336
26-01-2021,289
29-01-2021,304
30-01-2021,257
31-01-2021,233
01-02-2021,204
02-02-2021,222
03-02-2021,147
04-02-2021,138
05-02-2021,129
06-02-2021,161
07-02-2021,122
08-02-2021,241
09-02-2021,238
10-02-2021,168
11-02-2021,211
12-02-2021,256
13-02-2021,278
14-02-2021,273
15-02-2021,208
16-02-2021,164
17-02-2021,114
18-02-2021,167
19-02-2021,186
20-02-2021,241
21-02-2021,289
24-02-2021,196
25-02-2021,144
26-02-2021,107
27-02-2021,112
28-02-2021,163
01-03-2021,162
02-03-2021,126
03-03-2021,158
04-03-2021,149
05-03-2021,158
06-03-2021,142
07-03-2021,158
08-03-2021,142
09-03-2021,186
10-03-2021,166
11-03-2021,200
12-03-2021,101
13-03-2021,68
14-03-2021,98
15-03-2021,148
16-03-2021,202
17-03-2021,212
18-03-2021,196
19-03-2021,122
20-03-2021,79
21-03-2021,154
22-03-2021,127
23-03-2021,89
24-03-2021,81
25-03-2021,126
26-03-2021,125
27-03-2021,158
28-03-2021,144
29-03-2021,150
30-03-2021,127
31-03-2021,243
01-04-2021,128
02-04-2021,134
03-04-2021,105
04-04-2021,128
05-04-2021,147
06-04-2021,170
07-04-2021,215
08-04-2021,163
09-04-2021,137
10-04-2021,129
11-04-2021,152
12-04-2021,110
13-04-2021,164
14-04-2021,151
15-04-2021,140
16-04-2021,117
17-04-2021,127
18-04-2021,114
19-04-2021,151
20-04-2021,130
21-04-2021,135
22-04-2021,102
23-04-2021,120
24-04-2021,117
25-04-2021,123
26-04-2021,136
27-04-2021,107
28-04-2021,122
29-04-2021,145
30-04-2021,168
01-05-2021,155
02-05-2021,101
03-05-2021,87
04-05-2021,77
05-05-2021,104
06-05-2021,86
07-05-2021,95
08-05-2021,112
09-05-2021,110
10-05-2021,97
11-05-2021,95
12-05-2021,91
13-05-2021,82
14-05-2021,92
15-05-2021,104
16-05-2021,126
17-05-2021,57
18-05-2021,58
19-05-2021,31
20-05-2021,39
21-05-2021,79
22-05-2021,90
23-05-2021,108
24-05-2021,193
25-05-2021,122
26-05-2021,152
27-05-2021,164
28-05-2021,89
29-05-2021,78
30-05-2021,76
31-05-2021,97
01-06-2021,106
02-06-2021,99
03-06-2021,86
04-06-2021,85
05-06-2021,83
06-06-2021,83
07-06-2021,113
08-06-2021,120
09-06-2021,132
10-06-2021,179
11-06-2021,78
12-06-2021,110
13-06-2021,81
14-06-2021,77
15-06-2021,73
16-06-2021,75
17-06-2021,83
18-06-2021,74
19-06-2021,72
20-06-2021,87
21-06-2021,100
22-06-2021,95
23-06-2021,109
24-06-2021,106
25-06-2021,105
26-06-2021,97
27-06-2021,88
28-06-2021,94
29-06-2021,111
30-06-2021,121
01-07-2021,87
02-07-2021,82
03-07-2021,63
04-07-2021,77
05-07-2021,77
06-07-2021,112
07-07-2021,91
08-07-2021,94
09-07-2021,78
10-07-2021,71
11-07-2021,63
12-07-2021,53
13-07-2021,50
14-07-2021,59
15-07-2021,51
16-07-2021,57
17-07-2021,55
18-07-2021,51
19-07-2021,32
20-07-2021,54
21-07-2021,36
22-07-2021,58
23-07-2021,56
24-07-2021,64
25-07-2021,62
26-07-2021,47
27-07-2021,30
28-07-2021,50
29-07-2021,56
30-07-2021,64
31-07-2021,73
01-08-2021,59
02-08-2021,82
03-08-2021,23
04-08-2021,22
05-08-2021,42
06-08-2021,71
07-08-2021,58
08-08-2021,52
09-08-2021,61
10-08-2021,54
11-08-2021,78
12-08-2021,77
13-08-2021,78
14-08-2021,74
15-08-2021,85
16-08-2021,98
17-08-2021,84
18-08-2021,98
19-08-2021,103
20-08-2021,77
21-08-2021,31
22-08-2021,38
23-08-2021,45
24-08-2021,68
25-08-2021,79
26-08-2021,73
27-08-2021,87
28-08-2021,112
29-08-2021,82
30-08-2021,70
31-08-2021,30
01-09-2021,68
02-09-2021,49
03-09-2021,71
04-09-2021,62
05-09-2021,70
06-09-2021,49
07-09-2021,49
08-09-2021,37
09-09-2021,55
10-09-2021,50
11-09-2021,26
12-09-2021,48
13-09-2021,56
14-09-2021,53
15-09-2021,36
16-09-2021,29
17-09-2021,24
18-09-2021,36
19-09-2021,40
20-09-2021,56
21-09-2021,60
22-09-2021,56
23-09-2021,54
24-09-2021,76
25-09-2021,60
26-09-2021,50
27-09-2021,45
28-09-2021,46
29-09-2021,56
30-09-2021,51
01-10-2021,49
02-10-2021,56
03-10-2021,45
04-10-2021,57
05-10-2021,63
06-10-2021,78
07-10-2021,81
08-10-2021,126
09-10-2021,130
10-10-2021,106
11-10-2021,98
12-10-2021,94
13-10-2021,143
14-10-2021,151
15-10-2021,163
16-10-2021,135
17-10-2021,104
18-10-2021,29
19-10-2021,46
20-10-2021,75
21-10-2021,116
22-10-2021,104
23-10-2021,107
24-10-2021,124
25-10-2021,109
27-10-2021,177
28-10-2021,149
29-10-2021,166
30-10-2021,144
31-10-2021,148
01-11-2021,106
02-11-2021,165
03-11-2021,202
04-11-2021,174
05-11-2021,315
06-11-2021,337
07-11-2021,286
08-11-2021,308
09-11-2021,320
10-11-2021,360
11-11-2021,351
12-11-2021,304
13-11-2021,331
14-11-2021,251
15-11-2021,179
16-11-2021,166
17-11-2021,281
18-11-2021,265
19-11-2021,132
20-11-2021,102
21-11-2021,114
22-11-2021,118
23-11-2021,162
24-11-2021,115
25-11-2021,240
26-11-2021,150
27-11-2021,168
28-11-2021,122
29-11-2021,186
30-11-2021,174
01-12-2021,216
02-12-2021,383
03-12-2021,151
04-12-2021,247
05-12-2021,237
06-12-2021,180
07-12-2021,126
08-12-2021,112
09-12-2021,266
10-12-2021,139
11-12-2021,162
12-12-2021,140
13-12-2021,121
14-12-2021,102
15-12-2021,192
16-12-2021,198
17-12-2021,326
18-12-2021,186
19-12-2021,193
20-12-2021,222
21-12-2021,281
22-12-2021,282
23-12-2021,226
24-12-2021,163
25-12-2021,236
26-12-2021,244
27-12-2021,226
28-12-2021,208
29-12-2021,214
30-12-2021,313
31-12-2021,208
01-01-2022,320
02-01-2022,250
03-01-2022,344
04-01-2022,271
05-01-2022,158
06-01-2022,287
07-01-2022,88
08-01-2022,49
09-01-2022,80
10-01-2022,121
11-01-2022,198
12-01-2022,267
13-01-2022,229
14-01-2022,211
15-01-2022,217
16-01-2022,294
17-01-2022,271
18-01-2022,236
19-01-2022,232
21-01-2022,249
22-01-2022,266
23-01-2022,289
24-01-2022,144
25-01-2022,175
26-01-2022,180
27-01-2022,198
28-01-2022,170
29-01-2022,160
30-01-2022,136
31-01-2022,158
01-02-2022,210
02-02-2022,255
03-02-2022,249
04-02-2022,188
05-02-2022,129
06-02-2022,158
07-02-2022,107
08-02-2022,132
09-02-2022,156
10-02-2022,134
11-02-2022,142
12-02-2022,113
13-02-2022,129
14-02-2022,93
15-02-2022,148
16-02-2022,148
17-02-2022,124
18-02-2022,108
19-02-2022,141
20-02-2022,141
21-02-2022,123
22-02-2022,106
23-02-2022,106
24-02-2022,218
25-02-2022,238
26-02-2022,135
27-02-2022,116
01-03-2022,152
02-03-2022,207
03-03-2022,154
04-03-2022,135
05-03-2022,100
06-03-2022,108
07-03-2022,114
08-03-2022,142
09-03-2022,133
10-03-2022,102
11-03-2022,138
12-03-2022,130
13-03-2022,123
14-03-2022,128
15-03-2022,180
16-03-2022,165
17-03-2022,136
18-03-2022,213
19-03-2022,144
20-03-2022,110
23-03-2022,209
24-03-2022,148
25-03-2022,88
28-03-2022,146
29-03-2022,105
30-03-2022,126
31-03-2022,169
01-04-2022,171
02-04-2022,142
03-04-2022,103
04-04-2022,85
05-04-2022,130
06-04-2022,154
07-04-2022,146
08-04-2022,139
09-04-2022,101
10-04-2022,97
11-04-2022,87
12-04-2022,91
13-04-2022,104
14-04-2022,106
15-04-2022,140
22-04-2022,170
23-04-2022,159
24-04-2022,145
25-04-2022,163
26-04-2022,220
27-04-2022,168
28-04-2022,195
29-04-2022,142
30-04-2022,103
01-05-2022,163
02-05-2022,133
03-05-2022,210
04-05-2022,236
05-05-2022,147
06-05-2022,162
07-05-2022,149
08-05-2022,173
09-05-2022,132
10-05-2022,116
14-05-2022,149
15-05-2022,151
16-05-2022,186
17-05-2022,188
18-05-2022,187
19-05-2022,192
21-05-2022,210
22-05-2022,261
23-05-2022,144
24-05-2022,88
25-05-2022,107
26-05-2022,135
27-05-2022,117
28-05-2022,143
29-05-2022,159
30-05-2022,143
31-05-2022,163
01-06-2022,281
03-06-2022,175
04-06-2022,198
05-06-2022,141
06-06-2022,150
07-06-2022,180
08-06-2022,218
09-06-2022,155
10-06-2022,169
11-06-2022,129
12-06-2022,146
13-06-2022,109
14-06-2022,95
15-06-2022,84
16-06-2022,50
18-06-2022,57
20-06-2022,57
21-06-2022,67
22-06-2022,87
23-06-2022,100
24-06-2022,186
25-06-2022,118
26-06-2022,82
27-06-2022,77
28-06-2022,96
29-06-2022,35
30-06-2022,48
01-07-2022,66
02-07-2022,49
03-07-2022,66
04-07-2022,64
05-07-2022,60
07-07-2022,57
08-07-2022,57
09-07-2022,62
10-07-2022,49
11-07-2022,61
12-07-2022,61
13-07-2022,63
14-07-2022,61
15-07-2022,49
16-07-2022,42
17-07-2022,49
19-07-2022,65
20-07-2022,59
21-07-2022,47
22-07-2022,35
23-07-2022,41
24-07-2022,41
25-07-2022,31
27-07-2022,36
29-07-2022,44
30-07-2022,49
31-07-2022,74
01-08-2022,66
02-08-2022,41
05-08-2022,46
07-08-2022,53
08-08-2022,40
09-08-2022,46
10-08-2022,58
11-08-2022,55
12-08-2022,33
13-08-2022,28
14-08-2022,27
16-08-2022,65
17-08-2022,55
18-08-2022,56
19-08-2022,63
20-08-2022,40
21-08-2022,42
22-08-2022,42
23-08-2022,51
24-08-2022,51
25-08-2022,60
28-08-2022,109
29-08-2022,96
