Date,AQI
04-03-2020,254
07-03-2020,78
08-03-2020,106
09-03-2020,112
10-03-2020,158
11-03-2020,98
12-03-2020,117
13-03-2020,142
14-03-2020,81
15-03-2020,47
16-03-2020,147
17-03-2020,162
18-03-2020,151
19-03-2020,189
20-03-2020,144
22-03-2020,141
29-03-2020,98
31-03-2020,180
01-04-2020,176
02-04-2020,73
03-04-2020,65
04-04-2020,136
05-04-2020,83
06-04-2020,66
07-04-2020,66
08-04-2020,63
09-04-2020,76
10-04-2020,106
11-04-2020,66
12-04-2020,88
13-04-2020,77
14-04-2020,90
15-04-2020,68
16-04-2020,77
18-04-2020,100
19-04-2020,94
20-04-2020,112
22-04-2020,102
24-04-2020,140
27-04-2020,141
28-04-2020,143
29-04-2020,129
05-05-2020,144
06-05-2020,138
07-05-2020,163
08-05-2020,119
09-05-2020,189
10-05-2020,170
11-05-2020,40
12-05-2020,208
14-05-2020,239
19-05-2020,131
20-05-2020,77
21-05-2020,68
22-05-2020,51
23-05-2020,47
24-05-2020,89
25-05-2020,119
26-05-2020,110
27-05-2020,118
28-05-2020,67
29-05-2020,49
30-05-2020,72
31-05-2020,62
01-06-2020,75
02-06-2020,115
03-06-2020,140
04-06-2020,108
06-06-2020,47
09-06-2020,114
10-06-2020,88
11-06-2020,82
12-06-2020,62
13-06-2020,57
16-06-2020,30
19-06-2020,39
20-06-2020,43
22-06-2020,31
23-06-2020,35
24-06-2020,48
25-06-2020,82
26-06-2020,38
30-06-2020,52
01-07-2020,56
02-07-2020,94
03-07-2020,60
04-07-2020,38
05-07-2020,32
06-07-2020,30
07-07-2020,18
08-07-2020,33
09-07-2020,72
10-07-2020,67
11-07-2020,44
12-07-2020,90
13-07-2020,25
14-07-2020,29
15-07-2020,55
16-07-2020,46
17-07-2020,51
18-07-2020,60
21-07-2020,42
22-07-2020,45
23-07-2020,44
24-07-2020,25
25-07-2020,32
26-07-2020,74
27-07-2020,119
28-07-2020,74
29-07-2020,34
30-07-2020,61
31-07-2020,51
01-08-2020,45
02-08-2020,79
03-08-2020,57
04-08-2020,89
05-08-2020,36
06-08-2020,19
07-08-2020,22
08-08-2020,40
09-08-2020,72
10-08-2020,39
11-08-2020,29
12-08-2020,32
13-08-2020,26
14-08-2020,23
15-08-2020,25
16-08-2020,19
17-08-2020,24
18-08-2020,27
19-08-2020,30
20-08-2020,29
21-08-2020,18
22-08-2020,23
23-08-2020,25
24-08-2020,36
25-08-2020,46
26-08-2020,41
27-08-2020,23
28-08-2020,19
29-08-2020,33
30-08-2020,66
31-08-2020,81
01-09-2020,84
03-09-2020,34
04-09-2020,57
06-09-2020,106
07-09-2020,64
09-09-2020,30
10-09-2020,91
11-09-2020,81
12-09-2020,64
13-09-2020,104
14-09-2020,67
15-09-2020,115
16-09-2020,34
17-09-2020,73
18-09-2020,46
20-09-2020,48
21-09-2020,52
22-09-2020,24
23-09-2020,28
24-09-2020,27
25-09-2020,32
26-09-2020,30
27-09-2020,30
28-09-2020,49
29-09-2020,136
30-09-2020,170
01-10-2020,128
07-10-2020,36
09-10-2020,34
10-10-2020,139
11-10-2020,123
12-10-2020,180
13-10-2020,104
14-10-2020,99
15-10-2020,93
16-10-2020,99
17-10-2020,160
18-10-2020,155
19-10-2020,151
20-10-2020,213
21-10-2020,219
22-10-2020,172
23-10-2020,82
24-10-2020,99
28-10-2020,128
02-11-2020,111
03-11-2020,105
04-11-2020,170
05-11-2020,156
06-11-2020,207
07-11-2020,160
08-11-2020,165
09-11-2020,115
10-11-2020,91
11-11-2020,63
12-11-2020,76
13-11-2020,96
14-11-2020,95
15-11-2020,164
16-11-2020,151
17-11-2020,115
18-11-2020,100
19-11-2020,87
20-11-2020,113
21-11-2020,85
22-11-2020,86
23-11-2020,99
24-11-2020,100
26-11-2020,154
27-11-2020,103
28-11-2020,144
29-11-2020,93
30-11-2020,93
01-12-2020,102
02-12-2020,127
03-12-2020,183
04-12-2020,215
05-12-2020,107
06-12-2020,101
07-12-2020,93
08-12-2020,195
09-12-2020,102
10-12-2020,139
11-12-2020,138
12-12-2020,201
13-12-2020,190
14-12-2020,145
15-12-2020,154
16-12-2020,214
17-12-2020,185
18-12-2020,160
19-12-2020,211
20-12-2020,264
21-12-2020,252
22-12-2020,198
23-12-2020,289
24-12-2020,293
25-12-2020,271
26-12-2020,210
27-12-2020,250
28-12-2020,306
29-12-2020,274
31-12-2020,173
01-01-2021,104
02-01-2021,69
06-01-2021,109
07-01-2021,118
08-01-2021,158
09-01-2021,161
10-01-2021,178
11-01-2021,151
12-01-2021,258
13-01-2021,195
14-01-2021,232
15-01-2021,194
16-01-2021,92
17-01-2021,143
18-01-2021,155
19-01-2021,143
20-01-2021,159
21-01-2021,212
22-01-2021,68
23-01-2021,166
25-01-2021,125
26-01-2021,160
27-01-2021,120
28-01-2021,166
30-01-2021,113
03-02-2021,171
05-02-2021,138
06-02-2021,111
07-02-2021,121
08-02-2021,126
09-02-2021,222
10-02-2021,269
11-02-2021,305
12-02-2021,318
13-02-2021,322
14-02-2021,333
15-02-2021,207
17-02-2021,218
18-02-2021,247
19-02-2021,156
20-02-2021,181
21-02-2021,214
22-02-2021,195
23-02-2021,224
24-02-2021,237
25-02-2021,228
26-02-2021,194
27-02-2021,164
28-02-2021,165
01-03-2021,194
02-03-2021,178
03-03-2021,156
04-03-2021,191
05-03-2021,186
06-03-2021,250
07-03-2021,225
08-03-2021,165
09-03-2021,168
10-03-2021,255
11-03-2021,307
12-03-2021,237
13-03-2021,259
14-03-2021,219
15-03-2021,212
16-03-2021,239
17-03-2021,286
18-03-2021,306
19-03-2021,294
20-03-2021,279
21-03-2021,218
22-03-2021,220
23-03-2021,289
24-03-2021,232
25-03-2021,224
26-03-2021,200
27-03-2021,181
28-03-2021,190
29-03-2021,170
30-03-2021,157
31-03-2021,151
01-04-2021,224
02-04-2021,185
03-04-2021,210
04-04-2021,181
05-04-2021,220
06-04-2021,149
07-04-2021,142
08-04-2021,191
09-04-2021,279
10-04-2021,229
11-04-2021,230
12-04-2021,231
13-04-2021,263
14-04-2021,275
15-04-2021,264
16-04-2021,268
17-04-2021,200
