Date,AQI
28-12-2015,82
29-12-2015,106
30-12-2015,103
01-01-2016,113
04-01-2016,99
05-01-2016,99
06-01-2016,109
07-01-2016,112
08-01-2016,89
11-01-2016,77
12-01-2016,94
13-01-2016,107
15-01-2016,80
18-01-2016,106
19-01-2016,68
20-01-2016,73
21-01-2016,80
22-01-2016,58
25-01-2016,51
26-01-2016,101
27-01-2016,83
01-02-2016,96
02-02-2016,104
03-02-2016,116
04-02-2016,109
05-02-2016,98
09-02-2016,117
10-02-2016,152
11-02-2016,103
12-02-2016,68
17-02-2016,97
18-02-2016,87
19-02-2016,97
22-02-2016,98
23-02-2016,121
24-02-2016,74
29-02-2016,51
01-03-2016,61
02-03-2016,54
03-03-2016,56
04-03-2016,66
08-03-2016,109
09-03-2016,71
10-03-2016,90
11-03-2016,94
14-03-2016,103
15-03-2016,116
16-03-2016,73
17-03-2016,101
18-03-2016,115
22-03-2016,104
23-03-2016,125
24-03-2016,138
25-03-2016,100
28-03-2016,80
29-03-2016,111
30-03-2016,86
31-03-2016,56
01-04-2016,56
04-04-2016,43
05-04-2016,55
08-04-2016,68
11-04-2016,79
12-04-2016,108
13-04-2016,100
14-04-2016,91
15-04-2016,59
18-04-2016,50
19-04-2016,43
20-04-2016,49
21-04-2016,36
22-04-2016,57
25-04-2016,47
27-04-2016,43
02-05-2016,52
03-05-2016,57
05-05-2016,57
06-05-2016,40
18-05-2016,36
19-05-2016,54
23-05-2016,33
01-06-2016,48
03-06-2016,55
07-06-2016,38
08-06-2016,34
10-06-2016,51
13-06-2016,44
14-06-2016,48
15-06-2016,46
16-06-2016,59
17-06-2016,48
21-06-2016,42
22-06-2016,21
05-07-2016,66
06-07-2016,79
07-07-2016,53
08-07-2016,39
11-07-2016,51
12-07-2016,68
13-07-2016,48
14-07-2016,47
15-07-2016,48
18-07-2016,63
19-07-2016,47
20-07-2016,48
26-07-2016,41
27-07-2016,50
29-07-2016,50
01-08-2016,48
02-08-2016,38
03-08-2016,29
05-08-2016,47
09-08-2016,33
11-08-2016,76
15-08-2016,47
16-08-2016,33
17-08-2016,47
19-08-2016,68
22-08-2016,63
23-08-2016,56
24-08-2016,64
29-08-2016,69
30-08-2016,54
31-08-2016,63
01-09-2016,64
02-09-2016,81
06-09-2016,86
07-09-2016,63
08-09-2016,65
09-09-2016,53
12-09-2016,63
13-09-2016,80
14-09-2016,74
15-09-2016,62
19-09-2016,63
20-09-2016,60
21-09-2016,58
23-09-2016,107
26-09-2016,74
27-09-2016,70
28-09-2016,49
29-09-2016,89
30-09-2016,76
03-10-2016,29
04-10-2016,75
05-10-2016,56
07-10-2016,45
14-10-2016,132
17-10-2016,81
18-10-2016,108
19-10-2016,98
20-10-2016,105
25-10-2016,162
26-10-2016,148
01-11-2016,85
02-11-2016,85
03-11-2016,97
08-11-2016,119
09-11-2016,168
10-11-2016,222
16-11-2016,158
18-11-2016,148
21-11-2016,83
22-11-2016,178
23-11-2016,178
24-11-2016,59
25-11-2016,175
29-11-2016,218
30-11-2016,161
01-12-2016,118
02-12-2016,131
05-12-2016,126
06-12-2016,134
07-12-2016,118
09-12-2016,118
12-12-2016,108
13-12-2016,164
14-12-2016,169
15-12-2016,152
20-12-2016,178
21-12-2016,200
31-01-2017,128
01-02-2017,118
02-02-2017,164
03-02-2017,158
04-02-2017,161
05-02-2017,149
06-02-2017,142
07-02-2017,430
08-02-2017,161
09-02-2017,392
10-02-2017,150
11-02-2017,133
12-02-2017,185
13-02-2017,351
14-02-2017,168
15-02-2017,163
16-02-2017,145
17-02-2017,161
18-02-2017,114
19-02-2017,112
20-02-2017,113
22-02-2017,71
23-02-2017,81
24-02-2017,135
25-02-2017,144
26-02-2017,136
27-02-2017,104
28-02-2017,103
01-03-2017,124
02-03-2017,116
03-03-2017,100
04-03-2017,86
07-03-2017,127
08-03-2017,65
09-03-2017,39
10-03-2017,36
11-03-2017,50
12-03-2017,71
13-03-2017,97
14-03-2017,111
15-03-2017,126
16-03-2017,134
17-03-2017,95
18-03-2017,63
19-03-2017,73
20-03-2017,60
21-03-2017,76
22-03-2017,66
23-03-2017,81
24-03-2017,78
25-03-2017,90
26-03-2017,93
27-03-2017,90
28-03-2017,77
29-03-2017,53
30-03-2017,47
01-04-2017,59
02-04-2017,49
03-04-2017,58
04-04-2017,57
05-04-2017,36
06-04-2017,49
07-04-2017,44
08-04-2017,56
09-04-2017,50
10-04-2017,55
11-04-2017,74
14-04-2017,68
15-04-2017,80
16-04-2017,39
17-04-2017,43
18-04-2017,49
19-04-2017,59
20-04-2017,96
21-04-2017,81
22-04-2017,91
23-04-2017,62
24-04-2017,75
25-04-2017,92
26-04-2017,96
27-04-2017,112
28-04-2017,95
29-04-2017,79
30-04-2017,158
01-05-2017,53
02-05-2017,51
03-05-2017,70
04-05-2017,64
05-05-2017,64
06-05-2017,45
07-05-2017,81
08-05-2017,33
09-05-2017,37
10-05-2017,52
16-05-2017,57
17-05-2017,58
21-05-2017,65
23-05-2017,53
24-05-2017,53
25-05-2017,47
26-05-2017,69
27-05-2017,45
28-05-2017,48
29-05-2017,50
30-05-2017,58
31-05-2017,57
01-06-2017,59
02-06-2017,58
03-06-2017,64
04-06-2017,45
05-06-2017,49
06-06-2017,37
07-06-2017,43
08-06-2017,34
09-06-2017,42
13-06-2017,65
14-06-2017,43
15-06-2017,31
16-06-2017,38
17-06-2017,49
19-06-2017,37
20-06-2017,34
21-06-2017,53
22-06-2017,39
23-06-2017,43
24-06-2017,38
25-06-2017,31
26-06-2017,31
27-06-2017,46
28-06-2017,72
29-06-2017,50
30-06-2017,111
01-07-2017,40
02-07-2017,52
03-07-2017,88
04-07-2017,42
05-07-2017,59
06-07-2017,72
07-07-2017,66
08-07-2017,62
09-07-2017,52
10-07-2017,40
11-07-2017,63
12-07-2017,42
13-07-2017,36
14-07-2017,33
15-07-2017,138
16-07-2017,57
17-07-2017,44
18-07-2017,49
19-07-2017,36
20-07-2017,26
21-07-2017,42
22-07-2017,25
25-07-2017,68
26-07-2017,130
27-07-2017,98
28-07-2017,149
29-07-2017,206
30-07-2017,105
31-07-2017,82
01-08-2017,78
02-08-2017,131
03-08-2017,137
04-08-2017,97
05-08-2017,94
06-08-2017,87
07-08-2017,77
08-08-2017,63
09-08-2017,58
10-08-2017,84
11-08-2017,86
12-08-2017,99
13-08-2017,90
14-08-2017,130
15-08-2017,74
16-08-2017,72
17-08-2017,71
18-08-2017,40
19-08-2017,44
20-08-2017,48
21-08-2017,50
22-08-2017,61
23-08-2017,64
24-08-2017,64
25-08-2017,46
26-08-2017,40
27-08-2017,43
28-08-2017,45
29-08-2017,75
31-08-2017,69
01-09-2017,73
02-09-2017,91
03-09-2017,89
04-09-2017,214
05-09-2017,161
06-09-2017,303
17-09-2017,51
18-09-2017,39
19-09-2017,35
