Date,AQI
13-03-2023,165
16-03-2023,219
17-03-2023,193
18-03-2023,87
19-03-2023,102
20-03-2023,148
21-03-2023,74
22-03-2023,120
23-03-2023,120
24-03-2023,92
26-03-2023,180
27-03-2023,196
28-03-2023,132
29-03-2023,137
30-03-2023,91
31-03-2023,86
01-04-2023,88
02-04-2023,100
03-04-2023,94
04-04-2023,68
05-04-2023,103
06-04-2023,71
07-04-2023,115
08-04-2023,184
09-04-2023,126
10-04-2023,120
11-04-2023,134
12-04-2023,151
13-04-2023,208
14-04-2023,147
15-04-2023,257
16-04-2023,187
17-04-2023,112
18-04-2023,207
19-04-2023,111
20-04-2023,124
21-04-2023,117
22-04-2023,142
23-04-2023,119
24-04-2023,163
25-04-2023,148
26-04-2023,175
27-04-2023,181
28-04-2023,149
29-04-2023,129
30-04-2023,137
01-05-2023,192
05-05-2023,147
06-05-2023,117
07-05-2023,225
08-05-2023,206
09-05-2023,161
10-05-2023,163
12-05-2023,209
13-05-2023,235
14-05-2023,283
15-05-2023,204
16-05-2023,303
17-05-2023,201
20-05-2023,190
21-05-2023,202
22-05-2023,214
23-05-2023,255
24-05-2023,211
25-05-2023,108
26-05-2023,108
27-05-2023,70
28-05-2023,122
29-05-2023,137
30-05-2023,85
31-05-2023,66
01-06-2023,78
02-06-2023,86
03-06-2023,98
04-06-2023,90
05-06-2023,83
06-06-2023,127
07-06-2023,131
08-06-2023,107
09-06-2023,153
10-06-2023,171
12-06-2023,258
13-06-2023,226
14-06-2023,219
16-06-2023,97
17-06-2023,95
18-06-2023,69
19-06-2023,107
20-06-2023,111
21-06-2023,152
22-06-2023,148
23-06-2023,143
24-06-2023,135
25-06-2023,135
26-06-2023,213
27-06-2023,284
28-06-2023,289
29-06-2023,140
30-06-2023,155
01-07-2023,156
02-07-2023,195
03-07-2023,122
04-07-2023,136
05-07-2023,162
06-07-2023,83
07-07-2023,98
08-07-2023,179
09-07-2023,186
10-07-2023,204
11-07-2023,189
12-07-2023,219
13-07-2023,306
14-07-2023,93
15-07-2023,132
16-07-2023,184
17-07-2023,382
18-07-2023,325
19-07-2023,304
20-07-2023,78
21-07-2023,100
22-07-2023,65
23-07-2023,56
24-07-2023,87
25-07-2023,75
26-07-2023,52
27-07-2023,30
28-07-2023,46
29-07-2023,35
30-07-2023,26
31-07-2023,47
01-08-2023,63
02-08-2023,69
03-08-2023,85
04-08-2023,87
05-08-2023,88
06-08-2023,93
07-08-2023,34
08-08-2023,141
09-08-2023,124
10-08-2023,124
11-08-2023,120
12-08-2023,105
13-08-2023,94
14-08-2023,86
15-08-2023,111
16-08-2023,129
17-08-2023,141
18-08-2023,150
19-08-2023,190
20-08-2023,111
21-08-2023,97
22-08-2023,82
23-08-2023,106
24-08-2023,125
25-08-2023,177
26-08-2023,148
27-08-2023,203
28-08-2023,164
29-08-2023,143
30-08-2023,160
31-08-2023,130
01-09-2023,132
02-09-2023,137
03-09-2023,135
04-09-2023,131
05-09-2023,172
06-09-2023,187
07-09-2023,170
08-09-2023,187
09-09-2023,170
10-09-2023,126
11-09-2023,134
12-09-2023,124
13-09-2023,60
14-09-2023,153
15-09-2023,133
16-09-2023,86
17-09-2023,56
18-09-2023,73
19-09-2023,41
20-09-2023,43
21-09-2023,103
22-09-2023,52
23-09-2023,65
24-09-2023,69
25-09-2023,56
26-09-2023,106
27-09-2023,152
28-09-2023,146
29-09-2023,159
30-09-2023,192
01-10-2023,177
02-10-2023,159
03-10-2023,156
04-10-2023,187
05-10-2023,222
06-10-2023,184
07-10-2023,155
08-10-2023,92
09-10-2023,140
10-10-2023,115
11-10-2023,158
12-10-2023,163
13-10-2023,204
14-10-2023,266
15-10-2023,119
16-10-2023,72
17-10-2023,72
18-10-2023,113
19-10-2023,200
20-10-2023,152
21-10-2023,229
22-10-2023,181
23-10-2023,246
24-10-2023,360
25-10-2023,297
26-10-2023,342
27-10-2023,291
28-10-2023,346
29-10-2023,369
30-10-2023,428
31-10-2023,399
01-11-2023,414
02-11-2023,438
03-11-2023,395
04-11-2023,393
05-11-2023,371
06-11-2023,310
07-11-2023,369
08-11-2023,386
09-11-2023,403
10-11-2023,247
11-11-2023,171
12-11-2023,214
13-11-2023,329
14-11-2023,420
15-11-2023,348
16-11-2023,334
17-11-2023,426
18-11-2023,427
19-11-2023,364
20-11-2023,416
21-11-2023,325
22-11-2023,390
23-11-2023,405
24-11-2023,389
25-11-2023,447
26-11-2023,426
27-11-2023,416
28-11-2023,408
29-11-2023,277
30-11-2023,353
01-12-2023,298
02-12-2023,286
03-12-2023,286
04-12-2023,304
07-12-2023,309
08-12-2023,360
09-12-2023,357
10-12-2023,345
11-12-2023,335
12-12-2023,310
13-12-2023,369
14-12-2023,393
15-12-2023,377
16-12-2023,354
17-12-2023,356
18-12-2023,373
19-12-2023,227
20-12-2023,327
21-12-2023,339
22-12-2023,389
23-12-2023,422
24-12-2023,440
25-12-2023,387
26-12-2023,408
27-12-2023,367
28-12-2023,328
29-12-2023,217
30-12-2023,278
31-12-2023,319
