Date,AQI
23-10-2018,292
24-10-2018,329
25-10-2018,295
26-10-2018,324
27-10-2018,358
28-10-2018,396
29-10-2018,357
30-10-2018,406
31-10-2018,336
01-11-2018,375
02-11-2018,352
03-11-2018,324
04-11-2018,131
05-11-2018,398
06-11-2018,356
07-11-2018,300
08-11-2018,378
09-11-2018,378
10-11-2018,335
11-11-2018,401
12-11-2018,428
13-11-2018,429
15-11-2018,206
16-11-2018,252
17-11-2018,295
18-11-2018,342
19-11-2018,374
20-11-2018,383
21-11-2018,395
22-11-2018,320
23-11-2018,343
24-11-2018,216
25-11-2018,319
26-11-2018,369
27-11-2018,356
28-11-2018,335
29-11-2018,402
30-11-2018,386
02-12-2018,351
03-12-2018,390
04-12-2018,403
05-12-2018,396
06-12-2018,394
07-12-2018,383
08-12-2018,365
09-12-2018,383
10-12-2018,399
11-12-2018,408
12-12-2018,370
13-12-2018,227
14-12-2018,279
15-12-2018,302
16-12-2018,350
17-12-2018,356
18-12-2018,353
19-12-2018,389
22-12-2018,450
23-12-2018,428
26-12-2018,396
27-12-2018,398
28-12-2018,386
29-12-2018,391
30-12-2018,413
31-12-2018,416
01-01-2019,400
02-01-2019,442
03-01-2019,427
05-01-2019,396
06-01-2019,365
07-01-2019,354
08-01-2019,309
09-01-2019,288
10-01-2019,304
11-01-2019,375
12-01-2019,402
13-01-2019,397
14-01-2019,257
15-01-2019,250
16-01-2019,362
17-01-2019,434
18-01-2019,393
19-01-2019,405
20-01-2019,402
21-01-2019,372
22-01-2019,102
23-01-2019,130
24-01-2019,233
25-01-2019,129
26-01-2019,202
27-01-2019,236
28-01-2019,218
29-01-2019,245
30-01-2019,299
31-01-2019,326
02-02-2019,338
03-02-2019,265
04-02-2019,284
05-02-2019,355
06-02-2019,378
07-02-2019,192
08-02-2019,107
09-02-2019,110
10-02-2019,193
11-02-2019,257
12-02-2019,305
13-02-2019,338
14-02-2019,356
15-02-2019,223
16-02-2019,256
17-02-2019,198
18-02-2019,225
19-02-2019,144
20-02-2019,215
21-02-2019,101
22-02-2019,220
23-02-2019,78
24-02-2019,169
25-02-2019,242
26-02-2019,80
27-02-2019,54
28-02-2019,156
01-03-2019,196
02-03-2019,266
03-03-2019,96
04-03-2019,124
05-03-2019,101
06-03-2019,118
07-03-2019,136
08-03-2019,131
09-03-2019,151
10-03-2019,120
11-03-2019,146
12-03-2019,123
13-03-2019,155
14-03-2019,232
15-03-2019,86
16-03-2019,78
17-03-2019,132
18-03-2019,162
19-03-2019,161
20-03-2019,163
21-03-2019,132
22-03-2019,111
23-03-2019,124
24-03-2019,124
25-03-2019,143
26-03-2019,142
27-03-2019,167
28-03-2019,192
29-03-2019,224
30-03-2019,246
31-03-2019,192
01-04-2019,147
02-04-2019,177
03-04-2019,191
04-04-2019,215
05-04-2019,265
06-04-2019,262
07-04-2019,269
08-04-2019,252
09-04-2019,155
10-04-2019,212
11-04-2019,196
12-04-2019,201
13-04-2019,167
14-04-2019,147
15-04-2019,159
16-04-2019,196
17-04-2019,72
18-04-2019,66
19-04-2019,135
20-04-2019,238
21-04-2019,245
22-04-2019,184
23-04-2019,228
24-04-2019,234
25-04-2019,252
26-04-2019,164
27-04-2019,267
28-04-2019,324
29-04-2019,293
30-04-2019,299
01-05-2019,331
02-05-2019,289
03-05-2019,181
04-05-2019,224
05-05-2019,241
06-05-2019,380
07-05-2019,365
08-05-2019,424
09-05-2019,376
10-05-2019,370
11-05-2019,295
12-05-2019,355
13-05-2019,336
14-05-2019,170
15-05-2019,144
16-05-2019,161
17-05-2019,233
18-05-2019,114
19-05-2019,153
20-05-2019,189
21-05-2019,191
22-05-2019,206
23-05-2019,311
24-05-2019,143
25-05-2019,120
26-05-2019,142
27-05-2019,162
28-05-2019,149
29-05-2019,175
30-05-2019,276
31-05-2019,344
01-10-2019,44
02-10-2019,69
03-10-2019,114
04-10-2019,85
05-10-2019,94
06-10-2019,133
07-10-2019,161
08-10-2019,100
09-10-2019,155
10-10-2019,198
11-10-2019,240
12-10-2019,250
13-10-2019,244
14-10-2019,252
16-10-2019,264
17-10-2019,179
18-10-2019,180
19-10-2019,139
20-10-2019,196
21-10-2019,181
22-10-2019,165
23-10-2019,206
24-10-2019,229
25-10-2019,214
26-10-2019,198
27-10-2019,298
28-10-2019,348
29-10-2019,331
30-10-2019,435
31-10-2019,477
01-11-2019,472
02-11-2019,444
03-11-2019,471
04-11-2019,436
05-11-2019,294
