Date,AQI
27-03-2021,144
28-03-2021,172
29-03-2021,129
30-03-2021,130
31-03-2021,132
01-04-2021,137
02-04-2021,102
03-04-2021,150
04-04-2021,151
05-04-2021,127
06-04-2021,135
07-04-2021,132
08-04-2021,130
09-04-2021,116
10-04-2021,114
11-04-2021,119
12-04-2021,96
13-04-2021,88
14-04-2021,60
15-04-2021,58
16-04-2021,77
17-04-2021,86
18-04-2021,108
19-04-2021,91
20-04-2021,69
21-04-2021,99
22-04-2021,77
23-04-2021,79
24-04-2021,75
25-04-2021,71
26-04-2021,86
27-04-2021,93
28-04-2021,98
29-04-2021,103
30-04-2021,81
01-05-2021,95
02-05-2021,96
03-05-2021,73
04-05-2021,87
05-05-2021,86
06-05-2021,80
07-05-2021,74
08-05-2021,69
09-05-2021,74
12-05-2021,52
13-05-2021,47
14-05-2021,25
15-05-2021,40
16-05-2021,29
17-05-2021,38
20-05-2021,55
21-05-2021,56
22-05-2021,42
23-05-2021,37
24-05-2021,71
25-05-2021,65
26-05-2021,32
27-05-2021,36
28-05-2021,29
29-05-2021,58
30-05-2021,43
31-05-2021,48
03-06-2021,38
04-06-2021,36
05-06-2021,35
06-06-2021,26
07-06-2021,55
08-06-2021,67
09-06-2021,71
10-06-2021,50
11-06-2021,65
12-06-2021,39
13-06-2021,27
14-06-2021,32
15-06-2021,45
16-06-2021,57
17-06-2021,53
18-06-2021,72
19-06-2021,67
20-06-2021,66
21-06-2021,88
22-06-2021,108
23-06-2021,113
24-06-2021,119
25-06-2021,130
26-06-2021,90
27-06-2021,37
28-06-2021,75
29-06-2021,83
30-06-2021,87
01-07-2021,80
02-07-2021,56
03-07-2021,70
04-07-2021,54
05-07-2021,44
06-07-2021,48
07-07-2021,76
08-07-2021,60
09-07-2021,46
10-07-2021,31
11-07-2021,41
12-07-2021,55
13-07-2021,39
14-07-2021,36
15-07-2021,32
16-07-2021,41
17-07-2021,46
18-07-2021,35
19-07-2021,57
20-07-2021,50
21-07-2021,29
22-07-2021,34
23-07-2021,35
24-07-2021,37
25-07-2021,40
26-07-2021,46
27-07-2021,28
28-07-2021,48
29-07-2021,63
30-07-2021,54
31-07-2021,83
01-08-2021,58
02-08-2021,56
03-08-2021,62
04-08-2021,38
05-08-2021,43
06-08-2021,50
07-08-2021,39
08-08-2021,49
09-08-2021,73
10-08-2021,65
11-08-2021,72
12-08-2021,67
13-08-2021,59
14-08-2021,86
15-08-2021,51
17-08-2021,72
18-08-2021,65
19-08-2021,69
20-08-2021,81
21-08-2021,76
22-08-2021,47
23-08-2021,68
24-08-2021,63
25-08-2021,75
26-08-2021,76
27-08-2021,70
28-08-2021,50
29-08-2021,31
30-08-2021,60
31-08-2021,74
01-09-2021,77
02-09-2021,53
03-09-2021,47
04-09-2021,41
05-09-2021,52
06-09-2021,45
07-09-2021,39
08-09-2021,34
09-09-2021,48
10-09-2021,90
11-09-2021,57
12-09-2021,29
13-09-2021,40
14-09-2021,53
15-09-2021,67
23-09-2021,57
25-09-2021,65
26-09-2021,71
28-09-2021,30
29-09-2021,49
30-09-2021,55
02-10-2021,28
04-10-2021,33
05-10-2021,36
06-10-2021,40
07-10-2021,39
08-10-2021,62
09-10-2021,51
10-10-2021,49
11-10-2021,35
12-10-2021,43
13-10-2021,30
14-10-2021,50
15-10-2021,35
16-10-2021,67
17-10-2021,59
18-10-2021,60
19-10-2021,69
20-10-2021,62
22-10-2021,37
23-10-2021,56
24-10-2021,23
25-10-2021,37
26-10-2021,75
31-10-2021,22
01-11-2021,20
03-11-2021,20
06-11-2021,25
07-11-2021,33
08-11-2021,68
09-11-2021,100
10-11-2021,94
11-11-2021,94
12-11-2021,87
15-11-2021,34
16-11-2021,25
17-11-2021,35
18-11-2021,24
21-11-2021,49
22-11-2021,24
23-11-2021,19
24-11-2021,31
27-11-2021,53
28-11-2021,69
03-12-2021,91
08-12-2021,54
09-12-2021,55
11-12-2021,42
12-12-2021,27
13-12-2021,30
15-12-2021,48
16-12-2021,74
17-12-2021,97
18-12-2021,113
19-12-2021,114
20-12-2021,72
21-12-2021,98
22-12-2021,99
23-12-2021,98
24-12-2021,125
25-12-2021,97
26-12-2021,84
27-12-2021,77
28-12-2021,57
29-12-2021,65
30-12-2021,54
01-01-2022,40
02-01-2022,37
03-01-2022,38
04-01-2022,61
05-01-2022,74
06-01-2022,93
07-01-2022,104
08-01-2022,95
11-01-2022,84
12-01-2022,83
13-01-2022,99
14-01-2022,82
15-01-2022,53
16-01-2022,39
17-01-2022,47
18-01-2022,41
19-01-2022,49
20-01-2022,74
21-01-2022,94
22-01-2022,89
24-01-2022,71
27-01-2022,109
28-01-2022,65
29-01-2022,87
30-01-2022,80
31-01-2022,77
01-02-2022,88
04-02-2022,96
05-02-2022,88
06-02-2022,90
07-02-2022,77
08-02-2022,95
09-02-2022,100
10-02-2022,98
11-02-2022,71
12-02-2022,67
13-02-2022,69
14-02-2022,75
15-02-2022,103
16-02-2022,102
17-02-2022,110
18-02-2022,100
19-02-2022,89
20-02-2022,72
21-02-2022,84
22-02-2022,100
23-02-2022,96
24-02-2022,70
25-02-2022,77
26-02-2022,73
27-02-2022,76
28-02-2022,57
02-03-2022,70
03-03-2022,60
04-03-2022,72
05-03-2022,72
06-03-2022,65
07-03-2022,53
08-03-2022,54
09-03-2022,74
10-03-2022,91
11-03-2022,99
12-03-2022,102
14-03-2022,110
15-03-2022,121
16-03-2022,115
17-03-2022,124
18-03-2022,114
19-03-2022,109
20-03-2022,67
21-03-2022,68
22-03-2022,68
23-03-2022,93
24-03-2022,97
25-03-2022,90
26-03-2022,99
27-03-2022,95
28-03-2022,94
29-03-2022,107
30-03-2022,117
31-03-2022,103
01-04-2022,111
02-04-2022,100
03-04-2022,78
04-04-2022,84
05-04-2022,109
08-04-2022,106
09-04-2022,157
10-04-2022,80
11-04-2022,78
12-04-2022,97
14-04-2022,48
15-04-2022,52
16-04-2022,46
17-04-2022,53
18-04-2022,44
19-04-2022,49
21-04-2022,64
22-04-2022,94
23-04-2022,92
24-04-2022,72
25-04-2022,93
26-04-2022,73
29-04-2022,89
01-05-2022,83
02-05-2022,66
03-05-2022,69
04-05-2022,56
06-05-2022,73
07-05-2022,66
08-05-2022,113
09-05-2022,86
10-05-2022,111
11-05-2022,83
12-05-2022,54
13-05-2022,76
14-05-2022,93
15-05-2022,115
16-05-2022,91
17-05-2022,40
18-05-2022,35
19-05-2022,36
20-05-2022,78
21-05-2022,85
22-05-2022,89
23-05-2022,58
24-05-2022,82
25-05-2022,66
26-05-2022,82
27-05-2022,93
28-05-2022,105
29-05-2022,73
30-05-2022,69
31-05-2022,60
01-06-2022,66
02-06-2022,66
04-06-2022,38
06-06-2022,55
07-06-2022,55
08-06-2022,57
09-06-2022,38
10-06-2022,42
11-06-2022,42
12-06-2022,36
13-06-2022,36
14-06-2022,43
15-06-2022,48
17-06-2022,33
21-06-2022,43
29-06-2022,35
30-06-2022,33
01-07-2022,31
02-07-2022,30
03-07-2022,29
04-07-2022,32
05-07-2022,33
06-07-2022,46
07-07-2022,42
09-07-2022,33
10-07-2022,34
11-07-2022,34
12-07-2022,32
13-07-2022,30
14-07-2022,32
15-07-2022,38
16-07-2022,35
17-07-2022,36
18-07-2022,34
19-07-2022,40
20-07-2022,46
21-07-2022,39
22-07-2022,45
23-07-2022,47
24-07-2022,50
25-07-2022,44
26-07-2022,49
27-07-2022,51
28-07-2022,52
29-07-2022,55
30-07-2022,54
02-08-2022,64
03-08-2022,61
04-08-2022,62
05-08-2022,54
06-08-2022,52
07-08-2022,54
08-08-2022,55
09-08-2022,51
10-08-2022,49
11-08-2022,55
12-08-2022,56
13-08-2022,58
14-08-2022,57
15-08-2022,58
16-08-2022,54
17-08-2022,62
18-08-2022,61
24-08-2022,27
25-08-2022,29
26-08-2022,25
27-08-2022,26
28-08-2022,22
29-08-2022,21
30-08-2022,25
31-08-2022,35
01-09-2022,24
02-09-2022,35
03-09-2022,30
04-09-2022,25
05-09-2022,25
06-09-2022,29
07-09-2022,34
08-09-2022,29
09-09-2022,26
10-09-2022,28
11-09-2022,20
12-09-2022,32
13-09-2022,25
14-09-2022,25
15-09-2022,29
16-09-2022,33
17-09-2022,30
18-09-2022,32
19-09-2022,32
20-09-2022,28
21-09-2022,32
22-09-2022,38
23-09-2022,40
24-09-2022,31
25-09-2022,24
26-09-2022,23
27-09-2022,24
28-09-2022,30
29-09-2022,28
30-09-2022,34
01-10-2022,41
02-10-2022,33
03-10-2022,32
04-10-2022,35
05-10-2022,38
06-10-2022,43
07-10-2022,41
08-10-2022,32
09-10-2022,33
10-10-2022,32
11-10-2022,32
12-10-2022,43
13-10-2022,34
15-10-2022,25
16-10-2022,28
17-10-2022,28
18-10-2022,39
19-10-2022,30
20-10-2022,34
21-10-2022,30
22-10-2022,39
23-10-2022,58
24-10-2022,62
25-10-2022,70
26-10-2022,60
27-10-2022,78
28-10-2022,60
29-10-2022,80
03-11-2022,36
04-11-2022,23
05-11-2022,24
