Date,AQI
12-04-2022,97
14-04-2022,87
15-04-2022,85
16-04-2022,90
17-04-2022,103
19-04-2022,80
20-04-2022,90
21-04-2022,94
22-04-2022,100
23-04-2022,98
24-04-2022,93
25-04-2022,101
26-04-2022,100
27-04-2022,68
28-04-2022,73
30-04-2022,47
01-05-2022,50
02-05-2022,46
03-05-2022,46
04-05-2022,58
05-05-2022,57
06-05-2022,59
07-05-2022,69
09-05-2022,81
10-05-2022,89
11-05-2022,74
12-05-2022,45
13-05-2022,60
14-05-2022,90
15-05-2022,98
16-05-2022,86
17-05-2022,52
18-05-2022,53
19-05-2022,133
29-06-2022,19
30-06-2022,15
01-07-2022,34
02-07-2022,35
03-07-2022,42
04-07-2022,47
05-07-2022,51
06-07-2022,54
07-07-2022,59
08-07-2022,66
09-07-2022,67
10-07-2022,71
12-07-2022,69
13-07-2022,78
14-07-2022,69
15-07-2022,52
16-07-2022,53
17-07-2022,54
18-07-2022,44
19-07-2022,35
20-07-2022,35
21-07-2022,37
22-07-2022,37
23-07-2022,38
24-07-2022,39
25-07-2022,40
26-07-2022,40
27-07-2022,41
28-07-2022,45
29-07-2022,44
30-07-2022,45
31-07-2022,44
01-08-2022,45
02-08-2022,48
03-08-2022,46
04-08-2022,46
05-08-2022,47
06-08-2022,47
07-08-2022,47
08-08-2022,47
09-08-2022,49
10-08-2022,48
11-08-2022,51
12-08-2022,49
13-08-2022,49
14-08-2022,49
15-08-2022,50
16-08-2022,51
17-08-2022,52
18-08-2022,52
19-08-2022,53
20-08-2022,53
21-08-2022,53
22-08-2022,54
23-08-2022,74
24-08-2022,52
25-08-2022,53
26-08-2022,55
27-08-2022,55
28-08-2022,55
29-08-2022,57
30-08-2022,57
31-08-2022,59
01-09-2022,58
02-09-2022,58
03-09-2022,58
04-09-2022,58
05-09-2022,59
06-09-2022,61
07-09-2022,60
08-09-2022,61
09-09-2022,60
10-09-2022,59
11-09-2022,60
12-09-2022,60
13-09-2022,60
14-09-2022,60
15-09-2022,60
16-09-2022,60
17-09-2022,61
18-09-2022,61
19-09-2022,61
20-09-2022,62
21-09-2022,61
22-09-2022,40
23-09-2022,32
24-09-2022,29
25-09-2022,29
27-09-2022,30
29-09-2022,38
30-09-2022,31
01-10-2022,31
04-10-2022,31
05-10-2022,38
06-10-2022,45
07-10-2022,32
08-10-2022,32
09-10-2022,32
11-10-2022,31
12-10-2022,30
13-10-2022,34
14-10-2022,33
15-10-2022,40
16-10-2022,34
17-10-2022,34
18-10-2022,33
19-10-2022,34
20-10-2022,35
21-10-2022,27
22-10-2022,55
23-10-2022,81
24-10-2022,89
25-10-2022,80
26-10-2022,79
27-10-2022,96
28-10-2022,79
29-10-2022,86
30-10-2022,93
31-10-2022,96
01-11-2022,116
02-11-2022,72
03-11-2022,53
04-11-2022,60
05-11-2022,51
06-11-2022,59
07-11-2022,91
08-11-2022,106
09-11-2022,110
10-11-2022,116
11-11-2022,133
12-11-2022,149
13-11-2022,99
14-11-2022,45
15-11-2022,63
16-11-2022,124
17-11-2022,147
18-11-2022,126
19-11-2022,132
20-11-2022,163
21-11-2022,122
22-11-2022,107
23-11-2022,70
24-11-2022,54
25-11-2022,55
26-11-2022,68
27-11-2022,61
28-11-2022,51
29-11-2022,86
30-11-2022,227
01-12-2022,171
02-12-2022,120
03-12-2022,80
04-12-2022,62
08-12-2022,229
09-12-2022,97
10-12-2022,116
11-12-2022,82
12-12-2022,42
13-12-2022,38
14-12-2022,43
15-12-2022,51
16-12-2022,74
17-12-2022,80
18-12-2022,159
19-12-2022,120
21-12-2022,94
22-12-2022,98
23-12-2022,160
24-12-2022,103
25-12-2022,108
26-12-2022,72
28-12-2022,49
29-12-2022,68
30-12-2022,71
31-12-2022,68
01-01-2023,66
02-01-2023,102
03-01-2023,91
04-01-2023,81
05-01-2023,85
06-01-2023,79
07-01-2023,118
08-01-2023,196
10-01-2023,114
11-01-2023,123
12-01-2023,107
13-01-2023,123
14-01-2023,154
15-01-2023,106
16-01-2023,100
17-01-2023,131
18-01-2023,100
19-01-2023,92
20-01-2023,91
21-01-2023,103
22-01-2023,96
23-01-2023,109
24-01-2023,100
25-01-2023,84
26-01-2023,75
27-01-2023,80
28-01-2023,82
29-01-2023,83
30-01-2023,76
31-01-2023,72
01-02-2023,73
02-02-2023,113
03-02-2023,124
04-02-2023,115
05-02-2023,115
06-02-2023,83
07-02-2023,91
