Date,AQI
28-01-2019,177
29-01-2019,162
30-01-2019,216
31-01-2019,217
01-02-2019,221
02-02-2019,199
03-02-2019,148
04-02-2019,258
05-02-2019,229
06-02-2019,280
07-02-2019,187
08-02-2019,143
09-02-2019,114
10-02-2019,132
11-02-2019,224
12-02-2019,214
13-02-2019,232
14-02-2019,300
15-02-2019,195
16-02-2019,118
17-02-2019,144
18-02-2019,161
19-02-2019,116
20-02-2019,237
21-02-2019,126
22-02-2019,77
23-02-2019,67
24-02-2019,91
25-02-2019,149
26-02-2019,67
27-02-2019,73
28-02-2019,134
01-03-2019,134
02-03-2019,101
03-03-2019,94
04-03-2019,102
05-03-2019,78
06-03-2019,84
07-03-2019,151
08-03-2019,77
09-03-2019,85
10-03-2019,91
11-03-2019,107
12-03-2019,104
13-03-2019,143
14-03-2019,124
15-03-2019,82
16-03-2019,92
17-03-2019,118
18-03-2019,137
19-03-2019,144
20-03-2019,127
21-03-2019,99
22-03-2019,98
23-03-2019,99
24-03-2019,97
25-03-2019,100
26-03-2019,115
27-03-2019,107
28-03-2019,124
29-03-2019,163
30-03-2019,203
31-03-2019,122
01-04-2019,123
02-04-2019,150
03-04-2019,175
04-04-2019,154
05-04-2019,191
06-04-2019,197
07-04-2019,184
09-04-2019,194
10-04-2019,168
11-04-2019,121
12-04-2019,162
13-04-2019,120
14-04-2019,110
15-04-2019,121
16-04-2019,124
17-04-2019,135
18-04-2019,96
19-04-2019,151
20-04-2019,167
21-04-2019,158
22-04-2019,166
23-04-2019,144
24-04-2019,214
25-04-2019,201
26-04-2019,203
27-04-2019,184
28-04-2019,195
29-04-2019,339
30-04-2019,271
01-05-2019,256
02-05-2019,258
03-05-2019,172
04-05-2019,230
05-05-2019,243
06-05-2019,251
07-05-2019,229
08-05-2019,275
09-05-2019,298
10-05-2019,319
11-05-2019,205
12-05-2019,316
13-05-2019,317
14-05-2019,125
15-05-2019,237
16-05-2019,203
17-05-2019,190
19-05-2019,154
20-05-2019,248
21-05-2019,220
22-05-2019,216
23-05-2019,219
24-05-2019,102
25-05-2019,90
26-05-2019,109
27-05-2019,117
28-05-2019,121
29-05-2019,173
30-05-2019,250
31-05-2019,288
01-06-2019,228
02-06-2019,201
03-06-2019,261
04-06-2019,209
05-06-2019,177
06-06-2019,208
07-06-2019,145
08-06-2019,231
09-06-2019,166
10-06-2019,191
11-06-2019,254
12-06-2019,211
13-06-2019,223
14-06-2019,243
15-06-2019,184
16-06-2019,155
17-06-2019,89
18-06-2019,92
19-06-2019,148
20-06-2019,147
21-06-2019,119
22-06-2019,135
23-06-2019,184
24-06-2019,106
25-06-2019,151
26-06-2019,107
27-06-2019,260
28-06-2019,156
29-06-2019,342
30-06-2019,225
01-07-2019,185
02-07-2019,262
03-07-2019,155
04-07-2019,112
05-07-2019,77
07-07-2019,78
08-07-2019,107
09-07-2019,129
10-07-2019,141
11-07-2019,345
12-07-2019,321
13-07-2019,325
14-07-2019,333
15-07-2019,219
16-07-2019,101
17-07-2019,66
18-07-2019,61
19-07-2019,66
20-07-2019,102
21-07-2019,90
22-07-2019,83
23-07-2019,94
24-07-2019,87
25-07-2019,55
26-07-2019,50
27-07-2019,48
28-07-2019,54
29-07-2019,46
30-07-2019,68
31-07-2019,74
01-08-2019,78
02-08-2019,59
03-08-2019,58
04-08-2019,72
05-08-2019,83
06-08-2019,65
07-08-2019,64
08-08-2019,72
09-08-2019,81
10-08-2019,51
11-08-2019,67
12-08-2019,37
13-08-2019,56
14-08-2019,62
15-08-2019,62
16-08-2019,49
17-08-2019,45
18-08-2019,27
19-08-2019,56
20-08-2019,63
21-08-2019,98
22-08-2019,92
23-08-2019,100
24-08-2019,113
25-08-2019,101
26-08-2019,61
27-08-2019,66
28-08-2019,78
29-08-2019,86
30-08-2019,74
31-08-2019,83
01-09-2019,89
02-09-2019,77
03-09-2019,90
04-09-2019,93
05-09-2019,142
06-09-2019,75
07-09-2019,84
08-09-2019,84
09-09-2019,89
10-09-2019,150
11-09-2019,189
12-09-2019,200
13-09-2019,146
14-09-2019,95
15-09-2019,86
16-09-2019,130
17-09-2019,134
18-09-2019,118
19-09-2019,96
20-09-2019,75
21-09-2019,90
22-09-2019,79
23-09-2019,84
24-09-2019,71
25-09-2019,79
26-09-2019,71
27-09-2019,77
28-09-2019,69
29-09-2019,59
30-09-2019,54
01-10-2019,81
02-10-2019,90
04-10-2019,56
05-10-2019,68
06-10-2019,107
07-10-2019,129
08-10-2019,91
09-10-2019,116
10-10-2019,126
11-10-2019,192
12-10-2019,218
13-10-2019,269
14-10-2019,244
15-10-2019,257
16-10-2019,261
17-10-2019,297
18-10-2019,271
19-10-2019,165
20-10-2019,203
21-10-2019,216
22-10-2019,215
23-10-2019,224
24-10-2019,294
25-10-2019,333
26-10-2019,328
27-10-2019,385
28-10-2019,370
29-10-2019,336
30-10-2019,343
31-10-2019,323
01-11-2019,456
02-11-2019,490
03-11-2019,445
04-11-2019,424
05-11-2019,238
06-11-2019,232
07-11-2019,125
08-11-2019,196
09-11-2019,186
10-11-2019,213
11-11-2019,312
12-11-2019,445
13-11-2019,476
14-11-2019,433
15-11-2019,366
16-11-2019,286
17-11-2019,196
18-11-2019,177
19-11-2019,142
20-11-2019,314
21-11-2019,353
22-11-2019,332
23-11-2019,287
24-11-2019,268
25-11-2019,233
26-11-2019,279
27-11-2019,94
28-11-2019,84
29-11-2019,88
30-11-2019,181
01-12-2019,208
02-12-2019,260
