Date,AQI
10-08-2022,48
11-08-2022,39
13-08-2022,44
14-08-2022,36
15-08-2022,62
16-08-2022,52
17-08-2022,73
18-08-2022,61
21-08-2022,46
22-08-2022,67
24-08-2022,74
07-09-2022,84
08-09-2022,99
10-09-2022,94
11-09-2022,97
12-09-2022,57
13-09-2022,47
14-09-2022,55
15-09-2022,52
18-09-2022,97
19-09-2022,66
21-09-2022,82
22-09-2022,75
23-09-2022,89
24-09-2022,100
25-09-2022,93
26-09-2022,89
27-09-2022,70
29-09-2022,91
30-09-2022,97
01-10-2022,104
07-10-2022,47
08-10-2022,119
09-10-2022,75
10-10-2022,99
11-10-2022,88
12-10-2022,73
13-10-2022,58
14-10-2022,58
15-10-2022,73
18-10-2022,95
19-10-2022,88
20-10-2022,87
21-10-2022,37
23-10-2022,100
24-10-2022,92
25-10-2022,232
26-10-2022,168
27-10-2022,114
28-10-2022,75
01-11-2022,89
08-11-2022,98
09-11-2022,89
10-11-2022,88
11-11-2022,75
12-11-2022,89
13-11-2022,85
14-11-2022,66
15-11-2022,79
16-11-2022,87
17-11-2022,96
18-11-2022,105
22-11-2022,92
23-11-2022,69
24-11-2022,71
25-11-2022,75
26-11-2022,94
29-11-2022,123
01-12-2022,101
02-12-2022,89
03-12-2022,74
04-12-2022,119
05-12-2022,91
07-12-2022,131
08-12-2022,195
09-12-2022,124
10-12-2022,103
11-12-2022,104
12-12-2022,104
13-12-2022,111
14-12-2022,99
15-12-2022,76
16-12-2022,97
17-12-2022,114
18-12-2022,107
19-12-2022,104
20-12-2022,101
21-12-2022,86
24-12-2022,120
25-12-2022,196
26-12-2022,82
27-12-2022,98
29-12-2022,86
30-12-2022,103
31-12-2022,119
01-01-2023,131
02-01-2023,86
03-01-2023,98
05-01-2023,98
07-01-2023,116
10-01-2023,105
12-01-2023,189
14-01-2023,138
15-01-2023,104
16-01-2023,100
17-01-2023,93
18-01-2023,105
23-01-2023,119
24-01-2023,130
25-01-2023,115
26-01-2023,121
27-01-2023,130
30-01-2023,101
31-01-2023,81
02-02-2023,122
03-02-2023,132
04-02-2023,136
05-02-2023,172
