Date,AQI
05-07-2016,65
06-07-2016,61
13-07-2016,44
14-07-2016,63
15-07-2016,67
30-07-2016,68
31-07-2016,69
01-08-2016,63
05-08-2016,104
06-08-2016,28
08-08-2016,40
12-08-2016,105
13-08-2016,62
14-08-2016,88
26-08-2016,70
30-08-2016,59
02-09-2016,93
04-09-2016,94
10-09-2016,74
15-09-2016,35
21-09-2016,75
22-09-2016,52
23-09-2016,62
24-09-2016,60
28-09-2016,93
07-10-2016,51
10-10-2016,27
11-10-2016,87
28-10-2016,76
29-10-2016,65
04-11-2016,89
05-11-2016,46
07-11-2016,101
12-11-2016,38
16-11-2016,35
18-11-2016,39
21-11-2016,63
22-11-2016,172
29-11-2016,167
30-11-2016,146
01-12-2016,93
02-12-2016,140
03-12-2016,139
04-12-2016,125
05-12-2016,106
06-12-2016,116
09-12-2016,110
13-12-2016,138
17-12-2016,161
18-12-2016,154
19-12-2016,172
20-12-2016,163
21-12-2016,169
22-12-2016,171
24-12-2016,198
25-12-2016,171
26-12-2016,142
27-12-2016,159
28-12-2016,152
29-12-2016,129
31-12-2016,147
01-01-2017,148
02-01-2017,132
03-01-2017,152
09-01-2017,128
11-01-2017,81
12-01-2017,108
13-01-2017,122
14-01-2017,115
16-01-2017,134
19-01-2017,311
27-01-2017,161
31-01-2017,128
02-02-2017,112
07-02-2017,144
08-02-2017,120
09-02-2017,154
11-02-2017,124
12-02-2017,107
13-02-2017,129
14-02-2017,181
15-02-2017,134
16-02-2017,123
17-02-2017,145
22-02-2017,65
27-02-2017,114
28-02-2017,101
01-03-2017,135
02-03-2017,114
03-03-2017,66
04-03-2017,93
05-03-2017,63
06-03-2017,62
07-03-2017,442
08-03-2017,88
09-03-2017,71
14-03-2017,72
15-03-2017,117
16-03-2017,92
17-03-2017,94
19-03-2017,66
20-03-2017,57
21-03-2017,48
22-03-2017,58
23-03-2017,50
24-03-2017,47
25-03-2017,59
26-03-2017,46
15-04-2017,100
16-04-2017,63
17-04-2017,80
18-04-2017,82
19-04-2017,217
20-04-2017,87
21-04-2017,90
22-04-2017,75
23-04-2017,68
24-04-2017,76
25-04-2017,64
26-04-2017,65
27-04-2017,80
28-04-2017,98
29-04-2017,93
30-04-2017,140
01-05-2017,133
02-05-2017,195
03-05-2017,74
04-05-2017,91
05-05-2017,97
06-05-2017,78
07-05-2017,74
08-05-2017,58
09-05-2017,107
10-05-2017,45
11-05-2017,69
12-05-2017,94
13-05-2017,91
14-05-2017,61
15-05-2017,60
16-05-2017,51
17-05-2017,39
18-05-2017,84
19-05-2017,63
20-05-2017,121
21-05-2017,89
22-05-2017,93
23-05-2017,104
24-05-2017,99
25-05-2017,95
26-05-2017,89
27-05-2017,76
28-05-2017,62
29-05-2017,62
30-05-2017,301
31-05-2017,65
01-06-2017,142
02-06-2017,87
03-06-2017,97
04-06-2017,85
05-06-2017,87
06-06-2017,89
07-06-2017,84
09-06-2017,72
10-06-2017,72
11-06-2017,59
12-06-2017,78
13-06-2017,78
14-06-2017,74
15-06-2017,366
16-06-2017,88
17-06-2017,155
19-06-2017,168
20-06-2017,100
21-06-2017,73
22-06-2017,84
23-06-2017,91
24-06-2017,123
25-06-2017,105
26-06-2017,121
27-06-2017,75
28-06-2017,74
29-06-2017,86
30-06-2017,87
01-07-2017,86
02-07-2017,451
03-07-2017,85
04-07-2017,65
05-07-2017,134
06-07-2017,66
07-07-2017,158
08-07-2017,48
09-07-2017,451
10-07-2017,105
12-07-2017,126
13-07-2017,146
14-07-2017,205
15-07-2017,214
16-07-2017,102
17-07-2017,225
18-07-2017,132
19-07-2017,92
20-07-2017,68
21-07-2017,89
22-07-2017,101
25-07-2017,63
26-07-2017,69
27-07-2017,64
28-07-2017,78
29-07-2017,79
30-07-2017,75
31-07-2017,83
01-08-2017,62
02-08-2017,100
03-08-2017,86
04-08-2017,154
05-08-2017,451
06-08-2017,280
07-08-2017,207
08-08-2017,275
09-08-2017,451
10-08-2017,188
11-08-2017,451
12-08-2017,300
13-08-2017,270
14-08-2017,187
15-08-2017,49
16-08-2017,45
17-08-2017,81
18-08-2017,41
19-08-2017,35
20-08-2017,39
21-08-2017,46
22-08-2017,45
23-08-2017,451
24-08-2017,53
25-08-2017,35
26-08-2017,38
27-08-2017,37
28-08-2017,40
29-08-2017,42
30-08-2017,451
31-08-2017,451
05-09-2017,61
09-09-2017,47
10-09-2017,51
11-09-2017,33
12-09-2017,50
13-09-2017,48
14-09-2017,53
20-09-2017,52
21-09-2017,70
22-09-2017,80
26-09-2017,102
27-09-2017,94
29-09-2017,70
30-09-2017,33
01-10-2017,55
02-10-2017,48
04-10-2017,43
05-10-2017,101
06-10-2017,85
07-10-2017,63
08-10-2017,68
09-10-2017,34
10-10-2017,65
11-10-2017,50
12-10-2017,74
13-10-2017,56
17-10-2017,145
18-10-2017,121
19-10-2017,62
20-10-2017,77
21-10-2017,69
22-10-2017,105
23-10-2017,88
24-10-2017,77
25-10-2017,48
30-10-2017,106
31-10-2017,74
01-11-2017,130
04-11-2017,451
05-11-2017,129
06-11-2017,118
07-11-2017,451
04-02-2018,200
05-02-2018,130
06-02-2018,320
07-02-2018,270
08-02-2018,216
09-02-2018,265
10-02-2018,257
11-02-2018,258
12-02-2018,286
13-02-2018,285
14-02-2018,247
15-02-2018,210
16-02-2018,246
17-02-2018,274
18-02-2018,281
19-02-2018,194
20-02-2018,147
21-02-2018,214
22-02-2018,262
23-02-2018,268
24-02-2018,187
25-02-2018,184
26-02-2018,185
27-02-2018,155
28-02-2018,270
01-03-2018,288
02-03-2018,265
03-03-2018,169
04-03-2018,168
05-03-2018,140
06-03-2018,161
07-03-2018,163
08-03-2018,220
09-03-2018,242
10-03-2018,230
11-03-2018,234
12-03-2018,110
13-03-2018,115
14-03-2018,246
15-03-2018,173
16-03-2018,130
17-03-2018,134
18-03-2018,187
19-03-2018,225
20-03-2018,243
21-03-2018,179
22-03-2018,149
23-03-2018,108
24-03-2018,104
25-03-2018,107
26-03-2018,107
27-03-2018,161
28-03-2018,149
29-03-2018,96
30-03-2018,77
31-03-2018,84
01-04-2018,96
02-04-2018,80
03-04-2018,126
04-04-2018,140
05-04-2018,96
06-04-2018,82
07-04-2018,89
08-04-2018,159
09-04-2018,86
10-04-2018,78
13-04-2018,80
14-04-2018,86
15-04-2018,172
16-04-2018,158
17-04-2018,81
03-05-2018,152
04-05-2018,73
05-05-2018,65
06-05-2018,73
07-05-2018,63
08-05-2018,68
09-05-2018,90
10-05-2018,69
11-05-2018,61
12-05-2018,83
13-05-2018,50
14-05-2018,102
15-05-2018,112
16-05-2018,68
17-05-2018,120
18-05-2018,76
19-05-2018,159
20-05-2018,86
21-05-2018,92
22-05-2018,73
23-05-2018,59
24-05-2018,54
25-05-2018,52
26-05-2018,52
27-05-2018,46
28-05-2018,41
29-05-2018,41
30-05-2018,58
31-05-2018,75
01-06-2018,61
02-06-2018,64
03-06-2018,60
04-06-2018,68
05-06-2018,59
06-06-2018,56
07-06-2018,56
08-06-2018,54
