Date,AQI
21-09-2018,79
23-09-2018,79
24-09-2018,82
25-09-2018,87
26-09-2018,57
27-09-2018,64
28-09-2018,82
30-09-2018,79
01-10-2018,75
02-10-2018,71
03-10-2018,82
04-10-2018,78
05-10-2018,71
06-10-2018,66
07-10-2018,64
08-10-2018,108
09-10-2018,78
10-10-2018,98
11-10-2018,112
12-10-2018,119
13-10-2018,118
14-10-2018,117
15-10-2018,107
16-10-2018,114
17-10-2018,42
18-10-2018,58
19-10-2018,48
20-10-2018,68
21-10-2018,118
22-10-2018,105
23-10-2018,127
24-10-2018,107
25-10-2018,121
26-10-2018,104
28-10-2018,85
29-10-2018,90
30-10-2018,314
15-11-2018,114
16-11-2018,84
28-11-2018,101
29-11-2018,86
30-11-2018,83
01-12-2018,92
02-12-2018,91
03-12-2018,70
04-12-2018,85
05-12-2018,77
06-12-2018,55
07-12-2018,98
08-12-2018,93
09-12-2018,116
10-12-2018,112
11-12-2018,95
12-12-2018,125
13-12-2018,103
14-12-2018,115
15-12-2018,110
16-12-2018,123
17-12-2018,130
18-12-2018,106
19-12-2018,35
20-12-2018,57
21-12-2018,83
22-12-2018,104
23-12-2018,89
24-12-2018,83
26-12-2018,137
27-12-2018,127
28-12-2018,97
29-12-2018,98
30-12-2018,97
31-12-2018,92
01-01-2019,102
02-01-2019,93
03-01-2019,89
04-01-2019,88
05-01-2019,101
08-01-2019,108
09-01-2019,125
10-01-2019,121
11-01-2019,160
12-01-2019,176
13-01-2019,149
14-01-2019,124
15-01-2019,93
16-01-2019,106
17-01-2019,137
18-01-2019,111
19-01-2019,102
20-01-2019,99
21-01-2019,96
22-01-2019,125
23-01-2019,123
24-01-2019,103
25-01-2019,118
26-01-2019,116
27-01-2019,129
28-01-2019,83
29-01-2019,65
30-01-2019,78
31-01-2019,108
01-02-2019,101
03-02-2019,106
16-02-2019,86
17-02-2019,107
18-02-2019,116
19-02-2019,129
20-02-2019,113
21-02-2019,109
22-02-2019,108
23-02-2019,86
24-02-2019,116
25-02-2019,91
26-02-2019,111
28-02-2019,112
01-03-2019,110
02-03-2019,103
03-03-2019,103
04-03-2019,92
05-03-2019,88
06-03-2019,164
07-03-2019,136
08-03-2019,138
09-03-2019,118
10-03-2019,116
11-03-2019,118
13-03-2019,121
17-03-2019,107
18-03-2019,116
09-05-2019,73
10-05-2019,68
11-05-2019,66
12-05-2019,69
13-05-2019,80
16-05-2019,79
17-05-2019,90
18-05-2019,96
22-05-2019,75
23-05-2019,79
25-05-2019,77
26-05-2019,83
02-06-2019,79
03-06-2019,65
04-06-2019,68
09-06-2019,56
10-06-2019,36
13-06-2019,33
14-06-2019,47
15-06-2019,71
17-06-2019,68
11-07-2019,27
14-07-2019,72
18-07-2019,59
19-07-2019,67
20-07-2019,64
21-07-2019,38
22-07-2019,26
26-08-2019,213
27-08-2019,255
28-08-2019,152
29-08-2019,80
30-08-2019,89
31-08-2019,85
01-09-2019,43
03-09-2019,39
04-09-2019,47
05-09-2019,33
06-09-2019,33
07-09-2019,34
09-09-2019,60
10-09-2019,56
11-09-2019,112
12-09-2019,129
13-09-2019,111
14-09-2019,132
15-09-2019,118
16-09-2019,95
17-09-2019,96
18-09-2019,92
20-09-2019,70
21-09-2019,110
22-09-2019,90
23-09-2019,93
24-09-2019,83
26-09-2019,46
27-09-2019,62
01-10-2019,116
02-10-2019,88
03-10-2019,49
04-10-2019,61
05-10-2019,65
06-10-2019,33
07-10-2019,85
10-10-2019,41
11-10-2019,52
12-10-2019,96
13-10-2019,79
14-10-2019,53
15-10-2019,35
16-10-2019,81
17-10-2019,75
18-10-2019,59
20-10-2019,64
22-10-2019,35
23-10-2019,48
24-10-2019,42
25-10-2019,37
30-10-2019,99
01-11-2019,64
02-11-2019,128
06-11-2019,132
07-11-2019,91
08-11-2019,114
09-11-2019,101
10-11-2019,117
11-11-2019,124
12-11-2019,121
13-11-2019,133
14-11-2019,117
15-11-2019,144
16-11-2019,133
17-11-2019,103
18-11-2019,112
19-11-2019,116
20-11-2019,91
23-11-2019,102
27-11-2019,91
28-11-2019,73
29-11-2019,62
30-11-2019,59
01-12-2019,46
02-12-2019,32
03-12-2019,34
04-12-2019,58
05-12-2019,104
06-12-2019,107
07-12-2019,103
08-12-2019,65
09-12-2019,53
10-12-2019,67
11-12-2019,65
12-12-2019,72
13-12-2019,79
15-12-2019,63
16-12-2019,72
17-12-2019,71
18-12-2019,78
19-12-2019,84
20-12-2019,85
21-12-2019,99
22-12-2019,96
23-12-2019,89
24-12-2019,96
25-12-2019,102
26-12-2019,83
27-12-2019,97
28-12-2019,88
29-12-2019,72
30-12-2019,92
31-12-2019,85
01-01-2020,88
02-01-2020,125
03-01-2020,91
04-01-2020,101
05-01-2020,108
06-01-2020,85
07-01-2020,70
08-01-2020,67
09-01-2020,86
10-01-2020,92
11-01-2020,80
12-01-2020,80
13-01-2020,94
14-01-2020,113
15-01-2020,106
16-01-2020,115
17-01-2020,77
19-01-2020,91
20-01-2020,98
21-01-2020,96
22-01-2020,67
23-01-2020,70
24-01-2020,75
13-02-2020,67
14-02-2020,78
15-02-2020,114
16-02-2020,121
17-02-2020,93
19-02-2020,102
20-02-2020,115
21-02-2020,80
22-02-2020,74
23-02-2020,62
24-02-2020,77
25-02-2020,109
27-02-2020,86
28-02-2020,95
29-02-2020,109
01-03-2020,93
02-03-2020,67
03-03-2020,95
04-03-2020,82
05-03-2020,88
06-03-2020,79
07-03-2020,75
08-03-2020,84
09-03-2020,82
10-03-2020,84
11-03-2020,74
12-03-2020,71
13-03-2020,69
14-03-2020,63
15-03-2020,76
16-03-2020,108
17-03-2020,85
18-03-2020,80
19-03-2020,70
20-03-2020,73
