Date,AQI
01-05-2015,189
02-05-2015,94
03-05-2015,66
04-05-2015,77
05-05-2015,68
06-05-2015,82
07-05-2015,66
08-05-2015,74
09-05-2015,126
10-05-2015,93
11-05-2015,143
12-05-2015,68
13-05-2015,76
14-05-2015,88
15-05-2015,61
16-05-2015,72
17-05-2015,54
18-05-2015,60
19-05-2015,98
20-05-2015,103
21-05-2015,137
22-05-2015,146
23-05-2015,73
25-05-2015,85
26-05-2015,69
27-05-2015,123
28-05-2015,92
29-05-2015,76
30-05-2015,78
31-05-2015,100
01-06-2015,74
03-06-2015,77
04-06-2015,93
05-06-2015,80
06-06-2015,80
08-06-2015,69
09-06-2015,42
10-06-2015,40
11-06-2015,46
13-06-2015,40
15-06-2015,71
16-06-2015,51
17-06-2015,46
18-06-2015,41
19-06-2015,44
20-06-2015,49
21-06-2015,40
22-06-2015,37
23-06-2015,57
24-06-2015,240
25-06-2015,39
26-06-2015,52
27-06-2015,57
28-06-2015,66
01-07-2015,47
02-07-2015,44
03-07-2015,62
04-07-2015,56
05-07-2015,53
06-07-2015,45
07-07-2015,53
08-07-2015,48
09-07-2015,37
10-07-2015,44
11-07-2015,40
12-07-2015,44
13-07-2015,68
14-07-2015,60
15-07-2015,49
16-07-2015,57
17-07-2015,45
18-07-2015,37
19-07-2015,39
20-07-2015,41
21-07-2015,44
22-07-2015,40
23-07-2015,36
24-07-2015,40
25-07-2015,33
26-07-2015,39
27-07-2015,39
28-07-2015,39
29-07-2015,49
30-07-2015,36
31-07-2015,35
01-08-2015,27
02-08-2015,52
03-08-2015,40
04-08-2015,43
05-08-2015,36
06-08-2015,41
07-08-2015,41
08-08-2015,45
09-08-2015,39
10-08-2015,48
11-08-2015,34
12-08-2015,32
13-08-2015,40
14-08-2015,46
15-08-2015,56
16-08-2015,46
17-08-2015,55
18-08-2015,53
19-08-2015,59
20-08-2015,107
21-08-2015,124
22-08-2015,152
23-08-2015,79
24-08-2015,101
25-08-2015,201
26-08-2015,54
27-08-2015,99
29-08-2015,69
30-08-2015,55
31-08-2015,40
01-09-2015,142
02-09-2015,137
03-09-2015,229
04-09-2015,217
05-09-2015,154
06-09-2015,173
07-09-2015,104
08-09-2015,117
09-09-2015,123
10-09-2015,64
11-09-2015,98
12-09-2015,101
13-09-2015,112
14-09-2015,104
15-09-2015,144
16-09-2015,89
18-09-2015,67
19-09-2015,152
20-09-2015,240
21-09-2015,197
22-09-2015,151
23-09-2015,255
24-09-2015,88
26-09-2015,159
27-09-2015,136
28-09-2015,154
29-09-2015,137
30-09-2015,232
01-10-2015,322
02-10-2015,67
03-10-2015,74
04-10-2015,63
05-10-2015,111
06-10-2015,227
07-10-2015,205
08-10-2015,235
09-10-2015,234
10-10-2015,151
11-10-2015,72
12-10-2015,172
13-10-2015,113
14-10-2015,156
15-10-2015,246
16-10-2015,217
17-10-2015,192
18-10-2015,132
19-10-2015,122
20-10-2015,177
21-10-2015,175
23-10-2015,157
24-10-2015,154
25-10-2015,191
26-10-2015,174
27-10-2015,181
28-10-2015,163
29-10-2015,140
30-10-2015,291
31-10-2015,282
01-11-2015,74
02-11-2015,80
03-11-2015,79
04-11-2015,87
05-11-2015,84
06-11-2015,188
07-11-2015,162
08-11-2015,99
09-11-2015,99
10-11-2015,131
11-11-2015,61
12-11-2015,207
13-11-2015,155
14-11-2015,116
15-11-2015,147
16-11-2015,121
17-11-2015,107
18-11-2015,81
19-11-2015,88
21-11-2015,68
22-11-2015,106
23-11-2015,94
24-11-2015,72
25-11-2015,120
26-11-2015,186
27-11-2015,172
28-11-2015,182
29-11-2015,149
30-11-2015,94
01-12-2015,73
02-12-2015,61
03-12-2015,69
04-12-2015,91
05-12-2015,119
07-12-2015,156
08-12-2015,146
09-12-2015,127
10-12-2015,99
11-12-2015,54
12-12-2015,75
13-12-2015,84
14-12-2015,70
15-12-2015,63
16-12-2015,78
17-12-2015,52
18-12-2015,78
19-12-2015,76
20-12-2015,66
21-12-2015,69
22-12-2015,87
23-12-2015,81
24-12-2015,103
25-12-2015,138
26-12-2015,186
27-12-2015,166
28-12-2015,138
29-12-2015,142
30-12-2015,153
31-12-2015,190
01-01-2016,230
02-01-2016,135
03-01-2016,134
04-01-2016,178
05-01-2016,164
06-01-2016,190
07-01-2016,146
08-01-2016,133
09-01-2016,168
10-01-2016,196
11-01-2016,129
12-01-2016,179
13-01-2016,222
14-01-2016,120
15-01-2016,117
16-01-2016,99
17-01-2016,117
18-01-2016,103
19-01-2016,82
20-01-2016,137
21-01-2016,125
22-01-2016,95
23-01-2016,120
24-01-2016,134
25-01-2016,148
26-01-2016,96
27-01-2016,97
28-01-2016,125
29-01-2016,104
30-01-2016,107
31-01-2016,146
01-02-2016,131
02-02-2016,126
03-02-2016,97
04-02-2016,100
05-02-2016,146
06-02-2016,117
07-02-2016,118
08-02-2016,134
09-02-2016,141
10-02-2016,120
11-02-2016,116
12-02-2016,128
13-02-2016,111
14-02-2016,108
15-02-2016,91
16-02-2016,61
17-02-2016,74
18-02-2016,80
19-02-2016,68
20-02-2016,98
21-02-2016,295
22-02-2016,290
23-02-2016,125
24-02-2016,97
25-02-2016,93
26-02-2016,88
27-02-2016,68
28-02-2016,79
29-02-2016,73
01-03-2016,76
02-03-2016,91
03-03-2016,89
04-03-2016,108
05-03-2016,118
06-03-2016,94
07-03-2016,75
08-03-2016,77
09-03-2016,83
10-03-2016,123
11-03-2016,108
12-03-2016,127
13-03-2016,103
14-03-2016,106
15-03-2016,89
16-03-2016,87
17-03-2016,80
18-03-2016,88
19-03-2016,92
20-03-2016,121
21-03-2016,106
22-03-2016,101
23-03-2016,101
24-03-2016,145
25-03-2016,143
26-03-2016,120
27-03-2016,136
28-03-2016,115
29-03-2016,107
30-03-2016,104
31-03-2016,88
01-04-2016,88
02-04-2016,100
03-04-2016,99
04-04-2016,106
05-04-2016,108
07-04-2016,85
08-04-2016,85
09-04-2016,72
10-04-2016,75
11-04-2016,93
12-04-2016,90
13-04-2016,101
14-04-2016,132
15-04-2016,98
16-04-2016,93
17-04-2016,120
18-04-2016,94
19-04-2016,79
20-04-2016,83
21-04-2016,89
22-04-2016,100
23-04-2016,93
27-04-2016,101
28-04-2016,89
29-04-2016,72
30-04-2016,72
01-05-2016,89
02-05-2016,76
03-05-2016,94
04-05-2016,59
05-05-2016,51
06-05-2016,73
07-05-2016,90
08-05-2016,71
09-05-2016,114
11-05-2016,88
12-05-2016,94
13-05-2016,79
14-05-2016,87
15-05-2016,64
16-05-2016,64
17-05-2016,55
18-05-2016,62
19-05-2016,63
20-05-2016,71
21-05-2016,59
22-05-2016,74
23-05-2016,73
24-05-2016,64
25-05-2016,84
26-05-2016,58
27-05-2016,61
28-05-2016,58
29-05-2016,59
30-05-2016,52
31-05-2016,49
01-06-2016,56
02-06-2016,85
03-06-2016,55
04-06-2016,63
05-06-2016,57
07-06-2016,62
08-06-2016,73
09-06-2016,53
10-06-2016,56
12-06-2016,40
13-06-2016,42
14-06-2016,77
15-06-2016,105
16-06-2016,443
17-06-2016,65
19-06-2016,58
20-06-2016,48
21-06-2016,56
22-06-2016,48
23-06-2016,38
24-06-2016,30
25-06-2016,37
26-06-2016,39
27-06-2016,38
28-06-2016,59
29-06-2016,39
30-06-2016,30
01-07-2016,34
02-07-2016,56
03-07-2016,57
05-07-2016,57
07-07-2016,47
08-07-2016,48
09-07-2016,37
10-07-2016,58
11-07-2016,132
12-07-2016,243
13-07-2016,15
14-07-2016,23
15-07-2016,36
16-07-2016,31
17-07-2016,38
18-07-2016,28
20-07-2016,16
25-07-2016,23
26-07-2016,27
27-07-2016,43
28-07-2016,32
29-07-2016,26
30-07-2016,96
31-07-2016,170
01-08-2016,131
02-08-2016,181
04-08-2016,16
07-08-2016,14
08-08-2016,14
09-08-2016,16
10-08-2016,16
11-08-2016,24
12-08-2016,32
