Date,AQI
19-04-2022,71
20-04-2022,64
21-04-2022,65
22-04-2022,58
23-04-2022,64
24-04-2022,78
25-04-2022,88
26-04-2022,95
27-04-2022,86
29-04-2022,74
30-04-2022,82
01-05-2022,46
02-05-2022,56
03-05-2022,80
05-05-2022,72
06-05-2022,74
07-05-2022,76
08-05-2022,77
09-05-2022,78
10-05-2022,77
11-05-2022,76
12-05-2022,32
13-05-2022,56
14-05-2022,60
15-05-2022,58
16-05-2022,35
17-05-2022,57
18-05-2022,62
19-05-2022,62
20-05-2022,59
21-05-2022,70
22-05-2022,57
23-05-2022,72
24-05-2022,76
25-05-2022,68
26-05-2022,65
27-05-2022,75
28-05-2022,87
29-05-2022,91
30-05-2022,72
31-05-2022,66
01-06-2022,78
02-06-2022,63
03-06-2022,85
04-06-2022,85
05-06-2022,87
06-06-2022,88
07-06-2022,83
08-06-2022,80
09-06-2022,78
10-06-2022,81
11-06-2022,70
12-06-2022,82
13-06-2022,60
14-06-2022,62
15-06-2022,43
16-06-2022,44
17-06-2022,66
18-06-2022,65
19-06-2022,65
20-06-2022,66
21-06-2022,66
22-06-2022,69
23-06-2022,70
24-06-2022,93
25-06-2022,94
26-06-2022,95
27-06-2022,95
28-06-2022,95
29-06-2022,88
30-06-2022,42
01-07-2022,42
02-07-2022,58
03-07-2022,59
04-07-2022,66
05-07-2022,58
06-07-2022,60
07-07-2022,50
08-07-2022,64
09-07-2022,62
10-07-2022,76
11-07-2022,61
12-07-2022,74
13-07-2022,78
14-07-2022,74
15-07-2022,72
16-07-2022,72
17-07-2022,62
18-07-2022,85
19-07-2022,68
20-07-2022,58
21-07-2022,65
22-07-2022,65
23-07-2022,71
24-07-2022,67
25-07-2022,54
26-07-2022,52
27-07-2022,50
28-07-2022,53
29-07-2022,60
30-07-2022,68
31-07-2022,68
01-08-2022,56
02-08-2022,41
03-08-2022,42
04-08-2022,41
05-08-2022,68
06-08-2022,68
07-08-2022,87
08-08-2022,84
09-08-2022,88
10-08-2022,60
11-08-2022,74
12-08-2022,68
13-08-2022,66
14-08-2022,45
15-08-2022,46
16-08-2022,74
17-08-2022,59
18-08-2022,80
19-08-2022,72
20-08-2022,76
21-08-2022,72
22-08-2022,67
23-08-2022,68
24-08-2022,74
25-08-2022,68
26-08-2022,57
27-08-2022,77
28-08-2022,75
29-08-2022,82
30-08-2022,64
31-08-2022,83
01-09-2022,85
02-09-2022,71
03-09-2022,78
04-09-2022,78
05-09-2022,75
06-09-2022,70
07-09-2022,78
08-09-2022,84
09-09-2022,108
10-09-2022,96
11-09-2022,80
12-09-2022,81
13-09-2022,52
14-09-2022,86
15-09-2022,72
16-09-2022,87
17-09-2022,82
18-09-2022,90
19-09-2022,82
20-09-2022,77
21-09-2022,83
22-09-2022,101
23-09-2022,86
24-09-2022,86
25-09-2022,84
26-09-2022,58
27-09-2022,64
28-09-2022,82
29-09-2022,84
30-09-2022,90
01-10-2022,95
02-10-2022,94
03-10-2022,88
04-10-2022,84
05-10-2022,118
06-10-2022,102
07-10-2022,93
08-10-2022,94
09-10-2022,98
10-10-2022,100
11-10-2022,78
12-10-2022,105
13-10-2022,99
14-10-2022,104
15-10-2022,108
16-10-2022,140
18-10-2022,108
19-10-2022,111
20-10-2022,116
21-10-2022,136
22-10-2022,133
23-10-2022,136
24-10-2022,105
25-10-2022,58
26-10-2022,176
27-10-2022,132
28-10-2022,146
29-10-2022,134
30-10-2022,136
31-10-2022,218
02-11-2022,250
03-11-2022,147
04-11-2022,91
05-11-2022,74
06-11-2022,92
07-11-2022,81
08-11-2022,87
09-11-2022,97
10-11-2022,88
11-11-2022,145
12-11-2022,166
13-11-2022,239
14-11-2022,86
15-11-2022,112
16-11-2022,106
17-11-2022,112
18-11-2022,134
19-11-2022,119
20-11-2022,175
21-11-2022,90
22-11-2022,78
23-11-2022,94
24-11-2022,88
25-11-2022,108
26-11-2022,122
27-11-2022,130
28-11-2022,89
29-11-2022,112
30-11-2022,100
01-12-2022,89
02-12-2022,72
