Date,AQI
23-09-2019,74
24-09-2019,55
25-09-2019,74
26-09-2019,49
27-09-2019,48
28-09-2019,51
29-09-2019,51
30-09-2019,58
01-10-2019,49
02-10-2019,56
03-10-2019,92
04-10-2019,125
05-10-2019,112
06-10-2019,90
07-10-2019,97
08-10-2019,110
09-10-2019,189
10-10-2019,183
11-10-2019,94
12-10-2019,165
13-10-2019,163
14-10-2019,200
15-10-2019,187
16-10-2019,170
17-10-2019,176
18-10-2019,150
19-10-2019,124
20-10-2019,106
21-10-2019,166
22-10-2019,91
23-10-2019,76
24-10-2019,86
25-10-2019,158
26-10-2019,101
27-10-2019,59
28-10-2019,87
29-10-2019,48
30-10-2019,61
31-10-2019,92
01-11-2019,121
02-11-2019,103
03-11-2019,71
04-11-2019,91
05-11-2019,111
06-11-2019,130
07-11-2019,123
08-11-2019,65
09-11-2019,106
10-11-2019,159
11-11-2019,166
12-11-2019,151
13-11-2019,149
14-11-2019,151
15-11-2019,188
16-11-2019,186
17-11-2019,220
18-11-2019,151
19-11-2019,213
20-11-2019,157
21-11-2019,168
22-11-2019,189
23-11-2019,248
25-11-2019,198
26-11-2019,190
27-11-2019,169
28-11-2019,152
29-11-2019,167
30-11-2019,170
01-12-2019,125
02-12-2019,200
03-12-2019,232
04-12-2019,111
05-12-2019,99
06-12-2019,102
07-12-2019,166
08-12-2019,155
09-12-2019,252
10-12-2019,247
11-12-2019,259
12-12-2019,196
13-12-2019,127
14-12-2019,98
15-12-2019,111
16-12-2019,138
17-12-2019,158
18-12-2019,166
19-12-2019,177
20-12-2019,170
21-12-2019,209
22-12-2019,128
23-12-2019,148
24-12-2019,116
25-12-2019,216
26-12-2019,211
27-12-2019,88
28-12-2019,76
29-12-2019,82
30-12-2019,106
31-12-2019,117
01-01-2020,231
02-01-2020,216
03-01-2020,111
04-01-2020,217
05-01-2020,114
06-01-2020,92
07-01-2020,110
08-01-2020,171
09-01-2020,150
10-01-2020,96
11-01-2020,84
12-01-2020,118
13-01-2020,141
14-01-2020,198
15-01-2020,126
16-01-2020,146
17-01-2020,116
18-01-2020,142
19-01-2020,124
20-01-2020,95
21-01-2020,124
22-01-2020,167
23-01-2020,106
24-01-2020,113
25-01-2020,141
26-01-2020,197
27-01-2020,129
29-01-2020,124
30-01-2020,92
31-01-2020,81
01-02-2020,92
02-02-2020,77
03-02-2020,84
04-02-2020,112
05-02-2020,137
06-02-2020,108
10-02-2020,83
11-02-2020,125
12-02-2020,115
13-02-2020,147
14-02-2020,201
15-02-2020,152
16-02-2020,92
17-02-2020,97
18-02-2020,96
19-02-2020,174
20-02-2020,178
21-02-2020,153
22-02-2020,127
23-02-2020,120
24-02-2020,104
25-02-2020,112
26-02-2020,178
27-02-2020,180
28-02-2020,140
29-02-2020,116
01-03-2020,177
02-03-2020,183
03-03-2020,153
04-03-2020,137
05-03-2020,128
06-03-2020,163
07-03-2020,123
08-03-2020,91
09-03-2020,75
10-03-2020,138
11-03-2020,82
13-03-2020,104
14-03-2020,143
15-03-2020,129
16-03-2020,115
17-03-2020,107
18-03-2020,112
19-03-2020,126
20-03-2020,169
21-03-2020,111
22-03-2020,134
23-03-2020,118
24-03-2020,116
25-03-2020,91
26-03-2020,56
27-03-2020,55
28-03-2020,38
29-03-2020,51
30-03-2020,50
31-03-2020,76
01-04-2020,73
02-04-2020,86
03-04-2020,66
04-04-2020,71
05-04-2020,71
06-04-2020,88
07-04-2020,89
08-04-2020,102
09-04-2020,117
10-04-2020,127
11-04-2020,187
12-04-2020,171
13-04-2020,197
14-04-2020,146
15-04-2020,149
16-04-2020,110
17-04-2020,103
18-04-2020,116
19-04-2020,111
20-04-2020,88
21-04-2020,100
22-04-2020,136
23-04-2020,117
24-04-2020,82
25-04-2020,89
26-04-2020,110
27-04-2020,97
28-04-2020,78
29-04-2020,86
30-04-2020,103
01-05-2020,100
02-05-2020,80
03-05-2020,84
04-05-2020,107
05-05-2020,84
06-05-2020,109
07-05-2020,133
08-05-2020,118
09-05-2020,89
10-05-2020,117
11-05-2020,128
12-05-2020,104
13-05-2020,114
14-05-2020,95
15-05-2020,91
16-05-2020,121
17-05-2020,97
18-05-2020,116
19-05-2020,126
20-05-2020,104
22-05-2020,113
23-05-2020,112
24-05-2020,105
25-05-2020,98
26-05-2020,87
27-05-2020,96
28-05-2020,93
29-05-2020,82
30-05-2020,88
31-05-2020,101
01-06-2020,121
02-06-2020,89
03-06-2020,84
04-06-2020,83
05-06-2020,98
06-06-2020,99
07-06-2020,102
08-06-2020,69
09-06-2020,62
10-06-2020,61
11-06-2020,78
12-06-2020,75
13-06-2020,61
14-06-2020,57
15-06-2020,60
16-06-2020,58
17-06-2020,47
18-06-2020,51
19-06-2020,40
20-06-2020,64
21-06-2020,75
22-06-2020,64
23-06-2020,61
24-06-2020,64
25-06-2020,58
26-06-2020,51
27-06-2020,53
28-06-2020,52
29-06-2020,66
30-06-2020,65
01-07-2020,59
02-07-2020,56
03-07-2020,57
04-07-2020,58
05-07-2020,49
06-07-2020,62
07-07-2020,66
08-07-2020,66
09-07-2020,63
10-07-2020,63
11-07-2020,59
12-07-2020,56
13-07-2020,57
14-07-2020,61
15-07-2020,54
16-07-2020,57
17-07-2020,55
18-07-2020,50
19-07-2020,58
20-07-2020,58
21-07-2020,57
22-07-2020,53
23-07-2020,55
24-07-2020,54
25-07-2020,52
26-07-2020,56
27-07-2020,48
28-07-2020,55
29-07-2020,54
30-07-2020,55
31-07-2020,50
01-08-2020,49
03-08-2020,44
04-08-2020,46
05-08-2020,48
06-08-2020,49
07-08-2020,46
08-08-2020,46
09-08-2020,47
10-08-2020,44
11-08-2020,56
12-08-2020,49
13-08-2020,49
14-08-2020,48
15-08-2020,49
16-08-2020,48
17-08-2020,47
18-08-2020,41
19-08-2020,47
20-08-2020,49
21-08-2020,42
22-08-2020,31
23-08-2020,43
24-08-2020,37
25-08-2020,44
26-08-2020,44
27-08-2020,46
28-08-2020,37
29-08-2020,36
30-08-2020,37
31-08-2020,37
01-09-2020,49
02-09-2020,63
03-09-2020,47
04-09-2020,66
05-09-2020,70
06-09-2020,77
07-09-2020,57
08-09-2020,55
09-09-2020,67
10-09-2020,59
11-09-2020,42
12-09-2020,53
13-09-2020,82
14-09-2020,45
15-09-2020,51
16-09-2020,58
17-09-2020,67
18-09-2020,55
19-09-2020,62
20-09-2020,66
21-09-2020,56
22-09-2020,55
23-09-2020,45
24-09-2020,62
25-09-2020,69
26-09-2020,72
27-09-2020,63
28-09-2020,80
29-09-2020,89
30-09-2020,82
01-10-2020,69
02-10-2020,82
03-10-2020,86
04-10-2020,88
05-10-2020,84
06-10-2020,118
07-10-2020,169
08-10-2020,133
09-10-2020,146
10-10-2020,140
11-10-2020,143
12-10-2020,128
13-10-2020,147
14-10-2020,102
15-10-2020,58
16-10-2020,47
17-10-2020,57
18-10-2020,91
19-10-2020,105
20-10-2020,115
21-10-2020,137
22-10-2020,159
23-10-2020,92
24-10-2020,103
25-10-2020,109
26-10-2020,108
27-10-2020,94
28-10-2020,158
29-10-2020,169
30-10-2020,161
31-10-2020,134
01-11-2020,138
02-11-2020,150
03-11-2020,138
04-11-2020,213
05-11-2020,172
06-11-2020,204
07-11-2020,147
08-11-2020,237
09-11-2020,259
10-11-2020,242
11-11-2020,266
12-11-2020,247
13-11-2020,143
14-11-2020,141
15-11-2020,234
16-11-2020,147
17-11-2020,101
18-11-2020,131
19-11-2020,110
20-11-2020,138
21-11-2020,119
22-11-2020,122
23-11-2020,107
24-11-2020,135
25-11-2020,119
