Date,AQI
23-09-2019,45
24-09-2019,47
25-09-2019,40
27-09-2019,35
28-09-2019,40
29-09-2019,34
30-09-2019,62
01-10-2019,50
02-10-2019,52
03-10-2019,80
04-10-2019,94
05-10-2019,97
06-10-2019,116
07-10-2019,108
08-10-2019,117
09-10-2019,125
10-10-2019,113
11-10-2019,99
12-10-2019,91
13-10-2019,101
14-10-2019,103
15-10-2019,107
16-10-2019,115
17-10-2019,114
18-10-2019,153
19-10-2019,90
20-10-2019,102
21-10-2019,75
22-10-2019,218
23-10-2019,144
24-10-2019,103
25-10-2019,109
26-10-2019,68
27-10-2019,84
28-10-2019,164
29-10-2019,118
30-10-2019,139
31-10-2019,161
01-11-2019,220
02-11-2019,198
03-11-2019,245
04-11-2019,168
05-11-2019,177
06-11-2019,224
08-11-2019,126
09-11-2019,303
10-11-2019,245
11-11-2019,141
12-11-2019,138
13-11-2019,160
14-11-2019,126
15-11-2019,138
16-11-2019,179
17-11-2019,243
18-11-2019,211
19-11-2019,162
20-11-2019,244
21-11-2019,165
22-11-2019,234
23-11-2019,284
24-11-2019,262
25-11-2019,209
26-11-2019,133
27-11-2019,162
28-11-2019,149
29-11-2019,201
30-11-2019,271
01-12-2019,225
02-12-2019,213
03-12-2019,292
05-12-2019,165
06-12-2019,230
07-12-2019,238
08-12-2019,269
09-12-2019,287
10-12-2019,297
11-12-2019,263
12-12-2019,245
13-12-2019,113
14-12-2019,136
15-12-2019,112
16-12-2019,144
17-12-2019,186
18-12-2019,238
19-12-2019,190
20-12-2019,243
21-12-2019,194
22-12-2019,231
23-12-2019,241
24-12-2019,230
25-12-2019,317
26-12-2019,264
27-12-2019,108
28-12-2019,155
29-12-2019,233
30-12-2019,265
31-12-2019,297
01-01-2020,254
02-01-2020,149
03-01-2020,77
04-01-2020,137
05-01-2020,155
06-01-2020,173
07-01-2020,144
08-01-2020,138
09-01-2020,155
10-01-2020,136
11-01-2020,254
12-01-2020,267
13-01-2020,175
14-01-2020,165
15-01-2020,156
16-01-2020,141
17-01-2020,179
18-01-2020,162
19-01-2020,165
20-01-2020,199
21-01-2020,160
22-01-2020,176
23-01-2020,181
24-01-2020,114
25-01-2020,164
26-01-2020,207
27-01-2020,148
28-01-2020,124
29-01-2020,145
30-01-2020,118
31-01-2020,95
01-02-2020,131
02-02-2020,125
03-02-2020,118
04-02-2020,147
05-02-2020,176
06-02-2020,165
07-02-2020,117
08-02-2020,134
09-02-2020,146
10-02-2020,163
11-02-2020,158
12-02-2020,169
13-02-2020,163
14-02-2020,176
15-02-2020,192
16-02-2020,164
17-02-2020,147
18-02-2020,144
19-02-2020,160
20-02-2020,122
21-02-2020,107
22-02-2020,130
23-02-2020,200
24-02-2020,180
25-02-2020,139
26-02-2020,118
27-02-2020,155
28-02-2020,148
29-02-2020,148
01-03-2020,136
02-03-2020,72
03-03-2020,112
04-03-2020,123
05-03-2020,127
06-03-2020,142
07-03-2020,142
08-03-2020,118
09-03-2020,93
10-03-2020,112
11-03-2020,57
12-03-2020,76
13-03-2020,102
14-03-2020,81
15-03-2020,100
16-03-2020,118
17-03-2020,122
18-03-2020,113
19-03-2020,95
20-03-2020,69
21-03-2020,80
22-03-2020,92
23-03-2020,75
24-03-2020,84
25-03-2020,82
26-03-2020,64
27-03-2020,60
28-03-2020,46
29-03-2020,62
30-03-2020,70
31-03-2020,71
01-04-2020,74
02-04-2020,93
03-04-2020,72
04-04-2020,85
05-04-2020,68
06-04-2020,87
08-04-2020,83
09-04-2020,81
10-04-2020,110
11-04-2020,88
12-04-2020,99
13-04-2020,116
14-04-2020,98
15-04-2020,73
16-04-2020,76
17-04-2020,120
18-04-2020,124
19-04-2020,83
20-04-2020,93
21-04-2020,104
22-04-2020,97
23-04-2020,93
24-04-2020,97
25-04-2020,79
26-04-2020,89
27-04-2020,85
28-04-2020,92
29-04-2020,94
30-04-2020,103
01-05-2020,89
02-05-2020,103
03-05-2020,113
04-05-2020,107
05-05-2020,89
06-05-2020,89
07-05-2020,95
08-05-2020,94
09-05-2020,68
14-05-2020,101
15-05-2020,95
16-05-2020,103
17-05-2020,107
18-05-2020,108
19-05-2020,104
20-05-2020,127
21-05-2020,124
22-05-2020,111
23-05-2020,133
24-05-2020,114
25-05-2020,110
26-05-2020,100
27-05-2020,100
28-05-2020,110
29-05-2020,114
30-05-2020,88
31-05-2020,105
01-06-2020,73
02-06-2020,71
03-06-2020,66
04-06-2020,54
05-06-2020,51
06-06-2020,73
07-06-2020,86
08-06-2020,76
09-06-2020,71
10-06-2020,81
11-06-2020,92
12-06-2020,88
13-06-2020,72
14-06-2020,60
15-06-2020,53
16-06-2020,57
17-06-2020,70
18-06-2020,64
19-06-2020,66
20-06-2020,61
21-06-2020,69
22-06-2020,58
23-06-2020,50
24-06-2020,59
25-06-2020,56
26-06-2020,52
27-06-2020,47
28-06-2020,50
29-06-2020,69
30-06-2020,48
01-07-2020,57
02-07-2020,63
03-07-2020,57
04-07-2020,70
05-07-2020,55
06-07-2020,56
07-07-2020,69
08-07-2020,42
09-07-2020,54
10-07-2020,53
11-07-2020,73
12-07-2020,50
13-07-2020,41
14-07-2020,61
15-07-2020,58
16-07-2020,38
17-07-2020,41
18-07-2020,47
19-07-2020,62
20-07-2020,41
21-07-2020,38
22-07-2020,40
23-07-2020,52
24-07-2020,48
25-07-2020,52
26-07-2020,40
27-07-2020,38
28-07-2020,55
29-07-2020,40
30-07-2020,51
31-07-2020,88
01-08-2020,68
02-08-2020,40
03-08-2020,43
04-08-2020,43
05-08-2020,37
06-08-2020,35
07-08-2020,35
08-08-2020,36
09-08-2020,40
10-08-2020,47
11-08-2020,52
12-08-2020,41
13-08-2020,54
14-08-2020,39
15-08-2020,42
16-08-2020,48
17-08-2020,45
18-08-2020,34
19-08-2020,55
20-08-2020,45
21-08-2020,41
22-08-2020,26
23-08-2020,22
24-08-2020,32
25-08-2020,49
26-08-2020,72
27-08-2020,43
28-08-2020,43
29-08-2020,30
30-08-2020,27
31-08-2020,34
01-09-2020,69
02-09-2020,80
03-09-2020,38
04-09-2020,41
05-09-2020,59
06-09-2020,62
07-09-2020,53
08-09-2020,39
09-09-2020,42
10-09-2020,54
11-09-2020,59
12-09-2020,47
13-09-2020,50
14-09-2020,41
15-09-2020,54
16-09-2020,56
17-09-2020,60
18-09-2020,94
19-09-2020,65
20-09-2020,67
21-09-2020,65
22-09-2020,46
23-09-2020,37
24-09-2020,42
25-09-2020,60
26-09-2020,80
27-09-2020,59
28-09-2020,53
29-09-2020,57
30-09-2020,88
01-10-2020,122
02-10-2020,118
03-10-2020,129
04-10-2020,126
05-10-2020,118
06-10-2020,144
07-10-2020,132
08-10-2020,87
09-10-2020,85
10-10-2020,68
11-10-2020,95
12-10-2020,68
13-10-2020,75
