Date,AQI
27-11-2015,168
28-11-2015,306
29-11-2015,305
30-11-2015,348
01-12-2015,379
02-12-2015,381
04-12-2015,41
05-12-2015,327
07-12-2015,333
08-12-2015,352
09-12-2015,286
10-12-2015,278
11-12-2015,311
12-12-2015,231
13-12-2015,287
14-12-2015,224
15-12-2015,264
16-12-2015,312
24-12-2015,321
30-12-2015,308
31-12-2015,292
02-01-2016,337
05-01-2016,335
10-01-2016,328
14-01-2016,314
18-01-2016,344
19-01-2016,258
20-01-2016,325
21-01-2016,247
22-01-2016,286
23-01-2016,256
24-01-2016,284
25-01-2016,255
26-01-2016,281
02-02-2016,222
04-02-2016,264
05-02-2016,275
06-02-2016,161
07-02-2016,170
09-02-2016,242
10-02-2016,286
11-02-2016,201
12-02-2016,273
13-02-2016,210
14-02-2016,218
16-02-2016,148
17-02-2016,171
19-02-2016,221
20-02-2016,258
21-02-2016,166
22-02-2016,176
23-02-2016,227
24-02-2016,301
25-02-2016,263
26-02-2016,204
27-02-2016,194
01-03-2016,166
02-03-2016,249
03-03-2016,201
04-03-2016,294
05-03-2016,161
09-03-2016,182
10-03-2016,209
13-03-2016,136
15-03-2016,254
16-03-2016,236
17-03-2016,211
18-03-2016,142
19-03-2016,149
20-03-2016,205
21-03-2016,168
22-03-2016,122
23-03-2016,154
24-03-2016,127
25-03-2016,134
26-03-2016,143
27-03-2016,127
30-03-2016,276
31-03-2016,222
01-04-2016,222
02-04-2016,231
03-04-2016,207
04-04-2016,159
08-04-2016,144
09-04-2016,149
10-04-2016,145
11-04-2016,148
13-04-2016,136
14-04-2016,170
15-04-2016,143
16-04-2016,160
19-04-2016,259
20-04-2016,199
21-04-2016,297
22-04-2016,293
23-04-2016,450
24-04-2016,285
25-04-2016,301
27-04-2016,252
28-04-2016,330
29-04-2016,450
30-04-2016,258
01-05-2016,225
02-05-2016,187
03-05-2016,313
05-05-2016,223
06-05-2016,176
07-05-2016,171
08-05-2016,221
09-05-2016,204
10-05-2016,169
11-05-2016,197
22-05-2016,297
23-05-2016,265
24-05-2016,255
25-05-2016,223
26-05-2016,269
27-05-2016,309
29-05-2016,173
30-05-2016,189
31-05-2016,196
01-06-2016,180
02-06-2016,168
04-06-2016,156
05-06-2016,167
07-06-2016,220
08-06-2016,235
10-06-2016,266
11-06-2016,228
12-06-2016,222
13-06-2016,299
14-06-2016,265
15-06-2016,204
16-06-2016,227
17-06-2016,219
18-06-2016,235
19-06-2016,230
20-06-2016,195
21-06-2016,164
22-06-2016,180
23-06-2016,210
24-06-2016,159
28-06-2016,190
29-06-2016,172
30-06-2016,133
01-07-2016,134
02-07-2016,141
03-07-2016,157
05-07-2016,122
06-07-2016,154
07-07-2016,195
08-07-2016,196
09-07-2016,185
10-07-2016,222
12-07-2016,218
13-07-2016,249
14-07-2016,172
15-07-2016,198
16-07-2016,172
17-07-2016,163
18-07-2016,156
19-07-2016,135
20-07-2016,138
26-07-2016,222
27-07-2016,216
28-07-2016,205
29-07-2016,165
30-07-2016,167
31-07-2016,192
01-08-2016,187
02-08-2016,220
03-08-2016,182
13-09-2016,107
14-09-2016,108
15-09-2016,109
16-09-2016,121
17-09-2016,122
18-09-2016,123
19-09-2016,94
20-09-2016,101
21-09-2016,117
22-09-2016,112
25-09-2016,81
26-09-2016,95
27-09-2016,183
28-09-2016,91
03-10-2016,76
04-10-2016,92
05-10-2016,74
06-10-2016,95
07-10-2016,112
08-10-2016,129
09-10-2016,144
10-10-2016,103
11-10-2016,114
12-10-2016,104
19-10-2016,211
20-10-2016,161
21-10-2016,151
22-10-2016,165
23-10-2016,190
24-10-2016,165
25-10-2016,130
26-10-2016,174
27-10-2016,207
28-10-2016,306
29-10-2016,292
30-10-2016,290
31-10-2016,233
01-11-2016,342
02-11-2016,272
03-11-2016,254
04-11-2016,232
05-11-2016,227
06-11-2016,223
07-11-2016,164
08-11-2016,376
09-11-2016,340
10-11-2016,269
11-11-2016,220
12-11-2016,201
13-11-2016,204
14-11-2016,222
15-11-2016,213
16-11-2016,254
17-11-2016,269
18-11-2016,282
19-11-2016,220
20-11-2016,251
21-11-2016,204
22-11-2016,282
23-11-2016,216
24-11-2016,267
25-11-2016,230
26-11-2016,182
27-11-2016,173
28-11-2016,187
29-11-2016,264
30-11-2016,148
01-12-2016,173
02-12-2016,209
03-12-2016,196
04-12-2016,232
05-12-2016,281
06-12-2016,323
07-12-2016,315
21-12-2016,272
22-12-2016,269
23-12-2016,307
24-12-2016,340
25-12-2016,271
26-12-2016,291
31-12-2016,143
10-01-2017,205
11-01-2017,170
12-01-2017,135
13-01-2017,294
14-01-2017,237
15-01-2017,271
16-01-2017,257
17-01-2017,158
18-01-2017,172
19-01-2017,240
20-01-2017,147
24-01-2017,218
25-01-2017,196
26-01-2017,149
27-01-2017,47
28-01-2017,101
29-01-2017,172
30-01-2017,148
31-01-2017,127
01-02-2017,174
02-02-2017,117
03-02-2017,148
04-02-2017,129
05-02-2017,75
06-02-2017,151
07-02-2017,138
08-02-2017,188
09-02-2017,123
10-02-2017,163
11-02-2017,176
12-02-2017,151
13-02-2017,207
14-02-2017,233
15-02-2017,298
16-02-2017,310
17-02-2017,257
18-02-2017,204
19-02-2017,164
20-02-2017,104
21-02-2017,158
22-02-2017,174
25-02-2017,57
01-03-2017,165
02-03-2017,195
03-03-2017,103
04-03-2017,106
05-03-2017,120
06-03-2017,130
07-03-2017,125
08-03-2017,125
09-03-2017,237
10-03-2017,158
11-03-2017,130
12-03-2017,130
13-03-2017,106
18-03-2017,156
19-03-2017,93
20-03-2017,131
21-03-2017,182
22-03-2017,208
23-03-2017,230
25-03-2017,83
26-03-2017,81
27-03-2017,103
28-03-2017,180
29-03-2017,173
30-03-2017,277
31-03-2017,297
01-04-2017,194
02-04-2017,211
03-04-2017,220
04-04-2017,206
05-04-2017,169
08-04-2017,191
09-04-2017,142
10-04-2017,99
11-04-2017,84
12-04-2017,153
15-04-2017,81
18-04-2017,108
19-04-2017,86
20-04-2017,95
21-04-2017,152
22-04-2017,84
23-04-2017,140
24-04-2017,214
25-04-2017,264
26-04-2017,290
27-04-2017,110
28-04-2017,120
29-04-2017,172
30-04-2017,117
01-05-2017,155
02-05-2017,143
03-05-2017,115
04-05-2017,237
05-05-2017,134
06-05-2017,112
07-05-2017,147
08-05-2017,177
10-05-2017,117
11-05-2017,154
12-05-2017,184
13-05-2017,174
14-05-2017,114
15-05-2017,99
16-05-2017,243
18-05-2017,109
19-05-2017,146
20-05-2017,157
21-05-2017,303
22-05-2017,98
23-05-2017,92
24-05-2017,113
25-05-2017,109
26-05-2017,131
27-05-2017,128
28-05-2017,139
29-05-2017,123
30-05-2017,76
31-05-2017,123
01-06-2017,64
02-06-2017,139
03-06-2017,144
04-06-2017,176
05-06-2017,97
06-06-2017,90
07-06-2017,139
08-06-2017,101
09-06-2017,70
10-06-2017,91
11-06-2017,135
12-06-2017,83
12-07-2017,82
13-07-2017,56
14-07-2017,52
15-07-2017,72
16-07-2017,84
17-07-2017,83
20-07-2017,77
26-07-2017,89
28-07-2017,88
03-08-2017,96
04-08-2017,129
05-08-2017,155
06-08-2017,179
07-08-2017,155
08-08-2017,110
09-08-2017,114
10-08-2017,98
11-08-2017,94
12-08-2017,80
13-08-2017,80
14-08-2017,94
15-08-2017,118
16-08-2017,112
22-08-2017,95
23-08-2017,78
24-08-2017,80
25-08-2017,85
26-08-2017,96
27-08-2017,105
30-08-2017,79
31-08-2017,184
01-09-2017,139
02-09-2017,319
03-09-2017,78
04-09-2017,96
05-09-2017,101
06-09-2017,113
07-09-2017,117
08-09-2017,345
10-09-2017,353
11-09-2017,115
12-09-2017,108
13-09-2017,87
14-09-2017,102
15-09-2017,149
16-09-2017,138
17-09-2017,148
18-09-2017,139
19-09-2017,132
20-09-2017,255
23-09-2017,77
24-09-2017,131
27-09-2017,142
29-09-2017,146
30-09-2017,204
01-10-2017,191
02-10-2017,105
03-10-2017,134
04-10-2017,197
07-10-2017,170
08-10-2017,197
09-10-2017,246
10-10-2017,210
11-10-2017,210
12-10-2017,212
13-10-2017,248
15-10-2017,254
16-10-2017,258
17-10-2017,316
18-10-2017,308
20-10-2017,263
21-10-2017,315
22-10-2017,276
23-10-2017,257
24-10-2017,135
25-10-2017,256
26-10-2017,203
27-10-2017,230
28-10-2017,236
29-10-2017,189
30-10-2017,163
