Date,AQI
16-05-2023,232
17-05-2023,127
18-05-2023,115
19-05-2023,154
20-05-2023,121
21-05-2023,123
22-05-2023,126
23-05-2023,119
24-05-2023,135
25-05-2023,277
26-05-2023,176
27-05-2023,162
28-05-2023,112
29-05-2023,90
31-05-2023,91
01-06-2023,152
03-06-2023,140
04-06-2023,118
05-06-2023,82
06-06-2023,148
07-06-2023,244
08-06-2023,146
10-06-2023,263
11-06-2023,80
12-06-2023,73
13-06-2023,87
14-06-2023,88
15-06-2023,105
16-06-2023,68
17-06-2023,37
18-06-2023,63
19-06-2023,109
20-06-2023,108
21-06-2023,101
22-06-2023,86
23-06-2023,85
24-06-2023,84
25-06-2023,71
26-06-2023,70
27-06-2023,82
28-06-2023,57
29-06-2023,78
30-06-2023,72
01-07-2023,98
02-07-2023,85
03-07-2023,88
04-07-2023,92
05-07-2023,93
06-07-2023,84
07-07-2023,65
08-07-2023,72
09-07-2023,77
10-07-2023,119
11-07-2023,145
12-07-2023,147
13-07-2023,153
14-07-2023,137
15-07-2023,127
16-07-2023,147
17-07-2023,173
18-07-2023,151
19-07-2023,238
20-07-2023,122
21-07-2023,96
22-07-2023,44
23-07-2023,66
24-07-2023,51
25-07-2023,56
26-07-2023,53
27-07-2023,57
28-07-2023,59
29-07-2023,63
30-07-2023,73
31-07-2023,72
01-08-2023,88
02-08-2023,89
03-08-2023,93
04-08-2023,83
05-08-2023,93
06-08-2023,102
07-08-2023,119
08-08-2023,122
09-08-2023,112
10-08-2023,112
11-08-2023,103
13-08-2023,117
14-08-2023,117
15-08-2023,129
16-08-2023,139
17-08-2023,130
19-08-2023,135
20-08-2023,136
21-08-2023,80
22-08-2023,95
23-08-2023,115
24-08-2023,107
25-08-2023,122
26-08-2023,155
27-08-2023,190
29-08-2023,106
30-08-2023,93
31-08-2023,90
01-09-2023,107
02-09-2023,105
03-09-2023,102
04-09-2023,82
05-09-2023,67
06-09-2023,76
07-09-2023,95
08-09-2023,117
09-09-2023,119
10-09-2023,110
11-09-2023,93
12-09-2023,82
13-09-2023,77
14-09-2023,73
15-09-2023,70
16-09-2023,69
17-09-2023,54
18-09-2023,66
19-09-2023,34
20-09-2023,36
21-09-2023,43
22-09-2023,62
23-09-2023,77
24-09-2023,70
25-09-2023,177
26-09-2023,303
27-09-2023,111
29-09-2023,131
30-09-2023,238
01-10-2023,151
02-10-2023,140
03-10-2023,148
04-10-2023,133
05-10-2023,94
06-10-2023,95
07-10-2023,96
08-10-2023,90
09-10-2023,110
10-10-2023,116
12-10-2023,135
13-10-2023,109
14-10-2023,116
15-10-2023,95
16-10-2023,150
18-10-2023,88
19-10-2023,157
21-10-2023,148
22-10-2023,155
23-10-2023,103
24-10-2023,121
25-10-2023,158
26-10-2023,195
27-10-2023,156
28-10-2023,153
29-10-2023,131
30-10-2023,135
31-10-2023,116
01-11-2023,100
02-11-2023,132
04-11-2023,161
05-11-2023,250
06-11-2023,293
07-11-2023,283
08-11-2023,370
09-11-2023,200
10-11-2023,140
11-11-2023,125
12-11-2023,106
13-11-2023,208
14-11-2023,176
15-11-2023,222
16-11-2023,298
17-11-2023,211
18-11-2023,368
19-11-2023,289
20-11-2023,207
21-11-2023,265
22-11-2023,215
23-11-2023,188
24-11-2023,255
25-11-2023,163
26-11-2023,191
27-11-2023,94
28-11-2023,158
29-11-2023,356
30-11-2023,268
01-12-2023,191
02-12-2023,240
03-12-2023,127
04-12-2023,154
05-12-2023,132
06-12-2023,125
07-12-2023,127
08-12-2023,145
09-12-2023,187
10-12-2023,187
11-12-2023,174
12-12-2023,151
13-12-2023,226
14-12-2023,160
15-12-2023,144
16-12-2023,161
17-12-2023,195
18-12-2023,253
19-12-2023,117
20-12-2023,153
21-12-2023,211
22-12-2023,119
23-12-2023,102
24-12-2023,261
25-12-2023,340
26-12-2023,324
27-12-2023,228
28-12-2023,119
29-12-2023,91
30-12-2023,196
31-12-2023,268
