Date,AQI
08-02-2018,251
09-02-2018,232
10-02-2018,153
11-02-2018,107
12-02-2018,99
13-02-2018,44
14-02-2018,48
15-02-2018,72
16-02-2018,119
17-02-2018,107
18-02-2018,129
19-02-2018,114
20-02-2018,156
21-02-2018,129
22-02-2018,124
23-02-2018,114
24-02-2018,91
25-02-2018,48
26-02-2018,70
27-02-2018,92
28-02-2018,118
01-03-2018,142
02-03-2018,110
03-03-2018,64
04-03-2018,67
05-03-2018,62
06-03-2018,48
08-03-2018,112
09-03-2018,109
10-03-2018,114
11-03-2018,114
12-03-2018,114
13-03-2018,101
14-03-2018,102
15-03-2018,102
16-03-2018,90
17-03-2018,89
18-03-2018,98
19-03-2018,98
20-03-2018,101
21-03-2018,102
28-03-2018,118
29-03-2018,111
30-03-2018,92
31-03-2018,96
01-04-2018,107
02-04-2018,113
03-04-2018,146
04-04-2018,122
05-04-2018,149
06-04-2018,129
07-04-2018,107
08-04-2018,106
09-04-2018,109
10-04-2018,115
11-04-2018,95
12-04-2018,67
17-04-2018,123
19-04-2018,114
20-04-2018,71
21-04-2018,51
22-04-2018,66
23-04-2018,118
24-04-2018,145
25-04-2018,110
26-04-2018,122
27-04-2018,150
28-04-2018,127
01-05-2018,121
02-05-2018,97
03-05-2018,61
04-05-2018,60
05-05-2018,122
06-05-2018,111
07-05-2018,93
08-05-2018,74
09-05-2018,90
10-05-2018,141
11-05-2018,254
12-05-2018,252
14-05-2018,59
17-05-2018,179
18-05-2018,191
19-05-2018,139
20-05-2018,91
21-05-2018,93
22-05-2018,117
23-05-2018,108
24-05-2018,99
25-05-2018,77
26-05-2018,103
27-05-2018,90
28-05-2018,132
29-05-2018,138
30-05-2018,122
31-05-2018,114
01-06-2018,93
02-06-2018,48
03-06-2018,66
04-06-2018,90
05-06-2018,92
06-06-2018,57
07-06-2018,50
08-06-2018,110
09-06-2018,75
10-06-2018,64
11-06-2018,94
12-06-2018,96
13-06-2018,68
16-06-2018,294
17-06-2018,184
18-06-2018,211
19-06-2018,257
20-06-2018,65
21-06-2018,127
22-06-2018,77
23-06-2018,115
24-06-2018,81
25-06-2018,96
26-06-2018,123
27-06-2018,74
28-06-2018,47
29-06-2018,52
30-06-2018,52
01-07-2018,58
02-07-2018,55
03-07-2018,50
04-07-2018,37
05-07-2018,49
06-07-2018,78
07-07-2018,80
08-07-2018,56
09-07-2018,50
10-07-2018,34
11-07-2018,40
12-07-2018,69
13-07-2018,35
14-07-2018,48
15-07-2018,47
16-07-2018,53
17-07-2018,47
18-07-2018,44
19-07-2018,39
20-07-2018,60
21-07-2018,54
22-07-2018,48
23-07-2018,48
24-07-2018,43
25-07-2018,73
26-07-2018,39
27-07-2018,34
28-07-2018,38
29-07-2018,42
30-07-2018,44
31-07-2018,52
01-08-2018,64
02-08-2018,94
03-08-2018,80
04-08-2018,90
05-08-2018,116
06-08-2018,61
07-08-2018,49
08-08-2018,44
09-08-2018,72
10-08-2018,72
11-08-2018,89
12-08-2018,76
13-08-2018,74
14-08-2018,58
15-08-2018,52
16-08-2018,55
17-08-2018,61
18-08-2018,45
19-08-2018,38
20-08-2018,43
21-08-2018,47
22-08-2018,62
23-08-2018,49
24-08-2018,52
25-08-2018,57
26-08-2018,55
27-08-2018,64
28-08-2018,61
29-08-2018,53
30-08-2018,56
31-08-2018,54
03-09-2018,54
04-09-2018,41
05-09-2018,52
06-09-2018,53
07-09-2018,49
08-09-2018,39
09-09-2018,48
10-09-2018,34
11-09-2018,39
12-09-2018,45
13-09-2018,41
14-09-2018,48
15-09-2018,52
16-09-2018,44
17-09-2018,43
18-09-2018,58
19-09-2018,54
20-09-2018,63
21-09-2018,67
22-09-2018,32
23-09-2018,153
24-09-2018,132
25-09-2018,31
26-09-2018,51
27-09-2018,48
28-09-2018,67
29-09-2018,63
30-09-2018,70
01-10-2018,74
02-10-2018,89
03-10-2018,75
04-10-2018,83
05-10-2018,66
06-10-2018,63
07-10-2018,79
08-10-2018,69
09-10-2018,64
10-10-2018,205
11-10-2018,92
12-10-2018,86
13-10-2018,144
14-10-2018,203
15-10-2018,106
16-10-2018,132
17-10-2018,95
18-10-2018,174
19-10-2018,110
20-10-2018,149
21-10-2018,96
22-10-2018,154
23-10-2018,122
24-10-2018,87
25-10-2018,104
26-10-2018,143
27-10-2018,161
28-10-2018,209
29-10-2018,181
30-10-2018,212
31-10-2018,147
01-11-2018,208
02-11-2018,135
03-11-2018,115
04-11-2018,161
05-11-2018,174
06-11-2018,162
07-11-2018,205
08-11-2018,294
09-11-2018,127
10-11-2018,124
11-11-2018,171
12-11-2018,134
13-11-2018,183
14-11-2018,143
15-11-2018,128
16-11-2018,162
17-11-2018,222
18-11-2018,83
19-11-2018,135
20-11-2018,137
21-11-2018,225
22-11-2018,206
23-11-2018,83
24-11-2018,227
25-11-2018,66
26-11-2018,135
27-11-2018,154
