Date,AQI
13-06-2023,110
14-06-2023,106
15-06-2023,118
16-06-2023,112
17-06-2023,128
18-06-2023,144
19-06-2023,157
20-06-2023,132
21-06-2023,124
22-06-2023,112
23-06-2023,109
24-06-2023,99
25-06-2023,79
26-06-2023,74
27-06-2023,56
28-06-2023,53
29-06-2023,112
30-06-2023,91
01-07-2023,65
02-07-2023,73
03-07-2023,84
04-07-2023,88
05-07-2023,85
06-07-2023,85
07-07-2023,70
08-07-2023,78
09-07-2023,113
10-07-2023,17
11-07-2023,83
13-07-2023,63
14-07-2023,76
15-07-2023,52
16-07-2023,58
17-07-2023,77
18-07-2023,77
19-07-2023,75
20-07-2023,56
21-07-2023,76
22-07-2023,100
23-07-2023,45
25-07-2023,58
26-07-2023,62
27-07-2023,61
28-07-2023,62
29-07-2023,70
30-07-2023,58
31-07-2023,57
01-08-2023,34
02-08-2023,42
03-08-2023,43
04-08-2023,45
05-08-2023,37
06-08-2023,34
07-08-2023,61
08-08-2023,69
09-08-2023,66
10-08-2023,47
11-08-2023,41
12-08-2023,42
13-08-2023,56
14-08-2023,61
15-08-2023,43
16-08-2023,45
17-08-2023,51
18-08-2023,81
19-08-2023,53
20-08-2023,46
21-08-2023,60
22-08-2023,58
23-08-2023,57
24-08-2023,49
25-08-2023,54
26-08-2023,37
27-08-2023,49
29-08-2023,59
30-08-2023,78
31-08-2023,70
01-09-2023,73
02-09-2023,98
03-09-2023,97
04-09-2023,76
05-09-2023,62
06-09-2023,70
08-09-2023,39
09-09-2023,81
10-09-2023,96
11-09-2023,82
12-09-2023,93
13-09-2023,91
14-09-2023,91
15-09-2023,101
16-09-2023,50
17-09-2023,45
18-09-2023,67
19-09-2023,120
20-09-2023,99
21-09-2023,95
22-09-2023,41
23-09-2023,86
24-09-2023,82
25-09-2023,101
26-09-2023,129
27-09-2023,92
28-09-2023,141
29-09-2023,132
30-09-2023,113
01-10-2023,160
02-10-2023,176
03-10-2023,202
04-10-2023,118
05-10-2023,127
06-10-2023,124
07-10-2023,133
08-10-2023,131
09-10-2023,132
10-10-2023,125
11-10-2023,122
12-10-2023,162
13-10-2023,193
14-10-2023,216
15-10-2023,198
16-10-2023,203
17-10-2023,185
18-10-2023,225
19-10-2023,194
21-10-2023,179
22-10-2023,199
23-10-2023,255
24-10-2023,203
25-10-2023,183
26-10-2023,246
27-10-2023,208
28-10-2023,204
29-10-2023,202
30-10-2023,240
31-10-2023,234
02-11-2023,313
03-11-2023,321
04-11-2023,298
05-11-2023,238
06-11-2023,194
07-11-2023,230
08-11-2023,221
09-11-2023,165
10-11-2023,138
11-11-2023,129
12-11-2023,157
13-11-2023,212
14-11-2023,125
15-11-2023,155
16-11-2023,119
17-11-2023,156
18-11-2023,207
19-11-2023,177
20-11-2023,138
22-11-2023,257
23-11-2023,129
24-11-2023,102
25-11-2023,105
26-11-2023,113
28-11-2023,69
29-11-2023,66
30-11-2023,67
01-12-2023,73
02-12-2023,52
05-12-2023,94
06-12-2023,84
07-12-2023,54
08-12-2023,62
09-12-2023,63
10-12-2023,62
11-12-2023,70
12-12-2023,95
13-12-2023,83
14-12-2023,82
15-12-2023,108
16-12-2023,81
17-12-2023,102
18-12-2023,78
19-12-2023,58
20-12-2023,82
21-12-2023,92
22-12-2023,148
23-12-2023,120
24-12-2023,175
25-12-2023,268
26-12-2023,198
27-12-2023,141
28-12-2023,124
29-12-2023,121
30-12-2023,107
31-12-2023,110
