Date,AQI
13-06-2023,87
14-06-2023,100
15-06-2023,100
16-06-2023,104
17-06-2023,98
18-06-2023,125
19-06-2023,110
20-06-2023,105
21-06-2023,87
22-06-2023,90
23-06-2023,81
24-06-2023,69
25-06-2023,71
26-06-2023,100
27-06-2023,60
28-06-2023,65
29-06-2023,66
30-06-2023,54
01-07-2023,70
02-07-2023,104
03-07-2023,54
04-07-2023,46
05-07-2023,24
06-07-2023,37
08-07-2023,78
09-07-2023,95
10-07-2023,106
11-07-2023,121
12-07-2023,102
13-07-2023,105
15-07-2023,77
16-07-2023,56
17-07-2023,51
18-07-2023,47
19-07-2023,45
20-07-2023,57
25-07-2023,64
03-08-2023,47
04-08-2023,67
05-08-2023,145
06-08-2023,64
08-08-2023,68
09-08-2023,72
10-08-2023,69
12-08-2023,50
15-08-2023,37
16-08-2023,37
17-08-2023,45
19-08-2023,38
20-08-2023,37
21-08-2023,37
22-08-2023,51
23-08-2023,55
24-08-2023,68
25-08-2023,79
27-08-2023,83
30-08-2023,45
31-08-2023,67
01-09-2023,57
02-09-2023,70
03-09-2023,56
04-09-2023,56
05-09-2023,51
06-09-2023,41
08-09-2023,65
09-09-2023,63
10-09-2023,45
11-09-2023,38
14-09-2023,48
15-09-2023,39
16-09-2023,58
17-09-2023,38
18-09-2023,43
19-09-2023,44
20-09-2023,54
21-09-2023,42
22-09-2023,49
23-09-2023,38
24-09-2023,37
25-09-2023,45
26-09-2023,49
27-09-2023,37
28-09-2023,48
30-09-2023,39
01-10-2023,74
02-10-2023,111
03-10-2023,183
04-10-2023,122
05-10-2023,126
06-10-2023,172
07-10-2023,284
08-10-2023,57
11-10-2023,151
12-10-2023,152
13-10-2023,92
15-10-2023,167
16-10-2023,298
17-10-2023,162
18-10-2023,80
19-10-2023,75
21-10-2023,165
22-10-2023,89
23-10-2023,90
24-10-2023,91
25-10-2023,97
26-10-2023,102
27-10-2023,120
28-10-2023,124
29-10-2023,257
30-10-2023,116
31-10-2023,110
03-11-2023,133
04-11-2023,126
05-11-2023,113
06-11-2023,101
07-11-2023,96
08-11-2023,105
09-11-2023,131
10-11-2023,132
11-11-2023,126
12-11-2023,143
13-11-2023,184
14-11-2023,171
15-11-2023,287
17-11-2023,185
18-11-2023,200
19-11-2023,141
20-11-2023,110
21-11-2023,118
22-11-2023,138
23-11-2023,148
24-11-2023,118
25-11-2023,83
26-11-2023,116
28-11-2023,78
29-11-2023,69
30-11-2023,63
02-12-2023,57
03-12-2023,96
05-12-2023,98
06-12-2023,96
07-12-2023,46
08-12-2023,70
09-12-2023,76
10-12-2023,82
11-12-2023,103
12-12-2023,108
13-12-2023,127
14-12-2023,101
15-12-2023,100
16-12-2023,131
17-12-2023,139
18-12-2023,110
19-12-2023,92
20-12-2023,96
21-12-2023,121
22-12-2023,139
23-12-2023,159
25-12-2023,210
26-12-2023,195
27-12-2023,236
28-12-2023,201
29-12-2023,232
31-12-2023,151
