Date,AQI
14-11-2023,165
15-11-2023,174
16-11-2023,161
17-11-2023,228
18-11-2023,255
19-11-2023,244
20-11-2023,244
21-11-2023,246
22-11-2023,244
23-11-2023,204
24-11-2023,238
25-11-2023,167
26-11-2023,189
27-11-2023,89
28-11-2023,166
29-11-2023,293
30-11-2023,138
01-12-2023,150
02-12-2023,232
03-12-2023,165
05-12-2023,111
06-12-2023,116
07-12-2023,125
08-12-2023,153
09-12-2023,146
10-12-2023,164
11-12-2023,182
12-12-2023,200
13-12-2023,200
14-12-2023,206
15-12-2023,161
16-12-2023,158
17-12-2023,174
18-12-2023,134
19-12-2023,119
20-12-2023,134
21-12-2023,163
22-12-2023,201
23-12-2023,206
24-12-2023,169
25-12-2023,274
26-12-2023,270
27-12-2023,233
28-12-2023,232
29-12-2023,156
30-12-2023,225
31-12-2023,211
