Date,AQI
13-03-2023,118
14-03-2023,167
15-03-2023,165
16-03-2023,88
17-03-2023,86
19-03-2023,75
20-03-2023,71
21-03-2023,87
22-03-2023,76
23-03-2023,68
24-03-2023,84
25-03-2023,81
26-03-2023,115
29-03-2023,124
30-03-2023,151
01-04-2023,67
02-04-2023,76
03-04-2023,101
04-04-2023,99
05-04-2023,96
06-04-2023,127
07-04-2023,122
08-04-2023,110
09-04-2023,87
10-04-2023,126
11-04-2023,116
13-04-2023,125
14-04-2023,112
15-04-2023,105
16-04-2023,85
17-04-2023,82
18-04-2023,110
19-04-2023,124
20-04-2023,100
21-04-2023,89
22-04-2023,120
23-04-2023,121
24-04-2023,96
25-04-2023,102
26-04-2023,102
27-04-2023,77
28-04-2023,71
29-04-2023,54
30-04-2023,56
02-05-2023,73
03-05-2023,64
04-05-2023,76
05-05-2023,91
06-05-2023,75
07-05-2023,76
08-05-2023,84
09-05-2023,125
10-05-2023,124
11-05-2023,118
12-05-2023,110
13-05-2023,132
14-05-2023,114
15-05-2023,98
16-05-2023,80
17-05-2023,74
18-05-2023,72
19-05-2023,86
20-05-2023,103
21-05-2023,99
22-05-2023,64
23-05-2023,66
24-05-2023,71
25-05-2023,63
26-05-2023,75
27-05-2023,84
28-05-2023,87
29-05-2023,71
30-05-2023,67
31-05-2023,82
01-06-2023,85
02-06-2023,65
03-06-2023,78
05-06-2023,85
06-06-2023,69
07-06-2023,94
08-06-2023,78
09-06-2023,64
10-06-2023,59
11-06-2023,46
12-06-2023,62
13-06-2023,54
14-06-2023,58
15-06-2023,56
16-06-2023,66
17-06-2023,62
18-06-2023,72
19-06-2023,42
20-06-2023,55
21-06-2023,63
23-06-2023,63
24-06-2023,55
25-06-2023,60
26-06-2023,55
27-06-2023,50
28-06-2023,44
29-06-2023,51
30-06-2023,53
01-07-2023,43
02-07-2023,46
03-07-2023,55
04-07-2023,52
05-07-2023,62
06-07-2023,62
07-07-2023,55
08-07-2023,54
09-07-2023,41
10-07-2023,47
11-07-2023,47
12-07-2023,75
13-07-2023,73
14-07-2023,50
15-07-2023,62
16-07-2023,46
17-07-2023,37
18-07-2023,61
19-07-2023,51
20-07-2023,45
21-07-2023,56
22-07-2023,42
23-07-2023,38
24-07-2023,40
25-07-2023,40
26-07-2023,47
27-07-2023,46
28-07-2023,38
29-07-2023,39
30-07-2023,36
31-07-2023,41
01-08-2023,64
02-08-2023,60
03-08-2023,76
04-08-2023,80
05-08-2023,72
06-08-2023,79
07-08-2023,88
08-08-2023,80
09-08-2023,92
10-08-2023,91
11-08-2023,87
12-08-2023,67
13-08-2023,68
14-08-2023,51
15-08-2023,67
16-08-2023,78
17-08-2023,73
18-08-2023,113
19-08-2023,117
20-08-2023,52
21-08-2023,45
22-08-2023,52
23-08-2023,68
24-08-2023,63
25-08-2023,108
26-08-2023,152
27-08-2023,175
28-08-2023,202
29-08-2023,89
30-08-2023,93
31-08-2023,95
01-09-2023,86
02-09-2023,99
03-09-2023,87
04-09-2023,81
05-09-2023,85
07-09-2023,39
08-09-2023,43
09-09-2023,42
10-09-2023,53
11-09-2023,61
12-09-2023,55
13-09-2023,50
14-09-2023,41
15-09-2023,55
16-09-2023,73
17-09-2023,29
18-09-2023,37
19-09-2023,39
20-09-2023,58
21-09-2023,65
22-09-2023,76
23-09-2023,66
24-09-2023,75
25-09-2023,58
26-09-2023,73
27-09-2023,73
28-09-2023,96
29-09-2023,123
30-09-2023,124
01-10-2023,131
02-10-2023,123
03-10-2023,126
04-10-2023,115
06-10-2023,104
07-10-2023,93
08-10-2023,103
09-10-2023,95
10-10-2023,99
11-10-2023,85
12-10-2023,99
13-10-2023,120
14-10-2023,129
15-10-2023,130
16-10-2023,98
17-10-2023,115
18-10-2023,92
19-10-2023,100
20-10-2023,110
21-10-2023,123
22-10-2023,134
23-10-2023,137
24-10-2023,130
25-10-2023,144
26-10-2023,152
27-10-2023,144
28-10-2023,155
29-10-2023,149
30-10-2023,153
31-10-2023,146
01-11-2023,134
02-11-2023,166
03-11-2023,200
04-11-2023,183
05-11-2023,169
06-11-2023,172
07-11-2023,182
08-11-2023,180
09-11-2023,171
10-11-2023,165
11-11-2023,226
12-11-2023,161
13-11-2023,279
14-11-2023,143
15-11-2023,164
16-11-2023,237
17-11-2023,249
18-11-2023,238
19-11-2023,277
20-11-2023,272
21-11-2023,279
22-11-2023,235
23-11-2023,212
24-11-2023,221
25-11-2023,228
26-11-2023,203
27-11-2023,151
28-11-2023,69
29-11-2023,216
30-11-2023,254
01-12-2023,116
02-12-2023,92
03-12-2023,129
04-12-2023,122
05-12-2023,61
06-12-2023,123
07-12-2023,180
08-12-2023,176
09-12-2023,194
10-12-2023,147
11-12-2023,118
12-12-2023,160
13-12-2023,144
14-12-2023,146
15-12-2023,156
16-12-2023,136
17-12-2023,151
18-12-2023,145
19-12-2023,134
20-12-2023,150
21-12-2023,111
22-12-2023,134
23-12-2023,238
24-12-2023,316
25-12-2023,337
26-12-2023,218
27-12-2023,198
28-12-2023,130
29-12-2023,249
30-12-2023,300
31-12-2023,303
