Date,AQI
05-02-2022,153
06-02-2022,109
07-02-2022,114
08-02-2022,151
09-02-2022,167
10-02-2022,164
11-02-2022,134
12-02-2022,141
13-02-2022,140
14-02-2022,153
15-02-2022,167
16-02-2022,165
17-02-2022,152
18-02-2022,132
19-02-2022,138
20-02-2022,110
21-02-2022,106
22-02-2022,122
23-02-2022,124
24-02-2022,151
25-02-2022,186
26-02-2022,185
27-02-2022,125
28-02-2022,95
01-03-2022,94
02-03-2022,155
03-03-2022,144
04-03-2022,139
05-03-2022,101
08-03-2022,120
09-03-2022,187
10-03-2022,111
11-03-2022,113
13-03-2022,124
15-03-2022,174
16-03-2022,174
17-03-2022,170
18-03-2022,197
19-03-2022,188
20-03-2022,142
21-03-2022,142
22-03-2022,153
23-03-2022,164
24-03-2022,188
25-03-2022,159
26-03-2022,174
27-03-2022,164
28-03-2022,172
29-03-2022,86
30-03-2022,150
31-03-2022,167
01-04-2022,178
02-04-2022,178
03-04-2022,159
04-04-2022,156
05-04-2022,83
06-04-2022,182
07-04-2022,164
08-04-2022,160
11-04-2022,139
12-04-2022,145
14-04-2022,184
15-04-2022,218
18-04-2022,178
19-04-2022,203
22-04-2022,215
23-04-2022,214
24-04-2022,152
25-04-2022,196
26-04-2022,182
27-04-2022,203
28-04-2022,195
29-04-2022,171
30-04-2022,117
01-05-2022,167
02-05-2022,185
05-05-2022,174
06-05-2022,165
07-05-2022,173
08-05-2022,182
09-05-2022,159
10-05-2022,142
11-05-2022,154
12-05-2022,162
13-05-2022,165
14-05-2022,152
15-05-2022,147
16-05-2022,142
17-05-2022,162
18-05-2022,189
19-05-2022,185
20-05-2022,193
21-05-2022,232
22-05-2022,241
25-05-2022,125
26-05-2022,143
29-05-2022,157
03-06-2022,167
04-06-2022,179
05-06-2022,135
06-06-2022,38
07-06-2022,167
08-06-2022,167
09-06-2022,146
10-06-2022,163
11-06-2022,140
14-06-2022,88
15-06-2022,82
16-06-2022,62
17-06-2022,50
21-06-2022,47
25-06-2022,159
29-06-2022,56
30-06-2022,48
01-07-2022,35
02-07-2022,29
03-07-2022,42
04-07-2022,29
09-07-2022,48
12-07-2022,64
13-07-2022,34
14-07-2022,64
15-07-2022,64
16-07-2022,34
17-07-2022,32
18-07-2022,46
19-07-2022,89
20-07-2022,52
21-07-2022,21
22-07-2022,24
23-07-2022,30
24-07-2022,37
25-07-2022,24
26-07-2022,23
30-07-2022,62
01-08-2022,83
02-08-2022,44
03-08-2022,33
04-08-2022,53
07-08-2022,73
08-08-2022,33
09-08-2022,36
10-08-2022,37
11-08-2022,37
12-08-2022,27
13-08-2022,30
14-08-2022,27
17-08-2022,21
18-08-2022,46
19-08-2022,68
20-08-2022,31
21-08-2022,27
25-08-2022,64
26-08-2022,48
27-08-2022,62
29-08-2022,57
31-08-2022,84
01-09-2022,86
02-09-2022,35
05-09-2022,51
06-09-2022,45
07-09-2022,78
08-09-2022,114
10-09-2022,74
11-09-2022,63
14-09-2022,25
15-09-2022,28
18-09-2022,64
19-09-2022,78
20-09-2022,79
22-09-2022,27
23-09-2022,47
24-09-2022,45
25-09-2022,76
26-09-2022,92
27-09-2022,74
28-09-2022,105
29-09-2022,100
30-09-2022,109
01-10-2022,127
02-10-2022,120
03-10-2022,99
04-10-2022,132
05-10-2022,60
06-10-2022,28
07-10-2022,31
08-10-2022,38
09-10-2022,50
10-10-2022,36
11-10-2022,29
12-10-2022,35
13-10-2022,69
14-10-2022,96
15-10-2022,123
16-10-2022,147
17-10-2022,134
18-10-2022,148
19-10-2022,144
20-10-2022,149
21-10-2022,114
22-10-2022,138
23-10-2022,177
24-10-2022,214
25-10-2022,211
26-10-2022,129
27-10-2022,165
28-10-2022,157
29-10-2022,158
30-10-2022,256
31-10-2022,259
01-11-2022,248
02-11-2022,159
03-11-2022,163
04-11-2022,262
05-11-2022,277
06-11-2022,258
07-11-2022,112
08-11-2022,93
09-11-2022,106
10-11-2022,239
11-11-2022,170
12-11-2022,152
13-11-2022,155
14-11-2022,131
15-11-2022,130
16-11-2022,137
17-11-2022,119
18-11-2022,125
19-11-2022,149
20-11-2022,181
21-11-2022,206
22-11-2022,174
23-11-2022,154
24-11-2022,131
25-11-2022,176
26-11-2022,149
27-11-2022,148
28-11-2022,182
29-11-2022,231
30-11-2022,209
01-12-2022,217
02-12-2022,237
03-12-2022,239
04-12-2022,231
05-12-2022,235
06-12-2022,160
07-12-2022,128
08-12-2022,126
09-12-2022,122
10-12-2022,230
11-12-2022,217
12-12-2022,162
13-12-2022,94
14-12-2022,77
15-12-2022,111
16-12-2022,106
17-12-2022,115
18-12-2022,114
19-12-2022,163
20-12-2022,220
21-12-2022,150
22-12-2022,158
23-12-2022,136
24-12-2022,144
25-12-2022,126
26-12-2022,120
27-12-2022,170
28-12-2022,138
29-12-2022,105
30-12-2022,122
31-12-2022,161
01-01-2023,223
02-01-2023,155
03-01-2023,127
04-01-2023,137
05-01-2023,144
06-01-2023,141
07-01-2023,132
08-01-2023,114
09-01-2023,147
10-01-2023,116
11-01-2023,133
12-01-2023,109
13-01-2023,102
14-01-2023,116
15-01-2023,108
17-01-2023,106
18-01-2023,121
19-01-2023,154
20-01-2023,139
21-01-2023,134
22-01-2023,165
23-01-2023,88
24-01-2023,101
25-01-2023,103
26-01-2023,95
27-01-2023,103
28-01-2023,112
29-01-2023,100
30-01-2023,84
31-01-2023,52
01-02-2023,57
02-02-2023,78
03-02-2023,85
04-02-2023,98
05-02-2023,81
06-02-2023,100
07-02-2023,90
08-02-2023,71
09-02-2023,95
10-02-2023,66
11-02-2023,74
12-02-2023,106
13-02-2023,64
14-02-2023,72
15-02-2023,93
16-02-2023,103
17-02-2023,107
18-02-2023,126
19-02-2023,113
20-02-2023,93
21-02-2023,83
22-02-2023,77
23-02-2023,102
24-02-2023,101
25-02-2023,93
26-02-2023,98
27-02-2023,107
28-02-2023,120
01-03-2023,95
02-03-2023,92
03-03-2023,120
04-03-2023,114
05-03-2023,60
06-03-2023,81
07-03-2023,58
08-03-2023,59
09-03-2023,54
10-03-2023,56
11-03-2023,73
12-03-2023,89
13-03-2023,93
14-03-2023,91
15-03-2023,64
16-03-2023,82
17-03-2023,68
18-03-2023,58
19-03-2023,69
20-03-2023,59
21-03-2023,55
22-03-2023,56
23-03-2023,57
24-03-2023,72
25-03-2023,79
26-03-2023,60
27-03-2023,79
28-03-2023,83
29-03-2023,82
30-03-2023,90
31-03-2023,67
01-04-2023,59
02-04-2023,60
03-04-2023,62
04-04-2023,102
05-04-2023,68
06-04-2023,76
07-04-2023,72
08-04-2023,95
09-04-2023,78
10-04-2023,82
11-04-2023,80
12-04-2023,79
13-04-2023,94
14-04-2023,88
15-04-2023,99
16-04-2023,68
17-04-2023,79
18-04-2023,71
19-04-2023,71
20-04-2023,97
21-04-2023,100
22-04-2023,81
23-04-2023,105
24-04-2023,83
25-04-2023,104
26-04-2023,195
27-04-2023,129
28-04-2023,154
29-04-2023,76
30-04-2023,113
01-05-2023,53
02-05-2023,72
03-05-2023,69
04-05-2023,68
05-05-2023,97
06-05-2023,142
07-05-2023,134
08-05-2023,157
09-05-2023,140
10-05-2023,145
11-05-2023,153
12-05-2023,132
13-05-2023,148
14-05-2023,192
15-05-2023,57
16-05-2023,143
17-05-2023,126
18-05-2023,119
19-05-2023,158
20-05-2023,108
22-05-2023,71
23-05-2023,58
24-05-2023,67
25-05-2023,50
26-05-2023,74
27-05-2023,64
28-05-2023,60
29-05-2023,66
30-05-2023,74
31-05-2023,57
01-06-2023,71
02-06-2023,77
03-06-2023,82
04-06-2023,73
05-06-2023,69
06-06-2023,81
07-06-2023,99
08-06-2023,89
09-06-2023,64
10-06-2023,61
11-06-2023,55
12-06-2023,55
13-06-2023,55
14-06-2023,57
15-06-2023,119
16-06-2023,117
17-06-2023,130
18-06-2023,133
19-06-2023,112
20-06-2023,105
21-06-2023,87
22-06-2023,90
27-06-2023,102
28-06-2023,95
29-06-2023,87
30-06-2023,70
01-07-2023,74
02-07-2023,100
03-07-2023,121
04-07-2023,131
05-07-2023,82
06-07-2023,106
07-07-2023,57
09-07-2023,47
10-07-2023,54
11-07-2023,52
12-07-2023,39
13-07-2023,56
14-07-2023,53
15-07-2023,52
16-07-2023,38
17-07-2023,57
18-07-2023,57
19-07-2023,56
20-07-2023,60
21-07-2023,69
22-07-2023,76
23-07-2023,42
24-07-2023,42
25-07-2023,104
26-07-2023,75
27-07-2023,71
28-07-2023,82
29-07-2023,58
30-07-2023,61
31-07-2023,57
01-08-2023,68
02-08-2023,74
03-08-2023,54
04-08-2023,72
05-08-2023,40
06-08-2023,40
07-08-2023,90
08-08-2023,87
09-08-2023,79
11-08-2023,86
12-08-2023,79
13-08-2023,73
14-08-2023,78
15-08-2023,84
16-08-2023,88
17-08-2023,78
18-08-2023,83
19-08-2023,67
20-08-2023,36
21-08-2023,77
22-08-2023,33
23-08-2023,35
24-08-2023,36
25-08-2023,76
26-08-2023,92
27-08-2023,98
28-08-2023,111
29-08-2023,100
30-08-2023,89
31-08-2023,96
01-09-2023,83
02-09-2023,86
03-09-2023,86
04-09-2023,86
05-09-2023,106
06-09-2023,41
07-09-2023,50
08-09-2023,29
09-09-2023,26
10-09-2023,43
11-09-2023,40
12-09-2023,36
13-09-2023,46
14-09-2023,35
15-09-2023,43
17-09-2023,59
18-09-2023,68
19-09-2023,87
20-09-2023,80
22-09-2023,48
23-09-2023,33
24-09-2023,96
25-09-2023,112
27-09-2023,94
28-09-2023,133
29-09-2023,133
30-09-2023,107
01-10-2023,127
02-10-2023,157
03-10-2023,124
05-10-2023,117
06-10-2023,108
07-10-2023,109
08-10-2023,92
09-10-2023,93
10-10-2023,127
11-10-2023,101
12-10-2023,115
13-10-2023,104
14-10-2023,113
15-10-2023,117
16-10-2023,109
17-10-2023,88
18-10-2023,111
19-10-2023,116
20-10-2023,117
21-10-2023,130
22-10-2023,125
23-10-2023,135
25-10-2023,130
26-10-2023,132
28-10-2023,124
29-10-2023,134
30-10-2023,134
31-10-2023,139
01-11-2023,212
02-11-2023,201
03-11-2023,202
04-11-2023,137
05-11-2023,160
06-11-2023,194
07-11-2023,203
08-11-2023,144
09-11-2023,157
10-11-2023,150
11-11-2023,163
12-11-2023,148
13-11-2023,219
14-11-2023,195
15-11-2023,210
16-11-2023,203
17-11-2023,182
18-11-2023,177
19-11-2023,208
20-11-2023,230
21-11-2023,174
22-11-2023,140
24-11-2023,165
25-11-2023,109
26-11-2023,102
27-11-2023,104
28-11-2023,87
29-11-2023,98
30-11-2023,65
01-12-2023,78
02-12-2023,90
03-12-2023,117
04-12-2023,76
05-12-2023,47
06-12-2023,88
07-12-2023,89
08-12-2023,81
09-12-2023,132
10-12-2023,105
11-12-2023,104
12-12-2023,90
13-12-2023,100
15-12-2023,83
16-12-2023,91
17-12-2023,98
18-12-2023,114
19-12-2023,102
20-12-2023,120
21-12-2023,116
22-12-2023,146
23-12-2023,217
24-12-2023,148
25-12-2023,145
26-12-2023,119
27-12-2023,108
28-12-2023,82
29-12-2023,105
30-12-2023,76
31-12-2023,74
