Date,AQI
13-03-2023,164
14-03-2023,162
15-03-2023,205
16-03-2023,124
17-03-2023,189
18-03-2023,108
19-03-2023,194
20-03-2023,164
21-03-2023,205
22-03-2023,175
23-03-2023,238
24-03-2023,98
25-03-2023,232
26-03-2023,276
27-03-2023,225
28-03-2023,94
29-03-2023,228
30-03-2023,260
31-03-2023,111
01-04-2023,135
02-04-2023,108
03-04-2023,185
04-04-2023,242
05-04-2023,247
06-04-2023,238
07-04-2023,228
08-04-2023,262
09-04-2023,243
10-04-2023,293
11-04-2023,301
12-04-2023,157
13-04-2023,191
14-04-2023,200
15-04-2023,170
16-04-2023,168
17-04-2023,202
18-04-2023,160
19-04-2023,233
20-04-2023,186
21-04-2023,275
22-04-2023,214
23-04-2023,301
24-04-2023,301
25-04-2023,308
26-04-2023,311
27-04-2023,150
29-04-2023,224
01-05-2023,266
02-05-2023,295
05-05-2023,303
06-05-2023,304
07-05-2023,231
08-05-2023,285
09-05-2023,300
10-05-2023,304
11-05-2023,168
12-05-2023,301
13-05-2023,301
14-05-2023,206
15-05-2023,213
16-05-2023,279
17-05-2023,169
18-05-2023,220
19-05-2023,256
20-05-2023,232
21-05-2023,164
22-05-2023,111
24-05-2023,92
25-05-2023,245
26-05-2023,149
27-05-2023,155
28-05-2023,75
29-05-2023,89
30-05-2023,224
31-05-2023,85
02-06-2023,93
03-06-2023,98
04-06-2023,168
05-06-2023,162
06-06-2023,178
07-06-2023,159
08-06-2023,172
09-06-2023,87
10-06-2023,108
11-06-2023,173
12-06-2023,234
13-06-2023,101
14-06-2023,98
15-06-2023,105
16-06-2023,80
17-06-2023,190
18-06-2023,65
19-06-2023,73
20-06-2023,104
21-06-2023,85
22-06-2023,89
23-06-2023,95
24-06-2023,102
25-06-2023,77
26-06-2023,157
27-06-2023,193
28-06-2023,102
29-06-2023,103
30-06-2023,204
01-07-2023,263
02-07-2023,194
03-07-2023,167
04-07-2023,86
05-07-2023,177
07-07-2023,157
08-07-2023,87
10-07-2023,71
11-07-2023,112
12-07-2023,128
13-07-2023,117
14-07-2023,160
15-07-2023,77
16-07-2023,67
17-07-2023,58
18-07-2023,101
19-07-2023,97
20-07-2023,80
21-07-2023,78
22-07-2023,125
23-07-2023,89
24-07-2023,123
25-07-2023,74
26-07-2023,55
27-07-2023,42
28-07-2023,36
29-07-2023,82
30-07-2023,66
31-07-2023,57
01-08-2023,68
02-08-2023,76
03-08-2023,88
04-08-2023,87
05-08-2023,77
06-08-2023,80
07-08-2023,83
08-08-2023,82
09-08-2023,118
10-08-2023,121
11-08-2023,104
12-08-2023,98
13-08-2023,77
14-08-2023,89
15-08-2023,106
16-08-2023,126
17-08-2023,123
18-08-2023,127
19-08-2023,125
20-08-2023,99
21-08-2023,122
22-08-2023,77
23-08-2023,82
24-08-2023,82
25-08-2023,102
26-08-2023,140
27-08-2023,281
28-08-2023,161
29-08-2023,112
30-08-2023,108
31-08-2023,106
01-09-2023,105
02-09-2023,102
03-09-2023,94
04-09-2023,81
05-09-2023,97
06-09-2023,124
07-09-2023,164
08-09-2023,103
09-09-2023,62
10-09-2023,54
12-09-2023,77
13-09-2023,81
14-09-2023,83
15-09-2023,86
16-09-2023,99
17-09-2023,63
18-09-2023,58
19-09-2023,53
20-09-2023,74
21-09-2023,75
22-09-2023,100
23-09-2023,87
24-09-2023,84
25-09-2023,79
26-09-2023,178
27-09-2023,208
28-09-2023,246
29-09-2023,230
30-09-2023,200
01-10-2023,200
02-10-2023,220
03-10-2023,169
04-10-2023,188
05-10-2023,101
06-10-2023,88
07-10-2023,81
08-10-2023,84
09-10-2023,86
10-10-2023,99
11-10-2023,127
12-10-2023,107
13-10-2023,108
14-10-2023,112
15-10-2023,95
16-10-2023,121
17-10-2023,65
18-10-2023,176
19-10-2023,171
20-10-2023,189
21-10-2023,136
22-10-2023,125
23-10-2023,185
24-10-2023,222
25-10-2023,153
26-10-2023,120
27-10-2023,153
28-10-2023,147
29-10-2023,161
30-10-2023,151
31-10-2023,205
01-11-2023,265
02-11-2023,272
03-11-2023,254
04-11-2023,168
05-11-2023,264
06-11-2023,278
07-11-2023,246
08-11-2023,197
09-11-2023,193
10-11-2023,154
11-11-2023,211
12-11-2023,168
13-11-2023,302
14-11-2023,338
15-11-2023,422
17-11-2023,377
18-11-2023,228
19-11-2023,196
20-11-2023,219
21-11-2023,296
22-11-2023,296
23-11-2023,194
24-11-2023,266
25-11-2023,334
26-11-2023,308
27-11-2023,257
28-11-2023,198
29-11-2023,154
30-11-2023,264
01-12-2023,293
02-12-2023,255
03-12-2023,175
04-12-2023,224
05-12-2023,216
06-12-2023,194
07-12-2023,252
08-12-2023,157
09-12-2023,238
10-12-2023,204
11-12-2023,216
12-12-2023,188
13-12-2023,198
14-12-2023,217
15-12-2023,224
16-12-2023,241
17-12-2023,195
18-12-2023,281
19-12-2023,202
20-12-2023,221
21-12-2023,201
22-12-2023,256
23-12-2023,302
24-12-2023,347
25-12-2023,309
26-12-2023,237
27-12-2023,232
28-12-2023,305
29-12-2023,238
30-12-2023,201
31-12-2023,251
