Date,AQI
05-02-2019,261
06-02-2019,296
07-02-2019,215
08-02-2019,88
09-02-2019,89
10-02-2019,121
11-02-2019,198
12-02-2019,210
13-02-2019,233
14-02-2019,275
15-02-2019,235
16-02-2019,174
17-02-2019,138
18-02-2019,156
19-02-2019,105
20-02-2019,232
21-02-2019,152
22-02-2019,106
23-02-2019,71
24-02-2019,110
25-02-2019,128
26-02-2019,75
27-02-2019,69
28-02-2019,93
01-03-2019,133
02-03-2019,103
03-03-2019,105
04-03-2019,88
05-03-2019,83
06-03-2019,97
07-03-2019,119
08-03-2019,115
09-03-2019,106
10-03-2019,99
11-03-2019,111
12-03-2019,103
13-03-2019,140
14-03-2019,132
15-03-2019,78
16-03-2019,99
17-03-2019,121
18-03-2019,152
19-03-2019,139
20-03-2019,164
21-03-2019,142
22-03-2019,91
23-03-2019,104
24-03-2019,96
25-03-2019,103
26-03-2019,134
27-03-2019,125
28-03-2019,211
29-03-2019,167
30-03-2019,185
31-03-2019,126
01-04-2019,128
02-04-2019,134
03-04-2019,124
04-04-2019,145
05-04-2019,160
06-04-2019,153
07-04-2019,206
09-04-2019,176
10-04-2019,147
11-04-2019,126
12-04-2019,167
13-04-2019,129
14-04-2019,100
15-04-2019,114
16-04-2019,106
17-04-2019,75
18-04-2019,50
19-04-2019,80
20-04-2019,113
21-04-2019,186
22-04-2019,131
23-04-2019,153
24-04-2019,217
25-04-2019,209
26-04-2019,196
27-04-2019,206
28-04-2019,242
29-04-2019,219
30-04-2019,182
01-05-2019,184
02-05-2019,182
03-05-2019,110
04-05-2019,137
05-05-2019,192
06-05-2019,279
07-05-2019,251
08-05-2019,258
09-05-2019,310
10-05-2019,273
11-05-2019,131
12-05-2019,344
13-05-2019,278
14-05-2019,131
15-05-2019,116
16-05-2019,137
17-05-2019,197
18-05-2019,100
19-05-2019,102
20-05-2019,172
21-05-2019,133
22-05-2019,145
23-05-2019,193
24-05-2019,99
25-05-2019,73
26-05-2019,93
27-05-2019,108
28-05-2019,105
29-05-2019,130
30-05-2019,158
