Date,AQI
04-12-2015,325
05-12-2015,278
08-12-2015,257
09-12-2015,345
10-12-2015,262
11-12-2015,296
12-12-2015,248
13-12-2015,247
14-12-2015,223
15-12-2015,286
16-12-2015,203
17-12-2015,284
18-12-2015,270
19-12-2015,313
20-12-2015,340
21-12-2015,231
22-12-2015,325
23-12-2015,347
24-12-2015,367
25-12-2015,260
26-12-2015,241
27-12-2015,374
28-12-2015,312
29-12-2015,298
30-12-2015,358
31-12-2015,346
01-01-2016,355
02-01-2016,357
09-01-2016,258
10-01-2016,349
11-01-2016,367
12-01-2016,254
13-01-2016,230
14-01-2016,294
15-01-2016,220
16-01-2016,250
17-01-2016,256
18-01-2016,306
19-01-2016,279
20-01-2016,256
21-01-2016,185
22-01-2016,316
23-01-2016,313
24-01-2016,205
25-01-2016,147
26-01-2016,349
27-01-2016,165
28-01-2016,278
29-01-2016,319
30-01-2016,157
31-01-2016,264
01-02-2016,136
02-02-2016,149
03-02-2016,154
04-02-2016,191
05-02-2016,172
06-02-2016,180
07-02-2016,138
08-02-2016,141
09-02-2016,179
10-02-2016,258
12-02-2016,333
13-02-2016,253
14-02-2016,204
15-02-2016,151
16-02-2016,165
17-02-2016,178
18-02-2016,167
19-02-2016,181
20-02-2016,172
21-02-2016,114
22-02-2016,120
23-02-2016,176
24-02-2016,176
25-02-2016,212
26-02-2016,193
27-02-2016,225
28-02-2016,258
29-02-2016,242
01-03-2016,243
02-03-2016,169
03-03-2016,173
04-03-2016,173
05-03-2016,146
06-03-2016,147
07-03-2016,121
09-03-2016,144
10-03-2016,216
11-03-2016,142
13-03-2016,135
14-03-2016,231
15-03-2016,118
16-03-2016,127
17-03-2016,238
18-03-2016,196
19-03-2016,193
20-03-2016,239
21-03-2016,224
22-03-2016,115
23-03-2016,175
24-03-2016,188
25-03-2016,142
26-03-2016,226
27-03-2016,113
28-03-2016,92
29-03-2016,121
30-03-2016,250
31-03-2016,168
01-04-2016,168
02-04-2016,161
03-04-2016,170
04-04-2016,166
05-04-2016,147
06-04-2016,134
08-04-2016,145
09-04-2016,120
10-04-2016,190
11-04-2016,237
12-04-2016,125
13-04-2016,228
14-04-2016,163
15-04-2016,151
16-04-2016,190
17-04-2016,216
18-04-2016,348
19-04-2016,139
20-04-2016,167
21-04-2016,142
22-04-2016,148
23-04-2016,158
24-04-2016,165
25-04-2016,145
27-04-2016,155
28-04-2016,240
29-04-2016,196
30-04-2016,171
01-05-2016,147
02-05-2016,141
03-05-2016,185
04-05-2016,151
05-05-2016,299
06-05-2016,108
07-05-2016,168
08-05-2016,145
09-05-2016,131
10-05-2016,168
11-05-2016,175
12-05-2016,172
13-05-2016,185
14-05-2016,162
15-05-2016,201
16-05-2016,176
17-05-2016,233
18-05-2016,214
19-05-2016,233
20-05-2016,306
23-05-2016,381
24-05-2016,386
26-05-2016,362
27-05-2016,315
28-05-2016,239
29-05-2016,350
30-05-2016,383
31-05-2016,295
01-06-2016,168
02-06-2016,202
03-06-2016,189
04-06-2016,198
05-06-2016,184
07-06-2016,201
08-06-2016,197
10-06-2016,325
11-06-2016,278
12-06-2016,332
13-06-2016,322
14-06-2016,270
15-06-2016,324
16-06-2016,348
18-06-2016,292
19-06-2016,307
20-06-2016,302
21-06-2016,280
22-06-2016,235
23-06-2016,172
24-06-2016,222
06-07-2016,133
08-07-2016,121
09-07-2016,129
10-07-2016,114
11-07-2016,96
12-07-2016,94
13-07-2016,118
14-07-2016,109
15-07-2016,95
16-07-2016,127
17-07-2016,100
18-07-2016,105
19-07-2016,97
20-07-2016,114
26-07-2016,117
27-07-2016,132
28-07-2016,80
29-07-2016,92
30-07-2016,73
31-07-2016,68
01-08-2016,89
03-08-2016,76
05-08-2016,94
08-08-2016,44
22-08-2016,70
23-08-2016,71
02-09-2016,115
10-09-2016,113
11-09-2016,107
12-09-2016,97
13-09-2016,111
14-09-2016,107
15-09-2016,132
16-09-2016,189
17-09-2016,229
18-09-2016,173
19-09-2016,144
20-09-2016,145
21-09-2016,129
22-09-2016,134
23-09-2016,134
24-09-2016,131
30-09-2016,163
01-10-2016,143
04-10-2016,101
06-10-2016,116
07-10-2016,155
08-10-2016,177
09-10-2016,147
10-10-2016,148
11-10-2016,163
12-10-2016,145
13-10-2016,136
14-10-2016,135
15-10-2016,183
16-10-2016,265
17-10-2016,225
18-10-2016,218
19-10-2016,172
20-10-2016,162
21-10-2016,142
22-10-2016,159
23-10-2016,187
24-10-2016,167
25-10-2016,157
26-10-2016,151
27-10-2016,236
28-10-2016,224
29-10-2016,285
30-10-2016,282
31-10-2016,262
01-11-2016,211
02-11-2016,199
03-11-2016,207
04-11-2016,359
05-11-2016,372
06-11-2016,333
07-11-2016,348
08-11-2016,286
09-11-2016,305
10-11-2016,193
11-11-2016,283
16-11-2016,282
17-11-2016,255
18-11-2016,279
19-11-2016,241
20-11-2016,271
21-11-2016,254
22-11-2016,265
23-11-2016,228
24-11-2016,249
25-11-2016,248
26-11-2016,224
27-11-2016,291
28-11-2016,288
29-11-2016,257
30-11-2016,280
01-12-2016,234
02-12-2016,214
03-12-2016,236
04-12-2016,245
05-12-2016,232
07-12-2016,283
08-12-2016,290
09-12-2016,240
10-12-2016,207
11-12-2016,113
12-12-2016,184
13-12-2016,215
14-12-2016,190
15-12-2016,149
16-12-2016,217
17-12-2016,252
18-12-2016,243
19-12-2016,176
20-12-2016,169
21-12-2016,190
22-12-2016,310
23-12-2016,289
24-12-2016,256
25-12-2016,213
26-12-2016,226
27-12-2016,192
28-12-2016,298
03-01-2017,234
04-01-2017,250
05-01-2017,244
06-01-2017,218
07-01-2017,188
08-01-2017,265
09-01-2017,233
10-01-2017,170
11-01-2017,165
12-01-2017,209
13-01-2017,224
14-01-2017,195
16-01-2017,200
17-01-2017,135
18-01-2017,143
19-01-2017,183
20-01-2017,163
23-01-2017,215
24-01-2017,263
25-01-2017,262
26-01-2017,162
27-01-2017,56
29-01-2017,113
30-01-2017,193
31-01-2017,240
01-02-2017,131
02-02-2017,167
03-02-2017,182
04-02-2017,226
05-02-2017,109
06-02-2017,118
07-02-2017,92
08-02-2017,110
09-02-2017,89
10-02-2017,135
11-02-2017,145
12-02-2017,144
13-02-2017,157
15-02-2017,168
16-02-2017,245
17-02-2017,225
23-02-2017,46
24-02-2017,197
25-02-2017,224
26-02-2017,238
27-02-2017,224
28-02-2017,250
01-03-2017,152
02-03-2017,169
03-03-2017,130
04-03-2017,152
05-03-2017,186
06-03-2017,219
07-03-2017,221
08-03-2017,132
09-03-2017,164
10-03-2017,153
11-03-2017,180
12-03-2017,158
13-03-2017,197
14-03-2017,160
15-03-2017,190
16-03-2017,214
17-03-2017,146
18-03-2017,271
19-03-2017,129
20-03-2017,160
21-03-2017,138
22-03-2017,215
23-03-2017,193
24-03-2017,202
25-03-2017,219
26-03-2017,170
27-03-2017,175
28-03-2017,212
29-03-2017,134
31-03-2017,301
01-04-2017,143
02-04-2017,132
03-04-2017,87
04-04-2017,183
05-04-2017,195
06-04-2017,433
07-04-2017,361
08-04-2017,277
09-04-2017,169
10-04-2017,203
11-04-2017,258
12-04-2017,213
13-04-2017,215
14-04-2017,230
15-04-2017,261
16-04-2017,334
17-04-2017,203
18-04-2017,138
19-04-2017,172
20-04-2017,148
21-04-2017,283
22-04-2017,188
23-04-2017,311
24-04-2017,220
25-04-2017,206
26-04-2017,182
27-04-2017,220
28-04-2017,188
29-04-2017,188
30-04-2017,310
01-05-2017,289
02-05-2017,294
03-05-2017,248
04-05-2017,328
05-05-2017,316
06-05-2017,212
07-05-2017,141
08-05-2017,158
09-05-2017,131
10-05-2017,175
11-05-2017,266
12-05-2017,325
13-05-2017,234
14-05-2017,151
15-05-2017,173
16-05-2017,231
19-05-2017,176
20-05-2017,257
23-05-2017,165
24-05-2017,189
25-05-2017,179
26-05-2017,218
27-05-2017,157
28-05-2017,153
29-05-2017,147
30-05-2017,138
31-05-2017,163
01-06-2017,179
02-06-2017,163
03-06-2017,200
04-06-2017,292
05-06-2017,119
06-06-2017,134
07-06-2017,134
09-06-2017,114
10-06-2017,146
11-06-2017,366
12-06-2017,201
13-06-2017,315
14-06-2017,217
15-06-2017,165
16-06-2017,214
17-06-2017,255
19-06-2017,187
20-06-2017,165
21-06-2017,130
22-06-2017,126
23-06-2017,160
24-06-2017,142
25-06-2017,158
26-06-2017,130
27-06-2017,101
28-06-2017,88
29-06-2017,89
30-06-2017,83
01-07-2017,86
02-07-2017,88
03-07-2017,134
04-07-2017,176
05-07-2017,173
06-07-2017,176
07-07-2017,146
08-07-2017,132
09-07-2017,125
10-07-2017,125
11-07-2017,146
12-07-2017,144
13-07-2017,135
14-07-2017,74
15-07-2017,99
16-07-2017,89
17-07-2017,91
18-07-2017,116
19-07-2017,98
20-07-2017,123
21-07-2017,75
24-07-2017,60
25-07-2017,49
26-07-2017,48
27-07-2017,86
30-07-2017,46
31-07-2017,83
03-08-2017,71
04-08-2017,84
05-08-2017,40
06-08-2017,32
09-08-2017,81
10-08-2017,189
11-08-2017,70
15-08-2017,158
16-08-2017,86
17-08-2017,77
18-08-2017,95
19-08-2017,98
20-08-2017,117
21-08-2017,63
22-08-2017,96
23-08-2017,188
24-08-2017,61
25-08-2017,79
26-08-2017,88
27-08-2017,78
28-08-2017,67
29-08-2017,31
30-08-2017,74
31-08-2017,67
01-09-2017,67
02-09-2017,66
03-09-2017,63
04-09-2017,55
05-09-2017,78
06-09-2017,68
07-09-2017,77
08-09-2017,79
09-09-2017,84
10-09-2017,62
11-09-2017,154
12-09-2017,39
13-09-2017,68
14-09-2017,81
15-09-2017,77
16-09-2017,117
17-09-2017,46
18-09-2017,84
19-09-2017,78
22-09-2017,57
23-09-2017,299
24-09-2017,229
25-09-2017,303
26-09-2017,80
27-09-2017,78
28-09-2017,109
05-10-2017,41
06-10-2017,38
07-10-2017,39
08-10-2017,83
09-10-2017,44
10-10-2017,62
11-10-2017,73
12-10-2017,68
13-10-2017,235
15-10-2017,229
17-10-2017,205
18-10-2017,303
19-10-2017,279
20-10-2017,352
21-10-2017,287
22-10-2017,239
23-10-2017,271
24-10-2017,229
25-10-2017,312
26-10-2017,251
27-10-2017,235
28-10-2017,232
29-10-2017,243
30-10-2017,277
31-10-2017,283
01-11-2017,309
02-11-2017,288
03-11-2017,319
04-11-2017,297
05-11-2017,277
06-11-2017,204
07-11-2017,303
08-11-2017,322
09-11-2017,302
11-11-2017,324
12-11-2017,309
13-11-2017,319
14-11-2017,329
15-11-2017,331
16-11-2017,300
17-11-2017,265
18-11-2017,327
19-11-2017,246
20-11-2017,176
21-11-2017,202
22-11-2017,218
23-11-2017,216
24-11-2017,221
25-11-2017,274
27-11-2017,261
28-11-2017,264
29-11-2017,307
30-11-2017,275
01-12-2017,231
02-12-2017,266
19-12-2017,179
20-12-2017,195
21-12-2017,206
22-12-2017,155
23-12-2017,230
25-12-2017,254
26-12-2017,194
27-12-2017,262
28-12-2017,263
29-12-2017,229
30-12-2017,251
31-12-2017,210
01-01-2018,193
03-01-2018,255
04-01-2018,266
05-01-2018,280
06-01-2018,279
07-01-2018,216
08-01-2018,207
10-01-2018,214
11-01-2018,230
12-01-2018,321
13-01-2018,315
14-01-2018,301
15-01-2018,274
16-01-2018,318
17-01-2018,270
18-01-2018,252
19-01-2018,285
20-01-2018,253
21-01-2018,246
22-01-2018,291
24-01-2018,295
25-01-2018,309
26-01-2018,302
27-01-2018,292
28-01-2018,292
29-01-2018,254
30-01-2018,353
31-01-2018,199
01-02-2018,305
02-02-2018,266
03-02-2018,254
04-02-2018,219
05-02-2018,229
06-02-2018,215
07-02-2018,204
08-02-2018,239
09-02-2018,256
10-02-2018,294
11-02-2018,253
12-02-2018,239
13-02-2018,232
14-02-2018,189
15-02-2018,191
16-02-2018,280
17-02-2018,298
18-02-2018,267
19-02-2018,255
20-02-2018,329
21-02-2018,323
22-02-2018,279
23-02-2018,257
24-02-2018,244
25-02-2018,184
26-02-2018,169
27-02-2018,257
28-02-2018,279
01-03-2018,276
02-03-2018,230
03-03-2018,194
04-03-2018,185
05-03-2018,170
06-03-2018,156
07-03-2018,189
08-03-2018,218
09-03-2018,217
10-03-2018,239
11-03-2018,215
12-03-2018,206
13-03-2018,235
14-03-2018,192
15-03-2018,222
16-03-2018,259
17-03-2018,223
18-03-2018,268
19-03-2018,246
20-03-2018,256
21-03-2018,308
22-03-2018,193
23-03-2018,157
24-03-2018,204
25-03-2018,225
26-03-2018,245
27-03-2018,278
28-03-2018,250
29-03-2018,285
30-03-2018,257
31-03-2018,270
01-04-2018,302
02-04-2018,256
03-04-2018,249
04-04-2018,269
05-04-2018,338
06-04-2018,317
08-04-2018,259
10-04-2018,153
11-04-2018,336
12-04-2018,254
13-04-2018,231
14-04-2018,205
15-04-2018,269
16-04-2018,284
17-04-2018,242
18-04-2018,251
19-04-2018,266
20-04-2018,285
21-04-2018,436
22-04-2018,273
23-04-2018,221
24-04-2018,258
25-04-2018,239
26-04-2018,251
27-04-2018,241
28-04-2018,265
29-04-2018,269
30-04-2018,281
01-05-2018,343
02-05-2018,324
03-05-2018,209
04-05-2018,251
05-05-2018,316
06-05-2018,287
07-05-2018,256
08-05-2018,298
09-05-2018,296
10-05-2018,267
11-05-2018,226
12-05-2018,233
13-05-2018,239
14-05-2018,294
15-05-2018,338
16-05-2018,327
17-05-2018,293
18-05-2018,334
19-05-2018,363
20-05-2018,377
21-05-2018,319
22-05-2018,336
23-05-2018,372
25-05-2018,260
26-05-2018,251
27-05-2018,321
28-05-2018,300
31-05-2018,397
01-06-2018,373
02-06-2018,328
04-06-2018,312
05-06-2018,283
06-06-2018,302
07-06-2018,257
08-06-2018,249
09-06-2018,187
10-06-2018,225
11-06-2018,261
12-06-2018,337
13-06-2018,420
14-06-2018,419
15-06-2018,378
16-06-2018,298
17-06-2018,211
